,mean_spot_factorsAstro_0,mean_spot_factorsAstro_1,mean_spot_factorsAstro_2,mean_spot_factorsAstro_3,mean_spot_factorsAstro_4,mean_spot_factorsExt_Amy_1,mean_spot_factorsExt_Amy_2,mean_spot_factorsExt_ClauPyr,mean_spot_factorsExt_Hpc_1,mean_spot_factorsExt_Hpc_2,mean_spot_factorsExt_Hpc_3,mean_spot_factorsExt_Hpc_4,mean_spot_factorsExt_L23,mean_spot_factorsExt_L25,mean_spot_factorsExt_L56,mean_spot_factorsExt_L5_1,mean_spot_factorsExt_L5_2,mean_spot_factorsExt_L6,mean_spot_factorsExt_L6B,mean_spot_factorsExt_Pir,mean_spot_factorsExt_Thal_1,mean_spot_factorsExt_Thal_2,mean_spot_factorsExt_Unk_3,mean_spot_factorsInh_1,mean_spot_factorsInh_2,mean_spot_factorsInh_3,mean_spot_factorsInh_4,mean_spot_factorsInh_5,mean_spot_factorsInh_6,mean_spot_factorsInh_Lamp5,mean_spot_factorsInh_Meis2_1,mean_spot_factorsInh_Meis2_2,mean_spot_factorsInh_Meis2_3,mean_spot_factorsInh_Meis2_4,mean_spot_factorsInh_Pvalb,mean_spot_factorsInh_Sst,mean_spot_factorsInh_Vip,mean_spot_factorsLowQ_2,mean_spot_factorsMicro,mean_spot_factorsNb_1,mean_spot_factorsNb_2,mean_spot_factorsOPC_1,mean_spot_factorsOPC_2,mean_spot_factorsOligo_1,mean_spot_factorsOligo_2,mean_spot_factorsUnk_1
Spotx1,0.501206636428833,0.2106482982635498,2.0643439292907715,0.9499720335006714,0.4652613699436188,0.08091776072978973,0.03906862437725067,0.032484378665685654,0.036517269909381866,0.026640309020876884,0.09025200456380844,0.07379380613565445,0.0379754975438118,0.10703687369823456,0.03837326169013977,0.040424685925245285,0.026653612032532692,0.03102622739970684,0.026727572083473206,0.05487404763698578,0.05092792212963104,0.061569370329380035,0.4236891269683838,0.6750433444976807,0.19909052550792694,0.1442142277956009,0.3016718327999115,0.2921833395957947,0.11223649233579636,0.05036497861146927,0.098722904920578,0.27757391333580017,0.3371751308441162,0.07455944269895554,0.07922395318746567,0.1019119992852211,0.1196405217051506,0.08141308277845383,0.07646995782852173,0.1740855723619461,1.0695741176605225,0.10459350794553757,0.09663719683885574,0.08670546859502792,0.16910311579704285,0.15744340419769287
Spotx2,0.023506170138716698,0.030806615948677063,0.01647024229168892,0.022464390844106674,0.041804540902376175,0.06804610788822174,0.05489691346883774,0.08189436048269272,0.06098507344722748,0.041718415915966034,0.12378773093223572,0.12813903391361237,0.07294338941574097,0.06868761777877808,0.09173112362623215,0.05311773717403412,0.04583978280425072,0.06059069558978081,0.061757493764162064,0.07773568481206894,0.06111597269773483,0.11057969182729721,1.3985568284988403,0.1922885775566101,0.32797446846961975,0.23713865876197815,0.3141735792160034,0.15894466638565063,0.2142392247915268,0.1865035593509674,0.17362813651561737,0.5249199271202087,1.0781242847442627,0.24630741775035858,2.9313862323760986,0.22990360856056213,0.6676045060157776,0.217193141579628,0.05811561644077301,0.21334920823574066,0.2092825174331665,0.08025359362363815,0.04990503937005997,0.20417170226573944,0.16896137595176697,0.3516569137573242
Spotx3,0.12207959592342377,0.15282459557056427,0.08196263015270233,0.06383765488862991,0.4610714614391327,0.09473879635334015,0.06870868057012558,0.31021901965141296,0.09796611964702606,0.06266786903142929,0.12063243240118027,0.09000120311975479,0.14531190693378448,0.16075460612773895,0.2739228904247284,0.12562566995620728,0.05037806183099747,0.3906308114528656,0.048614293336868286,0.12097953259944916,0.026754328981041908,0.04889072850346565,0.14089250564575195,0.25578388571739197,0.10063447058200836,0.13940896093845367,0.1447817087173462,0.11899702996015549,0.057232923805713654,0.12430350482463837,0.09516635537147522,0.27209505438804626,1.192545771598816,0.15985187888145447,1.3171428442001343,0.48031437397003174,0.10699779540300369,0.09107189625501633,0.11083701252937317,0.2161010354757309,0.3737684190273285,0.11988633126020432,0.13260206580162048,0.04657386615872383,0.09349671751260757,0.1562625765800476
Spotx4,0.038694754242897034,0.06422723829746246,0.02670716680586338,0.050159890204668045,0.06436951458454132,0.1021689623594284,0.21322788298130035,0.0850384384393692,0.09881183505058289,0.09445080161094666,0.11765342205762863,0.0868462547659874,0.1870688945055008,0.2270871251821518,0.3294081389904022,2.0416207313537598,0.18318280577659607,0.18248043954372406,0.11606132239103317,0.3323614299297333,0.13731272518634796,0.28414079546928406,1.1009955406188965,0.28208962082862854,0.25587958097457886,0.3747677505016327,0.5335174202919006,0.1355699896812439,0.20287209749221802,0.07262439280748367,0.5812652707099915,0.3448668420314789,0.46575650572776794,0.1363794505596161,0.12503400444984436,0.21949587762355804,0.0699569582939148,0.16195860505104065,2.8051064014434814,0.23332479596138,0.18082267045974731,0.07074558734893799,0.08394966274499893,0.19231145083904266,0.21425990760326385,0.28652992844581604
Spotx5,0.5128634572029114,0.2972317636013031,0.776915431022644,0.36791351437568665,0.14839312434196472,0.18212053179740906,0.06699835509061813,0.06445304304361343,0.09226987510919571,0.03964967280626297,0.16654027998447418,0.17436464130878448,0.22491347789764404,0.14728792011737823,0.12280040979385376,0.06577026844024658,0.03437241166830063,0.20139490067958832,0.03255670517683029,1.7578465938568115,0.057562585920095444,0.02961535006761551,0.02804361842572689,0.05590400844812393,0.03604824095964432,0.04961328208446503,0.03712398186326027,0.04496438801288605,0.06869986653327942,0.09851858019828796,0.05212352052330971,0.4926255941390991,1.7318568229675293,0.04673117771744728,0.13640554249286652,1.0530582666397095,0.08355150371789932,0.06734161078929901,0.133575439453125,0.07840555906295776,0.11301742494106293,0.05663000047206879,0.08423402160406113,0.055709294974803925,0.11005262285470963,0.15519100427627563
Spotx6,0.04910711199045181,0.06588639318943024,0.04596243053674698,0.04915027692914009,0.0875641331076622,0.16520266234874725,0.14690624177455902,0.06121044233441353,0.15958844125270844,0.15346668660640717,0.24256186187267303,0.7566589713096619,0.19422373175621033,0.11030948907136917,0.13675767183303833,0.07761292159557343,0.15064895153045654,0.11665993928909302,0.099518783390522,0.09096971899271011,0.114300936460495,0.25155818462371826,0.9526764750480652,0.2583908438682556,0.20938311517238617,0.13772495090961456,0.15329523384571075,0.07941623032093048,0.10297561436891556,0.12907756865024567,0.13483816385269165,0.14772869646549225,2.8868563175201416,0.0673966109752655,0.05302876606583595,0.08591113239526749,0.1286494880914688,0.27497100830078125,0.0722757875919342,0.28034088015556335,0.15513673424720764,4.523922443389893,0.14070364832878113,0.2835638225078583,0.16843420267105103,0.23073428869247437
Spotx7,0.02902451530098915,0.04030142351984978,0.024864913895726204,0.03466734290122986,0.056449972093105316,0.02781272679567337,0.06172778084874153,0.0752992331981659,0.09865143895149231,0.19947540760040283,0.10417155176401138,0.07675230503082275,0.09416147321462631,0.12230104207992554,0.29590097069740295,3.3941149711608887,0.26897791028022766,1.084717869758606,0.12240718305110931,0.0662885308265686,0.03632652759552002,0.05449206382036209,0.39797279238700867,0.07037278264760971,0.06991595029830933,0.09194542467594147,0.0762733742594719,0.07795374095439911,0.05874834209680557,0.11182236671447754,0.08152509480714798,0.053796809166669846,0.04772382229566574,0.08547907322645187,0.2481345385313034,0.1715793013572693,0.09115097671747208,0.13936956226825714,0.12514305114746094,0.17102672159671783,0.1068594753742218,0.046146463602781296,0.03529376536607742,0.03581748902797699,0.08853600919246674,0.15484675765037537
Spotx8,0.31208088994026184,0.35693424940109253,1.1397627592086792,1.470329999923706,0.3513065278530121,0.2150610238313675,0.18070131540298462,0.11758296936750412,0.3952687382698059,1.2541195154190063,0.32660776376724243,0.4131312966346741,0.063468798995018,0.09875325113534927,0.14771181344985962,0.08104529231786728,0.052281107753515244,0.062236759811639786,0.0789998471736908,0.1241021454334259,0.03803586587309837,0.053229156881570816,0.05614874139428139,0.49121949076652527,0.6680780053138733,1.744984745979309,1.3200725317001343,0.16324594616889954,0.18725115060806274,0.16385309398174286,0.1945027858018875,0.1952035129070282,0.9190495610237122,0.16020502150058746,0.1078718826174736,0.11233675479888916,0.2623175382614136,0.17354419827461243,0.08877448737621307,0.46563875675201416,0.21184241771697998,0.26607057452201843,0.10373352468013763,0.12488134205341339,0.34125661849975586,0.2940989136695862
Spotx9,0.13874047994613647,0.18776188790798187,0.10806207358837128,0.538367748260498,0.11815448850393295,0.059509724378585815,0.05306101590394974,0.05282674729824066,0.06041508913040161,0.06428410112857819,0.12783107161521912,0.12055259197950363,0.06838322430849075,0.0925619974732399,0.43904510140419006,0.1038389727473259,0.17323212325572968,0.09916633367538452,4.689037799835205,0.061925217509269714,0.07025772333145142,0.11870773881673813,0.7881032824516296,0.1180480346083641,0.3821272850036621,0.3021344244480133,0.22687722742557526,0.09390530735254288,0.1625855565071106,0.1737993061542511,0.07730168849229813,0.054072361439466476,0.05671701952815056,0.10362311452627182,0.294293612241745,0.141920804977417,0.3872675597667694,0.8500661253929138,0.1096021980047226,0.1897173523902893,0.15472659468650818,0.19166672229766846,0.10084842145442963,0.15553921461105347,0.2442702203989029,0.2083972692489624
Spotx10,0.1858266294002533,0.28073087334632874,0.20399226248264313,0.10866221785545349,0.14134645462036133,0.020273398607969284,0.027654454112052917,0.09571324288845062,0.03667895868420601,0.028092041611671448,0.07869061082601547,0.0678274929523468,0.04176384583115578,0.04018611088395119,0.042625561356544495,0.045531850308179855,0.022200996056199074,0.032336972653865814,0.09442448616027832,0.034993961453437805,0.06604622304439545,0.30854299664497375,1.0188226699829102,0.09214194118976593,0.07847687602043152,0.06299388408660889,0.07582533359527588,0.09612210094928741,0.08723459392786026,0.07974892854690552,0.04433728754520416,0.045145146548748016,0.03164983540773392,0.03617044910788536,0.38387763500213623,0.22483964264392853,0.4092690348625183,0.043050654232501984,0.06563781201839447,0.1312151402235031,0.12175270169973373,0.06321347504854202,0.04138505831360817,0.03538154438138008,0.08353801816701889,0.15169233083724976
