,q05_spot_factorsAstro_0,q05_spot_factorsAstro_1,q05_spot_factorsAstro_2,q05_spot_factorsAstro_3,q05_spot_factorsAstro_4,q05_spot_factorsExt_Amy_1,q05_spot_factorsExt_Amy_2,q05_spot_factorsExt_ClauPyr,q05_spot_factorsExt_Hpc_1,q05_spot_factorsExt_Hpc_2,q05_spot_factorsExt_Hpc_3,q05_spot_factorsExt_Hpc_4,q05_spot_factorsExt_L23,q05_spot_factorsExt_L25,q05_spot_factorsExt_L56,q05_spot_factorsExt_L5_1,q05_spot_factorsExt_L5_2,q05_spot_factorsExt_L6,q05_spot_factorsExt_L6B,q05_spot_factorsExt_Pir,q05_spot_factorsExt_Thal_1,q05_spot_factorsExt_Thal_2,q05_spot_factorsExt_Unk_3,q05_spot_factorsInh_1,q05_spot_factorsInh_2,q05_spot_factorsInh_3,q05_spot_factorsInh_4,q05_spot_factorsInh_5,q05_spot_factorsInh_6,q05_spot_factorsInh_Lamp5,q05_spot_factorsInh_Meis2_1,q05_spot_factorsInh_Meis2_2,q05_spot_factorsInh_Meis2_3,q05_spot_factorsInh_Meis2_4,q05_spot_factorsInh_Pvalb,q05_spot_factorsInh_Sst,q05_spot_factorsInh_Vip,q05_spot_factorsLowQ_2,q05_spot_factorsMicro,q05_spot_factorsNb_1,q05_spot_factorsNb_2,q05_spot_factorsOPC_1,q05_spot_factorsOPC_2,q05_spot_factorsOligo_1,q05_spot_factorsOligo_2,q05_spot_factorsUnk_1
Spotx1,0.25879530757665636,0.05289213787764311,1.8443053007125854,0.7452817499637603,0.194027654081583,0.03666073605418205,0.00938916876912117,0.008443886367604136,0.010626171343028545,0.006145823444239796,0.02368437238037586,0.02387012457475066,0.010384446009993553,0.039519304223358635,0.008493737969547511,0.011824310803785919,0.007601410523056983,0.00481254083570093,0.005920434789732099,0.01613933192566037,0.02177056362852454,0.02273686723783612,0.3496475085616112,0.5609641224145889,0.13002090901136398,0.056648509018123155,0.20047222375869753,0.2068763367831707,0.047001594118773936,0.011055030720308424,0.030638678558170797,0.18925063014030455,0.24493499249219894,0.03183849435299635,0.028655502293258906,0.04282988533377647,0.04304355457425118,0.029696617741137743,0.01591902822256088,0.04008682575076819,0.7748604327440262,0.03132589077576995,0.0352422297000885,0.031320521328598264,0.053941307961940764,0.03518541306257248
Spotx2,0.00492795784957707,0.005316635803319514,0.0028595696552656587,0.005077404924668372,0.007461329619400204,0.020865672454237937,0.01307330564595759,0.02652991255745292,0.013702490646392108,0.008778886450454593,0.039425790123641495,0.0361024709418416,0.027280871104449034,0.020688838325440884,0.028248250391334297,0.013583168759942055,0.013421535538509487,0.016207709815353154,0.018928647320717574,0.027876639273017645,0.020956169441342355,0.04644549842923879,1.3007028996944427,0.06591362319886684,0.22576023861765862,0.09169550016522407,0.1994090922176838,0.06663086898624897,0.0919587291777134,0.07640336863696574,0.050070463307201864,0.3755272850394249,0.9358256995677947,0.1403076082468033,2.7814591407775877,0.12206491827964783,0.5171327263116837,0.10906847193837166,0.010267426958307624,0.07117997631430625,0.05582059659063816,0.020218428783118726,0.00844766008667648,0.09463684372603894,0.04635856468230486,0.1017470009624958
Spotx3,0.03707062285393477,0.056524363160133366,0.022445112001150846,0.01579444520175457,0.24846601262688636,0.03893840275704861,0.02531179981306195,0.2290753073990345,0.044148112647235394,0.023284638579934836,0.027397076692432167,0.02574892370030284,0.07898885831236839,0.08080365248024464,0.1854666754603386,0.06025818772614002,0.01518774488940835,0.29603769183158873,0.016961921378970145,0.05921864919364452,0.007317926571704447,0.01041423873975873,0.0875300694257021,0.15540683418512344,0.04301322549581528,0.04985028933733702,0.07267118468880653,0.05794012937694788,0.013674716092646123,0.04274697136133909,0.027049328573048117,0.17438298612833023,1.0505858778953552,0.08745311237871647,1.1871450245380402,0.375890588760376,0.04391105305403471,0.027912334818392993,0.03125616796314717,0.07055265568196774,0.1896408572793007,0.030717821232974528,0.057220812514424325,0.011500201933085917,0.021473001129925253,0.029743047431111336
Spotx4,0.007504362822510302,0.01305249175056815,0.004292727936990559,0.01036987854167819,0.011808599764481188,0.0346304465085268,0.11394889280200005,0.03179571703076363,0.035309282876551155,0.025272169150412083,0.028871624264866114,0.02653272617608309,0.09173701964318752,0.10923740565776824,0.21336735785007477,1.90046529173851,0.10955427773296833,0.08166741617023945,0.0504524664953351,0.2117947980761528,0.07258693389594555,0.1777839258313179,0.9899860441684724,0.14094631746411324,0.14439124390482902,0.17879196479916573,0.38734048753976824,0.058264004066586494,0.10601534061133862,0.0197788342833519,0.35768019407987595,0.22133002802729607,0.315156190097332,0.05352475754916668,0.04020410217344761,0.09667737409472466,0.011823854874819517,0.059259003773331646,2.4003944635391234,0.07391016334295274,0.054044441878795625,0.015040379716083407,0.026901956554502247,0.09017219059169292,0.06592065580189228,0.059778008982539176
Spotx5,0.3085223376750946,0.10477945357561111,0.5830912351608276,0.2131667271256447,0.02472055098041892,0.1001915879547596,0.022767614293843507,0.01970632998272777,0.032989085465669636,0.01186057385057211,0.057496803998947146,0.07099886536598206,0.14626894071698188,0.05244801044464111,0.04604241494089365,0.01855605272576213,0.009012361709028482,0.1132329411804676,0.008624539710581303,1.6270140528678894,0.015045243315398693,0.007932689413428307,0.00648990236222744,0.01018292992375791,0.009843380376696586,0.009346327604725957,0.006712658423930407,0.011700692493468523,0.01879118112847209,0.032937356457114216,0.01070130062289536,0.35580425113439557,1.5702691972255707,0.013630139781162143,0.06933796964585781,0.9317499399185181,0.021447592694312335,0.02159091830253601,0.043224511295557023,0.017890678904950618,0.02882301984354854,0.011864228034391999,0.020066798944026232,0.014578426023945212,0.03023928422480822,0.03444543853402138
Spotx6,0.008882620558142661,0.012459722720086575,0.012033933075144887,0.0070649658562615516,0.01908478131517768,0.07459075935184956,0.06606809832155705,0.014370113611221315,0.08012964017689228,0.08202947005629539,0.09623230025172234,0.5996642500162125,0.10423700027167798,0.03177809044718742,0.054394189082086083,0.02940351087599993,0.0789366416633129,0.044071680307388304,0.04294291846454144,0.031780852191150184,0.0573548011481762,0.15940870046615602,0.8368690192699433,0.14891577884554863,0.11102486364543439,0.03462359886616469,0.065026630833745,0.028147162310779097,0.03724520467221737,0.04906055014580488,0.03868266306817532,0.055891317874193186,2.7115254282951358,0.02055117338895798,0.015720802918076517,0.023499282728880643,0.05117173381149769,0.15540399625897408,0.015674095042049883,0.10758209377527238,0.047322943247854715,4.147570371627808,0.05862005576491356,0.1681843176484108,0.0527023907750845,0.046938102692365646
Spotx7,0.005283094872720539,0.008263229113072156,0.004016559245064855,0.006533573986962438,0.011507411720231175,0.005839768028818071,0.022030569426715375,0.0207619140855968,0.03713653851300478,0.12366619892418385,0.02780818482860923,0.021309750620275736,0.040163342282176016,0.03811092022806406,0.17386292070150378,3.2910653829574588,0.19976048320531845,0.965910068154335,0.05443187430500984,0.01726196417585015,0.009444705583155156,0.017010189592838287,0.32182599008083346,0.015044064493849874,0.02567660752683878,0.027251777052879334,0.022424299735575914,0.027910076174885036,0.013808393711224198,0.046309923939406875,0.02585193431004882,0.010757929319515825,0.009048383915796876,0.03279321305453777,0.16108305901288986,0.08092557378113269,0.02596755437552929,0.056093064695596696,0.055874575115740295,0.043926911987364294,0.02757884543389082,0.008839073870331048,0.005997010879218578,0.007438256079331041,0.02453984385356307,0.032709393091499804
Spotx8,0.10992855243384839,0.11732656620442866,0.8585983097553254,1.1360982537269593,0.09450292065739632,0.12581188157200812,0.08475652895867825,0.05714780036360025,0.26306031793355944,1.1499545156955717,0.16014259830117228,0.2562598869204521,0.017059278767555953,0.03091564942151308,0.0582734402269125,0.027767827827483414,0.01576023194938898,0.016463727876544,0.021491023898124694,0.04207553528249264,0.009110897220671177,0.01729989666491747,0.013141868403181434,0.33421643674373624,0.5443266779184341,1.4819387018680574,1.146376496553421,0.07463444173336028,0.0859521333128214,0.0590632226318121,0.08462134860455989,0.08121658451855183,0.759856328368187,0.084378232806921,0.04210776519030332,0.03895378280431032,0.12760822251439094,0.0652234435081482,0.02132889414206147,0.19246352836489677,0.06317817345261574,0.0985797479748726,0.02897651921957731,0.04561787005513907,0.14487186968326568,0.06474733389914036
Spotx9,0.03974207956343889,0.05586966872215271,0.027667793817818167,0.3645232707262039,0.021208324935287237,0.01688824938610196,0.011919919447973371,0.015979967080056667,0.014262005547061562,0.015553617617115378,0.04404010195285082,0.046955860778689386,0.018121731001883745,0.021280872635543346,0.30081648975610736,0.03918429892510176,0.0947080384939909,0.0310410538688302,4.553477931022644,0.017258174158632757,0.018355309776961804,0.04862166382372379,0.6772364675998688,0.038719100318849085,0.2694842591881752,0.1305220030248165,0.12256997376680374,0.036203830316662786,0.06655449010431767,0.07461132891476155,0.015273549547418951,0.012251801183447241,0.012977350829169154,0.03678617496043444,0.18771122470498086,0.05676566679030657,0.24776770919561386,0.6530543506145478,0.024827657733112574,0.05608990788459778,0.027764658350497486,0.04840549901127815,0.030150272604078057,0.07271126434206962,0.08483901955187322,0.04933153409510851
Spotx10,0.08309141993522644,0.1455517761409283,0.12621081545948984,0.04030961468815804,0.05335316061973572,0.005224887095391751,0.007299697096459568,0.04228658452630043,0.01063882391899824,0.008326611248776317,0.024427684582769872,0.025197617150843146,0.010749401804059743,0.011182052362710238,0.011162764066830276,0.014456904865801335,0.005415800283662974,0.008164524426683783,0.050059852004051206,0.010937630757689476,0.0318991020321846,0.23395123407244683,0.9536487102508545,0.03528944123536348,0.038061886467039584,0.016788425017148258,0.024773069843649867,0.04507035855203867,0.03216252271085977,0.02965320935472846,0.007003285270184278,0.011041966918855905,0.007313774665817618,0.011840779613703488,0.31603879332542417,0.14946798384189605,0.3020585492253304,0.010038710432127118,0.01924994485452771,0.042701071687042715,0.03417732454836368,0.013500605989247561,0.012611307669430971,0.009075996465981007,0.024060638062655928,0.029401193000376222
