,mean_nUMI_factorsAstro_0,mean_nUMI_factorsAstro_1,mean_nUMI_factorsAstro_2,mean_nUMI_factorsAstro_3,mean_nUMI_factorsAstro_4,mean_nUMI_factorsExt_Amy_1,mean_nUMI_factorsExt_Amy_2,mean_nUMI_factorsExt_ClauPyr,mean_nUMI_factorsExt_Hpc_1,mean_nUMI_factorsExt_Hpc_2,mean_nUMI_factorsExt_Hpc_3,mean_nUMI_factorsExt_Hpc_4,mean_nUMI_factorsExt_L23,mean_nUMI_factorsExt_L25,mean_nUMI_factorsExt_L56,mean_nUMI_factorsExt_L5_1,mean_nUMI_factorsExt_L5_2,mean_nUMI_factorsExt_L6,mean_nUMI_factorsExt_L6B,mean_nUMI_factorsExt_Pir,mean_nUMI_factorsExt_Thal_1,mean_nUMI_factorsExt_Thal_2,mean_nUMI_factorsExt_Unk_3,mean_nUMI_factorsInh_1,mean_nUMI_factorsInh_2,mean_nUMI_factorsInh_3,mean_nUMI_factorsInh_4,mean_nUMI_factorsInh_5,mean_nUMI_factorsInh_6,mean_nUMI_factorsInh_Lamp5,mean_nUMI_factorsInh_Meis2_1,mean_nUMI_factorsInh_Meis2_2,mean_nUMI_factorsInh_Meis2_3,mean_nUMI_factorsInh_Meis2_4,mean_nUMI_factorsInh_Pvalb,mean_nUMI_factorsInh_Sst,mean_nUMI_factorsInh_Vip,mean_nUMI_factorsLowQ_2,mean_nUMI_factorsMicro,mean_nUMI_factorsNb_1,mean_nUMI_factorsNb_2,mean_nUMI_factorsOPC_1,mean_nUMI_factorsOPC_2,mean_nUMI_factorsOligo_1,mean_nUMI_factorsOligo_2,mean_nUMI_factorsUnk_1
Spotx1,398.76361083984375,146.13668823242188,2390.29443359375,965.464599609375,240.0900421142578,282.3835754394531,135.15338134765625,107.74394226074219,111.89808654785156,108.34086608886719,141.5894317626953,146.6061553955078,133.04449462890625,244.22412109375,103.55480194091797,144.2945098876953,126.63414764404297,98.8930435180664,97.9654312133789,199.7315673828125,198.18028259277344,207.02468872070312,1559.692626953125,1572.2586669921875,671.6248168945312,245.3033447265625,832.9852294921875,888.7938842773438,230.73866271972656,107.12894439697266,153.54168701171875,689.6046142578125,797.4305419921875,221.86985778808594,229.57554626464844,286.46893310546875,258.3773498535156,178.33050537109375,36.02637481689453,149.31895446777344,714.1991577148438,107.6867904663086,135.69461059570312,112.50936126708984,102.53106689453125,63.967647552490234
Spotx2,18.701175689697266,21.372583389282227,19.0707950592041,22.830778121948242,21.571821212768555,237.46450805664062,189.90957641601562,271.62493896484375,186.8760528564453,169.6591339111328,194.19903564453125,254.577880859375,255.55169677734375,156.7231903076172,247.54945373535156,189.6016845703125,217.78903198242188,193.12814331054688,226.3592529296875,282.94775390625,237.82655334472656,371.81719970703125,5148.3876953125,447.865966796875,1106.40673828125,403.3644714355469,867.5068359375,483.49725341796875,440.4381103515625,396.7042541503906,270.0443115234375,1304.103759765625,2549.802734375,732.9493408203125,8494.5771484375,646.2506713867188,1441.760986328125,475.7451171875,27.380634307861328,182.99566650390625,139.74290466308594,82.6265869140625,70.07762145996094,264.9346923828125,102.4454116821289,142.87855529785156
Spotx3,97.12550354003906,106.02291870117188,94.90377807617188,64.88008117675781,237.92562866210938,330.6187438964844,237.6923370361328,1028.923583984375,300.1979064941406,254.8517303466797,189.24900817871094,178.80580139160156,509.0937194824219,366.7867126464844,739.2177734375,448.4107666015625,239.34915161132812,1245.0948486328125,178.1877899169922,440.3427734375,104.11311340332031,164.39126586914062,518.659423828125,595.7521362304688,339.4869689941406,237.1300048828125,399.77587890625,361.9784851074219,117.65989685058594,264.396728515625,148.01063537597656,675.9949340820312,2820.4072265625,475.6801452636719,3816.81884765625,1350.1488037109375,231.07054138183594,199.48362731933594,52.21754455566406,185.3561248779297,249.5789031982422,123.42960357666016,186.19479370117188,60.434478759765625,56.68972396850586,63.489219665527344
Spotx4,30.785390853881836,44.5588493347168,30.925580978393555,50.97792053222656,33.21661376953125,356.5437927246094,737.6396484375,282.0533752441406,302.7916259765625,384.1138000488281,184.57815551757812,172.53736877441406,655.3829345703125,518.1375732421875,888.9535522460938,7287.41357421875,870.3187866210938,581.6358032226562,425.40557861328125,1209.741455078125,534.334716796875,955.4092407226562,4052.98876953125,657.0216674804688,863.20556640625,637.4705810546875,1473.164794921875,412.3919677734375,417.0669250488281,154.47659301757812,904.036376953125,856.7886352539062,1101.528564453125,405.8294677734375,362.3250427246094,616.9949951171875,151.07676696777344,354.7588806152344,1321.5595703125,200.12867736816406,120.74219512939453,72.83788299560547,117.87738037109375,249.5387725830078,129.9104766845703,116.41610717773438
Spotx5,408.0319519042969,206.20321655273438,899.5826416015625,373.9149475097656,76.57381439208984,635.5557250976562,231.7736358642578,213.77638244628906,282.7441711425781,161.24642944335938,261.2712707519531,346.41217041015625,787.9669189453125,336.0632019042969,331.39013671875,234.7609100341797,163.30755615234375,641.927001953125,119.33195495605469,6398.29052734375,224.00106811523438,99.579345703125,103.23500061035156,130.20729064941406,121.60795593261719,84.39096069335938,102.50881958007812,136.7812042236328,141.23350524902344,209.5554962158203,81.06820678710938,1223.880615234375,4095.892333984375,139.06019592285156,395.2770080566406,2960.116455078125,180.43643188476562,147.50686645507812,62.93096160888672,67.25122833251953,75.46577453613281,58.3028678894043,118.2780532836914,72.28807830810547,66.72643280029297,63.05369186401367
Spotx6,39.070919036865234,45.709327697753906,53.2210807800293,49.95069885253906,45.184288024902344,576.519287109375,508.20770263671875,203.0208740234375,489.0284729003906,624.114990234375,380.53369140625,1503.260986328125,680.4542846679688,251.68975830078125,369.05902099609375,277.0328369140625,715.7435913085938,371.84075927734375,364.77093505859375,331.1152038574219,444.78997802734375,845.8477172851562,3507.001708984375,601.8247680664062,706.3438720703125,234.26235961914062,423.2799377441406,241.57774353027344,211.69944763183594,274.5540771484375,209.71224975585938,367.0157165527344,6827.5087890625,200.55560302734375,153.6666717529297,241.49551391601562,277.8323974609375,602.3017578125,34.05241775512695,240.4550018310547,103.58951568603516,4657.6484375,197.5703582763672,367.95318603515625,102.12456512451172,93.74703979492188
Spotx7,23.092443466186523,27.960002899169922,28.79146957397461,35.232723236083984,29.129560470581055,97.0587387084961,213.5423126220703,249.75311279296875,302.2991638183594,811.2232055664062,163.4273681640625,152.48731994628906,329.890625,279.0482177734375,798.5293579101562,12115.0390625,1277.939208984375,3457.43115234375,448.66131591796875,241.27813720703125,141.3599853515625,183.2279815673828,1465.0225830078125,163.90480041503906,235.8603057861328,156.39398193359375,210.60824584960938,237.12774658203125,120.77565002441406,237.8496551513672,126.79498291015625,133.6554718017578,112.86929321289062,254.36373901367188,719.0453491210938,482.3041076660156,196.85134887695312,305.2746887207031,58.95853042602539,146.69454956054688,71.35286712646484,47.51005172729492,49.55769348144531,46.47495651245117,53.68195724487305,62.914039611816406
Spotx8,248.2957000732422,247.62525939941406,1319.728759765625,1494.31396484375,181.2832794189453,750.5087890625,625.1214599609375,389.9925537109375,1211.2166748046875,5100.2265625,512.3848876953125,820.7769775390625,222.35763549804688,225.3223114013672,398.6209411621094,289.2855224609375,248.39208984375,198.3728790283203,289.56195068359375,451.7078857421875,148.0123291015625,178.9826202392578,206.69625854492188,1144.1083984375,2253.7314453125,2968.16552734375,3645.011474609375,496.581298828125,384.9527282714844,348.5194396972656,302.5075988769531,484.9632263183594,2173.585205078125,476.733642578125,312.5942687988281,315.77923583984375,566.4960327148438,380.1353454589844,41.824459075927734,399.3911437988281,141.4530029296875,273.93402099609375,145.66087341308594,162.04588317871094,206.9109344482422,119.49491882324219
Spotx9,110.38160705566406,130.26068115234375,125.1259994506836,547.1482543945312,60.97147750854492,207.67796325683594,183.5596160888672,175.21446228027344,185.13209533691406,261.4286193847656,200.54298400878906,239.5063018798828,239.5764617919922,211.19577026367188,1184.8272705078125,370.64532470703125,823.0369873046875,316.0819396972656,17186.90625,225.40049743652344,273.4048156738281,399.1459655761719,2901.177978515625,274.9462585449219,1289.08935546875,513.918701171875,626.4589233398438,285.64996337890625,334.2421569824219,369.6766052246094,120.22699737548828,134.33546447753906,134.13658142089844,308.3590087890625,852.80224609375,398.93084716796875,836.3428344726562,1861.9949951171875,51.636260986328125,162.72671508789062,103.31558227539062,197.3346405029297,141.60792541503906,201.83010864257812,148.10745239257812,84.67186737060547
Spotx10,147.8415069580078,194.7583770751953,236.2021026611328,110.4355239868164,72.9386978149414,70.74916076660156,95.6686782836914,317.45745849609375,112.39582061767578,114.2441177368164,123.45098876953125,134.75350952148438,146.31959533691406,91.69157409667969,115.02969360351562,162.52059936523438,105.47696685791016,103.07032012939453,346.0963134765625,127.37254333496094,257.0124816894531,1037.461669921875,3750.507080078125,214.61029052734375,264.73968505859375,107.15138244628906,209.37208557128906,292.394287109375,179.34046936035156,169.62887573242188,68.95829010009766,112.16058349609375,74.85397338867188,107.63336181640625,1112.4022216796875,632.0135498046875,883.8594970703125,94.29647827148438,30.924114227294922,112.54686737060547,81.29891967773438,65.08061981201172,58.11228942871094,45.911041259765625,50.651214599609375,61.63288879394531
