,q05_nUMI_factorsAstro_0,q05_nUMI_factorsAstro_1,q05_nUMI_factorsAstro_2,q05_nUMI_factorsAstro_3,q05_nUMI_factorsAstro_4,q05_nUMI_factorsExt_Amy_1,q05_nUMI_factorsExt_Amy_2,q05_nUMI_factorsExt_ClauPyr,q05_nUMI_factorsExt_Hpc_1,q05_nUMI_factorsExt_Hpc_2,q05_nUMI_factorsExt_Hpc_3,q05_nUMI_factorsExt_Hpc_4,q05_nUMI_factorsExt_L23,q05_nUMI_factorsExt_L25,q05_nUMI_factorsExt_L56,q05_nUMI_factorsExt_L5_1,q05_nUMI_factorsExt_L5_2,q05_nUMI_factorsExt_L6,q05_nUMI_factorsExt_L6B,q05_nUMI_factorsExt_Pir,q05_nUMI_factorsExt_Thal_1,q05_nUMI_factorsExt_Thal_2,q05_nUMI_factorsExt_Unk_3,q05_nUMI_factorsInh_1,q05_nUMI_factorsInh_2,q05_nUMI_factorsInh_3,q05_nUMI_factorsInh_4,q05_nUMI_factorsInh_5,q05_nUMI_factorsInh_6,q05_nUMI_factorsInh_Lamp5,q05_nUMI_factorsInh_Meis2_1,q05_nUMI_factorsInh_Meis2_2,q05_nUMI_factorsInh_Meis2_3,q05_nUMI_factorsInh_Meis2_4,q05_nUMI_factorsInh_Pvalb,q05_nUMI_factorsInh_Sst,q05_nUMI_factorsInh_Vip,q05_nUMI_factorsLowQ_2,q05_nUMI_factorsMicro,q05_nUMI_factorsNb_1,q05_nUMI_factorsNb_2,q05_nUMI_factorsOPC_1,q05_nUMI_factorsOPC_2,q05_nUMI_factorsOligo_1,q05_nUMI_factorsOligo_2,q05_nUMI_factorsUnk_1
Spotx1,205.91819076538084,36.6944278717041,2134.6668701171875,757.8480072021484,100.11055068969726,127.92102546691895,32.46184883117676,27.99311943054199,32.581045913696286,24.99351215362549,37.151899337768555,47.429311752319336,36.377064132690435,90.1788516998291,22.930842113494872,42.22693920135498,36.11919403076172,15.344044971466065,21.698460197448732,58.73250541687012,84.71081047058105,76.46338577270507,1287.3812438964842,1306.59033203125,438.7599380493164,96.35761184692383,553.3102752685546,629.1814208984375,96.63723640441896,23.512452793121337,47.68386440277099,470.34949340820316,579.0003601074219,94.71255416870117,83.09704551696778,120.47741508483887,92.89285736083986,65.06393280029296,7.500663113594055,34.382328033447266,517.1839294433594,32.237121200561525,49.46625595092774,40.645107650756835,32.72280864715576,14.306892108917237
Spotx2,3.9183390021324156,3.6908223152160646,3.307668602466583,5.160243535041809,3.846760702133179,72.81446113586425,45.22731857299805,87.95737991333007,42.00612392425537,35.68443069458008,61.82441921234131,71.72129402160645,95.55406455993652,47.227312850952146,76.20320701599121,48.50176429748535,63.75464572906495,51.66187992095947,69.38516731262207,101.44828834533692,81.571821975708,156.18658981323244,4788.665014648437,153.53238906860352,761.6338867187501,155.87833938598632,550.7511047363281,202.7167091369629,189.01785278320312,162.45129776000977,77.90078468322756,933.1050018310548,2214.1726684570312,417.566616821289,8059.626220703125,342.9495483398438,1116.9021118164062,238.87140579223632,4.837414050102234,61.089066123962404,37.28523750305176,20.808809661865233,11.870111131668091,122.85054588317871,28.08419361114502,41.33298664093018
Spotx3,29.507542514801028,39.239281272888185,25.996697330474852,16.051070976257325,128.33840713500976,135.92472534179686,87.57212257385254,759.6054321289063,135.23671646118166,94.64018363952637,42.98713893890381,51.153227996826175,276.7334899902344,184.3205680847168,500.52888336181644,214.96771621704104,72.15324401855469,943.4266632080078,62.17491340637207,215.6025619506836,28.466061878204346,35.01716823577881,322.15536804199223,362.22884368896484,145.1077247619629,84.83022880554199,200.57445373535157,176.25737075805665,28.13894195556641,90.8712184906006,42.113544654846194,433.446142578125,2485.581640625,260.22235107421875,3441.058947753906,1056.7761474609374,94.74101066589355,61.14252548217774,14.717030048370361,60.48669223785401,126.60721473693847,31.62410440444946,80.37711334228516,14.933828449249267,13.01666350364685,12.089624929428101
Spotx4,5.968411707878113,9.05457353591919,4.9707076311111456,10.555822420120238,6.09702684879303,120.88966789245606,394.3345062255859,105.42602500915528,108.18384666442871,102.74304847717285,45.28120021820069,52.707115745544435,321.4315490722656,249.21858444213868,575.7825622558594,6783.288623046875,520.4097534179688,260.24653778076174,185.04467391967773,770.6302459716796,282.4562225341797,597.6826416015624,3644.4202270507812,328.4489028930664,487.3782699584961,304.2130401611328,1069.2205200195312,177.2059211730957,217.9766082763672,42.076860427856445,556.086703491211,549.786932373047,745.2162017822266,159.2301025390625,116.51142158508301,271.8728454589844,25.542130374908446,129.80184326171874,1130.6310180664063,63.39759712219239,36.08025894165039,15.476596689224243,37.7761043548584,116.99361038208008,39.95967350006104,24.293290328979495
Spotx5,245.57464599609375,72.65277099609375,675.2314331054688,216.77573318481444,12.754147291183472,349.41035919189454,78.75964126586915,65.38223648071289,101.10091590881348,48.211816978454586,90.19798469543457,141.00112762451175,512.5899856567382,119.68665199279786,124.30761642456055,66.2485221862793,42.80469627380371,360.86101226806636,31.60778694152832,5922.214282226563,58.55386581420898,26.67617979049683,23.86715774536133,23.718347644805906,33.20390453338623,15.905452537536622,18.523266887664796,35.594329833984375,38.61886444091797,70.05954856872559,16.64834175109863,883.4224243164062,3714.779833984375,40.54717445373535,200.95536880493165,2619.1057006835936,46.31625728607178,47.27204914093018,20.368428230285645,15.34622073173523,19.236332416534427,12.213379669189454,28.164686012268064,18.91037549972534,18.33970441818237,13.991580677032472
Spotx6,7.0696881294250495,8.647575235366823,13.929865789413453,7.188342428207397,9.8469078540802,260.35397186279295,228.4386947631836,47.653797531127935,245.5725975036621,333.6311004638672,150.99623641967776,1190.5944946289062,365.1987808227539,72.45496864318848,146.7921272277832,104.9564968109131,375.30500946044924,140.4538162231445,157.38642349243162,115.65986557006836,223.07029037475587,536.1241333007813,3080.3757568359374,346.7475234985352,374.4204727172852,58.89765300750732,179.58559188842773,85.55905647277832,76.57935180664063,104.36211700439452,60.153133964538576,138.9028678894043,6412.138085937499,61.155254173278806,45.56353950500488,66.04040718078613,110.58206176757812,340.3740005493164,7.378248453140259,92.26602478027344,31.6162055015564,4269.282739257813,82.23413391113282,218.1264877319336,31.961589813232422,19.06931800842285
Spotx7,4.204069328308106,5.73569278717041,4.646470260620117,6.64728388786316,5.941815996170044,20.383922767639163,76.25934295654297,68.88399581909181,113.76918258666993,503.13165588378905,43.638681221008305,42.33393230438233,140.78104400634766,86.95788192749023,469.2073516845703,11746.017138671876,948.774282836914,3078.4542602539063,199.5486785888672,62.83943557739258,36.73020515441895,57.185396385192874,1184.847216796875,35.02612133026123,86.60370140075685,46.36018047332764,61.93678989410401,84.92018814086914,28.37161283493042,98.4982593536377,40.18939914703369,26.720227813720705,21.39703540802002,97.5937286376953,466.60899505615237,227.48319625854492,56.11538925170898,122.86841583251953,26.313311004638674,37.6711009979248,18.42183847427368,9.099211645126344,8.418558740615845,9.658146095275878,14.873060417175294,13.291258001327515
Spotx8,87.48796577453614,81.40765647888183,994.7666290283204,1154.3775451660158,48.775608444213866,438.89952087402344,293.09269256591796,189.53660583496097,806.0004577636719,4676.679028320312,251.1965156555176,509.17771453857426,59.753221130371095,70.52789611816405,157.28705444335938,99.1556495666504,74.8907341003418,52.4814416885376,78.76348495483398,153.24147872924806,35.463987159729,58.155388641357426,48.38059558868408,778.4010345458985,1836.6205017089844,2520.118408203125,3166.3220092773436,227.01056442260744,176.6215377807617,125.66124420166017,131.56314697265626,201.6864486694336,1798.2158935546875,251.085457611084,122.00069313049316,109.53784790039063,275.56679077148436,142.82806396484375,10.043454742431642,165.0998878479004,42.212932395935056,101.55437126159669,40.68503875732422,59.21973991394043,87.83033409118651,26.315254306793214
Spotx9,31.597667694091797,38.736589431762695,32.03888378143311,370.45486602783205,10.947796773910522,58.903964042663574,41.22189788818359,53.008458328247066,43.707335472106934,63.2394380569458,69.13585929870605,93.325239944458,63.485899734497075,48.557960510253906,811.7062164306641,139.84081573486327,449.78145904541014,98.88269767761231,16690.31962890625,62.852196884155276,71.40836791992187,163.51836776733398,2493.0351928710934,90.19318084716798,908.9502868652344,222.0104133605957,338.1968170166016,110.12829551696778,136.8031135559082,158.65763168334962,23.752824687957762,30.44726505279541,30.683809852600096,109.46154289245607,543.9359283447266,159.446484375,534.6241088867188,1429.7007629394532,11.683268356323241,48.11570568084717,18.5471022605896,49.82932624816895,42.30833969116211,94.33889503479003,51.39075527191162,20.04609022140503
Spotx10,66.10135269165039,100.95077781677246,146.16226501464845,40.98553676605225,27.50233402252197,18.225906085968017,25.252449703216552,140.2030143737793,32.617859077453616,33.8600513458252,38.33014392852783,50.0623125076294,37.656098175048825,25.517801761627197,30.135743618011478,51.61794948577881,25.739856147766115,26.027740764617917,183.45194778442385,39.82139549255371,124.11398391723633,786.3191375732422,3509.3984619140624,82.1841968536377,128.40767860412598,28.56795597076416,68.4281234741211,137.024503326416,66.14624519348145,63.06336669921875,10.89004807472229,27.430598354339597,17.293299007415772,35.24183254241943,916.0554840087891,420.2951675415039,651.896939086914,21.986482810974124,9.064276123046875,36.62227115631104,22.81996955871582,13.897154712677002,17.708818244934083,11.770851039886475,14.581704425811768,11.94707956314087
