,mean_nUMI_factorsAstro_0,mean_nUMI_factorsAstro_1,mean_nUMI_factorsAstro_2,mean_nUMI_factorsAstro_3,mean_nUMI_factorsAstro_4,mean_nUMI_factorsExt_Amy_1,mean_nUMI_factorsExt_Amy_2,mean_nUMI_factorsExt_ClauPyr,mean_nUMI_factorsExt_Hpc_1,mean_nUMI_factorsExt_Hpc_2,mean_nUMI_factorsExt_Hpc_3,mean_nUMI_factorsExt_Hpc_4,mean_nUMI_factorsExt_L23,mean_nUMI_factorsExt_L25,mean_nUMI_factorsExt_L56,mean_nUMI_factorsExt_L5_1,mean_nUMI_factorsExt_L5_2,mean_nUMI_factorsExt_L6,mean_nUMI_factorsExt_L6B,mean_nUMI_factorsExt_Pir,mean_nUMI_factorsExt_Thal_1,mean_nUMI_factorsExt_Thal_2,mean_nUMI_factorsExt_Unk_3,mean_nUMI_factorsInh_1,mean_nUMI_factorsInh_2,mean_nUMI_factorsInh_3,mean_nUMI_factorsInh_4,mean_nUMI_factorsInh_5,mean_nUMI_factorsInh_6,mean_nUMI_factorsInh_Lamp5,mean_nUMI_factorsInh_Meis2_1,mean_nUMI_factorsInh_Meis2_2,mean_nUMI_factorsInh_Meis2_3,mean_nUMI_factorsInh_Meis2_4,mean_nUMI_factorsInh_Pvalb,mean_nUMI_factorsInh_Sst,mean_nUMI_factorsInh_Vip,mean_nUMI_factorsLowQ_2,mean_nUMI_factorsMicro,mean_nUMI_factorsNb_1,mean_nUMI_factorsNb_2,mean_nUMI_factorsOPC_1,mean_nUMI_factorsOPC_2,mean_nUMI_factorsOligo_1,mean_nUMI_factorsOligo_2,mean_nUMI_factorsUnk_1
Spotx1,987.1885375976562,158.68341064453125,2237.12548828125,765.7998657226562,313.8162841796875,44.81443405151367,21.479001998901367,15.140313148498535,17.463048934936523,25.200727462768555,34.524166107177734,36.7875862121582,29.435298919677734,94.46018981933594,28.92184066772461,40.896976470947266,20.804349899291992,25.171772003173828,18.553447723388672,30.883440017700195,75.12532806396484,50.83972930908203,2604.53564453125,2059.563720703125,213.9509735107422,96.53495788574219,1390.357421875,800.386474609375,60.177188873291016,27.169189453125,126.81682586669922,384.8619689941406,2080.7734375,33.46578598022461,520.536376953125,65.90583038330078,64.88264465332031,47.04212951660156,14.468193054199219,45.3309440612793,723.8594360351562,48.86346435546875,21.477863311767578,27.917680740356445,43.731224060058594,47.24077224731445
Spotx2,4.575640678405762,6.946292877197266,4.704771518707275,5.746372222900391,8.783205032348633,41.40704345703125,35.064453125,36.15052032470703,29.392513275146484,17.4215145111084,62.87848663330078,64.48245239257812,63.611358642578125,58.224647521972656,61.06505584716797,39.11472702026367,29.936384201049805,43.121376037597656,44.96446990966797,45.83818435668945,74.73812866210938,100.34371948242188,6969.05615234375,179.56295776367188,443.3604431152344,225.12733459472656,2467.513916015625,129.032470703125,212.43896484375,51.97719955444336,263.49853515625,802.375244140625,4771.00341796875,254.33767700195312,10249.4677734375,114.46487426757812,1406.7193603515625,171.01922607421875,8.749621391296387,115.77619171142578,77.08116149902344,29.601146697998047,8.4426851272583,57.1043701171875,63.01133728027344,181.7675323486328
Spotx3,82.18912506103516,48.40229034423828,84.57794189453125,25.08064079284668,489.719482421875,74.36530303955078,42.59309768676758,468.2278137207031,101.73098754882812,51.27016067504883,40.35033416748047,46.35152053833008,110.86862182617188,227.92356872558594,717.1996459960938,90.16815185546875,33.47783279418945,1976.7896728515625,33.12264633178711,89.82770538330078,26.968891143798828,25.504629135131836,1719.7430419921875,1463.8868408203125,86.58767700195312,91.30557250976562,206.2389678955078,140.90528869628906,57.49958419799805,36.587520599365234,129.14317321777344,176.28384399414062,4871.93359375,100.40631103515625,5091.94873046875,1093.526611328125,35.79634094238281,48.85818099975586,27.678768157958984,95.45111083984375,326.451416015625,36.59793472290039,33.03527069091797,9.101086616516113,15.653400421142578,42.79193115234375
Spotx4,12.565951347351074,21.989538192749023,15.305543899536133,19.141443252563477,25.42290496826172,86.9415512084961,154.59222412109375,76.0301742553711,67.43416595458984,66.7822265625,62.203128814697266,67.45602416992188,134.71493530273438,186.3854217529297,423.721923828125,9301.0810546875,161.8880157470703,118.95377349853516,101.95486450195312,440.2060546875,270.5967102050781,530.8589477539062,6441.26318359375,376.4924011230469,387.3225402832031,431.05999755859375,3167.988037109375,222.62049865722656,232.55911254882812,48.658199310302734,1491.416015625,280.6108703613281,3845.075927734375,72.33415985107422,1150.437255859375,165.5894775390625,56.64076614379883,158.6959228515625,1483.38916015625,193.28126525878906,112.62757873535156,26.679224014282227,26.361391067504883,64.16232299804688,98.0711441040039,163.72003173828125
Spotx5,707.5528564453125,140.6106414794922,1151.699951171875,153.75636291503906,52.63959503173828,309.8402099609375,30.438352584838867,36.75233840942383,40.51192855834961,21.652202606201172,73.71039581298828,62.99973678588867,262.5549011230469,136.31988525390625,82.53829193115234,62.23262023925781,19.906116485595703,297.1517333984375,21.60873794555664,7547.6591796875,176.96974182128906,10.305449485778809,31.2034969329834,43.19305419921875,17.307111740112305,27.255752563476562,25.505329132080078,38.64812088012695,33.22433853149414,26.426570892333984,82.64997863769531,773.2020263671875,6373.259765625,31.56385612487793,1015.2420654296875,3642.030517578125,37.71510696411133,72.58318328857422,40.57122039794922,21.496747970581055,45.21860122680664,15.968953132629395,9.755349159240723,8.362481117248535,13.563400268554688,48.59318923950195
Spotx6,16.042905807495117,25.351085662841797,23.009878158569336,18.524738311767578,41.53089141845703,143.24221801757812,145.65176391601562,63.7607421875,117.13645935058594,182.57498168945312,143.62896728515625,1868.433349609375,239.2017822265625,220.1041717529297,164.95071411132812,131.95712280273438,228.94488525390625,110.03157806396484,112.6540298461914,96.24630737304688,195.939453125,616.307373046875,5775.9150390625,631.0542602539062,351.8971252441406,164.203369140625,909.10302734375,125.45186614990234,81.26882934570312,110.95612335205078,280.4872131347656,145.36727905273438,9705.34375,42.98733139038086,480.9637145996094,87.60697937011719,98.94647979736328,622.0863647460938,12.939956665039062,233.75624084472656,93.27283477783203,5208.88427734375,25.89575958251953,203.05392456054688,58.49114990234375,124.02668762207031
Spotx7,6.368607521057129,5.641208171844482,10.125673294067383,5.027523994445801,12.45854377746582,19.241226196289062,45.0080451965332,26.4018497467041,45.532779693603516,678.650634765625,17.900344848632812,30.053653717041016,35.21299743652344,48.75846481323242,650.9786376953125,13767.4814453125,1282.6614990234375,4081.6396484375,80.8573989868164,31.08626365661621,44.21317672729492,65.13270568847656,2971.909423828125,57.68026351928711,99.66999053955078,65.62445831298828,339.82208251953125,54.24809646606445,49.545616149902344,50.30998992919922,245.63771057128906,43.88397216796875,378.1825866699219,40.853599548339844,1931.4569091796875,103.92181396484375,55.024959564208984,133.9288787841797,59.34234619140625,111.8421401977539,58.53424072265625,23.247209548950195,3.5719258785247803,5.305221080780029,12.5633544921875,37.08723831176758
Spotx8,686.5449829101562,300.9982604980469,1567.313720703125,1177.07470703125,259.5194091796875,229.95863342285156,148.3833465576172,147.5615692138672,530.0757446289062,5508.67919921875,236.79010009765625,881.0977783203125,62.41217803955078,129.40342712402344,137.79673767089844,95.27845764160156,44.30305480957031,57.66976547241211,70.32958221435547,114.46871948242188,89.81808471679688,73.10067749023438,494.4184875488281,1030.2198486328125,1756.628173828125,3987.02294921875,5184.64794921875,151.4942169189453,163.64450073242188,111.91596984863281,429.3675537109375,155.99957275390625,4639.09521484375,146.00811767578125,1243.8050537109375,97.35260009765625,274.9784851074219,161.44187927246094,25.28974723815918,263.1279602050781,157.59083557128906,200.49295043945312,31.208473205566406,44.3792610168457,131.08206176757812,166.8675537109375
Spotx9,208.7160186767578,100.8400650024414,260.2349548339844,621.0316162109375,44.2572135925293,53.028011322021484,32.6541633605957,34.07131576538086,36.763179779052734,35.47573471069336,62.565406799316406,118.01791381835938,49.62883377075195,65.26129913330078,1135.7935791015625,107.99633026123047,425.0295104980469,77.74855041503906,17419.3359375,59.09809112548828,73.73458862304688,196.85366821289062,4651.90576171875,137.6678924560547,551.1113891601562,603.6209716796875,2708.48779296875,149.5750732421875,125.53739929199219,120.75933074951172,170.26339721679688,53.809024810791016,106.6432113647461,74.9176025390625,2122.919189453125,86.34727478027344,463.6189270019531,1902.5416259765625,19.223018646240234,140.517822265625,53.40829086303711,175.99203491210938,20.15858268737793,34.12276840209961,113.27458953857422,93.76818084716797
Spotx10,183.44544982910156,275.1695556640625,400.8216247558594,37.50343704223633,46.50423812866211,13.853260040283203,14.702908515930176,273.0535583496094,14.944808959960938,15.787095069885254,34.58213424682617,36.64408493041992,40.304718017578125,35.228721618652344,19.671566009521484,39.91681671142578,8.58171272277832,22.822141647338867,327.05780029296875,32.80500793457031,58.17637634277344,1039.4410400390625,4840.890625,172.82289123535156,71.49109649658203,55.00193405151367,561.9127197265625,100.84191131591797,45.58014678955078,37.685001373291016,45.7211799621582,41.86965560913086,243.8970184326172,15.97591781616211,1985.10107421875,431.1175231933594,961.19091796875,15.939475059509277,13.511774063110352,95.49540710449219,32.57554244995117,23.724685668945312,6.159623146057129,5.223433494567871,21.934377670288086,44.11985397338867
