,mean_spot_factorsAstro_0,mean_spot_factorsAstro_1,mean_spot_factorsAstro_2,mean_spot_factorsAstro_3,mean_spot_factorsAstro_4,mean_spot_factorsExt_Amy_1,mean_spot_factorsExt_Amy_2,mean_spot_factorsExt_ClauPyr,mean_spot_factorsExt_Hpc_1,mean_spot_factorsExt_Hpc_2,mean_spot_factorsExt_Hpc_3,mean_spot_factorsExt_Hpc_4,mean_spot_factorsExt_L23,mean_spot_factorsExt_L25,mean_spot_factorsExt_L56,mean_spot_factorsExt_L5_1,mean_spot_factorsExt_L5_2,mean_spot_factorsExt_L6,mean_spot_factorsExt_L6B,mean_spot_factorsExt_Pir,mean_spot_factorsExt_Thal_1,mean_spot_factorsExt_Thal_2,mean_spot_factorsExt_Unk_3,mean_spot_factorsInh_1,mean_spot_factorsInh_2,mean_spot_factorsInh_3,mean_spot_factorsInh_4,mean_spot_factorsInh_5,mean_spot_factorsInh_6,mean_spot_factorsInh_Lamp5,mean_spot_factorsInh_Meis2_1,mean_spot_factorsInh_Meis2_2,mean_spot_factorsInh_Meis2_3,mean_spot_factorsInh_Meis2_4,mean_spot_factorsInh_Pvalb,mean_spot_factorsInh_Sst,mean_spot_factorsInh_Vip,mean_spot_factorsLowQ_2,mean_spot_factorsMicro,mean_spot_factorsNb_1,mean_spot_factorsNb_2,mean_spot_factorsOPC_1,mean_spot_factorsOPC_2,mean_spot_factorsOligo_1,mean_spot_factorsOligo_2,mean_spot_factorsUnk_1
Spotx1,0.7433735728263855,0.12425699084997177,1.0881057977676392,0.45302197337150574,0.36751407384872437,0.008059913292527199,0.002899982500821352,0.0035010024439543486,0.00444338982924819,0.0024035279639065266,0.01231970451772213,0.012194407172501087,0.0048672715201973915,0.013699362054467201,0.0038392972201108932,0.0037214327603578568,0.003403358394280076,0.0034976026508957148,0.002967233769595623,0.0051910593174397945,0.012138462625443935,0.008865171112120152,0.4089314043521881,0.45507702231407166,0.06860195100307465,0.022084388881921768,0.2626633942127228,0.15931357443332672,0.017875220626592636,0.004891067277640104,0.051797352731227875,0.09563595801591873,0.49649539589881897,0.005199226550757885,0.10072824358940125,0.013897349126636982,0.014091473072767258,0.010907829739153385,0.019398527219891548,0.02954382263123989,0.5852811932563782,0.028306614607572556,0.006335324142128229,0.014465069398283958,0.042866166681051254,0.05921806022524834
Spotx2,0.004751003347337246,0.003934985026717186,0.002231624675914645,0.0030590782407671213,0.015543665736913681,0.005942768417298794,0.005936554167419672,0.005828352179378271,0.006045626942068338,0.004133334383368492,0.017428291961550713,0.011913116089999676,0.007618694566190243,0.01511416770517826,0.011070982553064823,0.005173472687602043,0.003582705045118928,0.008273584768176079,0.005284610204398632,0.007715510204434395,0.010888060554862022,0.014619791880249977,1.0818406343460083,0.04370012506842613,0.08839401602745056,0.08313147723674774,0.47647717595100403,0.01939755491912365,0.044513553380966187,0.023252243176102638,0.09577487409114838,0.2177545428276062,1.097144603729248,0.05717558413743973,1.932428002357483,0.02073558419942856,0.35887303948402405,0.0401139035820961,0.009924872778356075,0.059999629855155945,0.08328698575496674,0.01528365258127451,0.0027472733054310083,0.01599280536174774,0.05548335239291191,0.22089789807796478
Spotx3,0.06787091493606567,0.03946841508150101,0.037975605577230453,0.01365904975682497,0.5430294871330261,0.01821145787835121,0.00604553846642375,0.13912329077720642,0.016825290396809578,0.006123646628111601,0.012879867106676102,0.010558094829320908,0.01546204462647438,0.04656533896923065,0.14737428724765778,0.014959704130887985,0.004813036881387234,0.29404109716415405,0.0049474225379526615,0.0111088240519166,0.003621900686994195,0.004191847983747721,0.27120307087898254,0.2690613567829132,0.017516963183879852,0.03181242197751999,0.05438084527850151,0.035646237432956696,0.011947664432227612,0.011399461887776852,0.05007127299904823,0.04046428203582764,1.1512541770935059,0.016862863674759865,0.9384304881095886,0.2546972334384918,0.007374849170446396,0.014802997931838036,0.029317224398255348,0.05575736239552498,0.27738264203071594,0.01622004806995392,0.008392498828470707,0.0036654274445027113,0.014371511526405811,0.06187085807323456
Spotx4,0.00852889847010374,0.023703083395957947,0.007017267402261496,0.012422651052474976,0.023821627721190453,0.01778525672852993,0.025455690920352936,0.017205027863383293,0.013724222779273987,0.011596478521823883,0.027084486559033394,0.017608918249607086,0.030013253912329674,0.0450284443795681,0.0867292508482933,1.3981112241744995,0.017984600737690926,0.02177412062883377,0.0161309652030468,0.1099311038851738,0.03246358409523964,0.08516046404838562,1.0140186548233032,0.07265732437372208,0.1271054595708847,0.2038683444261551,0.4582696557044983,0.050407618284225464,0.0510365329682827,0.009079025126993656,0.49363791942596436,0.07821812480688095,0.8706702589988708,0.019919518381357193,0.2117111086845398,0.028151387348771095,0.01496353093534708,0.03414739668369293,1.7030218839645386,0.12554305791854858,0.10963080823421478,0.01745184138417244,0.012266919948160648,0.02319246530532837,0.08130961656570435,0.19350998103618622
Spotx5,0.577364981174469,0.14331123232841492,0.5638754367828369,0.07773583382368088,0.05602094531059265,0.08447636663913727,0.007243857719004154,0.009295579977333546,0.006865191273391247,0.003125153947621584,0.027453141286969185,0.014070352539420128,0.06480788439512253,0.02930866740643978,0.0155875775963068,0.00986841507256031,0.004226090852171183,0.072525255382061,0.002938629128038883,1.1265932321548462,0.021069971844553947,0.0034672264009714127,0.006292589008808136,0.010048812255263329,0.004120539408177137,0.010146848857402802,0.00537500437349081,0.006585785653442144,0.013144506141543388,0.006194605026394129,0.02635776624083519,0.28329935669898987,1.4474256038665771,0.004683865234255791,0.18347130715847015,0.7598389983177185,0.010428076609969139,0.01375719252973795,0.039206165820360184,0.012076943181455135,0.033865105360746384,0.009179065935313702,0.0033269072882831097,0.0030404392164200544,0.00917068962007761,0.046252381056547165
Spotx6,0.013469602912664413,0.018358992412686348,0.008102280087769032,0.016149010509252548,0.044357363134622574,0.027768652886152267,0.019241206347942352,0.0060251690447330475,0.01888885535299778,0.015087490901350975,0.047387607395648956,0.5142601728439331,0.05181201547384262,0.03993196412920952,0.03177264705300331,0.021782997995615005,0.036797553300857544,0.017502808943390846,0.015190639533102512,0.016822660341858864,0.027955422177910805,0.12244400382041931,0.8866992592811584,0.1233174055814743,0.05078338459134102,0.05496607720851898,0.166406512260437,0.0294911228120327,0.02015013061463833,0.022797035053372383,0.10603852570056915,0.03834855556488037,2.2650983333587646,0.00879359245300293,0.0934365913271904,0.020504776388406754,0.02171873115003109,0.14820975065231323,0.019859585911035538,0.14317311346530914,0.0870233029127121,2.76686429977417,0.011753594502806664,0.07567525655031204,0.0525764524936676,0.15975315868854523
Spotx7,0.003611887339502573,0.005742982029914856,0.006585833616554737,0.006127201486378908,0.01187706645578146,0.002923000603914261,0.004265814553946257,0.003955680876970291,0.00936528854072094,0.07811319082975388,0.012952253222465515,0.007183639798313379,0.009539049118757248,0.012566564604640007,0.1280502825975418,2.183682918548584,0.15939609706401825,0.6383912563323975,0.016079016029834747,0.004299955442547798,0.00420945743098855,0.011656087823212147,0.4783117175102234,0.015770651400089264,0.017053397372364998,0.024692950770258904,0.05759069696068764,0.007772101555019617,0.008575672283768654,0.007962352596223354,0.08619621396064758,0.008378298953175545,0.0788191631436348,0.006979153957217932,0.3697025775909424,0.022771161049604416,0.017848217859864235,0.03747953101992607,0.06657644361257553,0.0738401785492897,0.04082952067255974,0.004425025079399347,0.001414401805959642,0.003772362833842635,0.00607288395985961,0.04388340562582016
Spotx8,0.5424166321754456,0.22954462468624115,0.72116619348526,0.587140679359436,0.2673083543777466,0.036193158477544785,0.024830035865306854,0.027919655665755272,0.09462010115385056,0.7378495931625366,0.09874428808689117,0.2393319308757782,0.00903988629579544,0.023736510425806046,0.033853206783533096,0.013261303305625916,0.007435099221765995,0.011159385554492474,0.011126425117254257,0.014236876741051674,0.010130205191671848,0.007799876853823662,0.07122506201267242,0.15298986434936523,0.36464354395866394,1.2367382049560547,1.0948147773742676,0.023769883438944817,0.040587179362773895,0.026723025366663933,0.1507660150527954,0.03380262851715088,1.108492136001587,0.02469039522111416,0.21632997691631317,0.02081940323114395,0.06181243434548378,0.03544963523745537,0.02751259319484234,0.16200082004070282,0.10157562792301178,0.1072058379650116,0.013662830926477909,0.01718680001795292,0.10568979382514954,0.23126330971717834
Spotx9,0.1097060963511467,0.055723849684000015,0.10995756089687347,0.36984094977378845,0.04671521857380867,0.010853302665054798,0.005199715960770845,0.006613591685891151,0.005687630735337734,0.005975480657070875,0.0226287841796875,0.038260169327259064,0.008286637254059315,0.02045571058988571,0.1994258612394333,0.01824983023107052,0.03493217006325722,0.011522640474140644,2.6768250465393066,0.01474413275718689,0.01186112780123949,0.029481491073966026,0.7498883605003357,0.030128927901387215,0.16414310038089752,0.18409889936447144,0.4440341293811798,0.01653563603758812,0.049903564155101776,0.026183879002928734,0.04060310497879982,0.012525297701358795,0.028212744742631912,0.010711582377552986,0.39899885654449463,0.01981227472424507,0.11829324066638947,0.44590994715690613,0.020189249888062477,0.07728929817676544,0.04342442750930786,0.0773017629981041,0.005752759985625744,0.010858607478439808,0.09538524597883224,0.13451212644577026
Spotx10,0.1051165908575058,0.2624755799770355,0.19277125597000122,0.01557974610477686,0.03916054964065552,0.0014902078546583652,0.0026448690332472324,0.05796632543206215,0.0035046956036239862,0.002299200277775526,0.007676264736801386,0.0076247407123446465,0.005231162998825312,0.006174473557621241,0.0029528934974223375,0.005112849175930023,0.0011011394672095776,0.002871165284886956,0.02516799233853817,0.0027771980967372656,0.008300564251840115,0.1808171272277832,0.754576563835144,0.028300916776061058,0.011892091482877731,0.020203465595841408,0.08499207347631454,0.014515243470668793,0.00972820445895195,0.009013808332383633,0.011522001586854458,0.0077096763998270035,0.08519580215215683,0.002329501323401928,0.3484233319759369,0.12518280744552612,0.23435989022254944,0.004520524758845568,0.014982003718614578,0.06462853401899338,0.023179804906249046,0.010359206236898899,0.003419833490625024,0.0024277344346046448,0.01442564744502306,0.047161128371953964
