,q05_spot_factorsAstro_0,q05_spot_factorsAstro_1,q05_spot_factorsAstro_2,q05_spot_factorsAstro_3,q05_spot_factorsAstro_4,q05_spot_factorsExt_Amy_1,q05_spot_factorsExt_Amy_2,q05_spot_factorsExt_ClauPyr,q05_spot_factorsExt_Hpc_1,q05_spot_factorsExt_Hpc_2,q05_spot_factorsExt_Hpc_3,q05_spot_factorsExt_Hpc_4,q05_spot_factorsExt_L23,q05_spot_factorsExt_L25,q05_spot_factorsExt_L56,q05_spot_factorsExt_L5_1,q05_spot_factorsExt_L5_2,q05_spot_factorsExt_L6,q05_spot_factorsExt_L6B,q05_spot_factorsExt_Pir,q05_spot_factorsExt_Thal_1,q05_spot_factorsExt_Thal_2,q05_spot_factorsExt_Unk_3,q05_spot_factorsInh_1,q05_spot_factorsInh_2,q05_spot_factorsInh_3,q05_spot_factorsInh_4,q05_spot_factorsInh_5,q05_spot_factorsInh_6,q05_spot_factorsInh_Lamp5,q05_spot_factorsInh_Meis2_1,q05_spot_factorsInh_Meis2_2,q05_spot_factorsInh_Meis2_3,q05_spot_factorsInh_Meis2_4,q05_spot_factorsInh_Pvalb,q05_spot_factorsInh_Sst,q05_spot_factorsInh_Vip,q05_spot_factorsLowQ_2,q05_spot_factorsMicro,q05_spot_factorsNb_1,q05_spot_factorsNb_2,q05_spot_factorsOPC_1,q05_spot_factorsOPC_2,q05_spot_factorsOligo_1,q05_spot_factorsOligo_2,q05_spot_factorsUnk_1
Spotx1,0.034965111128985885,0.00044077906059101227,2.017170214653015,0.6809917211532593,0.24648978039622307,0.00015909574358374812,0.00010032925420091487,6.946698267711327e-05,0.00011394805951567833,3.758730435947655e-05,0.0003826880885753781,0.00042146000341745097,0.00012517162322183139,0.007672795001417398,0.00016177111465367488,0.000118148602268775,9.133644816756715e-05,6.179814408824313e-05,3.642569863586686e-05,0.00013734772874158808,0.000512105191592127,0.0003560305180144496,0.6130328118801117,0.984979659318924,0.12183270044624805,0.0004744099904200994,0.10875416807830335,0.2094869740307331,0.0003288737672846765,8.010765595827253e-05,0.0002907431378844194,0.1140281803905964,0.6545529454946518,0.0002548121789004654,0.006150023266673088,0.001909258490195498,0.002233464445453137,0.0005838293494889512,6.415852221834939e-05,0.0003808073917753063,0.7916999131441116,0.0003066159988520667,0.0009054723224835471,0.0015075194649398326,0.0009546713205054403,0.000340446422342211
Spotx2,6.686103461106541e-06,9.738430162542499e-06,5.615521513391287e-06,9.246358422387857e-06,1.2665656822719034e-05,8.017116560949944e-05,5.085052507638466e-05,8.497265516780317e-05,3.042996813746868e-05,2.917755828093505e-05,0.00019456032823654825,0.00018839540498447605,9.804554683796596e-05,7.378842601610814e-05,0.00016399467058363372,5.461196433316218e-05,2.876515609386843e-05,4.957940691383557e-05,6.369782749970909e-05,9.912052264553495e-05,4.255288604326779e-05,0.00016408042502007446,1.6450820028781892,0.000511421446572058,0.07493662238121032,0.0013123479671776294,0.6647962689399719,0.00031879577727522706,0.001680307148490101,0.0003223355335649103,0.0003493000855087303,0.3182660713791847,1.532201313972473,0.029476868081837894,3.0493816494941712,0.0002925580265582539,0.5391040802001953,0.0022447962895967067,1.3057696060059243e-05,0.0008528429083526134,0.0004034171433886513,4.62960788354394e-05,1.2039343801006908e-05,0.0068612653529271485,0.001171576016349718,1.2221535444259644
Spotx3,0.0012185212632175534,0.005718500609509647,0.0005642674979753793,0.00040446001366944984,0.7971721798181535,0.0009576419484801591,0.00035861927899532024,0.1069099523127079,0.004766259668394923,0.0003706778705236502,0.0003556203009793535,0.00029210157954366877,0.0016607688681688159,0.007455990999005735,0.1969818942248821,0.0010322182555682958,0.0002134164526069071,0.5337542414665223,0.00011165572977915874,0.0009710524405818432,2.9881322461733362e-05,8.549641352146865e-05,0.35975085347890856,0.6008009582757949,0.000928350369213149,0.000869589243666269,0.0006659295613644645,0.002235333004500717,0.0004644711021683179,0.00026194795354967943,0.00026404582022223624,0.0029299715766683224,1.642912822961807,0.008286056015640498,1.430648535490036,0.3056424602866173,0.0002868390001822263,0.0002919245715020225,0.0005772173259174451,0.0035441775573417547,0.19257688373327256,0.00021098617944517172,0.0013348719803616405,5.4689491298631766e-05,0.0003294103851658292,0.0003801942875725217
Spotx4,7.538249956269284e-05,0.0003902164273313247,6.490121704700868e-05,0.00025754398520803077,0.0001457320751796942,0.00038025986577849835,0.0015035800053738058,0.00031820592412259426,0.0005762605520430953,0.0003832922651781701,0.0003846423482173122,0.0005859628668986261,0.0014111576427239926,0.0010543901997152718,0.15597100257873536,2.2530922293663025,0.010023470409214497,0.0007070038991514594,0.0005288599873892963,0.2176182135939598,0.0013497609819751234,0.11665538102388383,1.4426464438438416,0.0071461388608440755,0.16278537958860398,0.008884789794683457,0.8763631790876388,0.0009955709509085866,0.005324168084189296,0.00011553500698937568,0.73551304936409,0.012456542160362006,1.1142984271049499,0.00045503084402298555,0.01894142385572195,0.058911705017089845,0.00013253707002149897,0.0006230406695976854,2.5089261174201964,0.004230794124305248,0.0016916576365474613,0.00012218148258398288,0.0003499929676763713,0.0024704559589736165,0.01571689695119858,0.004543068702332676
Spotx5,0.5504592925310136,0.001944336446467787,0.9240325689315796,0.0028686974430456756,8.048064228205476e-05,0.04029068909585476,6.448319218179677e-05,0.0002043345091806259,0.00012035334839310963,4.4708051973429974e-05,0.0006277456559473649,0.00020883751567453147,0.06411686353385448,0.0006212406849954277,0.0003027483908226714,0.00011069564025092408,2.9385451944108352e-05,0.10016001500189305,2.6305870051146485e-05,1.8082571804523468,0.00379209176171571,2.793541652863496e-05,7.092698106134777e-05,5.118337812746177e-05,4.2215344183205165e-05,3.439655010879506e-05,2.760880915957387e-05,0.00012054193575750105,0.0001389106117130723,7.954829961818178e-05,2.53656897257315e-05,0.23435018435120583,2.2029531598091125,6.024690173944692e-05,0.005460480437614023,1.3323054850101472,8.999629244499374e-05,0.00018702046872931535,0.01249525840394199,3.445966685831082e-05,9.666108271630947e-05,2.3550065816380083e-05,4.391557449707761e-05,1.834067361414782e-05,3.753394048544579e-05,0.00017276888465858064
Spotx6,0.00010479751290404239,0.00017546979215694592,0.00010702022336772643,6.776791487936862e-05,0.0002070192567771301,0.00362754468806088,0.007755779009312391,0.00019004042478627524,0.0005362977739423514,0.0030802916618995367,0.0010063123248983175,0.8390339702367783,0.04307057298719883,0.0010283363051712513,0.001593532122205943,0.0005551923793973402,0.07140030153095722,0.0006841778958914801,0.0003179514955263585,0.0003179078252287582,0.0002469887433107942,0.19133528023958207,1.3229527950286866,0.011694379989057778,0.3231857895851135,0.0010407410271000117,0.0019739575509447604,0.00026100424001924695,0.00020343897267594002,0.0019929506815969944,0.00031180835940176617,0.0001569552332512103,3.6217696547508242,0.000141415076359408,0.0003054655666346662,0.0007728673372184858,0.0012031871941871944,0.19771046787500382,4.102573802811094e-05,0.023685547523200512,0.000502130389213562,4.309230899810791,0.00014645447881775911,0.06022921800613404,0.0011402087984606624,0.0010948714625556022
Spotx7,2.865040096367011e-05,3.022426471943618e-05,2.715887312660925e-05,2.235846350231441e-05,7.445965238730423e-05,2.5693437237350736e-05,0.00022821901220595466,8.835171029204504e-05,0.00018746786299743689,0.091423424705863,0.0001926278855535202,0.00017235255363630132,0.0002996141469338909,0.0001990456927160267,0.16857166364789009,3.3863802909851075,0.20156125649809836,1.0671297848224641,0.0009220494161127136,0.0001617796006030403,3.394699215277797e-05,0.00010947831833618693,0.6747706979513168,0.00023274007253348827,0.002257095463573933,0.00036290462012402715,0.00017532193669467233,0.00015204616865958088,0.00015060038858791814,0.0006426614330848679,0.09681677632033825,0.0007354630884947255,0.0002461030017002486,0.0008021620160434396,0.44303246289491655,0.046831839345395566,0.0017341255792416633,0.012865043431520463,0.03661739937961102,0.002416107163298875,0.006872322084382177,2.9724850992352007e-05,1.6328031142620604e-05,1.4877950161462652e-05,8.33784943097271e-05,0.0001560236887598876
Spotx8,0.002046029025223106,0.0033726687077432873,1.3539388954639435,1.1167095959186553,0.006444083456881345,0.01568423127755523,0.0025745769031345848,0.02537750229239464,0.12006089575588703,1.1258130252361298,0.012360484711825848,0.3675553768873215,0.00019624599954113365,0.0009600712888641284,0.00188704245374538,0.0004179631534498185,0.00027590228710323573,0.000310417557193432,0.00047155502688838173,0.0008273631974589081,0.00027681539359036833,0.0005084320873720571,0.007438565837219358,0.17789809927344324,0.432145369052887,2.6396944403648375,1.4034913659095765,0.000595155218616128,0.004979064175859094,0.0030921037890948356,0.0036438023089431226,0.0011508956202305853,1.6310830295085907,0.0030193884274922313,0.11584316939115524,0.0024349390179850164,0.10504488162696361,0.002047806838527322,0.00031939492328092456,0.034418529085814956,0.002155393932480365,0.029718430060893298,0.00024006115272641183,0.0004617018537828699,0.0744137279689312,0.09322063140571119
Spotx9,0.004157138732261955,0.0024587754742242396,0.001329670596169308,0.6876829028129577,0.0004915706173051149,0.0003458607316133567,0.00018644143929122948,0.00013968438943265938,0.0001402660767780617,0.00017303851709584708,0.0015675667207688095,0.03237042091786861,0.00012728605870506726,0.0002507089375285432,0.3223168388009071,0.0006785717734601349,0.04772633221000433,0.0004749428102513775,4.186423897743225,0.00042896960076177493,0.0001429351767001208,0.001061548758298159,1.0367361187934876,0.0005225099856033921,0.21116816326975824,0.7740515440702438,0.16861026436090468,0.0002987813539220952,0.0015045644191559405,0.002996629709377885,0.0004757263843202964,0.0004358335689175874,0.0004997299605747686,0.0004991726367734372,0.4273112490773201,0.0006283569702645764,0.20241049826145172,0.6778012275695801,0.00017560038686497139,0.0007905400329036638,0.00039998713182285437,0.014346597343683244,0.00023421351725119166,0.0008915992017136887,0.03746736999601126,0.0019487920275423677
Spotx10,0.0012178655015304685,0.3469994336366653,0.2622123882174492,0.0002959843724966049,0.0006857753469375893,5.306332532200031e-05,0.00018732168682618068,0.0727573897689581,0.00010147465254704001,7.029712505755015e-05,0.0008561863971408456,0.0010172046342631805,0.00073778755904641,0.0004068852838827297,0.00011037698823201936,0.0007824323576642201,5.633279961330118e-05,0.00019805197371169925,0.06995447017252444,0.001473886473104358,0.00015454904132639058,0.2551809027791023,1.1276350736618042,0.024015505611896516,0.0011857559438794851,0.0003700252040289343,0.00203978082863614,0.002796004724223167,0.0009853873052634299,0.0005158249550731854,0.00012502032332122328,0.0018207160755991936,0.0008734300907235593,0.00011284432002867106,0.48831338435411453,0.1531938374042511,0.37474636882543566,7.914262860140298e-05,0.00026445020193932583,0.009524608170613647,0.0006076535559259355,0.0002873516350518912,8.804449316812679e-05,9.298835720983335e-05,0.0009853668481810019,0.0007749015348963441
Spotx11,0.005436434154398739,2.189346432685852,1.3190555453300477,0.9411097288131715,0.013563451124355197,6.178854928293732e-05,2.8554748314491008e-05,0.013246554648503663,4.651597610063618e-05,2.3243743453349455e-05,0.00017166499892482535,8.927539238356985e-05,1.2410386307237787e-05,1.311811183768441e-05,2.3592259458382612e-05,9.619394541005022e-06,1.903819411381846e-05,1.186142917504185e-05,2.783004274533596e-05,1.1238042316108477e-05,0.004268247331492603,2.174682567783748e-05,0.9135442078113556,2.180358333134791e-05,5.870890963706188e-05,2.5572857703082262e-05,1.857902025221847e-05,0.07746596597135068,2.1610389012494124e-05,2.984154461955768e-05,4.0933567288448105e-05,2.0466577007027807e-05,2.328197042515967e-05,0.001955880393506959,1.3260257482528686,1.633296405998408e-05,2.1274046775943135e-05,1.654990828683367e-05,4.628632668755018e-05,8.594457467552276e-05,0.08118106089532376,9.411922383151251e-06,3.608382139645983e-05,0.0002680635996512137,7.974106556503103e-05,4.979061232006643e-05
Spotx12,0.003868162469007075,0.0008153722214046865,0.187238085269928,0.0002958930665045045,0.3952868267893791,0.039479595981538294,0.00860484759323299,0.0019066670211032033,0.0015341717225965115,0.00022365110198734327,0.0024685438256710768,0.059905549883842474,0.003578017721883953,0.1973826289176941,0.0003235789685277268,0.13003915026783944,0.00021720760269090534,0.0006016735220327974,8.289711986435579e-05,0.2605784937739372,5.9539214817050386e-05,0.00022898127426742578,0.001652130560250953,0.0016971264965832235,0.27718283534049987,0.3370281845331192,0.18758332952857018,0.00415015819016844,0.6274138808250428,0.003164101438596845,0.0028078241855837406,0.0021994475042447447,1.3087677359580994,0.0007830712653230876,0.0009023020102176815,0.0008441882499027998,0.10806841030716896,0.0031062531052157287,0.020471189357340335,0.0004953336829203181,0.15165232717990873,0.0013975906011182817,5.41952382263844e-05,8.252153129433282e-05,0.0005231070157606156,0.002175661188084632
Spotx13,1.0325505316257477,0.04535624422132969,1.2820974111557006,0.029106628522276877,0.05366063565015793,8.650878298794852e-05,0.00016981351218419148,6.301015600911342e-05,0.00010848581696336624,4.537284567049938e-05,0.00014159934944473209,6.403529187082313e-05,6.305063616309781e-05,0.00038138102245284246,0.00010926184259005823,0.00014518649550154805,5.772845524916193e-05,4.254258928995114e-05,6.759112475265284e-05,5.85847848924459e-05,6.566771517100277e-05,0.21234624758362772,1.0121262967586517,0.0004543357761576772,0.0019967807456851006,0.6969372689723968,0.0035066563752479854,0.19229676574468613,0.04370382223278284,0.000101034325780347,0.0020794998854398727,0.00778982974588871,1.2677728831768036,0.00033040270354831595,0.17737288549542427,0.003600806638132781,0.0008178462041541934,0.0002517943394195754,0.007008061511442065,0.22324893102049828,0.8987203299999237,0.00021707098931074144,4.37490090916981e-05,0.0012291881896089763,0.0005595319584244862,0.0008154939103405923
Spotx14,1.5071178995640369e-05,7.301197251763371e-06,4.365984932519495e-06,3.952915744775965e-06,1.183002941615996e-05,5.071292093816737e-07,1.1453211527623353e-06,2.1596399733425648e-06,1.0625858124058141e-06,5.111240881205959e-07,3.4166222462772572e-06,3.7577194916593725e-06,1.2894882456748746e-05,4.965496464137686e-06,1.1587074311592007e-06,2.8999470259805094e-06,9.537294943129384e-07,3.261867232140503e-06,5.9760973044831194e-06,2.1750416863142168e-06,0.32708337903022766,2.2944897523302644e-06,0.433441923558712,1.6362569283501219e-06,9.375777807463237e-07,9.330597862344802e-07,6.348961051116931e-07,1.5371524284546467e-06,3.2677069299325013e-07,5.914733776535285e-07,1.1396766467441922e-06,6.775027827643498e-07,9.07302995756254e-07,2.5869885149631956e-07,4.887309771106631e-07,6.677020422785063e-07,5.831890803165152e-06,1.9933718476750076e-06,9.125610120008788e-07,2.9030129439888703e-06,7.673035412381069e-07,3.1325331633524925e-06,5.175546476721138e-07,1.489132563392559e-06,6.934242179568173e-07,1.9739590061362833e-05
Spotx15,1.180032420158386,0.0003261388817918487,0.3784899652004242,0.04600697513669729,0.030710992962121965,0.00012681134321610444,2.0929352831444704e-05,0.00029886208358220756,0.00012699475191766397,0.12199686802923679,0.00010516049405850937,6.237741290533449e-05,5.25076797202928e-05,0.00013500361892511138,4.724991194962059e-05,4.81925057101762e-05,1.4905177704349627e-05,0.00015602624043822288,0.000542369470349513,3.348559239384485e-05,0.3257729336619377,0.0002980422475957312,2.0106903195381163,0.0008561923081288115,6.253068022488151e-05,9.996115404646844e-05,0.0004979067263775506,0.00018788214583764784,8.591179284849204e-05,1.379712002744782e-05,0.9449785232543945,2.9519655618059916e-05,2.4432703867205425e-05,1.9920263093808904e-05,1.851713386713527e-05,4.819806563318708e-05,4.2371391464257614e-05,5.764536726928782e-05,0.5565672308206558,0.00020575276575982574,0.00010383153712609783,3.940077676816145e-05,9.569373878548505e-06,2.3418515502271477e-05,0.0009088434919249267,0.00011036734176741448
Spotx16,0.0002069551199383568,0.0001033504588122014,0.4712684586644173,0.00013589683803729715,0.00015952450848999439,0.0003718635023687967,0.0005814145872136578,0.0658259678632021,0.0021657803794369102,0.06570940092206001,0.00032601600541966037,0.0002183215336117428,0.0002788828423945233,0.00026946088910335676,0.0002762993331998587,0.0002734867899562232,0.0002153485911549069,0.0025560071342624726,0.0021352199837565426,0.00025307639298262076,0.28285912722349166,0.0010318373271729798,1.3023130297660828,0.0004728483167127706,0.0003353384396177716,0.0002791741324472241,0.0003266532570705749,0.00015415512607432904,8.874192826624494e-05,0.000140526286122622,2.1150179743766784,0.00017931538459379227,1.6643699347972871,0.0010664976434782147,0.8247562646865845,0.00029823115473845977,0.0005798103753477335,0.00010391803152742796,1.155536913871765,0.00018147388327633963,0.00036978419957449664,0.0007082780182827264,1.9563528258004226e-05,4.404910814628239e-05,0.0005881172430235893,0.0005237037461483851
