,mean_nUMI_factorsAstro_0,mean_nUMI_factorsAstro_1,mean_nUMI_factorsAstro_2,mean_nUMI_factorsAstro_3,mean_nUMI_factorsAstro_4,mean_nUMI_factorsExt_Amy_1,mean_nUMI_factorsExt_Amy_2,mean_nUMI_factorsExt_ClauPyr,mean_nUMI_factorsExt_Hpc_1,mean_nUMI_factorsExt_Hpc_2,mean_nUMI_factorsExt_Hpc_3,mean_nUMI_factorsExt_Hpc_4,mean_nUMI_factorsExt_L23,mean_nUMI_factorsExt_L25,mean_nUMI_factorsExt_L56,mean_nUMI_factorsExt_L5_1,mean_nUMI_factorsExt_L5_2,mean_nUMI_factorsExt_L6,mean_nUMI_factorsExt_L6B,mean_nUMI_factorsExt_Pir,mean_nUMI_factorsExt_Thal_1,mean_nUMI_factorsExt_Thal_2,mean_nUMI_factorsExt_Unk_3,mean_nUMI_factorsInh_1,mean_nUMI_factorsInh_2,mean_nUMI_factorsInh_3,mean_nUMI_factorsInh_4,mean_nUMI_factorsInh_5,mean_nUMI_factorsInh_6,mean_nUMI_factorsInh_Lamp5,mean_nUMI_factorsInh_Meis2_1,mean_nUMI_factorsInh_Meis2_2,mean_nUMI_factorsInh_Meis2_3,mean_nUMI_factorsInh_Meis2_4,mean_nUMI_factorsInh_Pvalb,mean_nUMI_factorsInh_Sst,mean_nUMI_factorsInh_Vip,mean_nUMI_factorsLowQ_2,mean_nUMI_factorsMicro,mean_nUMI_factorsNb_1,mean_nUMI_factorsNb_2,mean_nUMI_factorsOPC_1,mean_nUMI_factorsOPC_2,mean_nUMI_factorsOligo_1,mean_nUMI_factorsOligo_2,mean_nUMI_factorsUnk_1
Spotx1,113.29179382324219,21.00652313232422,2949.15771484375,1018.4827270507812,310.32879638671875,25.13127326965332,21.565380096435547,16.395679473876953,28.708560943603516,21.946552276611328,25.677183151245117,25.12334442138672,21.926639556884766,142.2940673828125,20.63970184326172,20.93579864501953,29.88890838623047,18.01254653930664,20.98772621154785,22.777742385864258,49.399322509765625,45.74562072753906,2833.69580078125,2985.925537109375,801.7459106445312,38.153297424316406,437.7405700683594,972.5848999023438,28.119434356689453,20.5592098236084,30.09073257446289,536.2028198242188,1991.1715087890625,31.272396087646484,115.00772094726562,67.58572387695312,64.5987319946289,37.1657600402832,5.306608200073242,23.503705978393555,788.3060913085938,16.291534423828125,27.90321159362793,27.49974822998047,18.80640411376953,21.814735412597656
Spotx2,3.4197754859924316,3.873450756072998,3.8720591068267822,4.346278667449951,3.8889834880828857,32.48126983642578,21.206256866455078,33.662723541259766,28.546506881713867,16.076143264770508,22.770519256591797,22.78188705444336,26.970460891723633,15.84554672241211,37.238243103027344,23.30404281616211,21.33553695678711,20.122915267944336,24.74405288696289,32.948814392089844,27.566884994506836,26.72551918029785,7193.90087890625,52.51144790649414,622.0745239257812,67.50247192382812,2481.662841796875,43.269779205322266,57.967132568359375,25.94451904296875,31.481189727783203,1260.37158203125,4440.4033203125,343.35028076171875,10402.064453125,35.946109771728516,1702.5059814453125,67.75678253173828,2.974839448928833,35.96950912475586,18.258676528930664,12.55756950378418,6.216540336608887,75.15666961669922,25.96962547302246,897.7538452148438
Spotx3,29.57882308959961,37.50602340698242,19.53180503845215,19.46290397644043,584.7616577148438,83.2946548461914,33.10786819458008,628.2783203125,115.82946014404297,44.84698486328125,26.93946647644043,37.000728607177734,100.4551773071289,122.36334991455078,828.4390258789062,49.675350189208984,42.4413948059082,2160.924072265625,22.337020874023438,55.48930358886719,16.508211135864258,19.840261459350586,1707.1214599609375,1843.5909423828125,66.78534698486328,49.39252471923828,41.97072219848633,92.95194244384766,26.86667251586914,46.28025436401367,19.844654083251953,80.9311294555664,4654.47705078125,156.0548095703125,4913.01806640625,1268.422119140625,38.96348190307617,20.63939666748047,14.115513801574707,49.575618743896484,280.63665771484375,17.419477462768555,29.357887268066406,9.882268905639648,9.702195167541504,13.513362884521484
Spotx4,6.393364906311035,13.583503723144531,13.318069458007812,10.883721351623535,12.2725248336792,53.88928985595703,82.02108764648438,43.950706481933594,43.62743377685547,44.71888732910156,42.31564712524414,31.556589126586914,75.66197204589844,76.70286560058594,854.7728271484375,9618.7587890625,240.84364318847656,64.13036346435547,82.4600830078125,1330.6834716796875,91.13188934326172,789.3248291015625,6391.9697265625,142.99533081054688,1042.807373046875,166.8546600341797,3126.263916015625,58.41395568847656,120.00957489013672,22.116601943969727,1706.2169189453125,177.84814453125,3349.484130859375,42.23784637451172,302.52276611328125,488.6803894042969,18.153854370117188,60.19589614868164,1583.3052978515625,67.4278335571289,38.37929916381836,19.9250545501709,23.813684463500977,49.25529861450195,71.59573364257812,42.48575210571289
Spotx5,668.5755004882812,40.40726089477539,1444.0450439453125,58.71579360961914,9.874317169189453,386.4726867675781,32.77349853515625,46.0826301574707,38.565738677978516,22.540170669555664,37.84229278564453,45.77325439453125,402.8473815917969,56.62678146362305,41.25718307495117,40.4014778137207,17.822940826416016,796.6908569335938,17.54654312133789,8145.5029296875,114.17057800292969,17.332908630371094,25.849475860595703,12.522233963012695,16.183799743652344,8.920999526977539,11.056949615478516,34.764312744140625,20.11871910095215,28.660615921020508,10.302114486694336,984.339599609375,6304.90966796875,19.81488800048828,132.22299194335938,4702.68115234375,24.13365936279297,42.264984130859375,39.57841110229492,11.070253372192383,12.144702911376953,11.297292709350586,7.638719081878662,6.669604778289795,6.503207206726074,18.94146156311035
Spotx6,9.688486099243164,13.18349838256836,9.157957077026367,16.481191635131836,8.186738014221191,172.36929321289062,139.4565887451172,39.35781478881836,49.62339782714844,115.85218048095703,43.89341735839844,2268.443603515625,470.9277648925781,63.80934524536133,105.95063018798828,56.88795471191406,686.8331298828125,93.00665283203125,50.009803771972656,46.16925048828125,56.75141906738281,1078.1046142578125,5898.0908203125,228.47232055664062,1621.206787109375,64.77951049804688,100.98983001708984,40.39393615722656,28.196752548217773,64.0538330078125,32.23182678222656,34.794273376464844,10030.2021484375,27.214811325073242,41.772159576416016,60.5611457824707,92.5067138671875,778.6898193359375,4.569638729095459,148.43621826171875,33.44779968261719,5485.185546875,17.31660270690918,227.49581909179688,27.356599807739258,33.388671875
Spotx7,6.145025253295898,8.787816047668457,5.823065280914307,5.406417369842529,8.162372589111328,14.978200912475586,29.40496063232422,45.69731903076172,32.161773681640625,727.3793334960938,32.78065490722656,23.01144027709961,50.71321105957031,37.10873794555664,824.2003173828125,13968.029296875,1438.7061767578125,4197.99365234375,51.17417907714844,35.89977264404297,21.71995735168457,31.626890182495117,3028.508056640625,37.83220672607422,73.41862487792969,39.46187973022461,42.84132385253906,54.55320739746094,15.857596397399902,44.716339111328125,370.8300476074219,52.02163314819336,23.477886199951172,46.929901123046875,1742.93017578125,364.7740478515625,48.24529266357422,192.825927734375,61.63393020629883,50.79850387573242,57.41355514526367,9.245820999145508,6.491358757019043,4.0546674728393555,8.782699584960938,10.89757251739502
Spotx8,52.49810791015625,60.545833587646484,2031.01904296875,1558.1895751953125,54.926292419433594,254.66262817382812,140.9372100830078,337.8068542480469,734.8444213867188,5622.791015625,158.35220336914062,1228.8951416015625,40.155433654785156,50.88832092285156,86.962646484375,56.88388442993164,28.144893646240234,42.83765411376953,45.50619125366211,61.09490203857422,50.926334381103516,30.292818069458008,152.92825317382812,844.4347534179688,2041.959228515625,5447.55322265625,4722.3076171875,56.65618896484375,115.68270874023438,83.08384704589844,90.52324676513672,50.71299362182617,4636.240234375,109.35089111328125,709.5380249023438,100.89725494384766,569.6890869140625,93.9513931274414,16.69908905029297,179.0613555908203,32.9597053527832,161.9849395751953,15.150489807128906,21.075050354003906,160.61740112304688,234.90907287597656
Spotx9,52.959564208984375,46.87480926513672,38.26050567626953,948.6719970703125,20.98305320739746,38.777584075927734,44.57368850708008,33.97044372558594,29.457292556762695,35.43840789794922,79.88077545166016,303.39422607421875,34.44688415527344,39.10984420776367,1441.814208984375,95.35218811035156,575.310546875,62.74776840209961,17886.41796875,45.86968994140625,27.75658416748047,66.494384765625,4675.57080078125,73.92444610595703,1312.038818359375,2085.1728515625,646.5949096679688,54.85266876220703,51.07002258300781,88.71351623535156,27.473896026611328,47.017547607421875,38.01683807373047,53.152671813964844,1747.4410400390625,37.298423767089844,867.3106079101562,2143.329833984375,6.611377239227295,46.12594985961914,19.425199508666992,104.4852523803711,20.731664657592773,47.75325393676758,108.89813232421875,41.78776168823242
Spotx10,23.149635314941406,381.9421691894531,448.9467468261719,14.039010047912598,13.543636322021484,15.991273880004883,31.356155395507812,416.15301513671875,19.32020378112793,25.213340759277344,38.54081726074219,38.44379425048828,42.74095153808594,17.911426544189453,13.38399887084961,69.68333435058594,20.145116806030273,24.809850692749023,449.6997985839844,72.62910461425781,34.41450500488281,1169.52734375,4830.72314453125,280.07061767578125,63.42778778076172,31.644392013549805,65.98651123046875,77.5391616821289,33.47493362426758,30.21803855895996,14.10213851928711,54.16975402832031,42.811683654785156,14.50380802154541,1801.18310546875,697.6303100585938,1104.0673828125,10.292799949645996,5.194304466247559,54.88819122314453,16.550561904907227,13.895509719848633,5.915208339691162,8.858362197875977,15.631654739379883,21.40850067138672
Spotx11,61.676692962646484,1914.1868896484375,1951.57275390625,1329.1318359375,68.00293731689453,27.065555572509766,12.817466735839844,127.8595962524414,15.12852954864502,15.734910011291504,12.618138313293457,16.615049362182617,11.981980323791504,7.1811652183532715,26.25890350341797,9.401276588439941,15.976027488708496,9.7652587890625,14.490961074829102,9.54224967956543,89.81632995605469,15.061938285827637,3967.626708984375,8.48803424835205,14.484210014343262,12.237893104553223,14.733100891113281,442.15081787109375,6.383706092834473,13.628386497497559,11.339144706726074,6.192015647888184,13.051292419433594,63.33477783203125,4545.251953125,12.598823547363281,16.569110870361328,19.309791564941406,16.40745735168457,10.831924438476562,156.42556762695312,4.942260265350342,6.643736362457275,15.342985153198242,4.671998977661133,6.973060607910156
Spotx12,48.02067565917969,23.25836181640625,361.2645568847656,15.989411354064941,353.39093017578125,342.54779052734375,159.49705505371094,59.04033660888672,64.55413055419922,24.274953842163086,59.453861236572266,326.9899597167969,96.89747619628906,736.541748046875,29.67185401916504,761.477294921875,21.641624450683594,37.6425666809082,20.636627197265625,1303.72314453125,17.156768798828125,25.371906280517578,63.7896842956543,57.2506217956543,1301.00634765625,823.0532836914062,895.3031005859375,94.60710144042969,1726.18896484375,78.936279296875,53.8478889465332,78.65032196044922,3752.759765625,38.49230194091797,58.04368591308594,51.02031707763672,473.6277160644531,77.64508819580078,51.60162353515625,17.515884399414062,242.1736297607422,34.02790832519531,6.296472549438477,12.07836627960205,10.579635620117188,25.31092643737793
Spotx13,1154.84521484375,132.8819580078125,1885.2860107421875,181.32798767089844,116.28577423095703,20.16379737854004,18.18301010131836,15.688298225402832,25.40744972229004,13.011027336120605,16.351181030273438,7.7240495681762695,18.393686294555664,40.525726318359375,33.330963134765625,29.64293098449707,18.062835693359375,24.610998153686523,15.436405181884766,24.751527786254883,18.52175521850586,1059.9775390625,4419.47998046875,36.28406524658203,63.54027557373047,1648.5250244140625,104.92273712158203,913.2109985351562,242.96144104003906,22.088056564331055,53.057037353515625,121.48116302490234,3555.663818359375,21.207935333251953,820.3550415039062,87.7971420288086,45.589298248291016,16.160436630249023,33.450958251953125,401.3780212402344,869.3668212890625,21.925506591796875,8.96483039855957,26.53350257873535,18.66579246520996,18.96320343017578
Spotx14,2.790618658065796,1.6049387454986572,1.432561993598938,2.350125551223755,3.220747947692871,2.441555976867676,1.384068250656128,5.040839672088623,2.838792085647583,3.265301465988159,2.577256679534912,4.008639812469482,4.96753454208374,2.658616542816162,1.9233055114746094,7.040098190307617,1.473141074180603,3.2923378944396973,5.3118462562561035,3.0932693481445312,1526.645751953125,4.129492282867432,1843.93017578125,1.284744381904602,2.67724609375,1.5476832389831543,2.6275460720062256,3.929304838180542,1.2142860889434814,1.397566318511963,1.3823755979537964,2.760920524597168,4.2219438552856445,1.9530742168426514,2.1273207664489746,1.621238112449646,2.684614658355713,2.041853189468384,0.6086035370826721,2.212960958480835,0.581644594669342,2.19893741607666,1.2336169481277466,0.8738614916801453,1.0808838605880737,2.799957752227783
Spotx15,1274.2135009765625,12.584579467773438,676.0562133789062,171.1992950439453,74.16043853759766,22.46940803527832,14.635287284851074,29.20401954650879,20.122074127197266,772.202880859375,13.311737060546875,15.718023300170898,20.966690063476562,30.363157272338867,30.480281829833984,16.255796432495117,12.277351379394531,32.18379592895508,58.3515739440918,11.83714485168457,1685.3321533203125,39.72380065917969,8464.076171875,47.68862533569336,20.62908363342285,25.554954528808594,48.09200668334961,30.20644760131836,21.229816436767578,11.572474479675293,1860.056640625,15.222372055053711,10.27278995513916,10.352095603942871,13.358778953552246,13.312039375305176,11.364025115966797,14.12748908996582,411.2447204589844,12.971053123474121,13.67822265625,6.528718948364258,8.61764144897461,6.91332483291626,16.033273696899414,8.419193267822266
Spotx16,13.265356063842773,13.507046699523926,769.8540649414062,10.397019386291504,9.764196395874023,49.93013000488281,52.96995544433594,472.334716796875,73.24210357666016,543.8382568359375,20.4909725189209,42.77830123901367,38.406829833984375,46.578094482421875,26.825294494628906,51.95341110229492,38.457584381103516,85.47095489501953,92.58229064941406,41.58374786376953,1524.802978515625,75.16106414794922,5689.32080078125,38.530643463134766,41.999366760253906,30.54181671142578,36.34283447265625,28.214675903320312,19.03793716430664,30.360151290893555,4064.123046875,24.805551528930664,4723.1904296875,61.060420989990234,3016.933837890625,39.50425720214844,36.3989143371582,30.682037353515625,779.40625,22.225181579589844,23.764724731445312,40.07821273803711,7.407477378845215,6.105642318725586,13.486387252807617,17.65511703491211
Spotx17,28.569766998291016,153.1412811279297,722.2444458007812,63.231109619140625,18.2243709564209,588.226318359375,287.7740173339844,117.09971618652344,32.28822708129883,65.57145690917969,113.74612426757812,228.60659790039062,68.72431182861328,30.520217895507812,28.899002075195312,46.05561828613281,69.08847045898438,34.999366760253906,56.83394241333008,50.24540710449219,3719.77490234375,1767.0301513671875,13097.5908203125,3253.721923828125,34.851497650146484,54.287559509277344,63.579280853271484,72.1465072631836,36.71233367919922,156.52952575683594,2491.123046875,48.89215087890625,7406.73828125,62.23223876953125,123.85481262207031,229.95680236816406,82.69793701171875,39.500125885009766,178.7456817626953,108.86315155029297,26.754789352416992,15.911771774291992,20.21270751953125,186.56484985351562,23.632034301757812,17.900470733642578
Spotx18,2497.024658203125,1143.9923095703125,843.2180786132812,1896.2452392578125,69.37635040283203,86.70471954345703,111.05400085449219,69.7048568725586,89.12479400634766,529.5576171875,120.66998291015625,89.75360870361328,47.419883728027344,36.41101837158203,1701.353271484375,41.790409088134766,53.416481018066406,95.59254455566406,10011.796875,62.44501876831055,1157.44140625,188.83392333984375,7985.46826171875,2940.6650390625,1128.025390625,100.25171661376953,109.49124908447266,290.55645751953125,52.84339904785156,317.22137451171875,203.32289123535156,63.45064163208008,2057.32373046875,104.4572525024414,5084.25439453125,174.03456115722656,78.53397369384766,75.51461029052734,515.6570434570312,187.71038818359375,188.46368408203125,25.12993621826172,26.740631103515625,22.38972282409668,42.24299240112305,40.77623748779297
Spotx19,22.350496292114258,12.39795207977295,316.3650207519531,9.915081977844238,144.1942901611328,2515.6689453125,48.68842315673828,11.652997970581055,101.24919128417969,48.9161262512207,34.97749328613281,17.964723587036133,30.424976348876953,12.583853721618652,90.10609436035156,19.761770248413086,63.62127685546875,35.49452209472656,26.714025497436523,35.144554138183594,9.40665340423584,23.58284568786621,1723.83984375,33.90095138549805,32.512149810791016,25.63054656982422,3093.56103515625,27.62815284729004,14.377937316894531,13.638010025024414,1709.6480712890625,31.670778274536133,8896.70703125,530.8953247070312,29.23349952697754,42.3481559753418,35.57757568359375,52.30663299560547,3.076040029525757,13.726577758789062,16.913970947265625,48.14304733276367,67.34701538085938,6.89773416519165,11.459672927856445,24.069068908691406
Spotx20,91.25360107421875,53.94154739379883,2073.270263671875,849.5211791992188,38.241153717041016,404.2086181640625,110.88874816894531,417.489501953125,82.43616485595703,63.003211975097656,60.76948928833008,35.03574752807617,1537.7183837890625,996.0147705078125,163.2027130126953,171.8268280029297,122.31413269042969,144.30702209472656,611.8932495117188,173.46495056152344,948.2301025390625,1967.6142578125,9652.8271484375,135.88975524902344,132.27359008789062,429.1690979003906,5478.0673828125,4355.626953125,57.87773895263672,569.8313598632812,162.98138427734375,374.5276184082031,7157.33154296875,369.4764099121094,5510.9365234375,118.10746765136719,78.7569808959961,1459.0367431640625,18.078718185424805,41.32275390625,33.7084846496582,611.1043090820312,30.774398803710938,85.01231384277344,56.72945022583008,176.4210968017578
