,q05_spot_factorsAstro_0,q05_spot_factorsAstro_1,q05_spot_factorsAstro_2,q05_spot_factorsAstro_3,q05_spot_factorsAstro_4,q05_spot_factorsExt_Amy_1,q05_spot_factorsExt_Amy_2,q05_spot_factorsExt_ClauPyr,q05_spot_factorsExt_Hpc_1,q05_spot_factorsExt_Hpc_2,q05_spot_factorsExt_Hpc_3,q05_spot_factorsExt_Hpc_4,q05_spot_factorsExt_L23,q05_spot_factorsExt_L25,q05_spot_factorsExt_L56,q05_spot_factorsExt_L5_1,q05_spot_factorsExt_L5_2,q05_spot_factorsExt_L6,q05_spot_factorsExt_L6B,q05_spot_factorsExt_Pir,q05_spot_factorsExt_Thal_1,q05_spot_factorsExt_Thal_2,q05_spot_factorsExt_Unk_3,q05_spot_factorsInh_1,q05_spot_factorsInh_2,q05_spot_factorsInh_3,q05_spot_factorsInh_4,q05_spot_factorsInh_5,q05_spot_factorsInh_6,q05_spot_factorsInh_Lamp5,q05_spot_factorsInh_Meis2_1,q05_spot_factorsInh_Meis2_2,q05_spot_factorsInh_Meis2_3,q05_spot_factorsInh_Meis2_4,q05_spot_factorsInh_Pvalb,q05_spot_factorsInh_Sst,q05_spot_factorsInh_Vip,q05_spot_factorsLowQ_2,q05_spot_factorsMicro,q05_spot_factorsNb_1,q05_spot_factorsNb_2,q05_spot_factorsOPC_1,q05_spot_factorsOPC_2,q05_spot_factorsOligo_1,q05_spot_factorsOligo_2,q05_spot_factorsUnk_1
Spotx1,0.5684408813714982,0.0006214971101144329,1.720367431640625,0.4739766582846642,0.15718445777893067,0.000678740962757729,0.00024315777482115667,0.00010721232356445399,0.00010539990908000618,0.00015719567381893284,0.0006404172687325629,0.00039813585026422517,0.00025542170624248683,0.029724751319736245,0.00016448982860310933,0.0003387196731637232,0.0001114783201046521,0.00014226209896150982,0.00011756188141589518,0.0002533158374717459,0.0017117816489189866,0.0017060197889804843,0.5122567385435104,0.6193130791187286,0.03100587371736765,0.0008098107558907942,0.42599859833717346,0.11330795511603356,0.010623582312837243,0.00023840613357606344,0.0005298700503772124,0.1690489172935486,0.559546047449112,0.0006545138079673053,0.002177714044228196,0.0519663192331791,0.007599478424526751,0.0005547952605411411,0.00010469563349033708,0.0002937656157882885,0.8725639402866363,0.0011050450149923563,0.0006449431064538658,0.011210771650075913,0.0009948907711077484,0.0007523010368458927
Spotx2,1.316814887104556e-05,5.214353695919273e-05,1.0725547099355026e-05,1.2748820290653386e-05,3.2032447961682926e-05,0.00030730457074241714,0.00026008094428107146,0.0002943636442068964,5.22289064974757e-05,5.1248890304123056e-05,0.0013630548724904658,0.0005959720438113437,0.00021856007151654921,0.000170204762252979,0.00029906482668593524,0.00011809083807747816,0.00010075547979795376,0.00016935249077505433,0.00027132840768899773,0.00033842496486613527,0.00012083802466804628,0.0003298550902400166,1.492241233587265,0.0025153623777441694,0.34489522427320485,0.4024765253067017,0.008713989891111853,0.04627207685261965,0.0010927163588348777,0.0006967712659388781,0.0018470222770702095,0.38348370641469953,1.3871533870697021,0.021602021902799605,2.7276535868644713,0.0009660339128458872,0.6880453079938889,0.05018509291112423,2.502534198356443e-05,0.0022465311340056364,0.0011259186605457217,0.00012644211601582357,1.4912294727764682e-05,0.016596996504813433,0.0020092950959224257,0.0800904743373394
Spotx3,0.015244888467714192,0.01008544070646167,0.0010692878160625697,0.0012760499317664654,0.6935225486755371,0.005268578347750009,0.0003121689383988269,0.09508341699838638,0.011149534955620766,0.0005880923359654844,0.0004903710985672661,0.0003213321615476161,0.011469941260293126,0.011252905474975705,0.242780140042305,0.005884764227084816,0.00021646395762218163,0.36544537991285325,0.0003355114604346454,0.004974234849214554,4.067587178724352e-05,0.00010267593897879123,0.3668149635195732,0.5441715240478516,0.0036943136132322253,0.004187219217419624,0.01773694409057498,0.0025222438154742124,0.0007230200921185316,0.0006686724693281575,0.0004514101266977377,0.011337643116712572,1.5348613381385803,0.007959010312333703,1.3759593486785888,0.21877650171518326,0.00039767009584466004,0.0006295830185990781,0.001037341693881899,0.007825053972192108,0.09526127241551877,0.0003218740937882103,0.0019151705957483503,0.00011592698137974367,0.0005498814047314227,0.0007947244099341333
Spotx4,9.310480090789499e-05,0.00029046910931356256,5.701109221263324e-05,0.00032696365087758755,0.00022343686287058518,0.0019760024035349487,0.123912451043725,0.00045318709599087017,0.0007899000396719203,0.0011234905337914824,0.0008767151331994682,0.0006859355373308063,0.007832333538681268,0.005642858566716314,0.10564252659678458,2.1372832894325255,0.003229237487539649,0.0018486910557840022,0.0015126237936783581,0.036082555726170536,0.006670557870529592,0.06934911534190177,1.3170742869377137,0.014347654068842532,0.2404071770608425,0.9429418563842773,0.10761213675141335,0.003485617379192263,0.006419057818129659,0.000175848780781962,0.6741151571273803,0.08132255673408507,0.9198569506406784,0.00039749903517076745,0.015832861047238113,0.05726727843284607,0.00014614307219744662,0.00211921944282949,2.5815157771110537,0.007235792232677341,0.00102409235551022,0.00014185016625560824,0.00038518900546478105,0.008473398815840482,0.006242106459103525,0.003381900629028678
Spotx5,0.32887723445892336,0.0016715611214749516,0.6987744450569153,0.25607655048370365,0.0002809734840411693,0.12092645578086376,0.00013062250072835014,0.0002980962948640809,0.00022578255084226842,0.0003026647114893422,0.0021131451707333327,0.0009712522296467796,0.030829614121466873,0.001452993438579142,0.000408445647917688,0.00013973473760415798,3.545238741935464e-05,0.2171864375472069,3.518521170917666e-05,1.5871432304382325,0.0007345990248722956,2.3346371017396452e-05,6.194749948917888e-05,4.863546964770649e-05,7.764895199215972e-05,5.999547192914179e-05,4.4714688010571996e-05,0.00015652873189537784,0.0002118261698342394,0.00044679545389954,5.9015461374656304e-05,0.37215229868888855,1.900088256597519,5.6066422621370295e-05,0.0012039314373396338,1.2164777219295502,0.00021440957061713561,0.0002924378684838303,0.0195751091465354,5.814366177219199e-05,0.000248162828211207,2.1942207331449024e-05,7.605312785017306e-05,5.195315952732927e-05,8.215048801503145e-05,0.00025822829920798537
Spotx6,0.00015640009078197182,0.000288987866952084,0.00012503548568929546,0.0001566193212056533,0.00027345913840690636,0.010264586005359889,0.007537447451613844,0.00014812196968705396,0.001199870213167742,0.003072414628695697,0.0014694774115923792,0.8164076924324035,0.10470232702791692,0.0011659611656796188,0.001210307131987065,0.0011207844712771476,0.03680776786059141,0.0017905463639181108,0.0006110221118433402,0.0004911558193271049,0.0008408998051891104,0.18348013162612917,1.2320546746253966,0.012996874144300818,0.2659572705626488,0.0015255562204401943,0.003614119836129249,0.0012301480106543749,0.001446233707247302,0.006579827959649265,0.0007557942997664214,0.0010328167758416385,3.225782608985901,0.0004971038273652085,0.00041550349124008795,0.002359857887495309,0.003135156829375774,0.1609224125742912,4.2846183714573274e-05,0.01818936048075557,0.0039933298248797655,4.011263060569763,0.00037627097772201533,0.06395131684839725,0.0016395615413784983,0.0021207825746387245
Spotx7,3.1988441151042935e-05,4.617823378794128e-05,2.3382164908980488e-05,3.848429550998844e-05,3.978230306529441e-05,8.00718746177154e-05,0.00029482286045094956,0.0002201468982093502,0.00023427050691680052,0.10743494220077993,0.0004973462433554232,0.00028708018799079583,0.000807413144502789,0.0007209362549474463,0.30187439471483235,2.899960565567017,0.20877397879958154,0.8939797431230545,0.002966254821512848,0.0003660627873614431,0.0001269765372853726,0.00012178242577647325,0.5963106840848923,0.0003499222264508717,0.004361728741787375,0.0006169418746139855,0.0005132254416821524,0.0002445985832309817,0.00015155439614318312,0.000466425609192811,0.014749205298721792,0.0009130179299972952,0.0002253138642117847,0.0004328976065153256,0.5041667968034744,0.01899354113265872,0.0019247204007115215,0.0030354575952515005,0.03715536352247,0.0006307810690486804,0.030681217461824423,4.499125097936486e-05,1.4229596854420378e-05,2.8001687405776467e-05,0.00010894953447859734,0.00022277632451732645
Spotx8,0.004896347573958338,0.013153642974793914,1.4270314753055573,0.8724024891853333,0.006609314493834973,0.04323032312095165,0.014348346088081599,0.04499966148287057,0.1038773186504841,1.032208412885666,0.006675326242111624,0.4375201612710953,0.00024336982096428983,0.002210278750862926,0.002752307441551238,0.0008647048729471862,0.00037949761608615525,0.0008031212142668665,0.0006332363322144375,0.0014841286174487323,0.0004894236975815147,0.0007882813777541742,0.004304090165533126,0.005843520956113934,0.6415157049894333,2.2360381364822386,1.3464441001415253,0.0010631428332999351,0.01327927391976118,0.006727666477672756,0.008285159384831785,0.0014602748095057906,1.5381672084331512,0.004598288843408227,0.058800587058067316,0.018169142957776784,0.07071539275348188,0.0031537779723294084,0.00043915173009736476,0.026225086580961943,0.00107650047284551,0.014080975577235222,0.0003269230190198868,0.0006296561186900362,0.1134373027831316,0.024210827052593233
Spotx9,0.001993248291546479,0.008091757213696838,0.0065583920339122425,0.5703559398651123,0.00048251030530082066,0.0006648823386058212,0.0003974956256570295,0.00015029744681669402,0.0002901972358813509,0.0003371463855728507,0.001721576607087627,0.023857902735471725,0.0003573740017600358,0.0005031893058912829,0.35859021395444873,0.006189197627827526,0.05341159421950579,0.0014136346464511008,3.75223890542984,0.0009913271089317278,0.0002563074289355428,0.0020886915619485083,0.9878591805696487,0.0011959398398175836,0.3631380423903465,0.25567180663347244,0.20927305594086645,0.0010303239687345922,0.0020417701452970505,0.02531049717217684,0.0012009210127871487,0.0005608324107015506,0.00043148819822818045,0.0004990023764548824,0.2977812200784683,0.0031736162025481464,0.3148272544145584,0.688112074136734,0.004464750899933279,0.002128466730937362,0.0010700650163926184,0.017106248158961532,0.0006796754139941187,0.006102557270787657,0.014346047444269063,0.0037405914627015595
Spotx10,0.0008020095439860598,0.30992411226034167,0.25181876569986344,0.0003357740046340041,0.00044392883864929905,0.00012449300375010354,0.00045569457288365813,0.08336863815784454,0.00023364609005511745,0.00011628619322436863,0.0006846956472145394,0.001290853216778487,0.000826914343633689,0.0005273897375445814,0.00011489857606648004,0.0013199140899814667,5.760242020187434e-05,0.00027937478589592504,0.023296245746314528,0.0025404377724044026,0.0002586781629361212,0.2769300192594528,1.019381296634674,0.009893331630155443,0.0023286429699510337,0.000632074457826093,0.001101168099557981,0.01667437218129635,0.002735161886084825,0.0009428511373698713,0.00013204010756453501,0.0006699897901853547,0.0006580539949936793,0.00019904930304619485,0.4066335141658783,0.219135070592165,0.3234266221523285,8.239763919846155e-05,0.00015573881537420673,0.0020498564001172784,0.0004984164232155308,0.00015692218148615213,6.759329480701128e-05,9.654305358708372e-05,0.0007506622525397691,0.0008151564397849144
Spotx11,0.6478185951709747,1.859462070465088,0.9342654317617417,0.760611093044281,0.001042714703362435,9.744029739522375e-05,4.112866281502648e-05,0.014610804663971067,3.5766770633927083e-05,4.351909483375494e-05,0.00012301716415095144,0.00010846151126315818,1.6346487336704742e-05,1.4664414129583747e-05,2.4470355492667297e-05,1.15040430046065e-05,2.6107086432602956e-05,2.1045914581918624e-05,2.658906696524355e-05,1.4442286192206667e-05,0.015004918351769448,1.8800239286065337e-05,0.8074107348918915,2.4341953303519403e-05,7.65200584282866e-05,2.7014536135538948e-05,1.7369713805237553e-05,0.09897939264774322,1.782511944838916e-05,3.968196833739057e-05,4.788276582985418e-05,2.6282868930138648e-05,1.9132984925818166e-05,0.0006329835945507512,1.2384561538696288,2.972025358758401e-05,3.1840514202485794e-05,2.1468283648573564e-05,1.5261419093803852e-05,0.00023579347980557942,0.014296286832541227,1.6361109692297764e-05,7.656080015294721e-05,0.0004003772613941692,0.00019089328125119213,4.68997528514592e-05
Spotx12,0.5145559519529342,0.0010149673384148628,0.0023377580684609714,0.0003034768116776832,0.03872946035116911,0.003848227194976062,0.00921608954668045,0.0021216478548012675,0.001935926650185138,0.00023423827151418665,0.0045292996102944015,0.06721813939511775,0.011024825694039465,0.2001890130341053,0.0007050448650261388,0.1348842479288578,0.00018066762204398405,0.0007259200181579218,0.00013082477744319476,0.2581857189536095,6.44727668259293e-05,0.00020334059299784716,0.0016102130233775825,0.0029223816352896394,0.22903026640415194,0.001683489175047726,0.43222395926713947,0.007467332389205695,0.5985720813274384,0.0064471028046682475,0.005335105769336224,0.012313912529498339,1.1116117000579835,0.0005786841618828476,0.0010142045153770595,0.0004473583467188291,0.12734438627958297,0.004834545124322176,0.003906779899261892,0.0010514377150684594,0.257740917801857,0.005403379490599038,3.564665694284486e-05,9.354994435852861e-05,0.0005700507463188843,0.002564825292211026
Spotx13,0.6694403916597367,0.2555020794272423,1.177657437324524,0.005496387369930744,0.365283115208149,6.826834433013574e-05,0.00022656351065961645,0.00017781600909074773,0.00018545838684076444,5.07430710058543e-05,8.907476985768881e-05,5.695120526070241e-05,0.00011260908358963207,0.0007943293021526188,0.0001726121656247415,0.00018361597467446701,0.0001004197354632197,8.05654166470049e-05,8.581409383623396e-05,8.578691704315134e-05,0.00010959218161588069,0.18995605334639548,0.9249883741140366,0.001010511201457121,0.08142504915595054,0.45532891899347305,0.0037384962430223826,0.10404978916049004,0.04130834732204676,0.00014325017327792013,0.019510604720562697,0.038214930705726145,1.0706944942474366,0.0004352256437414326,0.18144637793302537,0.005153401242569089,0.0011736796295735985,0.00034111122367903597,0.00280435192398727,0.40932665914297106,0.6372217833995819,0.0004470218409551308,7.477686958736741e-05,0.0032635220442898574,0.0007824652013368905,0.0012750942609272898
Spotx14,1.6476669861731354e-05,1.4886245526213316e-05,1.4436967467190699e-05,6.348634883579507e-06,1.7189695790875705e-05,1.4756752818811952e-06,2.2199272166290034e-06,5.473149826684677e-06,5.4750701110606315e-06,1.5386830682473376e-06,8.694964799360605e-06,8.10256838121859e-06,1.6145580593729396e-05,1.0064222533401336e-05,2.788797883113148e-06,3.861245363623313e-06,2.9043371341686003e-06,8.480682390654694e-06,1.3888370176573517e-05,3.270739637173392e-06,0.3207434803247452,5.1706102340176595e-06,0.38063855320215223,1.0346554518037014e-06,1.0093891091855769e-06,3.0496143381242298e-06,1.258850801377776e-06,4.551305801214767e-06,7.486422930469416e-07,1.1376180964361994e-06,1.4668797632566568e-06,1.3082753014259654e-06,2.187404913911451e-06,1.2973936065918682e-06,1.3601185457901013e-06,1.4797091523632845e-06,7.70008307426906e-06,2.882399235204503e-06,1.7784849660529293e-06,3.5214775380154614e-06,2.4098139306261163e-06,6.919105976521678e-06,2.4572183974669317e-06,5.659063390339726e-07,1.7651131940965572e-06,1.5149678802117705e-05
Spotx15,0.5833482772111893,0.0006665220280410723,0.6021882504224777,0.19119629189372062,0.0025426696520298724,0.00036772889434359967,4.8709704606153545e-05,0.00038050602306611837,0.00014173202871461398,0.1035779781639576,0.00013999677830724976,0.00018977217041538097,5.135280971444445e-05,0.00023085514403646813,7.853183924453334e-05,4.537039039860247e-05,2.874789370252984e-05,0.00027017681713914504,0.0008871309546520935,0.00010341139823140112,0.3741057708859444,0.0008477108262013644,1.7273725271224976,0.04295678772032261,8.377009908144828e-05,0.00017724545541568658,0.0008807720616459847,0.0008723790262592957,8.451582725683695e-05,3.7543042890320076e-05,0.8311449289321899,3.0323217288241725e-05,5.924442957621069e-05,3.842431015073089e-05,2.5840469788818154e-05,4.799337548320182e-05,7.472174438589718e-05,0.00010458027609274725,0.5172301530838013,0.0008428047614870594,0.0029905141680501403,9.782727574929597e-05,1.990469827433117e-05,4.3553213799896184e-05,0.0021785006043501197,0.0001458388192986604
