,mean_nUMI_factorsAstro_0,mean_nUMI_factorsAstro_1,mean_nUMI_factorsAstro_2,mean_nUMI_factorsAstro_3,mean_nUMI_factorsAstro_4,mean_nUMI_factorsExt_Amy_1,mean_nUMI_factorsExt_Amy_2,mean_nUMI_factorsExt_ClauPyr,mean_nUMI_factorsExt_Hpc_1,mean_nUMI_factorsExt_Hpc_2,mean_nUMI_factorsExt_Hpc_3,mean_nUMI_factorsExt_Hpc_4,mean_nUMI_factorsExt_L23,mean_nUMI_factorsExt_L25,mean_nUMI_factorsExt_L56,mean_nUMI_factorsExt_L5_1,mean_nUMI_factorsExt_L5_2,mean_nUMI_factorsExt_L6,mean_nUMI_factorsExt_L6B,mean_nUMI_factorsExt_Pir,mean_nUMI_factorsExt_Thal_1,mean_nUMI_factorsExt_Thal_2,mean_nUMI_factorsExt_Unk_3,mean_nUMI_factorsInh_1,mean_nUMI_factorsInh_2,mean_nUMI_factorsInh_3,mean_nUMI_factorsInh_4,mean_nUMI_factorsInh_5,mean_nUMI_factorsInh_6,mean_nUMI_factorsInh_Lamp5,mean_nUMI_factorsInh_Meis2_1,mean_nUMI_factorsInh_Meis2_2,mean_nUMI_factorsInh_Meis2_3,mean_nUMI_factorsInh_Meis2_4,mean_nUMI_factorsInh_Pvalb,mean_nUMI_factorsInh_Sst,mean_nUMI_factorsInh_Vip,mean_nUMI_factorsLowQ_2,mean_nUMI_factorsMicro,mean_nUMI_factorsNb_1,mean_nUMI_factorsNb_2,mean_nUMI_factorsOPC_1,mean_nUMI_factorsOPC_2,mean_nUMI_factorsOligo_1,mean_nUMI_factorsOligo_2,mean_nUMI_factorsUnk_1
Spotx1,761.7413940429688,17.621681213378906,2687.618896484375,807.6107788085938,242.8529815673828,63.582942962646484,33.355812072753906,17.831804275512695,12.803223609924316,20.018953323364258,30.489484786987305,25.6560001373291,29.23722267150879,252.749755859375,21.83305549621582,30.221923828125,40.2625617980957,21.275339126586914,14.469572067260742,35.326568603515625,76.81175231933594,85.20858001708984,2559.91943359375,2042.1781005859375,320.4562683105469,42.44794464111328,1685.734375,629.2124633789062,117.71993255615234,19.04046630859375,32.09505844116211,726.8884887695312,1814.579345703125,34.21324920654297,84.28875732421875,381.04736328125,112.53514099121094,30.897266387939453,6.460685729980469,16.505603790283203,873.692138671875,36.06120681762695,22.402936935424805,74.24976348876953,17.22001838684082,17.11365509033203
Spotx2,7.042445182800293,6.467853546142578,5.690451622009277,7.5122246742248535,3.689680814743042,40.9191780090332,37.93608093261719,39.33038330078125,18.190547943115234,24.699750900268555,63.5580940246582,45.00819778442383,22.248136520385742,24.093242645263672,53.06058120727539,32.57535171508789,22.654590606689453,36.089866638183594,28.581321716308594,50.974185943603516,32.76327133178711,60.53459167480469,7108.98486328125,107.33831787109375,1783.90234375,1244.0750732421875,158.16366577148438,413.90667724609375,72.0916976928711,54.687381744384766,77.04409790039062,1467.586181640625,4305.7392578125,259.3577575683594,10043.826171875,95.36621856689453,2215.248046875,383.5870056152344,3.5500705242156982,48.137733459472656,20.494953155517578,16.235780715942383,6.133978366851807,104.40240478515625,29.346546173095703,287.54986572265625
Spotx3,72.99089813232422,53.432254791259766,18.176544189453125,29.794286727905273,585.0004272460938,120.33206939697266,52.306453704833984,609.7711181640625,159.95985412597656,47.64983367919922,26.966079711914062,25.42691421508789,207.98138427734375,160.22972106933594,1079.6688232421875,141.24888610839844,34.823665618896484,1729.720458984375,37.51335525512695,145.6138153076172,17.348773956298828,21.955463409423828,1926.865234375,1903.974365234375,106.14618682861328,70.43144226074219,202.93283081054688,78.50435638427734,42.09495544433594,43.82648468017578,22.772403717041016,157.51766967773438,4670.14208984375,153.95372009277344,5175.64794921875,1027.45458984375,32.13606262207031,35.56768798828125,17.08452033996582,75.13923645019531,208.3539276123047,26.601900100708008,36.75897216796875,14.12390422821045,13.335867881774902,18.88178825378418
Spotx4,6.411383152008057,11.856045722961426,7.9768266677856445,15.725271224975586,7.9576735496521,95.56000518798828,880.2718505859375,61.76948928833008,58.846656799316406,82.25016784667969,47.21159362792969,37.833473205566406,175.4629364013672,119.24947357177734,687.6244506835938,9756.16015625,165.3192138671875,125.62641143798828,76.41497802734375,434.8005676269531,173.90846252441406,606.4336547851562,6296.8779296875,206.90773010253906,1416.3271484375,2369.24462890625,673.3165893554688,113.8249282836914,126.01753234863281,26.19643783569336,1638.893310546875,542.6566162109375,3031.3115234375,67.11473083496094,243.10183715820312,440.6852111816406,28.107730865478516,81.08424377441406,1802.6273193359375,82.72241973876953,31.458648681640625,12.230661392211914,29.77682876586914,90.76316833496094,50.172874450683594,62.15768051147461
Spotx5,509.4795837402344,45.616275787353516,1192.1453857421875,516.487060546875,14.096664428710938,811.3591918945312,34.55290222167969,41.87528610229492,35.45967102050781,49.63813781738281,56.55558776855469,50.54432678222656,334.733642578125,66.7907485961914,58.997127532958984,38.57259750366211,15.40791130065918,1161.7955322265625,29.384008407592773,7547.0029296875,46.95305252075195,14.068004608154297,21.2844295501709,12.621031761169434,14.35933780670166,16.54473876953125,14.73241138458252,37.32898712158203,18.824392318725586,42.06520080566406,9.697334289550781,1431.433837890625,5769.64599609375,16.765920639038086,54.989742279052734,4514.9150390625,31.43328094482422,32.12562942504883,50.14516067504883,13.891096115112305,9.508374214172363,6.831869602203369,18.055166244506836,10.151129722595215,5.248395919799805,16.550329208374023
Spotx6,10.736538887023926,16.12628936767578,9.690346717834473,18.972097396850586,13.429861068725586,209.37881469726562,185.04209899902344,46.81544494628906,70.45663452148438,151.165771484375,62.44292068481445,2399.47705078125,790.510986328125,67.61672973632812,70.4492416381836,94.6427993774414,515.7613525390625,93.01128387451172,53.47720718383789,49.681827545166016,66.52387237548828,1133.744873046875,5893.63134765625,207.1280975341797,1449.966796875,76.53472137451172,107.6001968383789,61.11342239379883,86.92921447753906,149.14352416992188,35.69353103637695,56.99718475341797,9584.9326171875,43.35844802856445,49.46929168701172,98.40950775146484,85.01673889160156,747.5949096679688,6.923954010009766,119.70658874511719,62.50067901611328,5477.2705078125,18.21158218383789,232.97267150878906,34.212623596191406,32.861881256103516
Spotx7,4.974234580993652,5.123970985412598,6.696988105773926,4.953677177429199,6.192982196807861,15.713281631469727,34.17424774169922,22.304195404052734,37.78134536743164,825.3267211914062,29.050148010253906,31.608312606811523,95.52592468261719,49.564815521240234,1358.7364501953125,13049.3681640625,1541.698486328125,3930.9873046875,109.97779846191406,41.057621002197266,36.122718811035156,37.60772705078125,3002.735107421875,35.39442443847656,141.2246856689453,38.96607971191406,40.72699737548828,32.231414794921875,33.259029388427734,38.76226806640625,158.2688446044922,76.04606628417969,30.397741317749023,34.12751388549805,2096.246826171875,263.75762939453125,79.21387481689453,103.12077331542969,69.66210174560547,29.836408615112305,101.48680114746094,14.37569808959961,4.288661003112793,6.741629600524902,10.311064720153809,7.79615592956543
Spotx8,62.841068267822266,78.28591918945312,2299.0087890625,1363.2218017578125,57.605472564697266,497.4801330566406,295.1048583984375,428.2605285644531,699.525634765625,5658.56884765625,122.31758880615234,1425.0699462890625,33.92501449584961,59.481361389160156,107.3031234741211,90.91810607910156,61.59583282470703,69.40220642089844,51.98322677612305,86.67216491699219,45.344879150390625,77.1692886352539,144.05084228515625,131.42552185058594,3033.9013671875,5147.72802734375,5004.43408203125,73.17985534667969,197.40093994140625,146.9711151123047,111.77345275878906,77.60520935058594,4811.47021484375,126.91535949707031,505.65771484375,310.54095458984375,464.5649719238281,147.2037811279297,10.47679328918457,181.58030700683594,24.731721878051758,114.00080871582031,24.005781173706055,21.838747024536133,225.88829040527344,109.56395721435547
Spotx9,40.85057830810547,73.2532730102539,69.58352661132812,879.4649047851562,20.010147094726562,52.25922393798828,48.26917266845703,63.94026565551758,40.38636016845703,63.5064811706543,56.14022445678711,229.6588592529297,52.694087982177734,66.70094299316406,1620.488525390625,186.42465209960938,631.0016479492188,93.49729919433594,17192.4453125,103.82342529296875,34.332923889160156,98.98292541503906,4797.83251953125,66.08406066894531,1886.0831298828125,910.9654541015625,1080.5216064453125,61.65385055541992,63.56283187866211,218.2368927001953,56.908687591552734,61.76871871948242,33.136199951171875,59.77286148071289,1393.6756591796875,111.80809020996094,1178.4739990234375,2217.629638671875,34.49583053588867,47.326866149902344,30.48357391357422,115.52698516845703,39.051490783691406,71.92191314697266,64.50082397460938,69.09306335449219
Spotx10,19.308008193969727,380.2901306152344,459.2875671386719,15.852513313293457,11.098094940185547,26.39755630493164,49.75202941894531,492.79449462890625,25.61544418334961,18.871938705444336,20.240678787231445,37.50370407104492,59.03431701660156,24.002214431762695,17.893428802490234,58.88579559326172,30.758625030517578,24.185283660888672,259.1106872558594,66.54231262207031,30.75872230529785,1345.360595703125,4780.7490234375,123.47123718261719,82.12692260742188,37.544654846191406,41.37969970703125,186.23416137695312,62.98234558105469,37.220523834228516,23.75038719177246,36.45454788208008,36.63158416748047,23.465219497680664,1628.9176025390625,974.8853149414062,1080.41552734375,12.269021987915039,5.483514308929443,30.15617561340332,15.580653190612793,13.356534004211426,8.910991668701172,7.537229061126709,11.72431468963623,15.041172981262207
