"","predicted.id","prediction.score.Inh_4","prediction.score.Oligo_2","prediction.score.Ext_Hpc_4","prediction.score.Ext_Unk_3","prediction.score.OPC_1","prediction.score.Inh_1","prediction.score.Ext_Pir","prediction.score.Ext_ClauPyr","prediction.score.LowQ_2","prediction.score.Ext_Amy_2","prediction.score.Micro","prediction.score.Ext_L23","prediction.score.Inh_Pvalb","prediction.score.Inh_5","prediction.score.Inh_Sst","prediction.score.Ext_Thal_1","prediction.score.Ext_L25","prediction.score.OPC_2","prediction.score.Ext_Hpc_1","prediction.score.Inh_Meis2_2","prediction.score.Astro_0","prediction.score.Inh_6","prediction.score.Unk_1","prediction.score.Ext_L5_2","prediction.score.Ext_L5_1","prediction.score.Ext_L56","prediction.score.Astro_2","prediction.score.Inh_Meis2_1","prediction.score.Ext_Hpc_2","prediction.score.Ext_L6","prediction.score.Oligo_1","prediction.score.Ext_Amy_1","prediction.score.Inh_Lamp5","prediction.score.Inh_2","prediction.score.Ext_Thal_2","prediction.score.Astro_1","prediction.score.Inh_Vip","prediction.score.Inh_Meis2_3","prediction.score.Inh_3","prediction.score.Ext_Hpc_3","prediction.score.Astro_3","prediction.score.Ext_L6B","prediction.score.Inh_Meis2_4","prediction.score.Nb_2","prediction.score.Nb_1","prediction.score.Astro_4","prediction.score.max","spot"
"Spotx1","Astro_0",0,0.000138750954831981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559913356671312,0,0,0,0,0,0.345047093084422,0,0,0,0,0,0,0,0,0.00169879688551826,0,0,0,0,0,0,0,0.00892158459367674,0,0.0842804178102387,0.559913356671312,"Spotx1"
"Spotx2","Inh_Sst",0,0,0,0,0,0,0.00703203971332178,0,0,0,0,0,0.139214379016343,0,0.837283904929103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471586774471736,0,0.0100554612056685,0,0.00141500789185257,0.000283339498993883,0,0,0,0,0,0,0,0,0.837283904929103,"Spotx2"
"Spotx3","Inh_Pvalb",0,0,0,0,0,0,0,0,0,0,0,0.00277869710623939,0.814414801879968,0,0.0144065280447332,0,0,0,0,0.0141993155714707,0,0,0.00207087691871645,0,0,0,0,0.0465702448520609,0,0.0235965044037127,0,0,0,0,0.06572278815326,0,0,0.00319936319887873,0,0,0,0,0,0,0,0.0130408798709596,0.814414801879968,"Spotx3"
"Spotx4","Micro",0,0.00195950647117822,0.0542299772057151,0.00282413008207116,0,0.00493242861314036,0,0,0,0,0.567160645585278,0,0,0,0,0,0.00148977856704903,0,0,0,0,0,0,0,0.219892016474156,0,0.00247053487974747,0,0,0.118782934044828,0,0,0,0.000186302944849826,0.0260717451319865,0,0,0,0,0,0,0,0,0,0,0,0.567160645585278,"Spotx4"
"Spotx5","Inh_Sst",0,0,0,0,0,0.00657237827944863,0.156313734077452,0,0,0,0,0,0.0987750725676637,0,0.537734769163842,0,0,0,0,0.0771924135187124,0.042282266760808,0,0,0,0,0,0,0,0,0,0,0.0326851011995739,0.0217299026920403,0,0,0.00759626415305183,0.0126673339368094,0.00582302106064303,0,0,0,0,0,0.000627742589955332,0,0,0.537734769163842,"Spotx5"
"Spotx6","OPC_1",0,0.000245478871650618,0,0,0.979432070838774,0,0,0,0,0,0,0,0,0,0,0.000548660508416324,0.00369824346880439,0,0,0,0,0,0,0.0105360728574863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306995667130713,0,0,0.00233889666984186,0,0,0.000130620113719199,0,0,0.979432070838774,"Spotx6"
"Spotx7","Ext_L5_1",0,0,0,0,0,0,0.020444392144426,0,0,0.0330154895091877,0,0.127055546985429,0,0,0,0,0,0,0,0,0,0,0.019417487458502,0,0.800067083902456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800067083902456,"Spotx7"
"Spotx8","Inh_2",0.0785466517981507,0.00527451888955437,0,0,0,0.1794995611106,0,0,0,0.0950842134843397,0,0,0,0.0348236956045351,0,0,0,0,0,0.0261288407171698,0.0233930952231561,0,0.0312742860778939,0,0,0,0.0300732564390237,0.104059214946448,0,0,0,0,0,0.274226400995376,0,0,0.00964647164824987,0.00669751353222311,0.0440072794720757,0,0,0,0,0,0,0.0572650000612033,0.274226400995376,"Spotx8"
"Spotx9","Ext_L6B",0,0,0,0.000360748787708914,0,0.000360748787708914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997292093240415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899549293100541,0,0,0,0,0.899549293100541,"Spotx9"
"Spotx10","Inh_4",0.744755580751768,0.00409691810624548,0,0.00445013271840795,0,0.0784879030631885,0,0,0,0,0,0,0,0,0.00627568883101668,0,0.0114118735731532,0,0,0,0,0,0.00973970186667917,0,0,0,0,0,0,0,0,0,0.000197742942934971,0.00108155843312225,0.0264892014312568,0,0.00415680593760832,0,0.0923741212647611,0,0,0.0164827710798578,0,0,0,0,0.744755580751768,"Spotx10"
