	Astro_0	Astro_1	Astro_2	Astro_3	Astro_4	Ext_Amy_1	Ext_Amy_2	Ext_ClauPyr	Ext_Hpc_1	Ext_Hpc_2	Ext_Hpc_3	Ext_Hpc_4	Ext_L23	Ext_L25	Ext_L56	Ext_L5_1	Ext_L5_2	Ext_L6	Ext_L6B	Ext_Pir	Ext_Thal_1	Ext_Thal_2	Ext_Unk_3	Inh_1	Inh_2	Inh_3	Inh_4	Inh_5	Inh_6	Inh_Lamp5	Inh_Meis2_1	Inh_Meis2_2	Inh_Meis2_3	Inh_Meis2_4	Inh_Pvalb	Inh_Sst	Inh_Vip	LowQ_2	Micro	Nb_1	Nb_2	OPC_1	OPC_2	Oligo_1	Oligo_2	Unk_1
ENSMUSG00000092341	0.004878668	0.0044197487	0.0047842152	0.003935519	0.005485379	0.0024111702	0.0032498054	0.0048642457	0.0042228224	0.006314349	0.0042404267	0.0038682213	0.004336428	0.004316169	0.0037926245	0.004167508	0.004445224	0.0047619618	0.0026118788	0.0035565617	0.0031440526	0.00258385	0.0026955141	0.0019796607	0.002702467	0.0021425334	0.0019593947	0.0026640454	0.0025743032	0.0022999851	0.002623166	0.0033434003	0.0032743248	0.0034614278	0.0034377952	0.002960168	0.0029701001	0.0025117511	0.003184678	0.0020915612	0.00289062	0.0030333407	0.0042671296	0.007126964	0.0061251437	0.0028433017
ENSMUSG00000021268	0.0001596969	0.00021551581	0.00012395356	0.00016207516	0.00031403734	0.0028125965	0.002850644	0.0025739393	0.0026138474	0.002432403	0.00093842216	0.00068332255	0.002482287	0.0022461873	0.0020277163	0.0023456484	0.0031937375	0.0022199405	0.0027262382	0.0024607058	0.0034730618	0.0035959303	0.0039925985	0.0040772036	0.00473209	0.004252702	0.004553315	0.00398203	0.0025761295	0.003203206	0.0026825934	0.0026228237	0.0021820494	0.0036703227	0.004249263	0.004405684	0.004402574	0.0038824484	0.0003220583	0.000542847	0.00059115066	0.00046043776	0.000120098324	9.5894546e-05	0.00017534201	0.002303557
ENSMUSG00000029088	8.2094186e-05	0.000116178046	5.9111564e-05	8.819908e-05	0.000122798	0.00044589813	0.000682691	0.00075714843	0.0007839185	0.00039060923	0.000884458	0.0007172507	0.00081930833	0.0003902859	0.00017862055	0.0005744134	0.000606753	0.00071786565	0.00052641996	0.0004968769	0.0017460893	0.0018269042	0.0006035696	0.00036463948	0.00025508297	0.00032945527	0.00026317057	0.00011329523	0.00012268282	0.00034665468	0.0006327513	0.0003382629	0.00048297946	2.0169366e-05	0.0001629262	9.675977e-05	0.0002459248	0.00044681632	0.00011679045	0.00011364008	7.742341e-05	8.298101e-05	5.9981685e-05	4.522575e-05	5.7594185e-05	0.000652437
ENSMUSG00000044349	0.00029992478	0.00039026653	0.0002591135	0.00024220212	0.00045692624	0.002867566	0.00406584	0.003942687	0.0044358037	0.004099524	0.0007045544	0.00023085646	0.0038987554	0.00471458	0.0043841526	0.0042735343	0.005133156	0.0037190716	0.004216468	0.0034402097	0.0070339595	0.0059850896	0.0070998776	0.0063532703	0.0065416307	0.006072741	0.0065172478	0.006126337	0.0072410456	0.0061076684	0.0034914808	0.0038790298	0.0028851207	0.007653195	0.0067847623	0.006091039	0.0059974366	0.0055974326	0.0005033576	0.0003209274	0.00048944535	0.000398053	0.00026616646	0.00022143751	0.0003440429	0.003225161
ENSMUSG00000061080	0.0019830898	0.001573747	0.0022372545	0.0019255023	0.001423402	0.0029865738	0.0015154221	0.00061139633	0.0015056316	0.0010125522	0.0010815158	0.0008465275	0.0003371346	0.00042366204	0.00033625736	0.0003758311	0.00010982163	0.00031148602	0.0003697182	0.00090126804	0.00039029203	0.0005634439	0.0009894022	0.00097106345	0.00071696384	0.00093824195	0.0010357187	0.000853197	0.001015085	0.0006029666	0.0007700374	0.00022207336	0.00065487035	0.0007291238	0.00083827757	0.0010457562	0.0007049219	0.0006035348	0.00010611003	0.0007786301	0.00019943275	0.0016980167	0.0013300705	0.00012372363	0.00014430631	0.00074940553
ENSMUSG00000055421	0.0009319165	0.00091681984	0.000859017	0.0008690925	0.00064253487	0.0012788764	0.00050947076	0.001201702	0.0005478316	0.00075124414	0.00054347876	0.00063392334	0.0005987784	0.0011988672	0.0016298266	0.0007594212	0.00053378113	0.0009833183	0.0013919414	0.0006666761	0.0013255996	0.0006171802	0.0008199987	0.0005034841	0.0004706056	0.0006186285	0.0005070084	0.00026358294	0.0005267141	0.0006349749	0.000559421	0.00082199636	0.0004994594	0.0015052779	0.00060984987	0.00054584205	0.00036349014	0.0008484025	0.00010736874	0.00039039474	0.0008119023	0.0013582903	0.0011070938	0.0045005297	0.0032623892	0.0007257462
ENSMUSG00000028399	0.00021217145	0.00026196078	0.00019875367	0.00024938007	0.00018767882	0.0014780941	0.0016741594	0.00050752686	0.0003487834	0.00020986669	0.0008694724	0.000740776	0.0020905882	0.0034850584	0.002628349	0.003151166	0.0017769296	0.00198958	0.002001206	0.0024665245	0.0007889441	0.0014275535	0.00065774337	0.00074105145	0.0007451663	0.0008858317	0.0007784	0.0019267714	0.0009161616	0.00047713143	0.00018858405	0.0011838466	0.00044869925	0.0013174453	0.00022738765	0.00022792755	0.0004489558	0.0026133906	0.00013858282	0.00066510926	0.00012953852	0.00028670352	0.00021137157	0.0018811434	0.001386352	0.0011496831
ENSMUSG00000008658	5.2289124e-05	9.420645e-05	4.8654114e-05	0.00013515026	0.0001151381	0.0011607942	0.0008116311	0.00073744496	0.0012757626	0.0012618129	0.00071604515	0.0006793224	0.0007802648	0.0004220105	0.0014246376	0.0005251952	0.00094399403	0.0008574744	0.0010891613	0.00089485216	0.0018645644	0.0015286615	0.0022229848	0.00062640524	0.00044125205	0.0003758551	0.00046837595	0.0013780035	6.326648e-05	0.0008810731	0.00069881085	0.0011846605	0.0011564355	0.0010035029	0.0014001182	0.0013466353	0.0003310799	0.00060836464	9.7862954e-05	0.0020644204	0.00025003013	0.0005214429	6.893259e-05	2.333226e-05	4.740476e-05	0.0008191311
ENSMUSG00000052572	0.00019181475	0.0003280359	0.00014244499	0.00032444362	7.3518015e-05	0.0032157884	0.002465459	0.0023787478	0.003361736	0.002664317	0.0028384472	0.003256975	0.0037320142	0.0024290096	0.004460845	0.0030118162	0.0031238429	0.0034671419	0.0044363905	0.0028434426	0.0006557916	0.00094467413	0.0009395141	0.0029056903	0.0023181094	0.0022546153	0.0021920667	0.0015233392	0.001945107	0.0020924672	0.0038844317	0.0040491032	0.0045202677	0.0022755263	0.0028949643	0.0034292766	0.0024526075	0.0024173262	0.0001804519	0.0012236739	0.00024111815	0.0014092404	0.00052434864	0.000661742	0.0009821277	0.001738982
ENSMUSG00000041014	6.1389845e-05	6.423095e-05	5.220362e-05	5.2105494e-05	5.9043225e-05	0.0021396829	0.0018398054	0.00182333	0.0016076168	0.002149928	0.001510204	0.0021573806	0.0018688355	0.001991896	0.0023943072	0.002072409	0.0020981831	0.002169347	0.0028453362	0.0020050476	0.0027705366	0.002406598	0.0021994538	0.00131247	0.0016728758	0.0017057577	0.0017533399	0.0016137661	0.0023526903	0.0014896309	0.00080335565	0.0005030849	7.864275e-05	0.0011868733	0.001700806	0.0016798323	0.0019609204	0.0031655803	8.2433406e-05	0.0018384184	0.0001765889	0.0007157128	0.00010049648	4.884062e-05	6.978138e-05	0.001344415
