	Astro_0	Astro_1	Astro_2	Astro_3	Astro_4	Ext_Amy_1	Ext_Amy_2	Ext_ClauPyr	Ext_Hpc_1	Ext_Hpc_2	Ext_Hpc_3	Ext_Hpc_4	Ext_L23	Ext_L25	Ext_L56	Ext_L5_1	Ext_L5_2	Ext_L6	Ext_L6B	Ext_Pir	Ext_Thal_1	Ext_Thal_2	Ext_Unk_3	Inh_1	Inh_2	Inh_3	Inh_4	Inh_5	Inh_6	Inh_Lamp5	Inh_Meis2_1	Inh_Meis2_2	Inh_Meis2_3	Inh_Meis2_4	Inh_Pvalb	Inh_Sst	Inh_Vip	LowQ_2	Micro	Nb_1	Nb_2	OPC_1	OPC_2	Oligo_1	Oligo_2	Unk_1
Spotx1	0.08248732	1.9322739e-10	0.15303318	0.029101051	0.021710198	1.933524e-10	1.9327126e-10	1.9326464e-10	1.932838e-10	1.9312388e-10	1.9321414e-10	1.9312497e-10	1.9314009e-10	1.9331331e-10	1.9308483e-10	1.9313898e-10	1.9331219e-10	1.9314375e-10	1.9329931e-10	1.9333136e-10	1.9373743e-10	0.02311195	0.16407616	0.17041536	0.083842166	1.9335054e-10	1.9426322e-10	0.025651487	0.0026932864	1.9342616e-10	0.022767866	1.9320788e-10	0.10008512	0.017834924	1.9329302e-10	1.933417e-10	1.9326649e-10	0.01096044	0.013546305	1.9315886e-10	0.07365762	1.9351841e-10	0.005025597	1.9326316e-10	1.9313089e-10	1.9314302e-10
Spotx2	9.748506e-11	9.7389166e-11	9.750905e-11	9.73821e-11	9.741201e-11	9.7455495e-11	9.751017e-11	0.00031163264	9.7419635e-11	9.75217e-11	9.7508494e-11	0.01310973	9.744769e-11	9.742985e-11	9.7415354e-11	9.750588e-11	9.7510354e-11	9.753546e-11	9.7489156e-11	9.753324e-11	0.005665656	9.755481e-11	0.20450483	9.747632e-11	0.04256839	0.01320715	8.5959084e-10	9.746312e-11	0.030242046	9.798521e-11	0.002694095	0.08080553	0.091030866	0.04674769	0.33905697	9.75323e-11	0.057055473	0.01630477	9.748451e-11	9.754886e-11	0.01615718	9.740978e-11	9.7444164e-11	0.008011056	0.002919039	0.029607765
Spotx3	1.52732e-10	1.5273578e-10	1.527556e-10	1.5271365e-10	0.03129927	1.526653e-10	1.5276026e-10	0.046912406	1.5259573e-10	1.5313367e-10	1.5263647e-10	1.5252037e-10	0.0041444087	0.024837425	0.05636219	1.5338593e-10	1.527218e-10	0.11219912	1.5276753e-10	0.020117654	1.5255323e-10	1.5263735e-10	0.06418337	0.0075022625	1.5268335e-10	1.5296814e-10	0.051221363	0.0025500802	1.5268889e-10	0.016709363	1.5267695e-10	0.01855493	0.22603978	1.5277715e-10	0.25883192	0.02452764	1.5271016e-10	1.5286634e-10	0.017140644	1.5260679e-10	0.016866151	1.5265948e-10	1.5269064e-10	1.5253579e-10	1.5266965e-10	1.5267985e-10
Spotx4	9.176237e-11	9.168784e-11	9.169272e-11	9.175624e-11	9.170498e-11	0.006604894	0.06629327	9.178477e-11	9.210623e-11	9.1837656e-11	9.175361e-11	9.177917e-11	0.013751261	9.1866556e-11	0.033066608	0.26395428	9.1940185e-11	9.184256e-11	9.180017e-11	9.186638e-11	9.182504e-11	0.033088844	0.1565698	9.187602e-11	0.047941398	9.2096566e-11	0.014196338	0.032765195	0.01832802	9.173296e-11	0.031092495	0.040043425	0.037739106	0.0009413374	0.020491743	0.009292788	9.169832e-11	0.016795758	0.059894748	0.0041670944	0.014768644	9.171127e-11	9.172789e-11	9.1761834e-11	9.170305e-11	0.07821292
Spotx5	0.06301767	1.4427803e-10	1.4432923e-10	0.03964272	1.4433942e-10	0.06152604	1.4424172e-10	1.4440192e-10	1.44354e-10	1.4439532e-10	0.004561	1.4423594e-10	1.4484906e-10	0.019224841	1.4433914e-10	1.443474e-10	1.443218e-10	1.444989e-10	1.443196e-10	0.36795187	1.4428188e-10	1.441966e-10	1.443039e-10	1.4433281e-10	1.441746e-10	1.442962e-10	1.4423868e-10	1.4418478e-10	1.4428243e-10	0.0021547056	1.441933e-10	0.034520987	0.21939765	1.4432344e-10	1.4458629e-10	0.17826247	1.4435565e-10	1.442065e-10	1.4415205e-10	1.4425576e-10	1.4422026e-10	1.4424996e-10	0.009740069	1.4419413e-10	1.4416525e-10	1.4435841e-10
Spotx6	1.02111285e-10	1.02129576e-10	1.0216797e-10	1.0218687e-10	1.0224672e-10	1.0249001e-10	1.0232535e-10	1.02161925e-10	0.014416101	1.02255114e-10	0.007045796	0.05850521	0.022671057	1.0223542e-10	0.040230963	1.0217479e-10	0.014968055	1.0241028e-10	1.0210465e-10	1.02151995e-10	1.02140886e-10	0.068014674	0.14213005	0.025308805	0.028580625	1.0236029e-10	0.004235844	0.004702236	0.005952348	1.0215452e-10	1.0245893e-10	1.0219798e-10	0.3462972	1.0209512e-10	1.02099405e-10	1.02185115e-10	1.0213952e-10	0.003369633	0.015333103	0.018503208	1.0211148e-10	0.17395814	0.00016266045	1.0214693e-10	0.0056142733	1.0225004e-10
Spotx7	1.0987362e-10	1.0987801e-10	1.09951395e-10	1.0988598e-10	1.099711e-10	1.0992371e-10	0.014223261	1.0995055e-10	1.0998684e-10	0.03231495	1.0998096e-10	0.00012676705	0.0059205517	1.0984909e-10	0.034553867	0.57155275	0.050478272	0.11818125	1.1000593e-10	0.014241733	1.09931265e-10	1.099126e-10	0.084337704	1.0986565e-10	1.100139e-10	1.09858525e-10	1.0987844e-10	1.1034173e-10	0.00035354527	1.1016256e-10	1.09885136e-10	1.0998369e-10	1.0988031e-10	1.10000474e-10	0.026290795	0.03417922	0.0023760856	1.0990022e-10	1.0994048e-10	0.008101317	0.0027678339	1.09947405e-10	1.0992916e-10	1.0992958e-10	1.098183e-10	1.0991952e-10
Spotx8	0.026003106	9.4399794e-11	0.029427823	0.053449173	0.007830976	0.028122423	9.4444286e-11	9.435911e-11	0.03048328	0.18985707	0.028668959	9.448735e-11	9.435929e-11	9.438756e-11	9.448013e-11	9.446374e-11	9.4399974e-11	9.4430595e-11	9.4405025e-11	9.436578e-11	9.4522855e-11	9.4444286e-11	9.443798e-11	9.450987e-11	0.05866997	0.19240054	0.09095282	9.4385395e-11	0.01133926	9.450627e-11	0.00305681	0.00707118	0.080968276	0.020233853	9.4373336e-11	9.443473e-11	0.043605078	0.014749799	9.439961e-11	0.02994218	9.4385395e-11	0.0012633753	0.0029081856	0.00036104102	0.008297588	0.040337324
Spotx9	0.015422006	8.6722296e-11	8.686781e-11	0.009237736	8.6719645e-11	8.667896e-11	8.679825e-11	8.677011e-11	8.668641e-11	8.67812e-11	8.679527e-11	8.6774414e-11	8.67165e-11	8.672891e-11	8.686201e-11	0.003395284	0.025281474	8.672709e-11	0.5809855	8.6828385e-11	8.679146e-11	0.017265866	0.10498274	8.679047e-11	0.011686502	0.06698746	8.688571e-11	8.678517e-11	0.013737452	0.0035346756	8.6652185e-11	8.6721304e-11	8.676846e-11	0.007634834	0.032358382	8.682524e-11	0.011088692	0.04515553	0.0018250388	0.028830796	8.6772596e-11	0.012398136	8.677094e-11	0.0081919	8.675307e-11	8.673338e-11
Spotx10	2.3322538e-10	0.03814241	0.015350809	2.3277474e-10	0.03124376	2.3276098e-10	2.3294663e-10	0.019593451	2.3337043e-10	2.3299684e-10	2.3282223e-10	0.0071833874	2.3285956e-10	2.329453e-10	2.3296484e-10	0.012405912	2.330217e-10	2.3282669e-10	0.026317408	2.3303684e-10	2.3371388e-10	0.101475015	0.39563757	0.019107644	2.3297017e-10	2.329124e-10	2.3289154e-10	0.035344515	0.007302952	2.3325297e-10	2.3293642e-10	0.013460485	0.020896843	0.022488913	0.16165303	0.028219348	0.03190733	2.3288843e-10	2.328489e-10	2.3285912e-10	2.3274989e-10	2.3307598e-10	2.3297816e-10	2.3283558e-10	0.0043653687	0.007903746
