	Astro_0	Astro_1	Astro_2	Astro_3	Astro_4	Ext_Amy_1	Ext_Amy_2	Ext_ClauPyr	Ext_Hpc_1	Ext_Hpc_2	Ext_Hpc_3	Ext_Hpc_4	Ext_L23	Ext_L25	Ext_L56	Ext_L5_1	Ext_L5_2	Ext_L6	Ext_L6B	Ext_Pir	Ext_Thal_1	Ext_Thal_2	Ext_Unk_3	Inh_1	Inh_2	Inh_3	Inh_4	Inh_5	Inh_6	Inh_Lamp5	Inh_Meis2_1	Inh_Meis2_2	Inh_Meis2_3	Inh_Meis2_4	Inh_Pvalb	Inh_Sst	Inh_Vip	LowQ_2	Micro	Nb_1	Nb_2	OPC_1	OPC_2	Oligo_1	Oligo_2	Unk_1
Spotx1	0.10203683	4.4746767e-10	0.17179605	4.477887e-10	4.4732604e-10	0.006543606	4.4770418e-10	4.4718612e-10	4.4705478e-10	4.4726117e-10	4.472049e-10	4.4751547e-10	4.4704798e-10	4.4852125e-10	0.004684148	4.4777163e-10	0.037176352	4.4769563e-10	4.4772208e-10	4.476102e-10	4.474668e-10	0.021010555	0.059330884	4.486753e-10	0.090769246	0.13419619	4.4768708e-10	4.4726717e-10	0.0029685572	0.027308974	0.06707221	0.10541467	4.4882076e-10	4.4743184e-10	0.0072053643	0.04416537	4.4781262e-10	4.4742843e-10	0.03893334	0.037638858	0.024557497	0.017191345	4.471648e-10	4.4732687e-10	4.473371e-10	4.479638e-10
Spotx2	2.48919e-10	2.4899402e-10	2.4900684e-10	2.48975e-10	2.4898453e-10	2.4975125e-10	2.490781e-10	2.4900876e-10	0.032168206	2.4928484e-10	2.4924254e-10	0.014969319	2.49596e-10	2.4924965e-10	2.4919453e-10	2.4940897e-10	2.4979652e-10	0.027101317	2.4925348e-10	2.4945607e-10	2.49898e-10	0.019585472	0.1949439	2.49586e-10	2.503154e-10	0.051789213	2.4914987e-10	2.4936997e-10	0.032639854	0.0009516417	2.4923777e-10	0.04774687	0.07340963	0.044117272	0.32504174	0.035435326	2.492834e-10	0.02199151	2.4924396e-10	2.4906052e-10	0.015519408	0.015733939	0.016755015	0.024231022	0.0058692177	2.494304e-10
Spotx3	0.0133614885	3.4896436e-10	3.489717e-10	3.492387e-10	3.4921668e-10	3.4907152e-10	0.05468042	0.102054596	3.4925535e-10	3.4942527e-10	3.4976533e-10	3.4906822e-10	3.501144e-10	0.03772569	0.053109873	0.035756383	3.4904887e-10	3.5058687e-10	3.4923137e-10	3.494686e-10	3.4923736e-10	3.4964526e-10	0.0064068977	3.4933795e-10	3.4926467e-10	3.494746e-10	3.4911415e-10	3.4922873e-10	0.011406552	3.4942862e-10	3.491881e-10	0.12196432	0.14399321	3.505949e-10	0.33697	0.0034823553	3.490436e-10	0.048504896	0.0045495154	0.0031881838	3.489903e-10	0.0025476944	3.4880795e-10	3.4882128e-10	3.491801e-10	0.02029794
Spotx4	2.320658e-10	2.3207775e-10	2.3186936e-10	2.3196313e-10	2.3199585e-10	2.3207686e-10	0.07401564	2.3213619e-10	2.320888e-10	2.3241307e-10	2.3204455e-10	2.3222387e-10	0.020867245	0.07118504	2.3209898e-10	0.22980368	2.3282526e-10	2.3261752e-10	0.0046252077	2.3240022e-10	2.3210918e-10	2.3270272e-10	0.18416011	2.3231247e-10	2.3245385e-10	0.006589306	0.038717598	0.028039502	0.029182943	2.3218268e-10	0.017079886	2.3220748e-10	0.08435473	0.023214243	2.3226862e-10	2.3208306e-10	2.3219862e-10	2.323169e-10	0.07173237	0.061886415	2.3218268e-10	2.3192019e-10	0.0013980404	2.3188836e-10	2.3206845e-10	0.053148005
Spotx5	0.02173159	2.890779e-10	2.8938846e-10	0.07313787	2.890569e-10	0.027786355	2.892108e-10	0.076725185	0.003409848	2.894536e-10	0.0035868525	2.8912145e-10	2.8924332e-10	0.01119638	0.014957123	0.0051360405	2.8949226e-10	0.015704678	2.8932773e-10	0.20866467	2.890244e-10	2.8900896e-10	2.8929079e-10	2.8905636e-10	2.8918706e-10	2.8901448e-10	2.8916336e-10	2.8897038e-10	2.8925934e-10	0.027615972	2.8907843e-10	2.8941274e-10	0.29848605	2.8973252e-10	0.13428974	0.0703857	2.894641e-10	2.8989672e-10	2.8930347e-10	2.8908614e-10	0.0027488638	2.890128e-10	0.0044369358	2.891683e-10	2.8920305e-10	2.8929464e-10
Spotx6	2.4359348e-10	2.4334876e-10	2.4332508e-10	0.009173435	2.4355865e-10	2.433316e-10	0.002827201	2.4326802e-10	0.0299741	2.4348992e-10	0.06701975	2.4338268e-10	2.434249e-10	0.013468407	0.022142883	2.435164e-10	0.059561133	2.4335947e-10	2.4310476e-10	0.04148805	0.0023370588	0.062267367	0.093580365	0.010640638	2.434769e-10	2.4378966e-10	2.4410185e-10	2.434328e-10	0.007106342	2.4310753e-10	0.01753247	2.4438135e-10	0.26697162	2.4357816e-10	2.4331676e-10	2.4337848e-10	2.4334504e-10	0.0025418794	0.025857868	0.060740527	2.4330563e-10	0.1801307	0.018403575	2.4346528e-10	0.0062346114	2.4338961e-10
Spotx7	2.4762306e-10	2.475277e-10	2.474644e-10	2.4772323e-10	2.4769584e-10	2.4776622e-10	2.479142e-10	2.47848e-10	2.4759472e-10	0.043164995	0.00045963455	2.4758812e-10	0.09799293	2.4786928e-10	2.4771754e-10	0.5522615	2.4820326e-10	0.11920213	2.4772512e-10	0.037314776	2.474644e-10	2.4759947e-10	0.048055433	2.475409e-10	2.4781252e-10	2.475008e-10	2.4779412e-10	0.011111601	0.021780273	2.478735e-10	0.0060057477	2.475244e-10	2.475952e-10	0.01246811	0.024013026	2.482227e-10	0.014460511	2.4770527e-10	2.475971e-10	2.479028e-10	2.4852395e-10	0.011407297	2.4765848e-10	2.4775015e-10	0.00030208466	2.477568e-10
Spotx8	2.24392e-10	2.2446134e-10	0.046483696	0.033054814	2.2435648e-10	0.036965117	2.2494694e-10	0.027362756	0.04452251	0.1523933	0.03150721	2.2562716e-10	2.2441125e-10	2.2449602e-10	2.2439028e-10	2.2439156e-10	0.0069991085	2.2434962e-10	2.2432567e-10	2.244151e-10	2.2456839e-10	2.2432183e-10	2.2432267e-10	2.2471665e-10	0.12891592	0.13881001	0.08891653	2.2414774e-10	2.2418323e-10	2.2451616e-10	0.007428471	2.2443264e-10	0.10697467	0.0075878724	2.2418238e-10	2.2442839e-10	0.025204018	0.029252224	0.021171965	0.037345845	0.020186322	2.2423624e-10	0.008917628	2.2437059e-10	2.2417553e-10	2.2454913e-10
Spotx9	2.0693516e-10	2.0680811e-10	2.0668628e-10	0.019329403	2.0676237e-10	2.072413e-10	2.0689571e-10	2.070165e-10	2.0684322e-10	2.0682588e-10	2.0687715e-10	0.0014354823	2.068456e-10	2.0681482e-10	2.0714051e-10	2.0688308e-10	0.026699228	2.0687677e-10	0.52122974	2.069111e-10	2.0683691e-10	2.069541e-10	0.11452526	2.0693161e-10	0.052690458	2.0743271e-10	0.026453942	2.0691977e-10	0.03277901	0.016442511	2.067939e-10	2.0689571e-10	2.0685506e-10	0.01038125	0.06344799	2.0686966e-10	0.016409792	2.0693715e-10	2.0674618e-10	0.043543227	0.009352384	0.01859404	0.00817573	0.012782683	0.0044988994	0.001228981
Spotx10	5.9715816e-10	0.04740239	5.973905e-10	5.9706584e-10	0.031718194	5.9666055e-10	5.9713084e-10	0.06641375	5.979696e-10	0.012053711	5.969862e-10	5.972971e-10	5.9840316e-10	5.968871e-10	5.9709093e-10	0.0086385915	5.96993e-10	5.967539e-10	5.9701005e-10	0.03308852	5.969235e-10	0.075410455	0.31918743	5.9731986e-10	5.9739735e-10	5.973256e-10	0.106876224	5.966731e-10	0.0026737805	5.993158e-10	5.966424e-10	5.974441e-10	5.9727767e-10	5.965889e-10	0.19872683	5.968837e-10	0.068822816	5.9706473e-10	5.9704647e-10	5.97149e-10	5.9704536e-10	5.9692806e-10	0.028987369	5.970169e-10	5.971524e-10	5.964933e-10
Spotx11	0.029474555	0.25374752	0.07217442	5.140824e-10	5.1395393e-10	5.143393e-10	5.140804e-10	5.138824e-10	5.139049e-10	5.138167e-10	5.137814e-10	5.136815e-10	5.14153e-10	0.0031108477	5.1407056e-10	5.1410687e-10	5.13902e-10	5.1375004e-10	5.136139e-10	5.1377747e-10	0.08764664	5.1455223e-10	0.2123326	5.138539e-10	5.1449434e-10	5.140431e-10	5.140961e-10	0.089589745	5.141843e-10	0.015747976	5.138451e-10	5.1374904e-10	5.1432264e-10	5.150157e-10	0.22958124	5.1411664e-10	5.156831e-10	5.141147e-10	5.1398724e-10	0.006594378	5.136403e-10	5.1359234e-10	5.140265e-10	5.136677e-10	5.1404503e-10	5.138863e-10
Spotx12	0.045866337	5.152144e-10	5.152134e-10	5.1474586e-10	5.1517407e-10	0.055939306	5.160809e-10	5.1520654e-10	5.152242e-10	5.151181e-10	0.08552221	5.1733645e-10	0.1328896	5.180504e-10	5.1523896e-10	5.154306e-10	5.150906e-10	5.15527e-10	5.15352e-10	0.12857223	0.003492022	5.149137e-10	5.1532645e-10	5.1490495e-10	5.155909e-10	0.0371752	5.1577975e-10	5.149147e-10	0.10054682	5.1554466e-10	5.1498056e-10	5.1621774e-10	0.070526995	0.14396644	5.1498744e-10	5.1525567e-10	0.06690908	5.1525856e-10	0.00629541	0.0031100567	0.010607493	0.050331783	0.016218297	5.157571e-10	5.1545224e-10	0.042030785
Spotx13	0.0009811248	0.040862057	0.13750578	0.011702219	0.027640233	0.09288215	4.0920478e-10	4.093328e-10	4.0941786e-10	4.0907755e-10	4.091392e-10	4.0928283e-10	4.0914777e-10	4.0943895e-10	4.0971393e-10	4.091821e-10	4.093765e-10	4.093359e-10	4.1153014e-10	4.0923442e-10	4.100603e-10	0.109877385	0.16457187	4.094866e-10	4.0994141e-10	4.09571e-10	4.094647e-10	0.055849746	4.097116e-10	4.0935308e-10	4.105095e-10	0.013564033	0.113625616	4.0950301e-10	0.07264836	4.0936635e-10	4.096327e-10	4.094554e-10	0.0045500156	4.0953113e-10	0.05924303	4.093523e-10	4.0931794e-10	4.090479e-10	4.091907e-10	0.094496466
Spotx14	2.0128188e-09	2.0126265e-09	2.0142972e-09	0.020023279	2.0157538e-09	2.0116901e-09	2.0135713e-09	2.0137556e-09	0.0029224227	2.0191322e-09	2.0137363e-09	2.0126112e-09	2.0128648e-09	2.0128377e-09	2.0145545e-09	2.0155115e-09	2.0126074e-09	2.0124116e-09	2.014497e-09	2.0120432e-09	0.47209427	2.0134059e-09	0.3739639	2.013913e-09	2.0144433e-09	2.014132e-09	0.08151779	2.0171076e-09	2.0128992e-09	2.0126496e-09	2.012354e-09	2.012853e-09	2.01389e-09	0.049478248	2.0133293e-09	2.0144049e-09	2.0135942e-09	2.0123885e-09	2.0140474e-09	2.0131679e-09	2.0121391e-09	2.0122044e-09	2.0126112e-09	2.0113755e-09	2.0122197e-09	2.0133484e-09
Spotx15	4.5513168e-10	4.552489e-10	0.079430856	0.060705617	4.5473084e-10	4.552072e-10	4.5474122e-10	4.5489043e-10	4.548028e-10	4.5486528e-10	4.5517945e-10	4.5478113e-10	4.551873e-10	0.042118322	4.5535833e-10	4.549312e-10	0.016723081	0.004452934	0.042670578	4.5526108e-10	0.09250378	4.5516643e-10	0.41205758	0.14113878	4.5492426e-10	4.5483753e-10	4.5489215e-10	4.5476378e-10	4.5507267e-10	4.5522983e-10	4.5641654e-10	4.5486265e-10	4.5510826e-10	4.549546e-10	4.5456863e-10	4.5500068e-10	4.5489565e-10	0.013524167	0.0017528004	0.020494163	0.043894906	4.5459383e-10	0.02853239	4.5470216e-10	4.5516207e-10	4.5471954e-10
Spotx16	3.3272154e-10	3.3270253e-10	0.027929232	0.017792165	0.0020220084	3.3272918e-10	3.3283706e-10	0.06532124	0.007932387	3.3288725e-10	0.0063320003	0.019033609	3.3269235e-10	3.3235242e-10	3.325604e-10	3.3242087e-10	3.3294817e-10	3.326727e-10	3.324006e-10	3.328745e-10	0.12252172	3.3349665e-10	0.08241701	0.0147847785	3.3285041e-10	3.328339e-10	3.3346487e-10	0.05279994	3.324215e-10	0.021445572	0.22232492	0.014660682	0.1341366	0.07584029	3.3354122e-10	0.04779627	3.324805e-10	3.3236192e-10	0.055360336	0.009549289	3.3235809e-10	3.3234987e-10	3.3239297e-10	3.323321e-10	3.3304665e-10	3.324754e-10
Spotx17	2.0601712e-10	2.055528e-10	0.022699784	2.056214e-10	2.0570456e-10	0.025520386	2.0592833e-10	2.0590438e-10	2.0551634e-10	0.023316704	2.0579484e-10	0.013289039	2.0568613e-10	2.0553359e-10	2.0562572e-10	2.0581918e-10	2.0553712e-10	0.053452443	2.0639274e-10	2.0579642e-10	0.08572684	0.08377572	0.31556442	2.0662592e-10	2.0582584e-10	0.0031832422	2.0669921e-10	0.07017214	0.0023889106	2.0560574e-10	0.06520147	0.006507213	0.1571614	0.023197168	0.0052290712	2.0596919e-10	2.0630614e-10	2.0555906e-10	2.0555514e-10	0.02031439	2.0548928e-10	2.0561436e-10	2.0558612e-10	2.0632819e-10	0.009659287	0.013640357
Spotx18	0.073592514	0.013351827	1.7733648e-10	0.07054881	0.027580047	1.7729859e-10	1.7714515e-10	0.035484444	0.001461228	0.03777499	1.7719988e-10	1.771955e-10	1.7713365e-10	0.0016404525	1.7732363e-10	1.7727696e-10	1.7744645e-10	1.7731822e-10	0.21211484	1.7726241e-10	1.7725733e-10	0.040501088	0.1261852	1.7735678e-10	0.09633332	0.024278253	0.049678788	1.7751753e-10	1.7722254e-10	0.01992628	0.033933148	1.7728609e-10	1.7720055e-10	1.7732937e-10	0.0021268919	0.058464505	1.7727729e-10	0.029216375	0.015182862	0.01735104	1.7730976e-10	1.772276e-10	1.7715325e-10	1.7725463e-10	0.011554718	0.0017182839
Spotx19	3.5713188e-10	3.5832867e-10	3.568037e-10	3.5689765e-10	0.0126248095	0.06952745	3.569528e-10	3.574038e-10	0.013139993	3.570427e-10	3.574113e-10	3.5711692e-10	3.569494e-10	3.5716052e-10	3.5749034e-10	3.5685477e-10	3.5706652e-10	3.5688677e-10	3.5720615e-10	0.12311597	0.012318209	3.5868153e-10	0.043698087	3.5890527e-10	3.5720887e-10	3.5698955e-10	3.5780143e-10	0.023040468	0.01810099	3.5850298e-10	0.13602276	3.570338e-10	0.45391628	0.0307361	3.5708217e-10	0.013380639	3.5737927e-10	0.013574234	3.570679e-10	3.5670983e-10	0.010171017	0.017976657	3.5697525e-10	3.5702158e-10	0.008656309	3.5728656e-10
Spotx20	0.043516345	1.5454174e-10	0.008611094	0.0043471246	1.5476179e-10	0.039170176	1.5458773e-10	0.025009772	0.016741298	1.5490415e-10	1.5450137e-10	0.0032326253	1.5447602e-10	1.5458065e-10	1.5470396e-10	1.5455383e-10	0.024886576	1.5479781e-10	0.001411037	1.5452876e-10	0.07909834	1.5470572e-10	0.14576422	0.0669074	0.11820417	1.5501911e-10	1.5502118e-10	0.09913515	0.030533714	0.022107633	1.5451404e-10	0.036260165	0.044795305	0.014883359	0.053061858	0.009304978	1.5501882e-10	0.07370665	0.02215557	0.014362406	0.0012539779	0.0015390648	1.544719e-10	1.5445334e-10	1.5443744e-10	1.5459893e-10
