,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14
B_Cycling,0.0,0.0,0.0,0.0,0.0,0.04580718400866551,0.0,0.12632276655713395,0.05525466433004717,0.6738497506042451,0.0,0.0,0.0,0.02660829904594,0.07215733545396834
B_GC_DZ,0.0,0.0,0.0,0.0,0.0,0.1921029304766006,0.0,0.0,0.048042524393915854,0.50089949524126,0.0,0.0,0.0,0.0,0.25895504988822365
B_GC_LZ,0.0,0.0,0.0,0.0,0.0,0.2620229484752393,0.0,0.0,0.0,0.7379770515247607,0.0,0.0,0.0,0.0,0.0
B_GC_prePB,0.0,0.0,0.0,0.0,0.0,0.10858809909137532,0.0,0.0,0.0,0.7940614475822128,0.0,0.0,0.0,0.0,0.09735045332641194
B_IFN,0.0,0.0,0.0,0.0,0.0,0.01790305542480754,0.0,0.016599238612187362,0.01013351735586617,0.0014101871265740282,0.0,0.0,0.0,0.9533988019273238,0.0005551995532410876
B_activated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B_mem,0.0,0.0,0.0,0.0,0.0,0.07227619499799423,0.0,0.9277238050020057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_naive,0.0,0.0,0.0,0.0,0.0,0.8026137539712367,0.0,0.033118603585970914,0.01973325776945871,0.00795895499279232,0.0,0.0,0.0,0.0,0.1365754296805413
B_plasma,0.0,0.0,0.0,0.0,0.0,0.09424935544577791,0.0,0.16693217106131172,0.07237858901153774,0.05493375838841459,0.0,0.0,0.0,0.022061418581716404,0.5894447075112418
B_preGC,0.0,0.0,0.0,0.0,0.0,0.1643577267334187,0.0,0.7716905194978964,0.04206089363205311,0.006071808247177017,0.0,0.0,0.0,0.01581905188945473,0.0
