,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12
B_Cycling,0.0,0.0,0.0,0.0,0.0,0.04108426817723185,0.8718736880314324,0.0,0.0,0.0,0.03289343932606782,0.05414860446526789,0.0
B_GC_DZ,0.0,0.0,0.0,0.0,0.0,0.06246246699651891,0.6458581864761846,0.0,0.0,0.0,0.05836268664237502,0.08788127135319986,0.14543538853172164
B_GC_LZ,0.0,0.0,0.0,0.0,0.0,0.0,0.5763124555160373,0.0,0.0,0.0,0.008099108162193364,0.05704479242316925,0.3585436438986001
B_GC_prePB,0.0,0.0,0.0,0.0,0.0,0.0,0.47862364447288475,0.0,0.0,0.0,0.14162902174318942,0.15637541673563882,0.223371917048287
B_IFN,0.0,0.0,0.0,0.0,0.0,0.16212098153160232,0.3281555064008984,0.0,0.0,0.0,0.28245864544454624,0.13147089920478178,0.09579396741817126
B_activated,0.0,0.0,0.0,0.0,0.0,0.0,0.11000074640612197,0.0,0.0,0.0,0.012381203862600347,0.450112319052328,0.42750573067894965
B_mem,0.0,0.0,0.0,0.0,0.0,0.029753821265667224,0.0,0.0,0.0,0.0,0.0,0.9387091394974083,0.03153703923692449
B_naive,0.0,0.0,0.0,0.0,0.0,0.19663919904493005,0.0,0.0,0.0,0.0,0.0,0.03001428111170293,0.773346519843367
B_plasma,0.0,0.0,0.0,0.0,0.0,0.8914692140837207,0.017017795102909846,0.0,0.0,0.0,0.030498388258146002,0.05483300509218792,0.006181597463035486
B_preGC,0.0,0.0,0.0,0.0,0.0,0.23615963314286728,0.11091353891021125,0.0,0.0,0.0,0.1392720270863841,0.42011851251282756,0.09353628834770984
DC_CCR7+,0.0,0.0,0.0,0.0,0.0,0.14075927754226938,0.08011600589049671,0.0,0.0,0.0,0.4901462139856934,0.28897850258154045,0.0
DC_cDC1,0.0,0.0,0.0,0.0,0.0,0.21390782319816073,0.2118512825602465,0.0,0.0,0.0,0.21398847262809176,0.3465750252163909,0.013677396397110131
DC_cDC2,0.0,0.0,0.0,0.0,0.0,0.23853309058949693,0.0235301667972068,0.0,0.0,0.0,0.11403096297420338,0.6239057796390929,0.0
DC_pDC,0.0,0.0,0.0,0.0,0.0,0.36836456093947295,0.045264956623281546,0.0,0.0,0.0,0.12846110344846998,0.29754500640234915,0.16036437258642638
Endo,0.0,0.0,0.0,0.0,0.0,0.3262871658107905,0.07760981477624261,0.0,0.0,0.0,0.10967555872166183,0.3922410820455277,0.09418637864577736
FDC,0.0,0.0,0.0,0.0,0.0,0.0,0.5194965110226057,0.0,0.0,0.0,0.004996167020669832,0.24081228340126545,0.23469503855545898
ILC,0.0,0.0,0.0,0.0,0.0,0.33767408267320975,0.18882409322709706,0.0,0.0,0.0,0.0,0.3740541781568812,0.09944764594281201
Macrophages_M1,0.0,0.0,0.0,0.0,0.0,0.054040731481214924,0.288558874868589,0.0,0.0,0.0,0.09987700849524941,0.46873613333655884,0.08878725181838783
Macrophages_M2,0.0,0.0,0.0,0.0,0.0,0.5525699027804831,0.08293961299661369,0.0,0.0,0.0,0.1926140078947704,0.049561951026119946,0.1223145253020128
Mast,0.0,0.0,0.0,0.0,0.0,0.5488499800913823,0.0,0.0,0.0,0.0,0.0,0.4511500199086177,0.0
Monocytes,0.0,0.0,0.0,0.0,0.0,0.5052925011141057,0.014545302444053623,0.0,0.0,0.0,0.03711989298632565,0.4018412977261238,0.04120100572939123
NK,0.0,0.0,0.0,0.0,0.0,0.3957184639250685,0.1819543615205351,0.0,0.0,0.0,0.10620726801850819,0.15522078066214465,0.16089912587374358
NKT,0.0,0.0,0.0,0.0,0.0,0.4299719911424716,0.029277653372385203,0.0,0.0,0.0,0.19847738920408742,0.2030195448477702,0.13925342143328556
T_CD4+,0.0,0.0,0.0,0.0,0.0,0.2876391362341039,0.07069302544361668,0.0,0.0,0.0,0.17870488271390023,0.43034680394924285,0.03261615165913631
T_CD4+_TfH,0.0,0.0,0.0,0.0,0.0,0.16033723646110098,0.5174511292330843,0.0,0.0,0.0,0.06651004004324274,0.16633299532627693,0.08936859893629498
T_CD4+_TfH_GC,0.0,0.0,0.0,0.0,0.0,0.0,0.21588779664312827,0.0,0.0,0.0,0.18449669338339372,0.1226536898838464,0.4769618200896316
T_CD4+_naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9485026443027597,0.04121942764103393,0.01027792805620645
T_CD8+_CD161+,0.0,0.0,0.0,0.0,0.0,0.39669466652726554,0.1957282555816357,0.0,0.0,0.0,0.054624617700824225,0.2947006101982921,0.05825184999198246
T_CD8+_cytotoxic,0.0,0.0,0.0,0.0,0.0,0.27959640788856027,0.07956183808585136,0.0,0.0,0.0,0.23136288786567594,0.1405817507572951,0.26889711540261735
T_CD8+_naive,0.0,0.0,0.0,0.0,0.0,0.33729983350799186,0.04358914464743305,0.0,0.0,0.0,0.5543627022008727,0.04010106402356542,0.024647255620136956
T_TIM3+,0.0,0.0,0.0,0.0,0.0,0.25461271498552623,0.2199718957354201,0.0,0.0,0.0,0.15283223145322242,0.22552438533394242,0.14705877249188887
