,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13
B_Cycling,0.0,0.0,0.04107932524916511,0.0,0.0,0.0,0.8718706955332564,0.032892243485420004,0.0,0.0,0.0,0.0,0.0,0.05415773573215854
B_GC_DZ,0.0,0.0,0.06247218843178628,0.0,0.0,0.0,0.6458583785048382,0.058364955300229976,0.0,0.0,0.0,0.0,0.14550228118233796,0.0878021965808076
B_GC_LZ,0.0,0.0,0.0,0.0,0.0,0.0,0.5763259541790219,0.008105664001001623,0.0,0.0,0.0,0.0,0.35864927710119315,0.05691910471878327
B_GC_prePB,0.0,0.0,0.0,0.0,0.0,0.0,0.4786217078353287,0.14163077301493077,0.0,0.0,0.0,0.0,0.22346413561576692,0.15628338353397364
B_IFN,0.0,0.0,0.16210176915078905,0.0,0.0,0.0,0.3281477019929623,0.28245362512765365,0.0,0.0,0.0,0.0,0.09589418078832362,0.1314027229402714
B_activated,0.0,0.0,0.0,0.0,0.0,0.0,0.10997769637547772,0.012386386316740014,0.0,0.0,0.0,0.0,0.42775842185134283,0.44987749545643946
B_mem,0.0,0.0,0.029661000454487423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03179509511351592,0.9385439044319966
B_naive,0.0,0.0,0.19677126757038166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7733819250212343,0.029846807408384125
B_plasma,0.0,0.0,0.8914529222313388,0.0,0.0,0.0,0.01702580878106182,0.030501703022850553,0.0,0.0,0.0,0.0,0.0061623190127657506,0.05485724695198307
B_preGC,0.0,0.0,0.2361023044629387,0.0,0.0,0.0,0.11090537077515979,0.13925962399237005,0.0,0.0,0.0,0.0,0.0936626968452307,0.42007000392430077
DC_CCR7+,0.0,0.0,0.14074407336432979,0.0,0.0,0.0,0.08012566719245369,0.49013212832599884,0.0,0.0,0.0,0.0,0.0,0.28899813111721767
DC_cDC1,0.0,0.0,0.21385659640772228,0.0,0.0,0.0,0.21184033234397792,0.21396947674495864,0.0,0.0,0.0,0.0,0.0137768045406076,0.34655678996273354
DC_cDC2,0.0,0.0,0.23849014563353435,0.0,0.0,0.0,0.02355060531678244,0.114031450293935,0.0,0.0,0.0,0.0,0.0,0.6239277987557482
DC_pDC,0.0,0.0,0.36833199050850557,0.0,0.0,0.0,0.04525845436904204,0.12845926425303647,0.0,0.0,0.0,0.0,0.16050853051447483,0.29744176035494113
