,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14
B_Cycling,0.0,0.03478120885939075,0.0,0.0,0.0,0.0,0.041354666992176034,0.0,0.0,0.0,0.10204746515453378,0.0,0.033006318336823555,0.7888103406570759,0.0
B_GC_DZ,0.0,0.06558488470225855,0.0,0.0,0.0,0.0,0.08821991253369123,0.0,0.0,0.0,0.026001586837481185,0.0,0.1693515237395595,0.6508420921870095,0.0
B_GC_LZ,0.0,0.010988844778415687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05939409694760968,0.0,0.298632594264728,0.6309844640092467,0.0
B_GC_prePB,0.0,0.1452034678685267,0.0,0.0,0.0,0.0,0.023724314101030652,0.0,0.0,0.0,0.06402254389247304,0.0,0.276538816629916,0.4905108575080536,0.0
B_IFN,0.0,0.0018535696947855483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981464303052144,0.0,0.0,0.0,0.0
B_activated,0.0,0.011409219837521745,0.0,0.0,0.0,0.0,0.046628355983468574,0.0,0.0,0.0,0.042033224140319805,0.0,0.7633969194782344,0.1365322805604554,0.0
B_mem,0.0,0.010485940167991125,0.0,0.0,0.0,0.0,0.03813482311098297,0.0,0.0,0.0,0.0,0.0,0.9513792367210259,0.0,0.0
B_naive,0.0,0.0,0.0,0.0,0.0,0.0,0.3784589568154499,0.0,0.0,0.0,0.0,0.0,0.5884184122237686,0.03312263096078156,0.0
B_plasma,0.0,0.036159502348800374,0.0,0.0,0.0,0.0,0.8383576691595619,0.0,0.0,0.0,0.09158537938927665,0.0,0.02505985294510628,0.008837596157254822,0.0
B_preGC,0.0,0.04721446555138361,0.0,0.0,0.0,0.0,0.10643674990476491,0.0,0.0,0.0,0.6087007893779512,0.0,0.2376479951659002,0.0,0.0
DC_CCR7+,0.0,0.4092560318121979,0.0,0.0,0.0,0.0,0.0763338294000556,0.0,0.0,0.0,0.3258414496182567,0.0,0.17095863423783447,0.01761005493165536,0.0
DC_cDC1,0.0,0.19036081778188457,0.0,0.0,0.0,0.0,0.1720252097036741,0.0,0.0,0.0,0.22207241015527254,0.0,0.255028691153276,0.16051287120589283,0.0
DC_cDC2,0.0,0.06525266076473525,0.0,0.0,0.0,0.0,0.14558025159846955,0.0,0.0,0.0,0.3800340034080937,0.0,0.40913308422870154,0.0,0.0
DC_pDC,0.0,0.10238741601214552,0.0,0.0,0.0,0.0,0.33310159088256774,0.0,0.0,0.0,0.24169592762644604,0.0,0.31312047383097336,0.009694591647867382,0.0
