,mean_nUMI_factorsAstro_AMY,mean_nUMI_factorsAstro_AMY_CTX,mean_nUMI_factorsAstro_CTX,mean_nUMI_factorsAstro_HPC,mean_nUMI_factorsAstro_HYPO,mean_nUMI_factorsAstro_THAL_lat,mean_nUMI_factorsAstro_THAL_med,mean_nUMI_factorsAstro_WM,mean_nUMI_factorsExt_Amy_1,mean_nUMI_factorsExt_Amy_2,mean_nUMI_factorsExt_ClauPyr,mean_nUMI_factorsExt_Hpc_CA1,mean_nUMI_factorsExt_Hpc_CA3,mean_nUMI_factorsExt_Hpc_DG1,mean_nUMI_factorsExt_Hpc_DG2,mean_nUMI_factorsExt_L23,mean_nUMI_factorsExt_L25,mean_nUMI_factorsExt_L56,mean_nUMI_factorsExt_L5_1,mean_nUMI_factorsExt_L5_2,mean_nUMI_factorsExt_L6,mean_nUMI_factorsExt_L6B,mean_nUMI_factorsExt_Pir,mean_nUMI_factorsExt_Thal_1,mean_nUMI_factorsExt_Thal_2,mean_nUMI_factorsExt_Unk_3,mean_nUMI_factorsInh_1,mean_nUMI_factorsInh_2,mean_nUMI_factorsInh_3,mean_nUMI_factorsInh_4,mean_nUMI_factorsInh_5,mean_nUMI_factorsInh_6,mean_nUMI_factorsInh_Lamp5,mean_nUMI_factorsInh_Meis2_1,mean_nUMI_factorsInh_Meis2_2,mean_nUMI_factorsInh_Meis2_3,mean_nUMI_factorsInh_Meis2_4,mean_nUMI_factorsInh_Pvalb,mean_nUMI_factorsInh_Sst,mean_nUMI_factorsInh_Vip,mean_nUMI_factorsLowQ_2,mean_nUMI_factorsMicro,mean_nUMI_factorsNb_1,mean_nUMI_factorsNb_2,mean_nUMI_factorsOPC_1,mean_nUMI_factorsOPC_2,mean_nUMI_factorsOligo_1,mean_nUMI_factorsOligo_2,mean_nUMI_factorsUnk_1
exper0_location_0,21.45832061767578,31.85502815246582,50.8774528503418,152.17274475097656,38.453773498535156,103.51044464111328,46.70224380493164,75.95861053466797,75.70857238769531,81.16740417480469,52.684207916259766,591.6665649414062,1011.568115234375,242.85733032226562,60.90896224975586,48.62625503540039,787.8663940429688,1290.7164306640625,140.1151580810547,500.1093444824219,692.5103149414062,3417.3515625,1027.9715576171875,98.73375701904297,1274.898193359375,48.54313278198242,34.01948165893555,37.7297477722168,18.79563331604004,24.215299606323242,174.73892211914062,885.4115600585938,16.219398498535156,24.936574935913086,33.502750396728516,1311.26953125,357.3862609863281,991.7606201171875,49.56128692626953,16.803022384643555,20.618410110473633,9.002213478088379,66.47224426269531,14.98120403289795,21.968835830688477,69.69438171386719,22.723949432373047,7.57180643081665,16.316181182861328
exper0_location_1,19.789236068725586,27.551843643188477,20.284536361694336,20.165754318237305,35.67121505737305,92.6408462524414,33.007110595703125,48.84231185913086,386.2762756347656,550.5596923828125,75.94921112060547,33.63020324707031,516.2025756835938,1139.3460693359375,41.846412658691406,1195.396240234375,50.9232177734375,361.4999084472656,106.39229583740234,282.6897277832031,1197.6492919921875,1664.0472412109375,620.7412719726562,23.953964233398438,710.8417358398438,31.744291305541992,53.382041931152344,33.63438034057617,62.680450439453125,721.286865234375,69.74822998046875,806.8782958984375,57.663124084472656,354.5278015136719,248.56297302246094,43.923500061035156,22.202726364135742,88.83904266357422,301.9960632324219,76.77013397216797,301.13568115234375,52.87715530395508,19.937044143676758,23.966440200805664,26.337242126464844,16.29376983642578,18.293153762817383,16.707359313964844,16.664770126342773
exper0_location_2,78.48469543457031,64.72437286376953,20.809398651123047,23.700368881225586,108.0069808959961,144.3006134033203,22.542089462280273,39.34754180908203,34.29323196411133,79.7284927368164,159.41647338867188,101.83808135986328,352.12420654296875,80.61248779296875,70.8113021850586,142.06661987304688,70.68177032470703,33.21952438354492,672.9942626953125,35.809391021728516,215.400390625,1735.5189208984375,968.599609375,127.12025451660156,730.0396118164062,31.530689239501953,37.77059555053711,41.46176528930664,24.83871841430664,33.93781661987305,27.249692916870117,63.437896728515625,351.8299560546875,93.66566467285156,57.584625244140625,33.151832580566406,86.38328552246094,1623.6165771484375,187.46995544433594,55.789886474609375,154.70321655273438,78.68820190429688,418.8879089355469,22.828222274780273,63.542110443115234,33.50046920776367,41.28141403198242,12.585836410522461,12.457756042480469
exper0_location_3,23.559938430786133,332.89544677734375,37.464691162109375,10.043665885925293,7.717159748077393,9.586329460144043,14.682047843933105,12.434934616088867,32.43545913696289,26.65319061279297,999.8577880859375,15.759252548217773,20.278045654296875,18.027751922607422,21.218412399291992,182.57293701171875,366.5478210449219,25.22776222229004,40.52159118652344,973.7468872070312,24.85175132751465,19.150320053100586,1005.8690185546875,141.4951934814453,57.064979553222656,15.483793258666992,47.620506286621094,37.20001983642578,20.671958923339844,28.417760848999023,209.98110961914062,198.0057830810547,26.964401245117188,12.758654594421387,22.51202392578125,23.581218719482422,17.59006690979004,1248.130859375,13.012752532958984,1579.7930908203125,236.7211151123047,6.298666954040527,33.39097213745117,9.205531120300293,14.631576538085938,9.651272773742676,279.2896728515625,86.48097229003906,16.88733673095703
exper0_location_4,11.46883773803711,10.213061332702637,7.587652683258057,9.07828140258789,6.862329483032227,8.118335723876953,8.08215045928955,7.712980270385742,282.667724609375,34.93306350708008,11.305105209350586,41.412200927734375,22.45903968811035,102.59564208984375,45.93076705932617,758.7734375,10.218134880065918,10.84482479095459,39.460384368896484,1576.6572265625,65.8434066772461,14.011180877685547,424.8324279785156,17.77255630493164,173.21286010742188,165.35739135742188,29.425945281982422,12.190564155578613,9.782872200012207,14.042905807495117,7.765130043029785,78.31692504882812,44.57948303222656,16.205503463745117,37.102569580078125,15.832629203796387,8.10151481628418,1716.149169921875,17.134166717529297,3141.6708984375,9.958884239196777,5.025661945343018,10.214404106140137,5.93748140335083,9.336020469665527,131.26748657226562,323.9918212890625,199.08567810058594,7.914617538452148
exper0_location_5,17.376916885375977,241.28306579589844,11.609490394592285,19.974918365478516,14.162850379943848,12.6738920211792,12.480480194091797,74.9193115234375,15.04091739654541,19.096851348876953,1415.9984130859375,29.855815887451172,263.67340087890625,25.49140739440918,25.11932945251465,20.21512222290039,28.421260833740234,20.681760787963867,31.311870574951172,1600.0888671875,20.873790740966797,14.894171714782715,20.888309478759766,44.357757568359375,15.577102661132812,17.286924362182617,19.814422607421875,15.978759765625,10.162296295166016,13.954686164855957,11.684741973876953,235.3726348876953,119.72111511230469,14.089567184448242,192.9543914794922,33.20825958251953,16.403732299804688,1886.015625,8.22470760345459,20.23948860168457,8.881460189819336,14.881306648254395,259.1233825683594,25.9863224029541,10.587032318115234,8.671239852905273,10.889525413513184,7.148846626281738,11.273130416870117
exper0_location_6,259.5979919433594,12.58513355255127,11.43946361541748,11.991616249084473,7.913475513458252,7.33481502532959,7.4799418449401855,9.603899002075195,11.871581077575684,15.748968124389648,1042.5421142578125,14.549104690551758,20.82105255126953,19.46710777282715,19.240034103393555,19.77948760986328,21.819547653198242,25.49250602722168,558.4065551757812,1465.613525390625,13.5305814743042,18.104562759399414,20.691978454589844,24.41649627685547,12.610026359558105,7.98065710067749,6.413424968719482,8.746006965637207,10.624288558959961,9.74621868133545,12.251242637634277,319.3949279785156,341.5812683105469,31.25628662109375,6.759218215942383,16.231849670410156,14.912866592407227,1563.984130859375,16.702239990234375,32.417476654052734,11.043315887451172,3.79933500289917,248.25631713867188,4.171899795532227,14.23963737487793,9.009774208068848,6.65009880065918,4.951131820678711,13.835515975952148
exper0_location_7,25.06503677368164,17.518722534179688,11.700150489807129,9.9265718460083,8.642536163330078,8.343352317810059,10.521184921264648,171.34759521484375,188.5688018798828,27.205791473388672,1056.76171875,31.563228607177734,8.632503509521484,39.14418411254883,22.87322235107422,91.28093719482422,26.63306999206543,30.840219497680664,71.54869079589844,49.279998779296875,36.576438903808594,15.162193298339844,29.7578067779541,30.199909210205078,42.63162612915039,49.064544677734375,40.42461013793945,497.96636962890625,34.11483383178711,33.58415222167969,19.464590072631836,16.770193099975586,118.89325714111328,15.919402122497559,27.215858459472656,30.25636863708496,18.905643463134766,2421.936279296875,23.193397521972656,30.760351181030273,13.886037826538086,6.645816802978516,739.7637939453125,80.73934936523438,19.829999923706055,5.11339807510376,10.59338665008545,10.726041793823242,17.496841430664062
exper0_location_8,417.7579650878906,10.167068481445312,145.50863647460938,10.944759368896484,8.355766296386719,10.456607818603516,9.981688499450684,17.9049015045166,14.003219604492188,20.432167053222656,2475.782958984375,20.694581985473633,16.734525680541992,7.292110443115234,9.620979309082031,31.373790740966797,35.133331298828125,26.4420108795166,29.71550178527832,15.478654861450195,21.89573860168457,18.47802734375,10.971135139465332,7.548916816711426,8.45352840423584,6.540971755981445,16.257001876831055,11.329922676086426,13.017641067504883,13.8590726852417,1043.032958984375,206.95706176757812,204.35568237304688,13.63534927368164,8.902078628540039,14.007526397705078,17.1153507232666,2244.57373046875,52.913570404052734,12.827277183532715,19.932903289794922,182.99215698242188,217.943115234375,23.192800521850586,11.707633018493652,12.851924896240234,31.46506118774414,16.15838623046875,9.035435676574707
exper0_location_9,1060.80078125,601.8662719726562,20.321548461914062,287.1449279785156,11.378219604492188,8.795695304870605,18.002748489379883,12.93922233581543,26.41104507446289,59.84915542602539,948.9187622070312,21.992464065551758,10.587688446044922,69.9446792602539,39.62440872192383,22.569580078125,370.78717041015625,11.092684745788574,43.370262145996094,857.1670532226562,20.173547744750977,7.113020420074463,24.448726654052734,24.155550003051758,25.437313079833984,11.461023330688477,34.01749038696289,16.613929748535156,32.20912170410156,19.9736385345459,20.68621063232422,20.16058349609375,62.557621002197266,13.032136917114258,42.277042388916016,42.57299041748047,18.001861572265625,2008.049072265625,24.809154510498047,230.22227478027344,58.352848052978516,7.2397284507751465,178.5769500732422,14.077818870544434,16.960693359375,16.262287139892578,19.115100860595703,37.50897216796875,18.80150604248047
