,mean_nUMI_factorsAstro_AMY,mean_nUMI_factorsAstro_AMY_CTX,mean_nUMI_factorsAstro_CTX,mean_nUMI_factorsAstro_HPC,mean_nUMI_factorsAstro_HYPO,mean_nUMI_factorsAstro_THAL_lat,mean_nUMI_factorsAstro_THAL_med,mean_nUMI_factorsAstro_WM,mean_nUMI_factorsExt_Amy_1,mean_nUMI_factorsExt_Amy_2,mean_nUMI_factorsExt_ClauPyr,mean_nUMI_factorsExt_Hpc_CA1,mean_nUMI_factorsExt_Hpc_CA3,mean_nUMI_factorsExt_Hpc_DG1,mean_nUMI_factorsExt_Hpc_DG2,mean_nUMI_factorsExt_L23,mean_nUMI_factorsExt_L25,mean_nUMI_factorsExt_L56,mean_nUMI_factorsExt_L5_1,mean_nUMI_factorsExt_L5_2,mean_nUMI_factorsExt_L6,mean_nUMI_factorsExt_L6B,mean_nUMI_factorsExt_Pir,mean_nUMI_factorsExt_Thal_1,mean_nUMI_factorsExt_Thal_2,mean_nUMI_factorsExt_Unk_3,mean_nUMI_factorsInh_1,mean_nUMI_factorsInh_2,mean_nUMI_factorsInh_3,mean_nUMI_factorsInh_4,mean_nUMI_factorsInh_5,mean_nUMI_factorsInh_6,mean_nUMI_factorsInh_Lamp5,mean_nUMI_factorsInh_Meis2_1,mean_nUMI_factorsInh_Meis2_2,mean_nUMI_factorsInh_Meis2_3,mean_nUMI_factorsInh_Meis2_4,mean_nUMI_factorsInh_Pvalb,mean_nUMI_factorsInh_Sst,mean_nUMI_factorsInh_Vip,mean_nUMI_factorsLowQ_2,mean_nUMI_factorsMicro,mean_nUMI_factorsNb_1,mean_nUMI_factorsNb_2,mean_nUMI_factorsOPC_1,mean_nUMI_factorsOPC_2,mean_nUMI_factorsOligo_1,mean_nUMI_factorsOligo_2,mean_nUMI_factorsUnk_1
exper0_location_0,126.9669189453125,229.60569763183594,161.32713317871094,118.98259735107422,102.582763671875,233.0780029296875,158.89393615722656,284.45135498046875,446.9444274902344,1129.3079833984375,834.6498413085938,697.2276000976562,1237.207763671875,321.49853515625,145.21142578125,183.16954040527344,892.880126953125,1584.721435546875,194.88479614257812,1854.9990234375,579.843994140625,4560.35986328125,372.0649719238281,295.103271484375,1314.1007080078125,128.00180053710938,84.98860931396484,107.83628845214844,60.45720672607422,61.35884475708008,358.90606689453125,1385.898681640625,39.61747741699219,126.5244140625,198.88906860351562,1725.738037109375,349.9541931152344,1075.9793701171875,95.51808166503906,39.3979606628418,51.85158157348633,20.937206268310547,245.1971893310547,300.31146240234375,48.38245391845703,133.55825805664062,26.076982498168945,31.942108154296875,73.47652435302734
exper0_location_1,84.12751770019531,119.56061553955078,96.56242370605469,64.95293426513672,89.71089935302734,319.068603515625,163.1097412109375,192.2729949951172,485.79150390625,885.6514282226562,1024.7012939453125,82.09024047851562,536.6682739257812,1377.4898681640625,257.09307861328125,1545.542236328125,130.1232147216797,671.977294921875,130.5927734375,1600.748779296875,619.9004516601562,2506.080078125,1531.705078125,58.69386291503906,856.14697265625,51.41636657714844,128.72804260253906,90.08116149902344,103.258056640625,658.3162231445312,187.5131378173828,1371.3516845703125,87.37535858154297,259.9259948730469,280.86529541015625,296.0179138183594,40.14602279663086,236.0352325439453,160.74696350097656,149.4200897216797,485.57379150390625,119.4713363647461,112.51154327392578,368.8136291503906,45.10517120361328,33.9256477355957,29.907560348510742,29.36139678955078,52.93326187133789
exper0_location_2,242.25929260253906,238.4854736328125,100.04151916503906,71.54396057128906,120.94401550292969,300.9162292480469,175.67318725585938,207.0778350830078,107.40279388427734,364.7796630859375,903.7525024414062,230.0685577392578,284.4862365722656,243.2416229248047,146.7156982421875,631.1655883789062,329.887451171875,156.94485473632812,222.1034393310547,785.648193359375,205.26165771484375,2439.563720703125,1075.6060791015625,275.02838134765625,846.3853759765625,72.73192596435547,63.89247131347656,96.9789047241211,45.85432815551758,77.68585205078125,79.48765563964844,394.663818359375,417.594482421875,137.50128173828125,68.83050537109375,104.84431457519531,124.12328338623047,2295.3955078125,142.35154724121094,155.2853546142578,291.1422424316406,121.318359375,521.8278198242188,407.9952392578125,65.3408432006836,42.521453857421875,59.15932083129883,32.20505142211914,52.319801330566406
exper0_location_3,139.32852172851562,458.477783203125,179.68894958496094,51.673805236816406,38.10892105102539,91.06898498535156,107.578125,190.4730987548828,79.99998474121094,56.111122131347656,1809.08203125,37.33831787109375,33.925785064697266,76.91331481933594,61.341331481933594,200.54574584960938,483.205322265625,19.181716918945312,166.7259979248047,2063.212646484375,58.77961349487305,37.84878158569336,1117.3592529296875,95.66011047363281,162.07327270507812,88.46045684814453,160.82308959960938,109.36530303955078,50.388553619384766,142.118408203125,323.3395080566406,552.9730834960938,107.67841339111328,40.78538131713867,35.559749603271484,35.07347106933594,32.560428619384766,1581.8826904296875,34.07168960571289,1872.216552734375,240.73941040039062,18.788299560546875,184.1622772216797,208.938720703125,31.662290573120117,11.311119079589844,423.53607177734375,126.13387298583984,53.67184066772461
exper0_location_4,331.72662353515625,67.36880493164062,35.56399154663086,30.360149383544922,19.50826644897461,47.53716278076172,24.47947883605957,112.5355453491211,97.5320816040039,93.71944427490234,210.0298309326172,61.879642486572266,22.474822998046875,180.84674072265625,109.49390411376953,349.06439208984375,67.15633392333984,10.787050247192383,389.6018981933594,2745.12890625,343.0649108886719,26.50515365600586,1344.200439453125,47.8122444152832,161.7930450439453,295.8587646484375,73.56279754638672,33.33988571166992,36.777034759521484,75.34530639648438,23.18323516845703,365.090576171875,135.0182342529297,30.104230880737305,56.60729217529297,22.56126594543457,28.56601905822754,2151.37158203125,48.1606330871582,3972.615234375,12.655112266540527,6.462696552276611,52.417659759521484,211.4630584716797,30.928468704223633,148.82516479492188,536.4034423828125,213.9575958251953,35.647491455078125
exper0_location_5,123.8239974975586,327.1274719238281,91.59744262695312,85.43904113769531,56.56124496459961,178.64468383789062,111.0333480834961,320.123779296875,20.62838363647461,22.312807083129883,2287.509033203125,107.21195220947266,243.9441680908203,105.47553253173828,70.74622344970703,39.63683319091797,244.9130401611328,21.630809783935547,34.141441345214844,2841.77685546875,90.87214660644531,30.952919006347656,18.215377807617188,54.70203399658203,63.31973648071289,21.973798751831055,54.321346282958984,45.881893157958984,24.69019317626953,30.934024810791016,42.51115798950195,638.2673950195312,74.52649688720703,59.14921951293945,112.45735168457031,42.70264434814453,31.349395751953125,2453.123046875,17.17839813232422,22.311668395996094,16.539945602416992,29.027833938598633,389.85504150390625,407.1109313964844,33.04379653930664,13.053985595703125,18.553298950195312,17.343219757080078,29.60961151123047
exper0_location_6,465.27557373046875,101.3909683227539,73.0074234008789,53.819175720214844,39.16604995727539,60.15685272216797,60.3547477722168,203.10951232910156,21.059520721435547,25.47671127319336,1951.5767822265625,34.48695373535156,29.687335968017578,70.45013427734375,69.72065734863281,48.92237854003906,105.22611236572266,37.36800765991211,508.68817138671875,2757.754150390625,69.54987335205078,37.75983810424805,50.26982879638672,41.615169525146484,46.593013763427734,18.243677139282227,15.182987213134766,52.430965423583984,24.77880096435547,19.752670288085938,52.68166732788086,650.7184448242188,309.7077941894531,68.91738891601562,20.944894790649414,26.336532592773438,36.33090591430664,2066.5126953125,35.786624908447266,109.23616027832031,14.570263862609863,11.038127899169922,445.6903991699219,148.248046875,18.70758819580078,6.867867946624756,18.53773307800293,13.386100769042969,43.773101806640625
exper0_location_7,210.9710693359375,133.5648651123047,67.41099548339844,53.62018966674805,52.97916793823242,78.60581970214844,69.5287857055664,365.6395568847656,48.54413986206055,32.167869567871094,1793.9344482421875,69.75261688232422,13.678459167480469,149.02493286132812,79.89102172851562,62.43637466430664,92.53790283203125,18.665441513061523,47.37255096435547,1243.244140625,62.60076904296875,21.812490463256836,39.38829040527344,37.8999137878418,106.3935317993164,34.957427978515625,44.21873474121094,661.3603515625,51.33562469482422,73.3979721069336,79.7811279296875,300.8967590332031,69.3765640258789,32.945526123046875,43.43832778930664,34.564693450927734,24.481626510620117,3052.457275390625,29.431241989135742,50.044673919677734,17.623260498046875,15.950911521911621,992.7926635742188,516.8085327148438,28.537071228027344,6.466713905334473,13.3969144821167,14.711030006408691,41.9692268371582
exper0_location_8,506.5427551269531,163.40127563476562,222.97918701171875,77.6994400024414,63.95062255859375,191.11387634277344,116.51364135742188,165.53643798828125,23.02804183959961,14.225064277648926,3343.569580078125,75.18647766113281,52.734012603759766,41.5648078918457,39.820335388183594,59.218746185302734,242.1745147705078,29.968307495117188,45.91950607299805,905.096435546875,48.89269256591797,36.23546600341797,25.483366012573242,23.115697860717773,50.181541442871094,30.493715286254883,45.23326873779297,56.63136672973633,42.79029083251953,54.37825393676758,1234.0155029296875,613.1363525390625,314.0896911621094,75.77976989746094,20.09726905822754,23.524816513061523,44.50675964355469,2680.870849609375,87.47887420654297,27.525148391723633,43.78007888793945,236.98019409179688,267.0570983886719,379.55816650390625,23.76861000061035,14.29745101928711,42.769248962402344,47.37184143066406,33.56743621826172
exper0_location_9,1053.78857421875,814.1832275390625,389.8981628417969,405.8712463378906,110.73502349853516,221.37867736816406,181.88858032226562,158.8422088623047,61.43061065673828,34.86560821533203,1669.4891357421875,55.643863677978516,45.40673065185547,135.3119659423828,78.9699478149414,43.938961029052734,411.1220703125,20.99181365966797,53.98981857299805,1854.4285888671875,78.6293716430664,14.693272590637207,30.367069244384766,59.29991912841797,74.17599487304688,29.258726119995117,96.65142822265625,118.33651733398438,112.83680725097656,68.1045913696289,108.53768920898438,281.5083312988281,107.99275970458984,94.32775115966797,69.17625427246094,55.954097747802734,49.02406692504883,2410.8876953125,94.21832275390625,134.0923309326172,64.27784729003906,20.135818481445312,284.4220275878906,414.53778076171875,37.90105438232422,11.714568138122559,30.80706787109375,51.05034637451172,49.65430450439453
exper0_location_10,208.8538055419922,184.43731689453125,139.084716796875,66.25850677490234,95.08291625976562,97.8176040649414,125.0041732788086,450.1300048828125,22.910865783691406,18.022239685058594,1859.2659912109375,32.07854461669922,38.0655403137207,50.715675354003906,32.132991790771484,86.3033447265625,995.9072875976562,14.03933334350586,377.0468444824219,1238.742919921875,46.04184341430664,18.637975692749023,29.74696922302246,142.981201171875,119.53047943115234,43.456912994384766,51.806129455566406,719.8675537109375,71.10447692871094,53.361629486083984,44.40614700317383,219.9953155517578,120.0419921875,109.26826477050781,24.539661407470703,16.665489196777344,45.528717041015625,1074.48681640625,84.63372802734375,162.9320526123047,374.3028259277344,15.595370292663574,177.55319213867188,449.8802795410156,74.44632720947266,27.542646408081055,8.43271255493164,15.10307502746582,32.97822952270508
