,mean_spot_factorsAstro_AMY,mean_spot_factorsAstro_AMY_CTX,mean_spot_factorsAstro_CTX,mean_spot_factorsAstro_HPC,mean_spot_factorsAstro_HYPO,mean_spot_factorsAstro_THAL_lat,mean_spot_factorsAstro_THAL_med,mean_spot_factorsAstro_WM,mean_spot_factorsExt_Amy_1,mean_spot_factorsExt_Amy_2,mean_spot_factorsExt_ClauPyr,mean_spot_factorsExt_Hpc_CA1,mean_spot_factorsExt_Hpc_CA3,mean_spot_factorsExt_Hpc_DG1,mean_spot_factorsExt_Hpc_DG2,mean_spot_factorsExt_L23,mean_spot_factorsExt_L25,mean_spot_factorsExt_L56,mean_spot_factorsExt_L5_1,mean_spot_factorsExt_L5_2,mean_spot_factorsExt_L6,mean_spot_factorsExt_L6B,mean_spot_factorsExt_Pir,mean_spot_factorsExt_Thal_1,mean_spot_factorsExt_Thal_2,mean_spot_factorsExt_Unk_3,mean_spot_factorsInh_1,mean_spot_factorsInh_2,mean_spot_factorsInh_3,mean_spot_factorsInh_4,mean_spot_factorsInh_5,mean_spot_factorsInh_6,mean_spot_factorsInh_Lamp5,mean_spot_factorsInh_Meis2_1,mean_spot_factorsInh_Meis2_2,mean_spot_factorsInh_Meis2_3,mean_spot_factorsInh_Meis2_4,mean_spot_factorsInh_Pvalb,mean_spot_factorsInh_Sst,mean_spot_factorsInh_Vip,mean_spot_factorsLowQ_2,mean_spot_factorsMicro,mean_spot_factorsNb_1,mean_spot_factorsNb_2,mean_spot_factorsOPC_1,mean_spot_factorsOPC_2,mean_spot_factorsOligo_1,mean_spot_factorsOligo_2,mean_spot_factorsUnk_1
exper0_location_0,0.23100078105926514,0.358562707901001,0.26464033126831055,0.22023969888687134,0.16921722888946533,0.41329360008239746,0.29288583993911743,0.5263857841491699,0.09184887260198593,0.18918968737125397,0.356986939907074,0.29191040992736816,0.3881297707557678,0.19674690067768097,0.12101178616285324,0.0867423340678215,0.4633575677871704,0.713322639465332,0.06758986413478851,0.5841825008392334,0.25556668639183044,1.7851152420043945,0.2575261890888214,0.09566248953342438,0.5153728127479553,0.044117435812950134,0.04687490314245224,0.055014871060848236,0.04025076702237129,0.03065470978617668,0.16410699486732483,0.9709749817848206,0.023296577855944633,0.10218548774719238,0.07950985431671143,1.2204738855361938,0.16666366159915924,0.5109246969223022,0.05491279065608978,0.02686249278485775,0.038460586220026016,0.08482875674962997,0.3767719566822052,0.687769889831543,0.07001236826181412,0.08840728551149368,0.034870341420173645,0.05790764093399048,0.28482693433761597
exper0_location_1,0.1396459937095642,0.15924011170864105,0.1551363617181778,0.10180045664310455,0.16937468945980072,0.5845452547073364,0.3210139870643616,0.3007928729057312,0.1784210205078125,0.36765971779823303,0.4210989773273468,0.03719790652394295,0.16969279944896698,0.8322435021400452,0.17936170101165771,0.5997545719146729,0.08316125720739365,0.3295273780822754,0.05046606808900833,0.4881180226802826,0.2170429676771164,0.929247260093689,0.5121426582336426,0.014690164476633072,0.3200506865978241,0.02154340222477913,0.07673001289367676,0.0425637848675251,0.09387426823377609,0.3021855056285858,0.08572015166282654,0.9499396681785583,0.0532858707010746,0.24686118960380554,0.18025369942188263,0.1012522354722023,0.014539523050189018,0.11276187002658844,0.07259787619113922,0.08029524981975555,0.29408085346221924,0.349160760641098,0.163402259349823,0.7421954274177551,0.0852251797914505,0.046913180500268936,0.023553913459181786,0.060773495584726334,0.1878577023744583
exper0_location_2,0.40315327048301697,0.34332332015037537,0.15393006801605225,0.0997106060385704,0.191963329911232,0.5360715985298157,0.3398791551589966,0.32983076572418213,0.03381526842713356,0.12482724338769913,0.3641258478164673,0.09637423604726791,0.08899842202663422,0.13529503345489502,0.11061197519302368,0.2581029236316681,0.19895368814468384,0.08188258856534958,0.06188149377703667,0.24657008051872253,0.07360947877168655,0.9283699989318848,0.40658512711524963,0.0954761877655983,0.307961106300354,0.027261393144726753,0.041727565228939056,0.03866458684206009,0.046606242656707764,0.03525983542203903,0.03885386884212494,0.28592032194137573,0.2658884823322296,0.12490387260913849,0.03753160685300827,0.04207297042012215,0.05928334593772888,1.0944507122039795,0.07237672060728073,0.09108052402734756,0.1823401153087616,0.3561870753765106,0.7828666567802429,0.9061682224273682,0.09242410957813263,0.04116825386881828,0.05843232199549675,0.05617804080247879,0.1756330132484436
exper0_location_3,0.2688315212726593,0.6597854495048523,0.29620710015296936,0.08004769682884216,0.07886316627264023,0.17740894854068756,0.2679464519023895,0.3466779887676239,0.02435033582150936,0.018882669508457184,0.7294738292694092,0.014185242354869843,0.00880517065525055,0.04537186771631241,0.045243650674819946,0.08282217383384705,0.28214532136917114,0.01640404388308525,0.06690900772809982,0.6399858593940735,0.026517456397414207,0.01767314039170742,0.40096229314804077,0.03567264601588249,0.05340735614299774,0.03387177735567093,0.07336019724607468,0.06440556794404984,0.0524543896317482,0.10022320598363876,0.1305564045906067,0.3970452845096588,0.10629452764987946,0.028465667739510536,0.02014102414250374,0.019861556589603424,0.01795111410319805,0.7573294639587402,0.02212841436266899,1.2672398090362549,0.1387966126203537,0.05484149605035782,0.27637991309165955,0.5056726336479187,0.049261607229709625,0.0077128782868385315,0.42072728276252747,0.2519110441207886,0.1771611124277115
exper0_location_4,0.6194897294044495,0.1188843622803688,0.059050679206848145,0.04034155607223511,0.04668145626783371,0.0882616862654686,0.053715433925390244,0.2066206932067871,0.03337857127189636,0.03247491270303726,0.0916467159986496,0.021219823509454727,0.008734080009162426,0.13665497303009033,0.07552564889192581,0.1300707757472992,0.03449587523937225,0.0075646620243787766,0.15582862496376038,0.8635250926017761,0.12920723855495453,0.012361954897642136,0.5088122487068176,0.017259657382965088,0.06343264877796173,0.12129950523376465,0.0383765883743763,0.012754612602293491,0.03314722329378128,0.035212673246860504,0.009826491586863995,0.26563891768455505,0.06877180933952332,0.03213601931929588,0.0315626822412014,0.023515526205301285,0.012578572146594524,1.0667688846588135,0.02579600363969803,2.7798409461975098,0.006878749933093786,0.021948430687189102,0.09545232355594635,0.4974012076854706,0.041725825518369675,0.13692128658294678,0.5576171875,0.42761319875717163,0.10428036749362946
exper0_location_5,0.2502998113632202,0.4876793622970581,0.14016903936862946,0.15517312288284302,0.1081186830997467,0.3411993980407715,0.21867412328720093,0.575817346572876,0.007065479643642902,0.006849787198007107,0.9126124382019043,0.044603507965803146,0.08096513897180557,0.0652184784412384,0.05319998040795326,0.015862194821238518,0.14788593351840973,0.01715613342821598,0.012468098662793636,0.86085045337677,0.033136747777462006,0.01667686738073826,0.008242113515734673,0.018619058653712273,0.024744732305407524,0.007823788560926914,0.03141120448708534,0.016144931316375732,0.022336816415190697,0.01691141538321972,0.017151299864053726,0.4610133469104767,0.05532952770590782,0.0511101558804512,0.06042050942778587,0.03581821545958519,0.01757369376718998,1.204521894454956,0.011849774047732353,0.021102068945765495,0.012468763627111912,0.1239914819598198,0.59278404712677,0.8886927366256714,0.035353612154722214,0.008720332756638527,0.018620410934090614,0.03399328887462616,0.1235290914773941
exper0_location_6,0.8066495656967163,0.1573847532272339,0.1313071846961975,0.09670621901750565,0.08302527666091919,0.1394486427307129,0.1382739394903183,0.3604685366153717,0.006722083315253258,0.009810550138354301,0.7989053130149841,0.01837167516350746,0.01144777424633503,0.04541968181729317,0.0470636710524559,0.02863219566643238,0.06002512574195862,0.013206777162849903,0.19746650755405426,0.8578651547431946,0.025395313277840614,0.013674614951014519,0.020060967653989792,0.01572301797568798,0.01668734662234783,0.007638346403837204,0.01142844557762146,0.025223257020115852,0.019263217225670815,0.011916783638298512,0.026591120287775993,0.4828017055988312,0.18312564492225647,0.0652601346373558,0.013072839006781578,0.022746087983250618,0.013256607577204704,1.0261026620864868,0.02019316889345646,0.08356951922178268,0.010474399663507938,0.03891924023628235,0.7062550783157349,0.32168424129486084,0.023083310574293137,0.0073571824468672276,0.028337262570858,0.03727781027555466,0.1277255266904831
exper0_location_7,0.34684884548187256,0.2111877202987671,0.1077086552977562,0.09319436550140381,0.12199648469686508,0.1778709888458252,0.18043145537376404,0.636737585067749,0.02116774022579193,0.01001996360719204,0.7620311379432678,0.03246434032917023,0.00527615612372756,0.09149998426437378,0.06515680253505707,0.029098303988575935,0.060282476246356964,0.012857280671596527,0.020477866753935814,0.40410012006759644,0.028989730402827263,0.011812565848231316,0.016702450811862946,0.014069408178329468,0.0385865718126297,0.014970948919653893,0.027597442269325256,0.29634198546409607,0.036663711071014404,0.03801392763853073,0.03392757847905159,0.25077491998672485,0.032978590577840805,0.03918606787919998,0.01995537057518959,0.025835398584604263,0.01704263873398304,1.563941478729248,0.019482912495732307,0.02867833338677883,0.011349795386195183,0.060486432164907455,1.6008882522583008,1.1915857791900635,0.03442147374153137,0.007717768661677837,0.013859289698302746,0.038810085505247116,0.15215474367141724
exper0_location_8,0.9044211506843567,0.28046053647994995,0.3703577220439911,0.11968924105167389,0.12763844430446625,0.3415873944759369,0.23659595847129822,0.3227798640727997,0.010310712270438671,0.007487687282264233,1.4099966287612915,0.034366313368082047,0.013603601604700089,0.025650952011346817,0.028575554490089417,0.02465483546257019,0.13961952924728394,0.017606932669878006,0.017784368246793747,0.29602932929992676,0.021665094420313835,0.01981590874493122,0.006701352074742317,0.011221809312701225,0.01515933871269226,0.01577301323413849,0.02786879613995552,0.02814222127199173,0.03461640700697899,0.03008221462368965,0.5816477537155151,0.46716514229774475,0.2447596937417984,0.06295529752969742,0.015618995763361454,0.015461127273738384,0.016821252182126045,1.3350588083267212,0.046395428478717804,0.017317038029432297,0.024884376674890518,0.7239692807197571,0.4134666323661804,0.8597573041915894,0.03315906971693039,0.013845406472682953,0.027372941374778748,0.11189698427915573,0.14831660687923431
exper0_location_9,1.8071796894073486,1.2493629455566406,0.6548096537590027,0.6626343131065369,0.21599720418453217,0.3984401226043701,0.3837849795818329,0.29763805866241455,0.024695932865142822,0.015525671653449535,0.6925134658813477,0.027501441538333893,0.016159864142537117,0.07523304224014282,0.06972508132457733,0.011940761469304562,0.244805246591568,0.014058716595172882,0.02526107244193554,0.5859277248382568,0.026913348585367203,0.006266577169299126,0.013261271640658379,0.019627109169960022,0.028941569849848747,0.015187712386250496,0.058898601680994034,0.05567702651023865,0.095613032579422,0.04106053709983826,0.044772613793611526,0.2254115343093872,0.07210686057806015,0.07484648376703262,0.03172130137681961,0.034900594502687454,0.02430359087884426,1.1913540363311768,0.05283984914422035,0.08388970047235489,0.047717463225126266,0.06941555440425873,0.43165209889411926,0.9254204630851746,0.05189700424671173,0.011158475652337074,0.028005752712488174,0.10335300117731094,0.17178083956241608
