,q05_spot_factorsAstro_AMY,q05_spot_factorsAstro_AMY_CTX,q05_spot_factorsAstro_CTX,q05_spot_factorsAstro_HPC,q05_spot_factorsAstro_HYPO,q05_spot_factorsAstro_THAL_lat,q05_spot_factorsAstro_THAL_med,q05_spot_factorsAstro_WM,q05_spot_factorsExt_Amy_1,q05_spot_factorsExt_Amy_2,q05_spot_factorsExt_ClauPyr,q05_spot_factorsExt_Hpc_CA1,q05_spot_factorsExt_Hpc_CA3,q05_spot_factorsExt_Hpc_DG1,q05_spot_factorsExt_Hpc_DG2,q05_spot_factorsExt_L23,q05_spot_factorsExt_L25,q05_spot_factorsExt_L56,q05_spot_factorsExt_L5_1,q05_spot_factorsExt_L5_2,q05_spot_factorsExt_L6,q05_spot_factorsExt_L6B,q05_spot_factorsExt_Pir,q05_spot_factorsExt_Thal_1,q05_spot_factorsExt_Thal_2,q05_spot_factorsExt_Unk_3,q05_spot_factorsInh_1,q05_spot_factorsInh_2,q05_spot_factorsInh_3,q05_spot_factorsInh_4,q05_spot_factorsInh_5,q05_spot_factorsInh_6,q05_spot_factorsInh_Lamp5,q05_spot_factorsInh_Meis2_1,q05_spot_factorsInh_Meis2_2,q05_spot_factorsInh_Meis2_3,q05_spot_factorsInh_Meis2_4,q05_spot_factorsInh_Pvalb,q05_spot_factorsInh_Sst,q05_spot_factorsInh_Vip,q05_spot_factorsLowQ_2,q05_spot_factorsMicro,q05_spot_factorsNb_1,q05_spot_factorsNb_2,q05_spot_factorsOPC_1,q05_spot_factorsOPC_2,q05_spot_factorsOligo_1,q05_spot_factorsOligo_2,q05_spot_factorsUnk_1
exper0_location_0,0.07967325523495675,0.17655353993177414,0.08825562335550785,0.06385137401521206,0.04337934516370296,0.2019641473889351,0.14030468761920928,0.3022682875394821,0.02729160850867629,0.10573799610137939,0.26359851062297823,0.18843934461474418,0.3069014921784401,0.08278109654784202,0.02482545543462038,0.0268529842607677,0.320818980038166,0.5685604542493821,0.017534128203988076,0.497850501537323,0.1514978237450123,1.670163756608963,0.15209331139922141,0.03797015137970448,0.41785138994455334,0.006337266019545496,0.006069892295636236,0.009646585863083602,0.0038360180449672045,0.0033598915324546397,0.07757871970534325,0.8026606410741806,0.0014964382455218584,0.02273297980427742,0.02126973085105419,1.0378920137882233,0.07440512329339981,0.38916139453649523,0.004921820480376482,0.0017934067407622935,0.00446786810643971,0.010402025189250708,0.1688698559999466,0.41142394989728925,0.0053904049796983594,0.026357686240226032,0.003889394784346223,0.007482706499285996,0.06218327376991511
exper0_location_1,0.035775105655193325,0.06318790167570114,0.05585003551095724,0.022190238814800978,0.046282178908586505,0.37125007510185243,0.1614812768995762,0.14242340326309205,0.09762051068246365,0.2605042576789856,0.32322219759225845,0.005243181972764433,0.10637655518949031,0.6923273324966431,0.06492461301386357,0.4901477485895157,0.020351884607225656,0.21008406281471254,0.010015385737642647,0.41377323120832443,0.1285107582807541,0.8259894162416458,0.41703083515167233,0.0011926369974389673,0.23245645910501478,0.0018257717310916632,0.01138667413033545,0.006263819383457303,0.012332560494542122,0.1843713440001011,0.03065052581951022,0.8012752622365951,0.006501789530739189,0.10497204996645451,0.074839923158288,0.019686845876276494,0.0013782533118501306,0.044025175459682944,0.019286146108061075,0.02248074598610401,0.16838903576135636,0.1601009413599968,0.05069674886763096,0.4463190883398056,0.0076922081178054215,0.005495397746562957,0.0013812662102282048,0.006523267272859812,0.03312679585069418
exper0_location_2,0.19340135976672174,0.1708022527396679,0.05674375128000975,0.02422668840736151,0.07906612604856492,0.3159948453307152,0.1603957213461399,0.16897178888320924,0.008232447737827896,0.06868170760571957,0.2957334592938423,0.03161748740822077,0.03830707632005215,0.051286595128476616,0.02673517195507884,0.18804675489664077,0.1021799024194479,0.01980596026405692,0.022387375868856908,0.18504610359668733,0.020959898829460144,0.8460410475730896,0.3261998161673546,0.04776036646217108,0.23148099929094315,0.0035951832775026563,0.003723247547168285,0.009885283093899489,0.003317034593783319,0.003391893533989787,0.007054282655008137,0.1786920480430126,0.1536619506776333,0.036560599319636816,0.005403620353899897,0.006057383376173676,0.012594383535906674,0.9611692816019058,0.016645678691565993,0.022078862227499486,0.09483974426984787,0.19935712218284607,0.5387140125036239,0.6223391860723496,0.02147249411791563,0.006939326762221754,0.009668189147487283,0.007548284553922714,0.03319135643541812
exper0_location_3,0.1007383681833744,0.44364205896854403,0.1373318053781986,0.010525790276005864,0.011726624425500631,0.059746404923498635,0.09385225437581539,0.16930310279130936,0.0027016421779990194,0.0015437831811141224,0.6400691151618957,0.0014178914250805974,0.0004238184978021309,0.007527598831802607,0.004437935655005276,0.02418812606483698,0.17862966805696487,0.0003999187028966844,0.021376929059624673,0.5775450527667999,0.001745257340371609,0.0015706427802797407,0.3306565940380096,0.008319653617218137,0.018628342822194097,0.008090874925255776,0.019143681880086662,0.01378291598521173,0.004984283098019659,0.03755131773650646,0.07774756103754044,0.2806477934122086,0.04065972715616226,0.003416213532909751,0.0010511657397728415,0.0016504530154634268,0.0009317365824244916,0.6665104627609253,0.0014611112710554153,1.112673819065094,0.060684635676443575,0.0055380700388923286,0.12318646274507046,0.25855279117822644,0.00407333136536181,0.00014257134389481508,0.3001690536737442,0.10231940411031247,0.03195095919072628
exper0_location_4,0.4302465170621872,0.026655679754912853,0.007152364891953767,0.004332880885340273,0.0010975612793117761,0.015151769947260618,0.005642273393459618,0.0842938408255577,0.004725013533607126,0.006003777403384447,0.03953980691730976,0.00237297200364992,0.00023011406156001613,0.05214273799210787,0.01372929261997342,0.0689015455543995,0.006201358372345567,6.433156522689387e-05,0.08916380107402802,0.7964844971895219,0.06600348539650441,0.0007107307988917455,0.43319174200296406,0.0016140320105478168,0.019873325899243358,0.06548477075994015,0.004596168338321149,0.00092648524150718,0.0024945176322944463,0.005380382528528571,0.00046601182839367544,0.1725633941590786,0.017661943566054106,0.0017591076204553247,0.0031807232880964875,0.0011824676941614598,0.00039167053037090225,0.9588035613298416,0.0022680114023387434,2.6146768450736997,0.00012961915563209915,0.0002122244426573161,0.017403631284832955,0.28237032294273373,0.003569631313439459,0.05793110765516758,0.43253014236688614,0.22296924665570259,0.014460693392902613
exper0_location_5,0.10501773804426193,0.31951053589582445,0.04637265112251043,0.03619780000299215,0.025045579206198456,0.18282984495162963,0.08625679537653923,0.36995891481637955,0.0003477337799267843,0.00016525404353160414,0.8348668724298477,0.009804044105112554,0.03448560498654843,0.01675201840698719,0.0088980074506253,0.0011164223251398653,0.06771695613861084,0.0007050382497254759,0.0007756923034321516,0.7951043963432313,0.005667369649745524,0.0013715471664909273,0.0002601078958832659,0.0029325275216251613,0.0032270578900352124,0.0005097201938042418,0.002636261109728366,0.0019701679470017553,0.0012984010856598616,0.0008819746319204569,0.001594516186742112,0.3446259319782257,0.005726098967716098,0.007795001962222159,0.015109827974811196,0.004290671437047422,0.000848160358145833,1.092083239555359,0.0006751036766218022,0.001093059970298782,0.00027099424769403416,0.02175004053860903,0.39814347475767137,0.637202924489975,0.0029902354581281543,0.0002490315295290202,0.0009813490236410872,0.0019790009711869064,0.01644000168889761
exper0_location_6,0.6108664661645888,0.0655464444309473,0.037846237234771256,0.019846964534372093,0.010311863757669926,0.045202443934977056,0.04266047645360232,0.1991809919476509,0.0001262488709471654,0.00029434027965180576,0.719185334444046,0.0012698565609753133,0.0004541992544545792,0.0067864750977605585,0.005543633247725666,0.0013835399062372745,0.013351189531385898,0.0011178924934938553,0.13689365163445474,0.7980948776006699,0.002185026358347386,0.0011891862261109057,0.001898349542170763,0.0012459058372769505,0.0020431808661669493,0.00028434240812202916,0.0002985672719660215,0.0026767298113554716,0.0009612368361558765,0.0006377117038937286,0.0027792786364443604,0.3794774606823921,0.10018892996013165,0.010861385241150857,0.0003525389605783857,0.0015209364413749427,0.0007818616402801127,0.9319356858730315,0.00117568924324587,0.021666065789759163,0.00023090230897651053,0.0020130608929321172,0.5013581126928329,0.17071481496095658,0.0017505283176433295,9.791903976292815e-05,0.0027900791144929824,0.0019324676715768876,0.014770586742088199
exper0_location_7,0.18622384145855903,0.08841494657099247,0.02915997393429279,0.01858373833820224,0.018134504742920398,0.05996286775916815,0.0554787227883935,0.44212664365768434,0.0016803097736556084,0.00040531990962335837,0.6867383897304535,0.0042873537866398685,0.00017703793273540213,0.03020228883251548,0.01115245413966477,0.0024325490929186346,0.012875171285122633,0.0003131055855192244,0.0016101535933557899,0.33978296667337415,0.003668510215356946,0.0006818334892159328,0.0012204528378788383,0.001331862132064998,0.009940955601632594,0.0013843331602402032,0.0032726710429415106,0.2155826546251774,0.004407361429184675,0.005351809295825661,0.0069511275272816425,0.14720539450645448,0.003741694102063775,0.0043543914798647165,0.001051696710055694,0.0018631330982316287,0.0009682525153039024,1.4624910831451416,0.0013395733025390656,0.0033836925751529632,0.00024596799194114287,0.004850519495084882,1.3609099507331848,0.9034746050834657,0.003044853324536234,6.349415671138558e-05,0.0003808085341006518,0.002337387937586755,0.0191657405346632
exper0_location_8,0.673509457707405,0.12298993207514286,0.1851020984351635,0.031296448688954114,0.031176083348691465,0.18988529816269875,0.0992150440812111,0.1517090320587158,0.00031200474477373065,0.00027655306621454656,1.324988204240799,0.005268483236432075,0.0018984839960467074,0.0031545722973532974,0.00281705231172964,0.0020504979416728023,0.06395018063485622,0.0008066585956839845,0.0008942325890529901,0.23519980534911156,0.0022748139104805886,0.0018094921542797238,0.00034800156281562523,0.0008704622363438831,0.0022274977527558804,0.0010908466822002083,0.0021401264006271964,0.00491906946990639,0.0031122635351493954,0.00328908747760579,0.48997338861227036,0.3437983885407448,0.1541365884244442,0.013779029063880444,0.0005121813621371985,0.0006303870060946793,0.0015855256002396346,1.213081842660904,0.008960189670324326,0.0011090932588558645,0.0018705055175814778,0.4683066576719284,0.21502055898308753,0.5866341412067413,0.00235954902600497,0.00048022771516116337,0.0031520240241661667,0.017528035491704938,0.016270891297608614
exper0_location_9,1.5597877621650695,1.0186370134353637,0.4277395248413086,0.4370975852012634,0.06717314124107361,0.21476920172572136,0.189360860735178,0.1363234207034111,0.0021180413430556652,0.0009002906590467319,0.6164857745170593,0.004716298496350645,0.0018630419508554041,0.024632538389414548,0.014089879114180803,0.001075382309500128,0.14938429519534113,0.0005033527500927448,0.0028771129436790943,0.5226528584957123,0.004707362921908498,0.00015897213452262804,0.000726993169519119,0.003418531990610063,0.005061610206030309,0.0013420486822724343,0.013872822653502226,0.015606486517935992,0.01964263403788209,0.006948131509125233,0.0110215628053993,0.12288744226098061,0.015788540709763765,0.020205726381391287,0.0048239203868433835,0.005358859780244529,0.0038291229167953136,1.086851805448532,0.01100881462916732,0.020088708493858576,0.005813927948474884,0.006060611782595516,0.2435312032699585,0.6889638423919678,0.006494527030736208,0.0003679316272609867,0.003699471266008914,0.027584952209144833,0.032769647985696794
exper0_location_10,0.1958922691643238,0.1431945815682411,0.10013348162174225,0.026236852072179316,0.048498816788196564,0.07319189347326756,0.12333585023880005,0.5639094412326813,0.0005544447631109507,0.0001224689964146819,0.6520232379436492,0.001568277436308563,0.000928897230187431,0.003363931283820421,0.003293029998894781,0.004532399168238044,0.4686079189181328,0.00012242971642990598,0.05985846742987633,0.31733335852622985,0.0015935126459226013,0.00010676928541215602,0.0005624928220640869,0.015124127687886358,0.013502273615449667,0.001811228267615661,0.0030968466424383225,0.21696152091026305,0.004631103784777224,0.0034664523205719887,0.001955513242864981,0.08933987878262996,0.019065645057708025,0.0206652007997036,0.000536016226396896,0.0003509527537971735,0.0014670419855974616,0.4201819345355034,0.006159292347729206,0.029836090840399267,0.14733784198760988,0.00264456351287663,0.11745252311229706,0.7119969844818115,0.015304863778874278,0.0017452482483349741,0.00020017448769067415,0.0017933283001184464,0.016162233613431453
exper0_location_11,0.13309007659554484,0.29490223675966265,0.023668266367167234,0.010290824389085174,0.009670419758185745,0.026083129923790693,0.021939677093178036,0.6616643607616424,0.443439656496048,0.7664157718420028,0.41256700754165654,0.01334568760357797,0.0005120971618453041,0.010486727626994253,0.00578199177980423,0.0012379707186482847,0.013746841624379159,0.21409884691238404,0.002354061556980014,0.23771429583430292,0.006419535563327372,1.0173820853233337,0.003743792569730431,0.0010829307197127492,0.0028583331732079387,0.0003981643167207949,0.023285470623523,0.002448446990456432,0.16307629868388177,0.0028019232908263803,0.0018257396877743304,0.016381579637527465,0.0012222301622387022,0.016419483628124,0.2133218914270401,0.04740057270973921,0.0007290060486411676,1.4849705874919892,0.1347132906317711,0.12792817875742912,0.006614035507664085,0.003730268636718392,0.06447749026119709,0.9769982546567917,0.023299306724220516,0.17340891510248185,0.0008620727050583809,0.00541551646310836,0.034027406200766566
exper0_location_12,0.05568471383303404,0.11395639851689339,0.012411130638793112,0.05900679770857096,0.02693735118955374,0.0389339104294777,0.012934445030987262,0.6200299113988876,0.9126219272613525,1.9806594908237458,0.10020977891981601,0.22543171420693398,0.007278275466524065,0.25195796936750414,0.03176253885030746,0.0011435057967901232,0.0019704830949194728,0.25770314037799835,0.002650126977823675,0.4562367156147957,0.010915546724572778,2.132175385951996,0.028652943111956118,0.0014983651344664397,0.004650208447128534,0.0018406685965601354,0.03180844597518444,0.01218651132658124,0.01659420989453793,0.008354502357542516,0.04229748286306858,0.2489391580224037,0.002865075320005417,0.016798674780875444,0.2564741313457489,0.7321918308734894,0.0033339453977532687,0.3831953838467598,0.034067976474761966,0.29130587279796605,0.35097601413726803,0.0062957399291917685,0.5949782133102417,0.8205337464809418,0.2367147296667099,0.4605149820446968,0.0008949590788688511,0.005068482388742268,0.10127890110015869
exper0_location_13,0.07207012251019478,0.2552941232919693,0.03548612464219331,0.07668952830135822,0.04371962137520313,0.2486354812979698,0.1139437235891819,0.21115828156471253,1.0405319154262542,4.849777579307556,0.36175746768713,0.018200005032122137,0.015388499479740858,0.052464788965880874,0.01909392261877656,0.020954519510269165,0.008238345803692938,0.7299028903245925,0.033119310066103934,0.7729082077741624,0.045167911611497406,3.111545848846436,1.028373795747757,0.001236816350137815,0.009457845008000733,0.004713286831974983,0.08271017633378505,0.008107970375567675,0.010150572145357728,0.013152375258505345,0.0038372199283912777,0.08213022239506246,0.03294261191040278,0.062091754749417305,0.5849973201751709,0.009536842955276369,0.002239077934063971,0.004865805106237531,0.002083669335115701,0.07888267040252686,0.0557271458208561,0.076274036988616,0.2739965707063675,1.0240973770618438,0.047167501598596576,1.096547830104828,0.3012848198413849,0.03979698028415442,0.10135260969400406
exper0_location_14,0.035903471149504186,0.05948120709508658,0.006421525427140296,0.016981265135109423,0.027314204163849356,0.023082297760993242,0.014523220201954245,0.3875001594424248,1.45929057598114,4.363349676132202,0.5934067219495773,0.020038160867989065,0.009073318960145117,0.040067955106496814,0.022388333920389414,0.0023152276407927275,0.05063074585050344,1.6897437572479248,0.01300186114385724,0.21823213621973991,0.06376309767365457,2.9800845146179196,0.40056315064430237,0.013277302403002978,0.002496423362754285,0.001552714570425451,0.20337096825242043,0.0030261147185228765,0.010972660314291716,0.011560058407485484,0.007463278924115003,0.24586865827441215,0.0008621147280791774,0.019619847275316717,0.5940164357423783,0.016339603811502457,0.005820560245774687,0.0030225047259591522,0.002721838373690844,0.005661345692351461,0.008508922532200813,0.005174238770268858,0.5889376133680343,0.7431616008281707,0.16256492137908934,1.1774413228034974,0.0025571968406438825,0.021389840450137854,0.14359150677919388
exper0_location_15,0.03466009404510259,0.2425490938127041,0.014887347072362899,0.025316499918699265,0.0054765562526881695,0.009702331479638816,0.004487497475929558,0.2909893557429314,1.1150295794010163,2.8485552430152894,0.2957306057214737,0.01043884684331715,0.01747349174693227,0.020278635993599893,0.008449397236108781,0.0007504496577894316,0.0009399123751791194,0.32146019339561466,0.004207940981723368,0.20035435408353808,0.009381449362263082,2.8969789385795592,0.052390523441135886,0.0002750769999693148,0.0014392191951628777,0.0013038727280218155,0.11367363408207892,0.0009496589453192427,0.007045051152817906,0.0036312558222562075,0.0008326126175234094,0.09455648101866244,0.0017619349819142371,0.014359379885718226,0.3489999517798424,0.008922283956781029,0.0009334964532172308,0.0011393708409741523,0.0010594284744001926,0.149375382065773,0.008903388818725943,0.09035611040890217,0.4126046285033226,1.0629721641540526,0.013452596683055162,0.9383367359638214,1.1085894286632538,0.060860218666493895,0.051411206275224684
exper0_location_16,0.32889673560857774,0.24474031552672387,0.0448591647669673,0.06376612894237042,0.07115269973874093,0.22859242185950282,0.1844487629830837,0.4768090322613716,0.8615271657705307,4.243390893936157,0.5042635470628738,0.041527042351663115,0.1065864160656929,0.0217816106043756,0.03112742081284523,0.0033438180107623347,0.010827107261866331,0.7100632935762405,0.004611842776648701,0.15827839598059656,0.022456127125769852,2.3585617423057554,0.08010888583958148,0.0021024826914072038,0.006943895504809916,0.00532102391589433,0.03574236817657947,0.0032682827790267766,0.020367359183728694,0.005836242018267512,0.04087935779243708,0.6457229018211365,0.0015218157961498946,0.08917484767735005,0.2844830572605133,0.016846527718007567,0.005380278360098601,0.003208483825437725,0.0027882077847607434,0.004933520127087832,0.006877511367201806,0.011926231626421214,0.1907881662249565,0.9828267335891724,0.17615228071808817,1.037008661031723,0.0022481890744529666,0.03306626230478287,0.1278537072241306
exper0_location_17,0.05813303757458925,0.10500991120934486,0.04895088970661163,0.038775608316063886,0.037974705547094346,0.10537174344062805,0.1422143690288067,0.16973543316125872,1.32291659116745,2.939689815044403,0.3051802694797516,0.03810051213949919,0.0737867444753647,0.03097513243556023,0.012786350864917041,0.0011566570668946952,0.010221316013485195,0.3696429178118706,0.004146220278926194,0.40403632223606106,0.017448827531188725,2.329118752479553,0.06753190234303474,0.007780802925117314,0.006476370128802955,0.003912116412539035,0.07237108610570431,0.004456427204422652,0.013929633144289254,0.010718501778319478,0.002885570062790066,0.1633831240236759,0.0036066145170480014,0.02485558846965432,0.4039143487811089,0.009872717270627619,0.006485592178069055,0.009850175632163883,0.10857188440859317,0.04697401095181703,0.024460621923208237,0.011939148185774684,0.1687222108244896,1.3715813279151916,0.10032592825591566,0.35727195888757707,0.0007336895680055022,0.006122797192074359,0.0863178003579378
exper0_location_18,0.07975070290267468,0.11734133437275887,0.03748199325054884,0.07483505606651306,0.3245433270931244,0.2506103053689003,0.19558841586112974,0.5306740731000901,0.7521653145551682,1.8202113032341003,0.17131981775164606,0.016324277501553297,0.006292675458826125,0.08489978201687336,0.032810318656265734,0.15037489607930185,0.006215395964682102,1.2802859604358674,0.0045223034685477614,0.18805466815829278,0.04867292921990156,3.604914832115173,0.645264407992363,0.06617868617177008,0.011212992575019598,0.001246924448059872,0.24682029858231544,0.004034759500063956,0.006714204419404269,0.008254512632265686,0.007944177417084575,0.3390897512435913,0.0017081979487556965,0.03452057708054781,0.17115439474582672,0.02515343129634857,1.0027498841285705,0.001791119802510366,0.0013952902401797474,0.027385852579027415,0.05504692252725363,0.2929865658283234,0.22023041918873787,0.7554358750581741,0.5383106857538223,0.21398868709802626,0.010191479884088039,0.01871944023296237,0.10100743882358075
