,mean_spot_factorsAstro_AMY,mean_spot_factorsAstro_AMY_CTX,mean_spot_factorsAstro_CTX,mean_spot_factorsAstro_HPC,mean_spot_factorsAstro_HYPO,mean_spot_factorsAstro_THAL_lat,mean_spot_factorsAstro_THAL_med,mean_spot_factorsAstro_WM,mean_spot_factorsExt_Amy_1,mean_spot_factorsExt_Amy_2,mean_spot_factorsExt_ClauPyr,mean_spot_factorsExt_Hpc_CA1,mean_spot_factorsExt_Hpc_CA3,mean_spot_factorsExt_Hpc_DG1,mean_spot_factorsExt_Hpc_DG2,mean_spot_factorsExt_L23,mean_spot_factorsExt_L25,mean_spot_factorsExt_L56,mean_spot_factorsExt_L5_1,mean_spot_factorsExt_L5_2,mean_spot_factorsExt_L6,mean_spot_factorsExt_L6B,mean_spot_factorsExt_Pir,mean_spot_factorsExt_Thal_1,mean_spot_factorsExt_Thal_2,mean_spot_factorsExt_Unk_3,mean_spot_factorsInh_1,mean_spot_factorsInh_2,mean_spot_factorsInh_3,mean_spot_factorsInh_4,mean_spot_factorsInh_5,mean_spot_factorsInh_6,mean_spot_factorsInh_Lamp5,mean_spot_factorsInh_Meis2_1,mean_spot_factorsInh_Meis2_2,mean_spot_factorsInh_Meis2_3,mean_spot_factorsInh_Meis2_4,mean_spot_factorsInh_Pvalb,mean_spot_factorsInh_Sst,mean_spot_factorsInh_Vip,mean_spot_factorsLowQ_2,mean_spot_factorsMicro,mean_spot_factorsNb_1,mean_spot_factorsNb_2,mean_spot_factorsOPC_1,mean_spot_factorsOPC_2,mean_spot_factorsOligo_1,mean_spot_factorsOligo_2,mean_spot_factorsUnk_1
exper0_location_0,0.11575310677289963,0.21440652012825012,0.22796592116355896,0.15422479808330536,0.1397947520017624,0.3727607727050781,0.2670992612838745,0.18283352255821228,0.09544546157121658,0.1877029836177826,0.31822243332862854,0.2814728617668152,0.3956134021282196,0.21492552757263184,0.1114220917224884,0.07069329917430878,0.4889252781867981,0.7199720740318298,0.062258023768663406,0.5564279556274414,0.22494742274284363,1.7796541452407837,0.19417329132556915,0.10132584720849991,0.5106454491615295,0.0414314903318882,0.04330502077937126,0.033991821110248566,0.034019358456134796,0.033712830394506454,0.09039833396673203,0.8618785738945007,0.023481352254748344,0.11126269400119781,0.08173750340938568,1.1730399131774902,0.18226377665996552,0.4795052409172058,0.03994954377412796,0.026780100539326668,0.034592002630233765,0.07634582370519638,0.2518775463104248,0.48811060190200806,0.0541733093559742,0.0858776718378067,0.03557904437184334,0.04837045818567276,0.19221778213977814
exper0_location_1,0.07866798341274261,0.08326300233602524,0.09326449036598206,0.06689314544200897,0.1442423015832901,0.5162362456321716,0.25904107093811035,0.1100025400519371,0.18887312710285187,0.3781164288520813,0.3677549660205841,0.02848304621875286,0.17120778560638428,0.8186622858047485,0.15035797655582428,0.5859415531158447,0.07439370453357697,0.31523293256759644,0.04348653554916382,0.4454744756221771,0.28119441866874695,0.9387747049331665,0.4615110754966736,0.019518977031111717,0.3300102651119232,0.01815742813050747,0.060818903148174286,0.02638443559408188,0.07423282414674759,0.23906564712524414,0.05097280070185661,0.8446312546730042,0.050374776124954224,0.2565663456916809,0.1975073218345642,0.07151893526315689,0.01928843930363655,0.09551116079092026,0.09734196215867996,0.10668621212244034,0.29693225026130676,0.3315849006175995,0.10261349380016327,0.510140597820282,0.053289350122213364,0.04035867005586624,0.027631143108010292,0.07440482079982758,0.21217647194862366
exper0_location_2,0.16232457756996155,0.21097233891487122,0.13921144604682922,0.07513013482093811,0.19924741983413696,0.5193018317222595,0.2832017242908478,0.10936760157346725,0.03673030808568001,0.09817507117986679,0.3227789103984833,0.0824689120054245,0.09388409554958344,0.1380976289510727,0.07868514209985733,0.2749050259590149,0.1576148271560669,0.06377052515745163,0.05837910994887352,0.20944955945014954,0.07648355513811111,0.8868837356567383,0.3936667740345001,0.08713304251432419,0.3075414001941681,0.025089437142014503,0.029528170824050903,0.024797523394227028,0.03396887332201004,0.02244437299668789,0.02373737469315529,0.19314464926719666,0.22176799178123474,0.13105295598506927,0.0367053784430027,0.03903711587190628,0.06138850376009941,0.9821480512619019,0.06342417746782303,0.10072075575590134,0.16698452830314636,0.3265862762928009,0.6071627736091614,0.5998410582542419,0.09007136523723602,0.03658822551369667,0.05479590967297554,0.04733515530824661,0.1387910544872284
exper0_location_3,0.09340016543865204,0.4766331911087036,0.2751257121562958,0.04209186136722565,0.059973426163196564,0.1553831845521927,0.1971673220396042,0.06662824004888535,0.021074825897812843,0.0207228846848011,0.699113667011261,0.016812914982438087,0.006760085467249155,0.0382450632750988,0.027079414576292038,0.09113023430109024,0.24318556487560272,0.02073250710964203,0.06574475020170212,0.5944669842720032,0.01817869022488594,0.017988163977861404,0.429497092962265,0.03786957263946533,0.05953088402748108,0.038504164665937424,0.052285172045230865,0.027503415942192078,0.03527851402759552,0.04089493677020073,0.11140125244855881,0.28292548656463623,0.04688346013426781,0.031386472284793854,0.01526994165033102,0.023302381858229637,0.011279011145234108,0.7152296304702759,0.019797146320343018,1.256460189819336,0.10462883859872818,0.032611142843961716,0.15057756006717682,0.2643413245677948,0.033371392637491226,0.011244750581681728,0.3838385045528412,0.23074433207511902,0.15919382870197296
exper0_location_4,0.13334812223911285,0.06741403788328171,0.06625737249851227,0.026242708787322044,0.044957235455513,0.16010192036628723,0.07115848362445831,0.05027346685528755,0.03151204437017441,0.025708341971039772,0.0724969208240509,0.026086002588272095,0.006957372184842825,0.10448627918958664,0.06348621845245361,0.1456398069858551,0.03210829570889473,0.006080569699406624,0.14286331832408905,0.8370261192321777,0.12455838173627853,0.015811042860150337,0.462968647480011,0.019082652404904366,0.058578070253133774,0.11297039687633514,0.03359492868185043,0.009393238462507725,0.020741835236549377,0.02579379267990589,0.009782210923731327,0.18204225599765778,0.05558452382683754,0.026548009365797043,0.024400006979703903,0.022306649014353752,0.008438382297754288,0.9834060668945312,0.025244558230042458,2.7057266235351562,0.009922321885824203,0.017909765243530273,0.057421233505010605,0.3175508379936218,0.033293429762125015,0.11925289034843445,0.5239120721817017,0.40792521834373474,0.08523611724376678
exper0_location_5,0.1161772832274437,0.2888571619987488,0.12419667840003967,0.09019333124160767,0.08758228272199631,0.33669888973236084,0.22621916234493256,0.17167484760284424,0.010467486456036568,0.0074104140512645245,0.8760007619857788,0.04028593748807907,0.08906562626361847,0.05221077799797058,0.04155160114169121,0.013586275279521942,0.10902722179889679,0.015665151178836823,0.016194092109799385,0.8196967840194702,0.02694050408899784,0.016753165051341057,0.00616032350808382,0.022614140063524246,0.022037753835320473,0.011305572465062141,0.01511537004262209,0.008132558315992355,0.016062388196587563,0.0068123843520879745,0.009088557213544846,0.2936084568500519,0.04593173414468765,0.04374101385474205,0.05818495154380798,0.04658893123269081,0.02265673503279686,1.081231713294983,0.011366560123860836,0.023682262748479843,0.007540854159742594,0.06286468356847763,0.3923427164554596,0.64212566614151,0.033209796994924545,0.012125877663493156,0.011920931749045849,0.02041836827993393,0.08011425286531448
exper0_location_6,0.5294087529182434,0.11039843410253525,0.12534600496292114,0.059915028512477875,0.061693109571933746,0.1434258669614792,0.1536431610584259,0.049800049513578415,0.009201806038618088,0.009892675094306469,0.7709499597549438,0.014448481611907482,0.008823131211102009,0.0430045984685421,0.03851621225476265,0.012715800665318966,0.05836289003491402,0.014590746723115444,0.14840081334114075,0.8385230302810669,0.017616238445043564,0.018767178058624268,0.015963127836585045,0.01867402344942093,0.02057088539004326,0.007895050570368767,0.006148969754576683,0.010183311067521572,0.015744546428322792,0.006912462878972292,0.013420114293694496,0.3748829960823059,0.19330523908138275,0.06873629242181778,0.010875252075493336,0.01741410233080387,0.015206120908260345,0.9324278831481934,0.01613563857972622,0.07203740626573563,0.006255610380321741,0.026529384776949883,0.45030954480171204,0.155945286154747,0.03129865974187851,0.00944029912352562,0.015133495442569256,0.014781918376684189,0.08026288449764252
exper0_location_7,0.145502969622612,0.1225355863571167,0.11346567422151566,0.05971377715468407,0.06828399747610092,0.1492040902376175,0.1702222377061844,0.2142064869403839,0.030958127230405807,0.01381748542189598,0.6883130073547363,0.026201285421848297,0.00935429148375988,0.074495829641819,0.0429009310901165,0.032438743859529495,0.05915345251560211,0.012044073082506657,0.021680064499378204,0.34694093465805054,0.016408603638410568,0.01585654728114605,0.026127265766263008,0.016551781445741653,0.04244130104780197,0.021894922479987144,0.02970762550830841,0.18362581729888916,0.026874162256717682,0.032739054411649704,0.020262032747268677,0.11922162026166916,0.0312020406126976,0.037696391344070435,0.02301286906003952,0.027496417984366417,0.015175815671682358,1.41951322555542,0.02136416547000408,0.035035815089941025,0.01026682648807764,0.03201719745993614,1.2631452083587646,0.7628507018089294,0.03382432088255882,0.006556921638548374,0.014775789342820644,0.03204648196697235,0.10535489022731781
exper0_location_8,0.47859734296798706,0.23178724944591522,0.39361372590065,0.08342046290636063,0.10640816390514374,0.3370092511177063,0.22969824075698853,0.107473224401474,0.009385754354298115,0.008198731578886509,1.371538519859314,0.03580603748559952,0.02231810986995697,0.025813456624746323,0.030124180018901825,0.025712812319397926,0.13071787357330322,0.020278584212064743,0.01344401203095913,0.24867714941501617,0.018400639295578003,0.021139951422810555,0.010303088463842869,0.009673697873950005,0.018749583512544632,0.015644310042262077,0.02308206632733345,0.015770994126796722,0.021770313382148743,0.012949737720191479,0.5328978896141052,0.29317426681518555,0.1507323682308197,0.0636635348200798,0.012280171737074852,0.013961810618638992,0.027983659878373146,1.2858860492706299,0.052652109414339066,0.02118203230202198,0.02342708595097065,0.6874089241027832,0.23463010787963867,0.5873964428901672,0.03175036609172821,0.013751734979450703,0.032641924917697906,0.06747645139694214,0.08897434175014496
exper0_location_9,1.7758715152740479,1.1349554061889648,0.5338027477264404,0.45261847972869873,0.15434397757053375,0.3717985153198242,0.3493584096431732,0.08120282739400864,0.017114920541644096,0.015256945043802261,0.6723669171333313,0.027720581740140915,0.01477566733956337,0.07269392907619476,0.05512961745262146,0.013192225247621536,0.23995652794837952,0.008918333798646927,0.027073869481682777,0.5628261566162109,0.024677129462361336,0.005293306894600391,0.013713786378502846,0.02518611028790474,0.02419155091047287,0.012777689844369888,0.040033917874097824,0.025849010795354843,0.045186467468738556,0.016830112785100937,0.02594832144677639,0.12828031182289124,0.07296063750982285,0.07715193927288055,0.03164001181721687,0.03323765844106674,0.027806328609585762,1.127970814704895,0.047332100570201874,0.10688947886228561,0.03265109658241272,0.03724905103445053,0.2549286484718323,0.6177231073379517,0.04286996275186539,0.011188416741788387,0.028108103200793266,0.08635448664426804,0.12501288950443268
