,q05_spot_factorsAstro_AMY,q05_spot_factorsAstro_AMY_CTX,q05_spot_factorsAstro_CTX,q05_spot_factorsAstro_HPC,q05_spot_factorsAstro_HYPO,q05_spot_factorsAstro_THAL_lat,q05_spot_factorsAstro_THAL_med,q05_spot_factorsAstro_WM,q05_spot_factorsExt_Amy_1,q05_spot_factorsExt_Amy_2,q05_spot_factorsExt_ClauPyr,q05_spot_factorsExt_Hpc_CA1,q05_spot_factorsExt_Hpc_CA3,q05_spot_factorsExt_Hpc_DG1,q05_spot_factorsExt_Hpc_DG2,q05_spot_factorsExt_L23,q05_spot_factorsExt_L25,q05_spot_factorsExt_L56,q05_spot_factorsExt_L5_1,q05_spot_factorsExt_L5_2,q05_spot_factorsExt_L6,q05_spot_factorsExt_L6B,q05_spot_factorsExt_Pir,q05_spot_factorsExt_Thal_1,q05_spot_factorsExt_Thal_2,q05_spot_factorsExt_Unk_3,q05_spot_factorsInh_1,q05_spot_factorsInh_2,q05_spot_factorsInh_3,q05_spot_factorsInh_4,q05_spot_factorsInh_5,q05_spot_factorsInh_6,q05_spot_factorsInh_Lamp5,q05_spot_factorsInh_Meis2_1,q05_spot_factorsInh_Meis2_2,q05_spot_factorsInh_Meis2_3,q05_spot_factorsInh_Meis2_4,q05_spot_factorsInh_Pvalb,q05_spot_factorsInh_Sst,q05_spot_factorsInh_Vip,q05_spot_factorsLowQ_2,q05_spot_factorsMicro,q05_spot_factorsNb_1,q05_spot_factorsNb_2,q05_spot_factorsOPC_1,q05_spot_factorsOPC_2,q05_spot_factorsOligo_1,q05_spot_factorsOligo_2,q05_spot_factorsUnk_1
exper0_location_0,0.02632459253072739,0.08630730099976062,0.08163850791752339,0.038969578593969344,0.03599712587893009,0.20160450041294098,0.11382887028157711,0.05661353152245283,0.030749666411429642,0.09342290982604028,0.21819453164935113,0.1735890194773674,0.30026524066925053,0.106570278480649,0.018849802669137716,0.01762225003913045,0.3335220292210579,0.5615165203809739,0.014484884915873408,0.46720774620771405,0.12513069696724416,1.6718250989913939,0.10640615038573742,0.04743891246616841,0.4042763218283653,0.00714829838834703,0.004992103669792414,0.0044595116516575216,0.003156626247800887,0.002223763254005462,0.02755030607804656,0.7118131190538406,0.001759506290545687,0.022783292271196843,0.01868308149278164,0.9995040327310563,0.08424050137400628,0.35923229008913043,0.004969884525053203,0.0019942370243370535,0.0030378600349649787,0.005880592786706984,0.06597351767122746,0.2508383125066757,0.005289621953852476,0.020374757144600155,0.0027833823231048884,0.005361190438270569,0.040107565745711324
exper0_location_1,0.010315896477550268,0.015482284547761082,0.021944400388747454,0.007616257295012474,0.0407176461070776,0.31193779259920124,0.10649366714060307,0.02203967096284032,0.10305293947458266,0.2648973256349564,0.26930334120988847,0.003372382046654821,0.09883948527276515,0.648686996102333,0.04351662863045931,0.4660491839051246,0.01421362040564418,0.18971115574240685,0.006730383285321295,0.36479402929544447,0.17629859074950216,0.8420901030302047,0.3650533363223076,0.0011031479807570577,0.24612572267651558,0.0016215030627790838,0.010740698454901576,0.0030657658935524523,0.009670947818085552,0.13371252715587614,0.007908402266912163,0.6893762797117233,0.006124615157023072,0.09744935482740404,0.09019715711474419,0.014809846738353371,0.0008309623488457873,0.023680139891803266,0.025267885718494656,0.028143583051860335,0.15988037288188933,0.15403550565242768,0.022727111726999285,0.2770812302827835,0.0066338596167042855,0.008109661797061563,0.0018861826218198987,0.004737316770479083,0.027219219878315926
exper0_location_2,0.05329749267548323,0.08569599837064742,0.04646873064339161,0.013278811471536756,0.07973927669227124,0.3467059716582298,0.12921234518289565,0.021825674269348384,0.006753210816532373,0.03556172717362643,0.24007837623357772,0.02565637631341815,0.044358701817691325,0.05618283227086067,0.022812816128134728,0.19902794137597082,0.0819255080074072,0.014550057984888554,0.01967792166396976,0.14786368757486343,0.01681978777050972,0.803606316447258,0.31728482991456985,0.03747849687933922,0.2382154367864132,0.003518331109080464,0.002154635812621564,0.0027793588349595668,0.0013997654081322256,0.0015907365072052927,0.001916487270500511,0.09777270816266537,0.11301464438438416,0.03762372210621834,0.004246414243243635,0.00631659496575594,0.01377118551172316,0.8708818733692169,0.014587975619360805,0.028854683600366117,0.08271477781236172,0.17225818261504175,0.40431371629238133,0.3235557213425636,0.016738524939864875,0.00596263196785003,0.01352635812945664,0.00524584569502622,0.020443127769976855
exper0_location_3,0.017823943216353656,0.3003752589225769,0.13375369906425477,0.0039021914941258728,0.007479285052977504,0.058578276075422764,0.07214677445590496,0.009210594231262803,0.002661313535645604,0.0016700328094884755,0.618396458029747,0.0009112928237300366,0.0003440234097070061,0.00596351376734674,0.0029154027462936936,0.03106075320392847,0.13842313066124917,0.0006272035592701286,0.022643504664301872,0.5327136486768723,0.0017811074736528098,0.002376935223583132,0.36184672862291334,0.011706244060769679,0.020529397763311863,0.008694938151165843,0.006080977688543499,0.00305783775402233,0.0026011718902736905,0.008337727468460798,0.036806346662342546,0.1802227593958378,0.006620821845717729,0.003043238841928542,0.0009538605605484918,0.0014191489666700362,0.0010461862839292737,0.61446171104908,0.0012105643399991095,1.1255435645580292,0.03587371576577425,0.0017138609662652017,0.042834981530904766,0.10675901882350444,0.0024045898928306995,0.00019543593953130767,0.27807163149118425,0.08464324437081813,0.0151788127142936
exper0_location_4,0.033165040798485285,0.007291905628517271,0.0070704784477129586,0.0009019946010084823,0.0012929424876347185,0.04560930710285902,0.008866515150293708,0.005565802380442619,0.005181566393002868,0.0039638142799958585,0.02607068195939064,0.003351823729462922,0.00015993843917385677,0.03450046479701996,0.008372273063287139,0.07136643566191196,0.0050502665340900425,0.00010270057682646439,0.07925585173070432,0.7612199664115906,0.05650907829403878,0.0008540786919184029,0.3889942467212677,0.002252403972670436,0.0228677399456501,0.054858018085360526,0.002029489807318896,0.0003638857408077456,0.0012384904664941132,0.003816181339789182,0.00030475017265416685,0.092429081723094,0.009237551549449562,0.0011644079349935055,0.002727126516401768,0.0015729089267551898,0.00038488668651552875,0.8633359581232072,0.0018933689454570413,2.5285962462425235,8.84282333572628e-05,0.00016926503521972336,0.006549141998402774,0.140496926009655,0.001548167993314564,0.05213169548660517,0.40258373618125914,0.23006385564804077,0.011782779265195132
exper0_location_5,0.027101973257958892,0.1539385333657265,0.04547314029186964,0.017984394263476134,0.02027465272694826,0.17995988875627517,0.09637812934815884,0.058582525514066223,0.0005246877408353612,0.0001617422720300965,0.8047369509935379,0.008145182486623525,0.04358449764549732,0.014714947203174233,0.0054944040253758425,0.0006644681823672727,0.04539306312799454,0.0008667595131555574,0.0007802328327670693,0.7595765858888626,0.0030650366679765284,0.001355606090510264,0.000273159884091001,0.004441117937676609,0.0026465215254575015,0.0005223823711276055,0.0012062552210409193,0.000547123362775892,0.0005380383256124333,0.0003582264587748796,0.0005872116016689688,0.19611622765660286,0.007532863691449166,0.007223985297605395,0.012042153161019087,0.005594709469005465,0.0013027068867813797,0.9975805431604385,0.0005546179250814022,0.0018088709621224555,0.0002606665380881168,0.005383263085968792,0.2087082214653492,0.3985975533723831,0.002274039969779551,0.00011193031314178371,0.0003253104965551756,0.0009240015730028972,0.006976408581249416
exper0_location_6,0.34590118974447254,0.029773154668509962,0.02962565664201975,0.006302875094115735,0.008749250462278724,0.050872887112200255,0.04673014469444752,0.006149391550570727,0.00027906858013011516,0.0004157970717642456,0.691050672531128,0.0013386794715188445,0.0005760734289651737,0.0076485711382702,0.004282399080693722,0.001029478746932,0.015275671985000372,0.0014694280747789888,0.09481953307986259,0.7767738252878189,0.0015689351013861597,0.0013613181246910245,0.0011959046707488597,0.0028756320360116662,0.0020533174276351927,0.00023391302602249198,0.0001441130974853877,0.0003518264144076966,0.00026372477004770194,0.00014959627878852189,0.0003949255347833969,0.2674508661031723,0.11192911341786385,0.014436287758871914,0.0002777707210043445,0.0012203314516227692,0.0011114113556686788,0.8444669276475907,0.0006146191037259996,0.0161652997136116,0.00019820307643385603,0.0003879613723256625,0.2643346592783928,0.05249198414385319,0.002729895326774568,0.00011482119880383833,0.0005730255186790601,0.0006637783226324245,0.005411870358511806
exper0_location_7,0.0441545894369483,0.03827773910015822,0.03410727437585593,0.0067643489921465514,0.01369864628650248,0.061567073687911034,0.05488892029970885,0.09766964502632618,0.006965006538666785,0.0008454829890979454,0.6210330337285995,0.00380861999001354,0.000315989283262752,0.017221702728420496,0.004264682275243103,0.007165569812059403,0.017045602574944498,0.0006043294415576383,0.0028218114050105212,0.30014387518167496,0.0025797463837079707,0.0017767957702744751,0.00404816665686667,0.001949233119376004,0.011070816172286868,0.0031315242522396147,0.0023923927219584584,0.1187522780150175,0.0028202519402839247,0.002090700843837112,0.0014781971753109247,0.03962570931762457,0.004468078096397221,0.005234130681492389,0.001035983645124361,0.0037151235970668494,0.0012446397915482521,1.3300087034702301,0.0012887077871710062,0.0077756002312526105,0.0003431722667301074,0.0018554181908257306,1.0301905870437622,0.5146675854921341,0.0035359484143555166,6.136287993285805e-05,0.001400036201812327,0.002185955492313951,0.007559413742274046
exper0_location_8,0.250779801607132,0.08993486873805523,0.22684620395302774,0.0152373640332371,0.02250510267913342,0.1765790216624737,0.0952785324305296,0.020129719935357573,0.0005217354191699997,0.00035973472404293716,1.288322454690933,0.007255688402801752,0.0033353076200000943,0.0028047530562616886,0.0017483369738329204,0.0032527288887649777,0.05896191950887442,0.0010179582634009421,0.0009450793557334691,0.19438370764255525,0.0020298073417507113,0.002496278542093933,0.0006273211212828756,0.0009062916826223955,0.001212606840999797,0.0010451254842337222,0.001189803401939571,0.0010914882179349661,0.0014254310983233156,0.0008670018811244517,0.4447490245103836,0.1986355058848858,0.07023948207497598,0.014724241662770511,0.0005340222560334951,0.0007449742493918166,0.0025777971255593,1.1674185276031495,0.008445589151233434,0.0012071311008185147,0.0013889980618841948,0.44818326979875567,0.08475909046828746,0.3640404000878334,0.0020704174297861756,0.000255681735870894,0.004045715462416411,0.0065505500882863995,0.007865365548059344
exper0_location_9,1.5020016074180602,0.8727347880601883,0.302448108792305,0.2281494289636612,0.04983574543148279,0.19996889382600783,0.17247665748000146,0.016109741199761628,0.0018371325626503677,0.0013931352237705143,0.5963393747806549,0.004269276489503682,0.002253420697525144,0.0242135307751596,0.007654021889902652,0.0011724742420483381,0.15537713691592214,0.0003872984379995615,0.0029757105396129194,0.510928663611412,0.002724331896752119,0.00010984856889990625,0.001004225912038237,0.003812829160597175,0.004393094731494784,0.0013509729760698974,0.0050460319500416516,0.0030696071917191148,0.005090891639702022,0.0017352778231725097,0.0031143812113441525,0.05679152775555849,0.011599148297682407,0.01772395996376872,0.004780241032131016,0.004239171277731657,0.004354631155729294,1.0298586905002594,0.008453554566949606,0.03504833523184061,0.004680810449644923,0.0019157099013682457,0.09705589227378368,0.350580221414566,0.005141183757223188,0.00021673011797247456,0.0025533306994475423,0.016896124649792912,0.011959562217816709
