rn,Astro.AMY,Astro.AMY.CTX,Astro.CTX,Astro.HPC,Astro.HYPO,Astro.THAL.lat,Astro.THAL.med,Astro.WM,Ext.Amy.1,Ext.Amy.2,Ext.ClauPyr,Ext.Hpc.CA1,Ext.Hpc.CA3,Ext.Hpc.DG1,Ext.Hpc.DG2,Ext.L23,Ext.L25,Ext.L5.1,Ext.L5.2,Ext.L56,Ext.L6,Ext.L6B,Ext.Pir,Ext.Thal.1,Ext.Thal.2,Ext.Unk.3,Inh.1,Inh.2,Inh.3,Inh.4,Inh.5,Inh.6,Inh.Lamp5,Inh.Meis2.1,Inh.Meis2.2,Inh.Meis2.3,Inh.Meis2.4,Inh.Pvalb,Inh.Sst,Inh.Vip,LowQ.2,Micro,Nb.1,Nb.2,Oligo.1,Oligo.2,OPC.1,OPC.2,Unk.1,res_ss
exper0_location_0,0,0,0,0,0,0.0238528180158062,0,0.119838497606237,0,0,0,0.0319210485655696,0.0244122680990289,0,0.0390973903583801,0,0.0475109873471849,0,0.0296384884506553,0.0134900898559784,0.0492466646559874,0.037461290347481,0,0.0162881975121004,0.0415241617850186,0.0185243270961481,0,0,0,0,0.0166730715609382,0.0754016570706136,0,0.0143498390923416,0.0186075004124554,0.0552111303271461,0.0274942799577433,0.0454503296361112,0.0445655143924395,0,0,0,0.020847400441795,0,0.0109206943782176,0.0154012471864708,0.0169074494026154,0.0196245120217311,0.125739144423805,0.00942576741916434
exper0_location_1,0,0,0.0151610778220456,0,0.0227770486793792,0,0,0.0749221636205458,0,0,0.0139864931400152,0.0137062238070203,0.0162692252371299,0.0283448694710631,0.0628866600164688,0.0362269591671781,0,0.0287456034578984,0.0202007616481977,0.0146295876778684,0.0252784107416315,0.0116566884150046,0,0,0.0382926035401269,0,0,0.0107963945849369,0.0411142133836813,0.0500736233202646,0.0161984639853671,0.0579818870817746,0.0207232672398862,0.0353355977082064,0.0329782606292326,0,0,0.0133366119132859,0.0263145237559443,0.0197981331778995,0.0164386071759565,0.0169056631003156,0,0.0137256666734645,0.0136728613108294,0.0282630910727162,0,0,0.163258757444665,0.0100077524957958
exper0_location_2,0,0,0.0127762197157483,0,0,0.0203822925106718,0,0.117079413320059,0,0,0.0192916580327153,0.025350669487242,0.0116272788378706,0.0257387413433429,0,0,0.019967990740615,0.0159985772741614,0,0.0135778547740529,0.0294655790146739,0,0,0.0184581207376437,0.0284614158957065,0,0,0.0138133505839737,0.031494583810493,0,0,0.0262333815178425,0.0378359368346975,0.0337929964541665,0.0164103406197685,0,0.0185592415484371,0.0919854040064811,0.0156023398815236,0.0425524409670667,0.0135711834686116,0.0251681503885809,0.0703779625185442,0.0124934076994421,0,0,0.0385072813427961,0.0130222239468359,0.140403962726235,0.0137329896583744
exper0_location_3,0,0,0.0676593097367974,0,0,0,0,0.0481388933180338,0,0,0.0501307911660011,0,0,0,0.023164445330008,0,0.0246246416531981,0.017758669002018,0.0264282150677759,0,0,0,0,0.0155320941945732,0,0,0.0527789176479327,0,0,0,0.0326444738643446,0.0358397418526371,0.0143193357763236,0,0,0.0239858630122306,0,0.0654036785508232,0,0.133028095730827,0,0.0130939280962753,0.0309481297903616,0,0.0293998749085731,0.0318314675416844,0.0110301716011745,0,0.252259262158406,0.00692513646502838
exper0_location_4,0,0,0,0,0,0,0.0312438443085096,0.0705566285647989,0,0,0,0.0180517634047907,0,0.019939325949057,0.0214465280854701,0.0399057576200514,0,0.0231718476979881,0.039386361540007,0,0,0,0,0,0.0230190954838983,0,0,0,0,0,0,0.0461905314226284,0.032937239449779,0,0.030962591981266,0,0,0.118742085586253,0,0.325035728730917,0,0,0,0,0.0297526136850109,0.0638833212702012,0.0282928372094557,0.0374818980099184,0,0.0030588925672003
exper0_location_5,0,0.0217937774466894,0,0,0.028073658913157,0,0,0.19164776387421,0,0,0.0685098103517753,0,0.0133794792243343,0,0.0330051192744891,0,0.0312977060557062,0,0.0544134293760197,0,0,0,0,0,0,0,0.0183500029974375,0,0,0,0,0.0515990882814291,0.036972621560948,0,0.0127929739594473,0.0203886725456119,0,0.116082486662616,0,0.0390396693674726,0,0.0224587796786454,0.0695061411097283,0.0519285907753009,0.016636293609667,0.0112932577945179,0.0281667610005735,0,0.062663916140224,0.00627394876932464
exper0_location_6,0,0,0.0803325389377589,0,0,0.0110760822079121,0,0.0787175542388379,0,0,0.0615801595984457,0,0,0.0249592306790835,0,0,0,0.02845290832636,0.0525757312521928,0,0,0,0,0.0161688963516173,0,0,0,0.0288704963217947,0.0247703374098981,0.0123756872889641,0,0.0664614762813117,0.0490970156652378,0,0,0.0127382842326295,0,0.0877796558714655,0.0277214488245194,0.0308116137247198,0,0.0137248652684948,0.0937535251764934,0,0.0197816206836162,0,0,0,0.178250871658647,0.016196668786309
exper0_location_7,0,0,0,0,0,0,0,0.152642494129939,0,0,0.0495462448979665,0.0296218293700828,0,0,0.0324341838914699,0.0246788237870835,0,0,0,0,0,0,0,0,0.021532114659716,0,0.0290171836600988,0.0169424806260036,0,0.0408916867578951,0,0.0456458871713025,0.0328870910481674,0,0.0123207749702117,0,0.0111337816175864,0.132532110707991,0.0180193139608198,0.0288625628590563,0,0,0.111026808225739,0.0382697241626709,0,0,0,0.022778931945255,0.149215971550945,0.00693094948084286
exper0_location_8,0,0,0.0583137881799725,0,0.0293476636284646,0,0,0.119957187837101,0,0,0.100782050260014,0.0180491520286597,0,0,0,0,0,0.0163889036131188,0.0140722638303716,0,0,0,0,0,0.0177813841702175,0,0,0.0125241142022609,0,0.0261357528222101,0.0366938710233883,0.0568549187786374,0.0565282717194912,0,0.0186767479930229,0,0,0.0894576548774331,0.0432100040536945,0,0,0.052247989021388,0.0372586830673951,0.0573102027225412,0.0136738812721194,0.0242517838777331,0,0.0250936475805817,0.0753900834401834,0.00446934176762782
exper0_location_9,0,0,0.1273110354832,0,0,0,0.0588139465586434,0.132616976816238,0,0,0.037412804674415,0,0,0.0270142650547158,0,0,0.0259186555020797,0,0.0377890120814339,0,0,0,0,0,0,0,0.0348631609101408,0.0256086380481983,0,0,0,0.0274883740578273,0.0120576183986923,0,0,0,0,0.0735855676025578,0.0264318663138113,0,0,0.0173273543816673,0.041492491317394,0.0406702900587721,0,0,0,0.0152054523187369,0.238392490421476,0.00742818930602134
