,q05_spot_factorsAstro_AMY,q05_spot_factorsAstro_AMY_CTX,q05_spot_factorsAstro_CTX,q05_spot_factorsAstro_HPC,q05_spot_factorsAstro_HYPO,q05_spot_factorsAstro_THAL_lat,q05_spot_factorsAstro_THAL_med,q05_spot_factorsAstro_WM,q05_spot_factorsExt_Amy_1,q05_spot_factorsExt_Amy_2,q05_spot_factorsExt_ClauPyr,q05_spot_factorsExt_Hpc_CA1,q05_spot_factorsExt_Hpc_CA3,q05_spot_factorsExt_Hpc_DG1,q05_spot_factorsExt_Hpc_DG2,q05_spot_factorsExt_L23,q05_spot_factorsExt_L25,q05_spot_factorsExt_L56,q05_spot_factorsExt_L5_1,q05_spot_factorsExt_L5_2,q05_spot_factorsExt_L6,q05_spot_factorsExt_L6B,q05_spot_factorsExt_Pir,q05_spot_factorsExt_Thal_1,q05_spot_factorsExt_Thal_2,q05_spot_factorsExt_Unk_3,q05_spot_factorsInh_1,q05_spot_factorsInh_2,q05_spot_factorsInh_3,q05_spot_factorsInh_4,q05_spot_factorsInh_5,q05_spot_factorsInh_6,q05_spot_factorsInh_Lamp5,q05_spot_factorsInh_Meis2_1,q05_spot_factorsInh_Meis2_2,q05_spot_factorsInh_Meis2_3,q05_spot_factorsInh_Meis2_4,q05_spot_factorsInh_Pvalb,q05_spot_factorsInh_Sst,q05_spot_factorsInh_Vip,q05_spot_factorsLowQ_2,q05_spot_factorsMicro,q05_spot_factorsNb_1,q05_spot_factorsNb_2,q05_spot_factorsOPC_1,q05_spot_factorsOPC_2,q05_spot_factorsOligo_1,q05_spot_factorsOligo_2,q05_spot_factorsUnk_1
exper0_location_0,0.11364172734320163,0.2034485824406147,0.1178032759577036,0.06650153324007989,0.1754141241312027,0.25360778868198397,0.24916600957512855,0.3635654017329216,0.03639738317579032,0.027708421088755132,0.345386204123497,0.23791093304753305,0.39941141903400423,0.12368427254259587,0.22368351742625237,0.05877702943980694,0.30952439159154893,0.5648597955703735,0.018290056567639112,0.4534543067216873,0.43285868912935255,2.3183385252952577,0.044379787892103194,0.20510380938649175,0.14586417600512505,0.0651764865964651,0.06461211778223515,0.10636157840490341,0.07852296084165573,0.03889924287796021,0.37766214907169343,0.9279970765113831,0.015300750453025104,0.11031305268406867,0.23447908982634547,1.25610671043396,0.19552687034010888,0.18926873207092287,0.032301252521574494,0.013088425528258084,0.033948464505374434,0.006574514787644148,0.2302734337747097,0.7327082335948945,0.027460133470594884,0.0018471093731932341,0.008860949752852322,0.031237019598484038,0.6320776224136352
exper0_location_1,0.02681343546137214,0.044378340058028695,0.030994754284620285,0.0282622235827148,0.058632810972630976,0.1761508546769619,0.16977275237441064,0.1389748178422451,0.03256382122635841,0.1390207216143608,0.48404518216848375,0.05439482629299164,0.03148995591327548,0.36903037577867503,0.33840565681457524,0.429115355014801,0.0918544102460146,0.3436994284391403,0.021663540974259377,0.3597066834568977,0.037669208273291586,0.9168429881334305,0.977275550365448,0.011001688335090876,0.32381704747676854,0.1045596357434988,0.023537834268063308,0.018592054024338722,0.03709587920457125,0.032007201574742794,0.039663294143974785,1.6899642407894133,0.011676542414352297,0.048571589030325414,0.08100733980536462,0.47699284106493,0.010935454769060016,0.09790765158832072,0.03778485786169768,0.24483913257718087,0.04530647043138742,0.3634273558855057,0.1509563632309437,0.9187776416540147,0.010051548201590777,0.0015920936246402563,0.03414463344961405,0.028850452136248348,0.2779105082154274
exper0_location_2,0.18816196098923685,0.36713315397500995,0.1396877944469452,0.11440489515662193,0.13506362959742546,0.4384241446852684,0.3524939328432083,0.3445777416229248,0.015829283092170954,0.015131734265014529,0.27441482394933703,0.04055324699729681,0.02949301740154624,0.039129480160772806,0.05032596178352833,0.2027357265353203,0.134359397739172,0.0776859313249588,0.016580509860068558,0.2739442497491837,0.017575798183679582,0.7560075193643571,0.25457763671875,0.2845172852277756,0.20970922335982323,0.020446101762354372,0.013749676663428545,0.06574654653668403,0.03525717314332724,0.020664816163480284,0.3186162143945694,0.21335247084498407,0.02380028050392866,0.05175533965229988,0.023595241829752922,0.07606558613479138,0.11120194345712663,1.578836464881897,0.017082703299820423,0.017273496184498072,0.08219921737909318,0.20356068462133406,0.2451748691499233,0.6392612367868424,0.048694858141243455,0.002168131666257978,0.001068785507231951,0.009251909889280796,0.5257319271564483
exper0_location_3,0.14169783145189285,0.2302584633231163,0.19552455022931098,0.10587661191821097,0.052533753961324696,0.22206642702221868,0.10440449379384517,0.45430715531110766,0.01984096420928836,0.016150614898651838,0.7840683788061142,0.046354065835475924,0.015983957145363093,0.027764531504362824,0.039110909961164,0.12662096619606017,0.12104184925556183,0.031981528550386426,0.02359218494966626,0.5143413066864014,0.007734058890491724,0.06231463365256787,0.4034990042448044,0.03745177946984768,0.05825830046087504,0.06377247869968415,0.01081255618482828,0.10179034508764744,0.10117948390543462,0.04607843291014433,0.10458789840340614,0.42390948832035064,0.030474161449819803,0.017466183751821518,0.004486607341095805,0.005684067541733385,0.012942108325660229,0.5510755181312561,0.06777316480875015,1.1541376411914825,0.018927628546953203,0.013285727566108109,0.22312948405742647,0.9151740700006484,0.03895647693425417,0.0034542681416496633,0.2323816277086735,0.21064210683107376,0.5430598855018616
exper0_location_4,0.1013683382421732,0.13264908716082574,0.08057787157595157,0.02510507199913263,0.03547277916222811,0.07658091522753238,0.05129569508135319,0.12918049171566964,0.04247368220239878,0.02770145041868091,0.08019982017576695,0.036840548180043696,0.0864054437726736,0.015542207192629576,0.01694876914843917,0.12238850854337215,0.06410310193896293,0.005905908928252757,0.013880405249074102,0.8351440519094467,0.006554262922145426,0.006422664248384535,0.4076044261455536,0.029353457037359476,0.06742821484804154,0.11579783111810685,0.043122333474457264,0.07210919372737408,0.05213891360908747,0.050694345682859424,0.08654703870415688,0.20614075437188148,0.36613211035728455,0.02093097921460867,0.008315032487735153,0.018541243113577365,0.06729531735181808,1.0964138269424437,0.03800162337720394,2.2308760404586794,0.002737956354394555,0.0012831651489250363,0.113729802146554,0.6894789189100266,0.009825989650562405,0.020262455753982066,0.275786018371582,0.09104695916175842,0.2375197485089302
exper0_location_5,0.0979607742279768,0.1545855961740017,0.08793205991387366,0.052403340488672255,0.0656666535884142,0.26001367419958116,0.3691070646047592,0.25285753309726716,0.014088998455554247,0.003746217559091747,0.9013479709625244,0.06660928577184677,0.019938865303993226,0.14343406930565833,0.12802438139915467,0.44117079973220824,0.07856826335191726,0.005478811473585666,0.0029722902923822406,0.8047975361347198,0.014196734596043824,0.012160695809870958,0.03210100308060646,0.053046075813472274,0.02394931185990572,0.0062003099825233225,0.005223974375985563,0.02783586401492357,0.014433596562594176,0.004789292463101447,0.021082933619618417,0.19226169735193252,0.004314415133558213,0.014616956422105433,0.0032278452883474527,0.0023831632104702296,0.12489825449883937,0.8790158659219741,0.006478614127263427,0.004469965305179358,0.004414654127322137,0.036902041733264924,0.5195704489946366,0.7765937715768814,0.025196155253797772,0.00025976664619520307,0.002197367802727968,0.007755370251834392,0.28530295640230174
exper0_location_6,0.15281833708286285,0.14039846137166023,0.08849099017679692,0.07726280875504017,0.062420975789427756,0.1840800255537033,0.13737769350409507,0.5142720401287079,0.0035744813503697515,0.0012469611247070134,0.915505936741829,0.05777373313903809,0.006589562236331404,0.021053036861121654,0.015297696366906166,0.009050439996644856,0.3086475983262062,0.004059404693543911,0.004881091788411141,0.7866130769252777,0.0022098750341683626,0.0028335116803646088,0.0020009153755381703,0.015656714979559182,0.015587152121588586,0.006632832810282707,0.008304515574127437,0.106691400334239,0.039957727491855624,0.025416667573153973,0.032925925217568874,0.39649558514356614,0.015812533162534236,0.01629352252930403,0.00630896317306906,0.003253699198830873,0.046071069315075874,1.066473972797394,0.01004265481606126,0.043580830283463,0.0021601824206300083,0.0014585244760382922,0.39496228843927383,0.6200287044048309,0.03589906711131334,0.00027478870761115103,0.0008175274677341805,0.005388888739980758,0.4823215782642365
exper0_location_7,0.12849974855780602,0.18318181708455086,0.07653596140444278,0.0634485635906458,0.04896548856049776,0.1647440604865551,0.15455782338976862,0.45916105210781094,0.004851194517686963,0.004509049956686795,0.6008576273918151,0.15759800001978874,0.024840850476175548,0.02254912192001939,0.02757885744795203,0.009935049386695028,0.18182176053524018,0.01284684492275119,0.005086338124237955,0.34152717590332027,0.010465252120047808,0.16648074090480805,0.0012669562711380424,0.03732018489390612,0.03372670598328114,0.008558124303817749,0.015584776736795902,0.08898860886693001,0.09217173419892788,0.03155228570103645,0.084901075437665,0.222848292440176,0.06541618071496487,0.04573529344052076,0.004697061982005834,0.018513483274728057,0.14079020023345948,0.9250276654958726,0.17346401512622833,0.01625411193817854,0.005582265555858612,0.004759006598033011,0.5753973037004471,1.544462013244629,0.07242673709988595,0.008960667392238976,0.001711635204264894,0.029230915941298008,1.442892563343048
exper0_location_8,0.3310725718736649,0.2761855438351631,0.12025644555687905,0.09085204303264618,0.09063990712165833,0.44929092675447463,0.19871984720230104,0.175053221732378,0.005219970433972775,0.002552083367481828,1.3401562929153443,0.050942123867571354,0.023257785197347402,0.026096066180616617,0.027521454822272064,0.11715367585420608,0.2029599666595459,0.024214585311710835,0.006421893043443561,0.2856595024466515,0.005115151568315924,0.11212349124252796,0.031280705146491526,0.010348246712237595,0.015089540323242546,0.05091203320771456,0.016331769432872532,0.24350469931960106,0.04063938893377781,0.05147464349865913,0.09215737208724022,0.5542902559041977,0.041375804319977755,0.017914639599621297,0.005001730099320412,0.002418225561268628,0.013935298472642898,1.0520663738250733,0.030123553704470396,0.009937872085720301,0.03204975239932537,0.667319655418396,0.27118972092866894,0.6681907862424851,0.18117527440190315,0.00015367901141871698,0.0002897224068874493,0.006591148464940489,0.3825687885284424
exper0_location_9,0.862364986538887,0.7002695977687836,0.4830509901046753,0.5196063995361329,0.28315737694501875,0.7757814049720764,0.321946419775486,0.836619073152542,0.07646369636058807,0.0016989734373055402,0.658280748128891,0.07580079175531865,0.010058036912232638,0.04331318996846676,0.04625140763819218,0.0033266419894061984,0.06861140765249729,0.0015973743807990103,0.002250006573740393,0.3546943932771683,0.0031607678276486697,0.0008161185774952172,0.0011345057107973843,0.08013355135917663,0.13327462002635002,0.012340387795120478,0.014613444730639458,0.04879445843398571,0.044964111223816876,0.014212030963972212,0.40163161456584934,0.1507539175450802,0.009729746589437129,0.025937259010970593,0.006313339271582664,0.00413221528287977,0.04909244328737259,0.9678101748228073,0.031198245473206047,0.022045030537992717,0.008909100433811547,0.006640766165219247,0.1502958841621876,0.9096808612346649,0.10242587104439736,0.08869562856853008,0.015898342430591583,0.03697870261967182,0.5279530405998231
exper0_location_10,0.6404389321804046,0.1793544851243496,0.08554308153688908,0.17470267713069915,0.051227604411542414,0.13372137919068336,0.1655953973531723,0.5564863353967667,0.0026506350957788524,0.0011446564923971892,0.49560028165578845,0.04782000854611397,0.007187195960432291,0.02027643295004964,0.012119823275133968,0.03749163020402193,0.9714119374752044,0.0019261452660430222,0.015627524722367524,0.31563731133937833,0.0031626067124307156,0.0021842616493813693,0.0010832476720679552,0.24654194116592407,0.03074587183073163,0.010361355124041438,0.004997816286049783,0.385156112909317,0.0424483397975564,0.019225548114627598,0.0062035373644903306,0.14206285774707794,0.01689807632938027,0.01128747211769223,0.004656314826570451,0.001801038719713688,0.015535310888662935,0.22429520338773729,0.06338332779705524,0.007212084904313087,0.005753787374123931,0.0007573428796604277,0.23883509784936904,0.42251170575618746,0.01150173400528729,0.00028695216897176576,0.0021037534577772023,0.008217639103531838,0.3682258665561676
exper0_location_11,0.6380766361951828,0.2049352005124092,0.0767857000231743,0.0722645677626133,0.16525139510631562,0.1600486196577549,0.141299919039011,0.5247193574905396,0.2485867664217949,0.9386423230171204,0.4356905907392502,0.17175838276743888,0.053288514167070394,0.03951721638441086,0.03486691210418939,0.005494797043502331,0.11763773560523987,0.25172315537929535,0.008748361468315124,0.8237840592861175,0.009927872149273752,0.5606079965829849,0.04178534466773272,0.02268913257867098,0.03399126976728439,0.011315091978758575,0.054901815578341485,0.08909085020422935,0.38162379860877993,0.03059959467500448,0.07741026058793068,0.055097114853560926,0.01275886418297887,0.024589837621897457,0.04938928373157978,0.0063787280349060895,0.030161981098353864,1.2714240729808808,0.3045322746038437,0.024996244814246893,0.011503103375434875,0.002048824355006218,0.2637898534536362,0.7996566385030747,0.041993839852511886,0.36116604655981066,0.0003395331397769041,0.005971439927816392,0.7267387390136719
exper0_location_12,0.12804876342415808,0.12854908630251885,0.06434131897985935,0.040405252017080784,0.047537251189351086,0.15387210249900818,0.10538533814251423,0.6062385380268097,1.35953848361969,2.3429151296615602,0.14206994697451591,0.1995759703218937,0.0910702221095562,0.3300903558731079,0.1889402948319912,0.00769541896879673,0.05517767500132323,0.7212871640920638,0.024323268420994283,0.4023058518767357,0.05603643413633108,1.792160701751709,0.4007039114832878,0.034658323600888254,0.03471019193530083,0.014134736778214575,0.24993406385183334,0.10177871100604534,0.15332846194505692,0.08556237481534482,0.11335252933204175,0.16526843830943108,0.02301018964499235,0.53360575735569,0.5523618757724762,0.07361430190503598,0.03664155919104815,0.42740050703287125,0.35372615754604336,0.04269087295979262,0.14105873852968215,0.005159478448331356,0.8529083430767059,1.7730703234672545,0.3826788172125816,0.7037690132856369,0.007974261650815606,0.032294413261115554,0.6851366013288498
exper0_location_13,0.20342070534825324,0.31900943666696546,0.031996116414666174,0.07383545078337192,0.04388404879719019,0.09069099351763725,0.04261285103857517,0.7521999806165695,1.541775131225586,5.582690954208374,0.2191754676401615,0.10286623425781727,0.09679848402738571,0.07738439366221428,0.05678311474621296,0.06179439071565866,0.0695477243512869,1.2856329798698425,0.1104298610240221,0.5922826677560806,0.1125890389084816,3.48903945684433,1.6823603928089141,0.024952529929578304,0.12584058418869973,0.026651756931096317,0.43937658965587617,0.07721728645265102,0.11666741855442524,0.1372612051665783,0.07810010127723217,0.29558960199356077,0.03713549748063088,0.06133569665253163,0.8471884518861771,0.04126393124461174,0.020368922222405675,0.03420019056648016,0.03016433259472251,0.18843677639961243,0.06529850773513317,0.07745281830430031,0.3623448804020882,1.0113305628299714,0.2175751030445099,1.3201320528984068,0.4512103408575058,0.1519395411014557,0.5210870206356049
exper0_location_14,0.07728060297667981,0.09967901892960071,0.0060528720496222385,0.024998785555362703,0.04889960698783398,0.03573798947036266,0.02562445420771837,0.6294210076332093,2.336662495136261,3.943528497219086,0.4969860315322876,0.13368881940841673,0.0776753067970276,0.13902695924043657,0.07484311237931252,0.009672170877456665,0.01019814955070615,2.4109468698501586,0.03340851552784443,0.4528140559792519,0.09072665125131607,3.6061097741127015,1.5104740023612975,0.04254611898213625,0.04506082236766815,0.007123342831619084,0.22263514921069147,0.014051932888105512,0.0694505773484707,0.042975597269833084,0.03677387125790119,0.17261284962296486,0.010407683346420527,0.05695520639419555,1.5545354664325715,0.03723793458193541,0.08085689023137094,0.012362851947546006,0.014467428484931589,0.021301958058029414,0.08098195716738701,0.018256292678415775,0.36822521686553955,1.0990316629409789,0.31206999719142914,1.6343968212604523,0.01231250367127359,0.0539322791621089,0.4492097795009613
