,mean_nUMI_factorsAstro_AMY,mean_nUMI_factorsAstro_AMY_CTX,mean_nUMI_factorsAstro_CTX,mean_nUMI_factorsAstro_HPC,mean_nUMI_factorsAstro_HYPO,mean_nUMI_factorsAstro_THAL_lat,mean_nUMI_factorsAstro_THAL_med,mean_nUMI_factorsAstro_WM,mean_nUMI_factorsExt_Amy_1,mean_nUMI_factorsExt_Amy_2,mean_nUMI_factorsExt_ClauPyr,mean_nUMI_factorsExt_Hpc_CA1,mean_nUMI_factorsExt_Hpc_CA3,mean_nUMI_factorsExt_Hpc_DG1,mean_nUMI_factorsExt_Hpc_DG2,mean_nUMI_factorsExt_L23,mean_nUMI_factorsExt_L25,mean_nUMI_factorsExt_L56,mean_nUMI_factorsExt_L5_1,mean_nUMI_factorsExt_L5_2,mean_nUMI_factorsExt_L6,mean_nUMI_factorsExt_L6B,mean_nUMI_factorsExt_Pir,mean_nUMI_factorsExt_Thal_1,mean_nUMI_factorsExt_Thal_2,mean_nUMI_factorsExt_Unk_3,mean_nUMI_factorsInh_1,mean_nUMI_factorsInh_2,mean_nUMI_factorsInh_3,mean_nUMI_factorsInh_4,mean_nUMI_factorsInh_5,mean_nUMI_factorsInh_6,mean_nUMI_factorsInh_Lamp5,mean_nUMI_factorsInh_Meis2_1,mean_nUMI_factorsInh_Meis2_2,mean_nUMI_factorsInh_Meis2_3,mean_nUMI_factorsInh_Meis2_4,mean_nUMI_factorsInh_Pvalb,mean_nUMI_factorsInh_Sst,mean_nUMI_factorsInh_Vip,mean_nUMI_factorsLowQ_2,mean_nUMI_factorsMicro,mean_nUMI_factorsNb_1,mean_nUMI_factorsNb_2,mean_nUMI_factorsOPC_1,mean_nUMI_factorsOPC_2,mean_nUMI_factorsOligo_1,mean_nUMI_factorsOligo_2,mean_nUMI_factorsUnk_1
exper0_location_0,80.9627914428711,144.55313110351562,86.35323333740234,66.93151092529297,90.90332794189453,221.42893981933594,86.3152084350586,177.38592529296875,66.29649353027344,73.77877044677734,371.6785888671875,160.85452270507812,401.4825744628906,146.8562774658203,97.7813491821289,142.30984497070312,177.2305450439453,241.6321563720703,44.89865493774414,581.3060302734375,133.46209716796875,1693.454833984375,111.99933624267578,184.57891845703125,225.383544921875,101.6756362915039,67.68281555175781,109.94886016845703,62.66329574584961,78.84747314453125,254.77943420410156,341.52484130859375,36.24934768676758,64.15526580810547,127.99749755859375,635.4544677734375,250.44068908691406,157.8660430908203,70.71192169189453,30.253528594970703,67.9156723022461,12.58351993560791,71.0630111694336,117.61260223388672,30.695171356201172,12.62346363067627,26.850496292114258,26.902755737304688,42.78996276855469
exper0_location_1,35.219032287597656,48.122039794921875,34.43131637573242,31.425737380981445,39.96882629394531,112.85193634033203,66.59651184082031,95.004150390625,65.43383026123047,197.09739685058594,395.95703125,60.043975830078125,61.41836929321289,262.0040588378906,85.72927856445312,385.59246826171875,91.808837890625,129.90975952148438,66.89781188964844,381.8878479003906,81.6259765625,767.1744384765625,597.5570678710938,45.16282653808594,248.41400146484375,149.03126525878906,39.143062591552734,48.05539321899414,36.27135467529297,47.10112380981445,96.60253143310547,561.9636840820312,38.3823356628418,37.453521728515625,81.8839111328125,280.6325988769531,34.41327667236328,87.00679016113281,42.186912536621094,181.57070922851562,66.78418731689453,93.13198852539062,83.69137573242188,156.14169311523438,19.65492057800293,14.706669807434082,49.68190002441406,21.987157821655273,29.401498794555664
exper0_location_2,150.40882873535156,159.0457000732422,91.7831039428711,60.37495803833008,61.57783889770508,250.4390411376953,106.48112487792969,173.7231903076172,44.11316680908203,44.25857162475586,221.75531005859375,90.5975570678711,79.50279998779297,63.74772644042969,41.228477478027344,196.31283569335938,106.04785919189453,47.44292068481445,41.26541519165039,332.61279296875,48.297828674316406,438.524169921875,197.68743896484375,210.21287536621094,258.3689270019531,66.73163604736328,42.297847747802734,101.11782836914062,30.94417381286621,51.5413703918457,243.26463317871094,131.87156677246094,35.463653564453125,45.84680938720703,25.48708724975586,74.816650390625,119.64525604248047,895.8258666992188,40.59806823730469,33.36066818237305,127.18952941894531,60.201087951660156,87.92652893066406,105.27159118652344,32.65522766113281,15.759490013122559,9.216629028320312,12.6489839553833,33.23193359375
exper0_location_3,88.61808776855469,147.7152862548828,96.08203887939453,78.80217742919922,38.79227066040039,114.96320343017578,48.376983642578125,191.2175750732422,69.76060485839844,61.2567138671875,538.65966796875,59.46341323852539,47.659881591796875,56.28251647949219,36.516014099121094,128.71060180664062,109.47123718261719,38.126304626464844,60.643306732177734,469.9394226074219,39.00617218017578,158.3586883544922,321.9855041503906,77.22236633300781,100.78468322753906,89.94671630859375,36.573856353759766,86.19374084472656,42.861473083496094,58.120521545410156,139.26889038085938,213.64895629882812,62.00515365600586,26.93320655822754,19.463787078857422,23.80793571472168,40.20795440673828,207.69515991210938,67.0628433227539,569.7855834960938,55.340389251708984,19.134048461914062,65.92500305175781,129.6247100830078,40.53251647949219,20.928974151611328,188.47848510742188,58.518951416015625,30.669025421142578
exper0_location_4,75.48009490966797,80.20285034179688,57.937686920166016,23.916946411132812,39.57256317138672,67.0875244140625,36.38743591308594,87.58290100097656,49.93101119995117,56.51047134399414,106.46562194824219,57.780982971191406,72.96771240234375,38.89223861694336,30.128435134887695,95.01175689697266,69.5727310180664,25.70114517211914,41.09745788574219,777.7442626953125,27.190017700195312,24.4658260345459,313.6476745605469,51.073455810546875,84.78484344482422,173.90028381347656,58.92204284667969,77.96958923339844,38.37620544433594,69.80182647705078,80.71480560302734,122.0341567993164,153.50848388671875,49.1931266784668,31.930652618408203,38.54920196533203,57.144508361816406,427.2069396972656,57.72325897216797,1090.5479736328125,15.54702377319336,4.194843292236328,52.97920608520508,136.02610778808594,19.995460510253906,18.03489875793457,185.64199829101562,44.019561767578125,25.16899871826172
exper0_location_5,61.787559509277344,114.14149475097656,59.76640319824219,44.27830505371094,42.346927642822266,167.72705078125,99.27311706542969,125.19271087646484,50.67109680175781,21.822917938232422,663.4293823242188,90.70356750488281,84.1357650756836,176.563232421875,50.93408203125,211.8167724609375,99.79420471191406,24.031503677368164,19.786643981933594,606.913330078125,37.531585693359375,43.39640808105469,94.11703491210938,80.78144836425781,65.19232177734375,37.870948791503906,24.254823684692383,37.925682067871094,25.72490882873535,21.580862045288086,53.314212799072266,98.07444763183594,19.843090057373047,36.80185317993164,19.562850952148438,17.738588333129883,98.60700988769531,366.6318359375,31.854393005371094,26.97655487060547,19.331680297851562,20.925235748291016,91.19602966308594,181.2252960205078,26.32223892211914,5.228726387023926,16.63698959350586,14.211551666259766,19.375280380249023
exper0_location_6,66.095458984375,83.13174438476562,44.088836669921875,79.02094268798828,28.72050666809082,126.2977294921875,43.9742317199707,226.43531799316406,22.56360626220703,17.973875045776367,664.766357421875,73.55393981933594,30.282947540283203,36.19610595703125,20.9893856048584,34.266300201416016,95.90453338623047,21.751644134521484,20.78082847595215,651.329833984375,19.366788864135742,19.597211837768555,29.969518661499023,30.419382095336914,45.237972259521484,32.4698600769043,30.09299659729004,86.96773529052734,26.041048049926758,45.88364791870117,78.96510314941406,124.79784393310547,25.80191993713379,22.060697555541992,22.994892120361328,15.014178276062012,75.18984985351562,660.8306884765625,22.42067527770996,69.0640640258789,11.984868049621582,6.3922953605651855,60.06758499145508,91.97730255126953,33.6103401184082,7.243064880371094,12.143796920776367,10.513861656188965,21.89453125
exper0_location_7,64.72673034667969,139.39047241210938,55.58203125,57.412296295166016,26.276721954345703,95.56800079345703,54.68214416503906,190.86668395996094,35.349063873291016,35.28895950317383,453.97845458984375,94.36296844482422,71.10978698730469,47.16923904418945,28.363807678222656,47.571250915527344,118.6216812133789,31.701330184936523,30.49576759338379,350.47418212890625,26.221389770507812,192.34580993652344,26.250038146972656,93.81086730957031,89.79788970947266,25.272037506103516,27.297121047973633,98.10142517089844,30.954364776611328,26.192502975463867,97.86067199707031,88.71949768066406,83.95387268066406,37.18402862548828,18.027395248413086,41.09927749633789,130.55487060546875,537.1746826171875,106.3384780883789,39.30922317504883,17.055227279663086,9.302542686462402,76.18587493896484,193.35324096679688,40.23484420776367,23.96653175354004,29.48716926574707,23.762083053588867,28.27820587158203
exper0_location_8,127.80973815917969,183.97756958007812,83.61827087402344,64.42154693603516,39.53564453125,192.4684600830078,72.15005493164062,100.91158294677734,26.900768280029297,16.297012329101562,831.233642578125,54.350242614746094,50.96564483642578,56.13091278076172,28.35896110534668,110.13252258300781,105.05789947509766,31.56717300415039,24.24411392211914,392.2826843261719,30.493791580200195,117.08394622802734,73.96050262451172,32.86811828613281,52.96535110473633,48.43032455444336,28.64350700378418,226.08070373535156,39.464839935302734,51.20765686035156,108.35177612304688,224.80152893066406,27.294105529785156,30.316728591918945,21.42516326904297,16.05213737487793,34.110145568847656,453.04095458984375,44.689125061035156,26.640522003173828,50.678192138671875,127.0952377319336,63.368350982666016,156.87596130371094,76.28201293945312,4.023557662963867,8.376648902893066,15.377071380615234,27.562271118164062
exper0_location_9,326.2286071777344,339.5948181152344,229.24697875976562,147.67901611328125,89.71172332763672,305.10015869140625,121.15457916259766,318.6275939941406,62.049400329589844,15.713194847106934,442.6853942871094,80.14141082763672,39.3559455871582,56.0903434753418,37.75126266479492,19.280166625976562,69.87692260742188,11.405807495117188,17.304046630859375,432.1948547363281,15.819831848144531,13.234406471252441,13.707226753234863,103.87140655517578,110.42544555664062,43.17404556274414,33.94974899291992,65.61824798583984,37.102237701416016,33.116844177246094,243.482666015625,84.86885833740234,20.798904418945312,30.326833724975586,19.77971839904785,21.327306747436523,69.71388244628906,439.7716369628906,55.38227462768555,42.620059967041016,18.587217330932617,9.936751365661621,54.3481559753418,126.79998779296875,56.3898811340332,58.58649826049805,38.97467041015625,28.562541961669922,29.84321403503418
