,mean_nUMI_factorsAstro_AMY,mean_nUMI_factorsAstro_AMY_CTX,mean_nUMI_factorsAstro_CTX,mean_nUMI_factorsAstro_HPC,mean_nUMI_factorsAstro_HYPO,mean_nUMI_factorsAstro_THAL_lat,mean_nUMI_factorsAstro_THAL_med,mean_nUMI_factorsAstro_WM,mean_nUMI_factorsExt_Amy_1,mean_nUMI_factorsExt_Amy_2,mean_nUMI_factorsExt_ClauPyr,mean_nUMI_factorsExt_Hpc_CA1,mean_nUMI_factorsExt_Hpc_CA3,mean_nUMI_factorsExt_Hpc_DG1,mean_nUMI_factorsExt_Hpc_DG2,mean_nUMI_factorsExt_L23,mean_nUMI_factorsExt_L25,mean_nUMI_factorsExt_L56,mean_nUMI_factorsExt_L5_1,mean_nUMI_factorsExt_L5_2,mean_nUMI_factorsExt_L6,mean_nUMI_factorsExt_L6B,mean_nUMI_factorsExt_Pir,mean_nUMI_factorsExt_Thal_1,mean_nUMI_factorsExt_Thal_2,mean_nUMI_factorsExt_Unk_3,mean_nUMI_factorsInh_1,mean_nUMI_factorsInh_2,mean_nUMI_factorsInh_3,mean_nUMI_factorsInh_4,mean_nUMI_factorsInh_5,mean_nUMI_factorsInh_6,mean_nUMI_factorsInh_Lamp5,mean_nUMI_factorsInh_Meis2_1,mean_nUMI_factorsInh_Meis2_2,mean_nUMI_factorsInh_Meis2_3,mean_nUMI_factorsInh_Meis2_4,mean_nUMI_factorsInh_Pvalb,mean_nUMI_factorsInh_Sst,mean_nUMI_factorsInh_Vip,mean_nUMI_factorsLowQ_2,mean_nUMI_factorsMicro,mean_nUMI_factorsNb_1,mean_nUMI_factorsNb_2,mean_nUMI_factorsOPC_1,mean_nUMI_factorsOPC_2,mean_nUMI_factorsOligo_1,mean_nUMI_factorsOligo_2,mean_nUMI_factorsUnk_1
exper0_location_0,4.737868785858154,4.484138488769531,3.216496467590332,4.570703506469727,6.986766338348389,5.224743843078613,3.603761911392212,3.1313207149505615,6.565374374389648,3.85014009475708,2.908759117126465,4.723550319671631,113.56952667236328,7.694416522979736,4.1783599853515625,6.526454925537109,3.37868332862854,5.930537223815918,3.6449124813079834,2.920389413833618,4.863183975219727,342.5825500488281,6.1031365394592285,4.283116817474365,4.842182159423828,5.407405376434326,3.3189477920532227,5.9988017082214355,6.843524932861328,3.939852714538574,6.324769496917725,74.47660064697266,2.5091302394866943,4.933844566345215,5.3312296867370605,17.44266128540039,11.6951904296875,18.648181915283203,8.247204780578613,3.964146137237549,4.1682024002075195,1.5245298147201538,6.348402976989746,3.392204761505127,3.365971565246582,1.5096228122711182,2.6959314346313477,3.99115252494812,7.0422844886779785
exper0_location_1,1.9449149370193481,2.7639946937561035,1.789091944694519,3.756869077682495,2.2321524620056152,1.4473990201950073,1.6068332195281982,3.5885961055755615,5.999554634094238,3.403352737426758,3.7128543853759766,2.1710047721862793,3.7383217811584473,7.960016250610352,4.959956169128418,5.817573070526123,2.8974099159240723,6.239475727081299,3.9498167037963867,2.4821856021881104,12.391410827636719,19.55144691467285,5.845646381378174,5.858132362365723,7.158348083496094,51.72661209106445,5.338228225708008,2.472550868988037,2.8280704021453857,3.28119158744812,5.63422966003418,124.6860580444336,3.0988945960998535,3.946079730987549,2.4244425296783447,5.261645793914795,2.3306355476379395,5.953519821166992,7.101316452026367,35.39445877075195,5.187288761138916,31.481876373291016,25.321102142333984,10.586702346801758,4.764532566070557,1.7221635580062866,3.4691264629364014,3.5327742099761963,7.027548313140869
exper0_location_2,5.920780181884766,10.266375541687012,6.002604007720947,4.797823429107666,3.6019515991210938,4.537346839904785,4.959411144256592,16.583797454833984,1.8346285820007324,2.749722957611084,3.3833796977996826,23.820905685424805,4.253025531768799,1.584092378616333,1.8405992984771729,4.60549783706665,3.398472547531128,1.9996908903121948,6.2085347175598145,3.348989248275757,1.4427990913391113,48.4808235168457,3.543632984161377,14.50533390045166,8.441905975341797,3.6497013568878174,3.95664644241333,3.508869171142578,3.7900407314300537,1.9742431640625,3.0179224014282227,3.2762067317962646,1.9024341106414795,2.4344513416290283,1.4129914045333862,3.065722942352295,2.9850268363952637,144.67539978027344,7.796524524688721,2.3250391483306885,3.6675188541412354,12.809815406799316,4.172414779663086,2.4096758365631104,4.10384464263916,5.911018371582031,3.565737009048462,3.31128191947937,3.2833378314971924
exper0_location_3,3.255546808242798,4.040779113769531,2.783174753189087,3.4104037284851074,4.447434902191162,3.823564291000366,2.6173324584960938,3.5700111389160156,3.646536350250244,1.684175729751587,2.432976722717285,2.413015604019165,1.356945276260376,2.3807544708251953,1.984519600868225,3.556335687637329,2.445326566696167,3.043844223022461,1.638935923576355,1.9853850603103638,2.4171180725097656,5.889228820800781,3.1293489933013916,2.181701421737671,2.3766093254089355,2.639801025390625,2.332850694656372,1.5003725290298462,2.1248281002044678,1.7960293292999268,3.2073826789855957,7.920063018798828,1.9137396812438965,1.632253885269165,0.9899123311042786,1.3373005390167236,1.3793190717697144,1.2611591815948486,3.874677896499634,67.96267700195312,4.237668037414551,9.462943077087402,11.893242835998535,4.895528316497803,5.06534481048584,14.125993728637695,7.5570244789123535,6.961087226867676,3.4629828929901123
exper0_location_4,0.7630630731582642,1.2744989395141602,1.1344419717788696,1.015296220779419,1.5892213582992554,1.6233948469161987,2.039165735244751,2.3591713905334473,1.2232985496520996,1.935958981513977,2.0788798332214355,0.8129746913909912,0.9982321858406067,0.6457675695419312,2.521608352661133,3.4192662239074707,1.5748562812805176,2.416501522064209,1.8850319385528564,1.4177396297454834,1.5284186601638794,2.666759729385376,1.0385174751281738,1.8061754703521729,1.2103874683380127,2.2926697731018066,2.9781641960144043,16.091960906982422,1.0176860094070435,0.8867914080619812,2.430391311645508,3.1009509563446045,4.955060958862305,0.8295274376869202,1.715091347694397,0.5117393732070923,2.8034961223602295,4.537964820861816,2.9968650341033936,186.0892791748047,0.9476451277732849,2.0160651206970215,1.7818225622177124,44.03453063964844,1.489900827407837,11.049542427062988,5.148681163787842,3.7835464477539062,1.8012887239456177
exper0_location_5,1.7589982748031616,2.5840003490448,1.318241834640503,1.4170794486999512,1.057654857635498,0.8125801682472229,1.531925082206726,2.0928232669830322,2.7820141315460205,3.0676276683807373,1.4853510856628418,2.046109914779663,0.9536154866218567,2.748779773712158,2.55717134475708,32.80276870727539,2.657498598098755,1.491253137588501,1.9618347883224487,1.6664390563964844,2.1943416595458984,1.1542977094650269,1.5390982627868652,0.5426619052886963,0.6629251837730408,1.0491607189178467,0.6301530003547668,1.3875901699066162,1.8435989618301392,1.0906120538711548,0.7358096837997437,0.6830781102180481,1.1669316291809082,1.0682581663131714,0.9795674681663513,1.461555004119873,0.6844011545181274,1.5687576532363892,1.5504380464553833,1.102175235748291,2.1515095233917236,0.9360517263412476,5.347998142242432,14.719165802001953,1.3542060852050781,1.7647838592529297,0.7414242625236511,1.4278603792190552,1.7057024240493774
exper0_location_6,0.9508878588676453,1.6968516111373901,1.1284314393997192,1.937082052230835,1.5865700244903564,1.5989558696746826,1.0315351486206055,1.333730697631836,0.9395972490310669,1.3287053108215332,1.4158909320831299,1.1166430711746216,1.925643801689148,1.4327476024627686,1.0046836137771606,1.8867952823638916,1.4942846298217773,1.0391310453414917,1.5620931386947632,1.383833646774292,0.7699615955352783,4.064581394195557,1.8718502521514893,0.9400632977485657,0.815484881401062,1.2340787649154663,1.5918303728103638,2.615349531173706,1.2319892644882202,1.3460819721221924,0.9059476852416992,0.7646297812461853,2.1719937324523926,1.3684533834457397,0.8576917052268982,0.5410011410713196,1.5111900568008423,87.33075714111328,2.2164199352264404,1.929408073425293,1.8261618614196777,0.6804724931716919,2.794682264328003,1.9184218645095825,1.7140132188796997,2.6160619258880615,1.1484085321426392,1.1999160051345825,2.219154119491577
exper0_location_7,1.0831413269042969,1.0670132637023926,1.113074541091919,1.6224608421325684,1.2069945335388184,1.3876690864562988,1.1434134244918823,1.8356473445892334,1.2215653657913208,1.3551936149597168,0.9902755618095398,1.5433560609817505,0.695453941822052,1.288735032081604,0.8219577074050903,1.4948465824127197,3.173527240753174,1.2523247003555298,1.1944615840911865,1.2658543586730957,1.0152157545089722,1.8450937271118164,1.9693124294281006,1.178758978843689,1.2416574954986572,0.6605138778686523,2.2732369899749756,1.1799724102020264,1.5481674671173096,1.9564414024353027,1.9307664632797241,1.3029025793075562,1.7429386377334595,1.2130446434020996,1.023741364479065,2.677593946456909,2.5987160205841064,38.81800842285156,2.9250354766845703,2.8017022609710693,1.5580263137817383,1.2313882112503052,3.2678639888763428,5.199362277984619,0.5866031050682068,0.6443018913269043,0.7696532011032104,0.8992438316345215,2.2019309997558594
exper0_location_8,10.981197357177734,5.12046480178833,3.4073739051818848,3.4265637397766113,5.405641078948975,9.730351448059082,3.947422504425049,3.3205370903015137,1.249043583869934,1.250497579574585,2.9605660438537598,0.7969664335250854,1.9628406763076782,2.4588284492492676,2.3235979080200195,1.693601369857788,2.2405385971069336,1.8772284984588623,1.6854732036590576,0.8495208621025085,2.5535476207733154,5.099366664886475,1.6808042526245117,2.844482898712158,1.8202065229415894,2.9355368614196777,1.0839719772338867,3.5866611003875732,1.294183611869812,7.717451572418213,2.903379440307617,3.102801561355591,1.7835884094238281,2.192321300506592,1.2329498529434204,2.803788661956787,0.7582549452781677,9.550806999206543,3.2569003105163574,1.740005373954773,2.0757853984832764,55.95018005371094,1.6350442171096802,2.519038438796997,4.651982307434082,1.5026389360427856,13.031891822814941,1.8220170736312866,2.069977283477783
exper0_location_9,139.65187072753906,3.7886788845062256,2.241997003555298,3.7452640533447266,3.2971255779266357,3.4453012943267822,3.971836566925049,5.724531173706055,0.6236729621887207,0.7861186861991882,1.0483604669570923,0.8641749024391174,4.687708854675293,1.5533382892608643,1.2365479469299316,1.7111541032791138,1.0825819969177246,1.408352017402649,0.905392587184906,0.7257381081581116,0.6929070353507996,0.9629946351051331,0.4951610267162323,1.758774995803833,1.172218918800354,1.1152667999267578,0.9508453011512756,0.9698259830474854,1.1787317991256714,1.0945793390274048,0.9122251272201538,0.7314436435699463,1.1339752674102783,1.2753753662109375,0.7796295881271362,1.2654439210891724,1.8204833269119263,18.98918914794922,1.3813987970352173,6.433395862579346,0.8297144174575806,1.0461636781692505,0.8842163681983948,4.250298023223877,2.1991047859191895,6.558803558349609,2.04166841506958,1.8978490829467773,1.6024850606918335
