,q05_spot_factorsAstro_AMY,q05_spot_factorsAstro_AMY_CTX,q05_spot_factorsAstro_CTX,q05_spot_factorsAstro_HPC,q05_spot_factorsAstro_HYPO,q05_spot_factorsAstro_THAL_lat,q05_spot_factorsAstro_THAL_med,q05_spot_factorsAstro_WM,q05_spot_factorsExt_Amy_1,q05_spot_factorsExt_Amy_2,q05_spot_factorsExt_ClauPyr,q05_spot_factorsExt_Hpc_CA1,q05_spot_factorsExt_Hpc_CA3,q05_spot_factorsExt_Hpc_DG1,q05_spot_factorsExt_Hpc_DG2,q05_spot_factorsExt_L23,q05_spot_factorsExt_L25,q05_spot_factorsExt_L56,q05_spot_factorsExt_L5_1,q05_spot_factorsExt_L5_2,q05_spot_factorsExt_L6,q05_spot_factorsExt_L6B,q05_spot_factorsExt_Pir,q05_spot_factorsExt_Thal_1,q05_spot_factorsExt_Thal_2,q05_spot_factorsExt_Unk_3,q05_spot_factorsInh_1,q05_spot_factorsInh_2,q05_spot_factorsInh_3,q05_spot_factorsInh_4,q05_spot_factorsInh_5,q05_spot_factorsInh_6,q05_spot_factorsInh_Lamp5,q05_spot_factorsInh_Meis2_1,q05_spot_factorsInh_Meis2_2,q05_spot_factorsInh_Meis2_3,q05_spot_factorsInh_Meis2_4,q05_spot_factorsInh_Pvalb,q05_spot_factorsInh_Sst,q05_spot_factorsInh_Vip,q05_spot_factorsLowQ_2,q05_spot_factorsMicro,q05_spot_factorsNb_1,q05_spot_factorsNb_2,q05_spot_factorsOPC_1,q05_spot_factorsOPC_2,q05_spot_factorsOligo_1,q05_spot_factorsOligo_2,q05_spot_factorsUnk_1
exper0_location_0,0.09893570430576801,0.17896876111626625,0.09880235530436038,0.05242016855627298,0.18175576850771905,0.20810471326112748,0.21416759639978408,0.36347160339355467,0.025136553589254616,0.01978954765945673,0.30308711826801304,0.1926012523472309,0.35274071544408797,0.09493948705494405,0.2633466422557831,0.05628815647214651,0.31266843229532243,0.5117903709411621,0.010122856544330715,0.3587677001953125,0.4457649871706963,2.1236233472824098,0.04120840094983578,0.16838744059205057,0.12013870589435101,0.05659664236009121,0.04788086302578449,0.08094296790659428,0.0772965706884861,0.03437559232115745,0.3635285973548889,0.832088240981102,0.010861931834369898,0.09892397224903107,0.18716549277305602,1.0807595551013947,0.19029511809349062,0.15497923344373704,0.024686470720916988,0.010611087502911688,0.02533734831959009,0.004124892642721534,0.2278715640306473,0.6355952709913254,0.022880743164569138,0.0012974795361515136,0.0078032282181084165,0.026112305372953417,0.620023536682129
exper0_location_1,0.017356595676392316,0.03180559892207384,0.022060103062540293,0.026749772485345602,0.05638665352016688,0.14118530005216598,0.14529676511883735,0.13617637008428574,0.025441456213593484,0.15744848400354383,0.435836473107338,0.03663706872612238,0.020049831736832856,0.3228708416223526,0.39006491005420685,0.41750706285238265,0.075330825522542,0.3610188290476799,0.01151737067848444,0.28281784802675247,0.0256351251155138,0.8614330857992172,0.8478467762470245,0.005163525277748704,0.309245765209198,0.07611619532108307,0.022752757743000986,0.011822475539520384,0.03262149207293987,0.0226013227365911,0.03848791606724262,1.5794193923473356,0.006068795826286077,0.044305331818759446,0.06656121499836445,0.4019122377038002,0.006404435471631587,0.08133766762912273,0.034763256646692754,0.16514151245355607,0.04442649353295565,0.34306684881448746,0.1556703716516495,0.843142604827881,0.006922964844852686,0.0021798870875500143,0.02299924809485674,0.01990223452448845,0.322223462164402
exper0_location_2,0.17953937128186226,0.34297204464673997,0.11616909839212895,0.09620382860302926,0.11715932413935662,0.3610536977648735,0.30452369451522826,0.312284129858017,0.009685145132243634,0.01044983989559114,0.2338650666177273,0.03079063342884183,0.018422141298651697,0.029319266602396966,0.05088159758597612,0.19489599838852883,0.11008528918027878,0.08055953904986382,0.01110385088250041,0.20176122412085531,0.014015100244432688,0.6738731205463409,0.255070361495018,0.23457269445061685,0.19800902977585794,0.01554716257378459,0.009808177268132568,0.04271749556064606,0.025207466538995506,0.016072022635489704,0.2796814411878586,0.19324929118156434,0.017898921575397252,0.04046542029827833,0.016457861009985208,0.06554630771279335,0.08250823989510536,1.4275270760059355,0.00846347133629024,0.01512833684682846,0.0746595848351717,0.18289650380611422,0.23167550265789033,0.6053015917539597,0.03724807929247618,0.0012717229838017374,0.001128058263566345,0.00691504639107734,0.5689210087060929
exper0_location_3,0.10470367670059204,0.18621698915958404,0.15745977461338043,0.0890228919684887,0.04150502122938633,0.16641610786318778,0.07453407980501651,0.4172871068120003,0.01292239846661687,0.00830729603767395,0.6894505202770234,0.02910689525306225,0.007525723543949426,0.02258003521710634,0.03569987956434489,0.12445171847939492,0.09732677005231381,0.034398978948593145,0.012721216771751642,0.4414292007684708,0.006217547971755267,0.08309445083141327,0.3440632313489914,0.025802825391292573,0.04395082090049982,0.04620018098503351,0.005639546038582922,0.07936555072665215,0.09908147156238556,0.02882711971178651,0.09110294282436371,0.3788052096962929,0.019755402766168117,0.014324528910219668,0.0028898229473270478,0.005413442850112915,0.008209435502067208,0.5153864204883576,0.04751254450529814,1.0335641026496887,0.019612228963524103,0.017569019924849275,0.19626678079366683,0.8556618899106979,0.03337956666946411,0.0019100041128695012,0.18678094819188118,0.16053983047604561,0.6093764126300811
exper0_location_4,0.084800636023283,0.12279591821134091,0.06740381941199303,0.02084256038069725,0.026346966344863176,0.0578647967427969,0.03914943225681782,0.10524134486913682,0.02989412378519774,0.022735907044261695,0.061178671196103096,0.026645248848944904,0.0807286523282528,0.010545274475589395,0.015128431329503656,0.10561377555131912,0.05598885770887136,0.009312803018838167,0.00784222143702209,0.7482160717248917,0.004945469903759658,0.010833185631781816,0.3351506218314171,0.02000780003145337,0.0507185734808445,0.09431198798120022,0.04964333530515433,0.056311871856451035,0.04649218469858169,0.03910861536860466,0.07575653940439224,0.19582285881042483,0.3333366557955742,0.01813024841248989,0.0064573980867862705,0.015687290485948326,0.050811199471354485,0.9556436985731125,0.02958732461556792,2.015853798389435,0.0016169232898391784,0.000635020883055404,0.10633613616228103,0.6558783411979675,0.0064611352747306235,0.02706963689997792,0.22986073270440102,0.06969450414180756,0.2468450427055359
exper0_location_5,0.08195940405130386,0.14233835563063624,0.07232813499867917,0.03891904260963202,0.05595181025564671,0.2234942853450775,0.3360544562339783,0.23195757269859313,0.007577893231064081,0.002268444013316184,0.8078323185443879,0.04343183040618896,0.011416491074487568,0.11700889207422734,0.14193054288625717,0.4463259845972061,0.06053368840366602,0.005491364095360041,0.0016586783458478749,0.7129870474338531,0.008328279992565512,0.010780133167281748,0.0322307426482439,0.04213545862585306,0.01578960670158267,0.0033175531076267365,0.0025936589925549926,0.018145639635622504,0.01125060454942286,0.003572161274496466,0.015623604459688068,0.17345513254404069,0.0025684415362775327,0.008880242332816125,0.0015862576779909433,0.0016171304043382407,0.10422491580247879,0.83611401617527,0.00351436062483117,0.0037241733632981775,0.0038933874107897285,0.03840499259531498,0.5503782719373703,0.7053084075450897,0.01823282325640321,0.00017956025258172308,0.0021775506320409477,0.006373773608356714,0.27167261242866514
exper0_location_6,0.14450460895895956,0.1224945142865181,0.07833258993923664,0.07130814194679261,0.04516339842230081,0.13902741223573686,0.10789827220141887,0.4514193579554558,0.0015906607673969123,0.0007228855160064996,0.7946096897125244,0.03918556831777096,0.0037275331909768284,0.01576722590252757,0.01290373974479735,0.0066199371125549075,0.2802276045084,0.0042065996909514064,0.0028034242568537593,0.6678237587213516,0.001641209243098274,0.0024459202890284356,0.0017989603453315796,0.009743506461381913,0.011218101484701037,0.005006605340167881,0.0056134870043024416,0.08199500031769276,0.03611665908247232,0.019182250555604696,0.02829504944384098,0.3424894452095032,0.010692161275073886,0.011412215884774925,0.004186107683926821,0.002426568022929132,0.03018942391499877,0.9343100458383561,0.005738563742488622,0.04201821964234114,0.0011958605784457177,0.0007608264655573295,0.3763398215174675,0.5300637602806091,0.03027376802638173,0.00016226830048253764,0.0010280916409101338,0.003881244722288102,0.47954305857419965
exper0_location_7,0.10793813914060593,0.16474300399422645,0.05596279315650463,0.05551747400313616,0.0351536437869072,0.12246178910136223,0.11615683287382127,0.4259847953915596,0.0031436693971045315,0.0029404138564132153,0.5325883865356446,0.11949382387101651,0.014671879773959517,0.013405851647257805,0.02624004827812314,0.004545711749233306,0.157542385160923,0.011527120927348734,0.0035458574071526527,0.2779535114765167,0.006992140039801598,0.17206602469086646,0.0010666756599675867,0.027208833117038013,0.02598932245746255,0.005732339154928923,0.00881386804394424,0.07102103494107723,0.08034341521561146,0.021928360592573883,0.07788436934351921,0.20801769644021986,0.04851201642304659,0.03276951406151056,0.00349080361193046,0.019800087343901398,0.11361999176442623,0.8366995066404342,0.14700854420661924,0.01364835719577968,0.0038383856997825207,0.0033576977672055367,0.5941289842128753,1.3731865882873535,0.06364306584000587,0.007781679276376963,0.002474185614846647,0.022045574337244037,1.6418588936328888
exper0_location_8,0.31677860766649246,0.25098988562822344,0.09588703215122223,0.0680074129253626,0.0756173636764288,0.3770114749670029,0.14916528165340423,0.14992264434695246,0.0029277421068400144,0.0012804477824829518,1.1731939733028414,0.03420211486518383,0.013976164022460581,0.02230806341394782,0.021399314142763616,0.1109523791819811,0.17620605677366258,0.02856813846156001,0.0036106187850236896,0.22561374679207802,0.003178293164819479,0.1176617369055748,0.03129508066922426,0.0062320406781509515,0.010407714545726776,0.039314454048871995,0.009132929099723696,0.22448084503412247,0.03549364469945431,0.040532028675079344,0.08250332139432431,0.5219808936119079,0.03212576657533645,0.013166872737929226,0.0021986772189848125,0.00204485384747386,0.00870796563103795,0.9702457636594772,0.020069682877510785,0.009450329095125198,0.027645902428776025,0.6430710643529892,0.2573022097349167,0.5975832492113113,0.18270460814237596,9.265852968383115e-05,0.0002666533851879649,0.005738355102948844,0.391999514400959
exper0_location_9,0.7854305624961853,0.6662217527627945,0.4027554571628571,0.4666063368320465,0.23441779166460036,0.6540640264749527,0.2389175444841385,0.7613338381052017,0.06825071014463902,0.0012140453327447176,0.6002335906028747,0.06161298397928477,0.007187843322753906,0.029235491901636126,0.036237304285168644,0.001712196972221136,0.05762349888682366,0.0016803635633550584,0.0013175575411878526,0.31176857054233553,0.0016741123923566194,0.00046823590382700787,0.0009177467785775661,0.06476501189172268,0.1248460128903389,0.009853467671200633,0.009523089649155736,0.037602114118635656,0.03911613393574953,0.009916066098958254,0.3788440585136414,0.1358985058963299,0.006518197990953923,0.019336389470845462,0.003470051684416831,0.0030079059302806853,0.035302307270467286,0.9009846925735473,0.022098235599696637,0.018938052840530874,0.006510056601837277,0.0043694139691069726,0.12366905733942986,0.8348844110965729,0.10319685935974121,0.07367836311459541,0.015272417152300478,0.031162057537585497,0.5569186002016068
