,mean_spot_factorsAstro_AMY,mean_spot_factorsAstro_AMY_CTX,mean_spot_factorsAstro_CTX,mean_spot_factorsAstro_HPC,mean_spot_factorsAstro_HYPO,mean_spot_factorsAstro_THAL_lat,mean_spot_factorsAstro_THAL_med,mean_spot_factorsAstro_WM,mean_spot_factorsExt_Amy_1,mean_spot_factorsExt_Amy_2,mean_spot_factorsExt_ClauPyr,mean_spot_factorsExt_Hpc_CA1,mean_spot_factorsExt_Hpc_CA3,mean_spot_factorsExt_Hpc_DG1,mean_spot_factorsExt_Hpc_DG2,mean_spot_factorsExt_L23,mean_spot_factorsExt_L25,mean_spot_factorsExt_L56,mean_spot_factorsExt_L5_1,mean_spot_factorsExt_L5_2,mean_spot_factorsExt_L6,mean_spot_factorsExt_L6B,mean_spot_factorsExt_Pir,mean_spot_factorsExt_Thal_1,mean_spot_factorsExt_Thal_2,mean_spot_factorsExt_Unk_3,mean_spot_factorsInh_1,mean_spot_factorsInh_2,mean_spot_factorsInh_3,mean_spot_factorsInh_4,mean_spot_factorsInh_5,mean_spot_factorsInh_6,mean_spot_factorsInh_Lamp5,mean_spot_factorsInh_Meis2_1,mean_spot_factorsInh_Meis2_2,mean_spot_factorsInh_Meis2_3,mean_spot_factorsInh_Meis2_4,mean_spot_factorsInh_Pvalb,mean_spot_factorsInh_Sst,mean_spot_factorsInh_Vip,mean_spot_factorsLowQ_2,mean_spot_factorsMicro,mean_spot_factorsNb_1,mean_spot_factorsNb_2,mean_spot_factorsOPC_1,mean_spot_factorsOPC_2,mean_spot_factorsOligo_1,mean_spot_factorsOligo_2,mean_spot_factorsUnk_1
exper0_location_0,0.17098738253116608,0.25346803665161133,0.14400076866149902,0.15263594686985016,0.39682018756866455,0.5086153149604797,0.22174200415611267,0.35381603240966797,0.18610253930091858,0.3996376693248749,0.29725614190101624,0.15499545633792877,0.38710319995880127,0.24564482271671295,0.21975336968898773,0.23265424370765686,0.22129571437835693,0.41433393955230713,0.07222665846347809,0.36948052048683167,0.1935768723487854,2.024207592010498,0.23247013986110687,0.17276747524738312,0.24351611733436584,0.114508256316185,0.10508602857589722,0.0831722840666771,0.12073008716106415,0.0953323170542717,0.35952407121658325,0.7362084984779358,0.06626592576503754,0.12187326699495316,0.2523054778575897,0.6523742079734802,0.4496547281742096,0.25178927183151245,0.08321791142225266,0.09046130627393723,0.15273497998714447,0.059851329773664474,0.26232415437698364,0.3452291786670685,0.10241925716400146,0.04736033454537392,0.04575342684984207,0.07279915362596512,0.33813410997390747
exper0_location_1,0.09023679792881012,0.1159641444683075,0.09793148934841156,0.09487847238779068,0.12074610590934753,0.23102203011512756,0.20181982219219208,0.21581731736660004,0.12121474742889404,0.4447944462299347,0.4879544973373413,0.1002410352230072,0.07550211250782013,0.5145015716552734,0.2181900292634964,0.39185434579849243,0.20264190435409546,0.23829524219036102,0.06311364471912384,0.3436763286590576,0.10489141196012497,0.9140043258666992,0.4890870451927185,0.04002266377210617,0.3317244052886963,0.19565585255622864,0.11385394632816315,0.060803696513175964,0.09960077702999115,0.06161690130829811,0.14711175858974457,1.318837285041809,0.06692242622375488,0.11456702649593353,0.15925440192222595,0.2777683138847351,0.0754212737083435,0.15355284512043,0.10274551808834076,0.23789788782596588,0.07678209990262985,0.422935426235199,0.40884485840797424,0.8472638130187988,0.07799044251441956,0.03689255565404892,0.03278280794620514,0.06125674769282341,0.29257988929748535
exper0_location_2,0.5506293177604675,0.3676033914089203,0.19403038918972015,0.13235870003700256,0.1763210892677307,0.513511598110199,0.2762741446495056,0.3911935091018677,0.05442148819565773,0.06105447933077812,0.20001395046710968,0.07203589379787445,0.062000054866075516,0.09691044688224792,0.0980229303240776,0.26823174953460693,0.12913349270820618,0.08877678215503693,0.06669238209724426,0.24360153079032898,0.061994221061468124,0.6243825554847717,0.2951773405075073,0.2072884738445282,0.3630801737308502,0.07430487126111984,0.0502365417778492,0.09007921814918518,0.07814274728298187,0.05969366058707237,0.33957433700561523,0.2641904056072235,0.05778501555323601,0.08446439355611801,0.05465436354279518,0.07819535583257675,0.13608112931251526,1.5531232357025146,0.050898477435112,0.10497313737869263,0.2212410569190979,0.28195273876190186,0.39842793345451355,0.45664307475090027,0.09584122896194458,0.021477999165654182,0.02110007219016552,0.04181625694036484,0.24920019507408142
exper0_location_3,0.2244487851858139,0.40600723028182983,0.23107489943504333,0.28460416197776794,0.07827191054821014,0.19135262072086334,0.0969150960445404,0.4367430806159973,0.10986602306365967,0.06248335540294647,0.6359584331512451,0.08440005779266357,0.04004192724823952,0.08536893129348755,0.09571370482444763,0.18104210495948792,0.1092975065112114,0.08026105165481567,0.03801479563117027,0.45979657769203186,0.03541389852762222,0.334692120552063,0.14862781763076782,0.08036129921674728,0.13219206035137177,0.06119174882769585,0.05804847553372383,0.09282861649990082,0.10807764530181885,0.06599590182304382,0.19660255312919617,0.45960962772369385,0.09318658709526062,0.06954028457403183,0.030998872593045235,0.038453634828329086,0.05287204310297966,0.4034203290939331,0.10960526764392853,1.1257092952728271,0.10961231589317322,0.09014976769685745,0.2902364432811737,0.6809414029121399,0.09020798653364182,0.049236100167036057,0.20403942465782166,0.20545238256454468,0.19616976380348206
exper0_location_4,0.25477835536003113,0.25035056471824646,0.16405697166919708,0.06641129404306412,0.12094450742006302,0.06503245234489441,0.04909132048487663,0.20317178964614868,0.06611111760139465,0.06932257860898972,0.11368075013160706,0.0879233106970787,0.11283815652132034,0.08491715043783188,0.06808154284954071,0.056828804314136505,0.07323673367500305,0.03920883312821388,0.01892494224011898,0.8754790425300598,0.035236045718193054,0.09347065538167953,0.04171515256166458,0.06295408308506012,0.10049949586391449,0.18297021090984344,0.1222674548625946,0.10600115358829498,0.07827790826559067,0.07646536082029343,0.10822498798370361,0.32143205404281616,0.29541417956352234,0.17785534262657166,0.09687813371419907,0.12064522504806519,0.10438639670610428,0.7855154871940613,0.08099862933158875,2.3762950897216797,0.021017231047153473,0.015273919329047203,0.21092304587364197,0.7977930903434753,0.04637442156672478,0.09699223190546036,0.23838083446025848,0.09970791637897491,0.20333127677440643
exper0_location_5,0.1498153805732727,0.2968984842300415,0.1311546415090561,0.09615269303321838,0.1457231640815735,0.3614504337310791,0.3254392445087433,0.2797889709472656,0.041462987661361694,0.031986821442842484,0.7650043964385986,0.06991198658943176,0.046436965465545654,0.343115895986557,0.10095858573913574,0.3434460163116455,0.10693608969449997,0.026108574122190475,0.01997702568769455,0.5295370221138,0.036174241453409195,0.06716354191303253,0.17128436267375946,0.08087510615587234,0.058426182717084885,0.03979255631566048,0.02858179621398449,0.03683469817042351,0.03527693822979927,0.027138646692037582,0.03542264550924301,0.19668106734752655,0.026660097762942314,0.0625518336892128,0.024156814441084862,0.021525146439671516,0.13101829588413239,0.6360517740249634,0.0330050103366375,0.06567257642745972,0.030486397445201874,0.10276664793491364,0.4308033585548401,0.8765237927436829,0.0769776776432991,0.007708281744271517,0.0349554605782032,0.04207688197493553,0.11217479407787323
exper0_location_6,0.16897881031036377,0.16272348165512085,0.07579901069402695,0.353361576795578,0.07164498418569565,0.11229835450649261,0.0527227558195591,0.6082087755203247,0.0225784033536911,0.016131794080138206,0.8050984740257263,0.06027916818857193,0.01328389160335064,0.05043472722172737,0.044515375047922134,0.02950391173362732,0.08919933438301086,0.029065998271107674,0.01381331030279398,0.6210191249847412,0.031045127660036087,0.0429045706987381,0.027642935514450073,0.02805938385426998,0.04141375795006752,0.03179080784320831,0.058433808386325836,0.08763539791107178,0.05951990559697151,0.07141243666410446,0.08678115904331207,0.27565234899520874,0.04488531872630119,0.03933744877576828,0.03923921659588814,0.019492415711283684,0.08473120629787445,1.1192338466644287,0.02308807335793972,0.2144814133644104,0.017343953251838684,0.027447380125522614,0.2955281734466553,0.3972844183444977,0.12659648060798645,0.007844308391213417,0.018198328092694283,0.028696030378341675,0.15470200777053833
exper0_location_7,0.15554805099964142,0.42620041966438293,0.09448562562465668,0.13319575786590576,0.05228544771671295,0.06273281574249268,0.045887283980846405,0.4858420491218567,0.03598402068018913,0.04949101060628891,0.5042718052864075,0.10056276619434357,0.05114361271262169,0.06020218878984451,0.05631868541240692,0.04757720232009888,0.12021210789680481,0.044944800436496735,0.03744429349899292,0.29360130429267883,0.029627032577991486,0.29289352893829346,0.02730182558298111,0.08014333248138428,0.11361570656299591,0.026315854862332344,0.04821953549981117,0.10264568775892258,0.07060256600379944,0.03490779176354408,0.12750352919101715,0.14371880888938904,0.1792575865983963,0.045424025505781174,0.03387151658535004,0.056853435933589935,0.16239771246910095,0.8101188540458679,0.15474757552146912,0.1056835874915123,0.018908001482486725,0.03134681656956673,0.3223230838775635,0.9001747965812683,0.12956562638282776,0.03967994824051857,0.03661099448800087,0.056958649307489395,0.20804713666439056
exper0_location_8,0.4155159294605255,0.5642909407615662,0.13782137632369995,0.16237172484397888,0.08868666738271713,0.3781678080558777,0.1420290470123291,0.17380093038082123,0.027957869693636894,0.016519764438271523,0.9946640729904175,0.03942910209298134,0.041251637041568756,0.08368204534053802,0.06567667424678802,0.15533271431922913,0.10935881733894348,0.06615854799747467,0.035256654024124146,0.33577966690063477,0.03981637954711914,0.1927226036787033,0.11126204580068588,0.024043697863817215,0.04518264904618263,0.06773125380277634,0.04977771267294884,0.2988032400608063,0.08404221385717392,0.05861591547727585,0.10811583697795868,0.47018182277679443,0.040990572422742844,0.06217082217335701,0.030163489282131195,0.019333098083734512,0.035001568496227264,0.8154847025871277,0.05818956717848778,0.08111274242401123,0.09064836800098419,0.6330679655075073,0.2118358165025711,0.7405732870101929,0.2799655497074127,0.006752165034413338,0.013686297461390495,0.035453204065561295,0.15034684538841248
exper0_location_9,1.3219687938690186,0.84344881772995,0.5771744847297668,0.38791024684906006,0.24010826647281647,0.40720057487487793,0.13484179973602295,0.8341243267059326,0.10163488984107971,0.012949303723871708,0.5467766523361206,0.06480482220649719,0.021264808252453804,0.08500445634126663,0.07476720958948135,0.01926080510020256,0.04253470525145531,0.016514841467142105,0.020890608429908752,0.4134399890899658,0.017544176429510117,0.030493197962641716,0.0399385467171669,0.0907413586974144,0.17518223822116852,0.04630977287888527,0.04563091695308685,0.055483561009168625,0.06360716372728348,0.04749833792448044,0.3676735758781433,0.1483481228351593,0.026556648313999176,0.03715008124709129,0.02880626544356346,0.018082108348608017,0.06395850330591202,0.7814146280288696,0.0665324404835701,0.12197592854499817,0.025946112349629402,0.03806496039032936,0.17499156296253204,0.5346605181694031,0.2162642925977707,0.1011374369263649,0.0891779437661171,0.07239291816949844,0.1295996606349945
