,mean_nUMI_factorsAstro_AMY,mean_nUMI_factorsAstro_AMY_CTX,mean_nUMI_factorsAstro_CTX,mean_nUMI_factorsAstro_HPC,mean_nUMI_factorsAstro_HYPO,mean_nUMI_factorsAstro_THAL_lat,mean_nUMI_factorsAstro_THAL_med,mean_nUMI_factorsAstro_WM,mean_nUMI_factorsExt_Amy_1,mean_nUMI_factorsExt_Amy_2,mean_nUMI_factorsExt_ClauPyr,mean_nUMI_factorsExt_Hpc_CA1,mean_nUMI_factorsExt_Hpc_CA3,mean_nUMI_factorsExt_Hpc_DG1,mean_nUMI_factorsExt_Hpc_DG2,mean_nUMI_factorsExt_L23,mean_nUMI_factorsExt_L25,mean_nUMI_factorsExt_L56,mean_nUMI_factorsExt_L5_1,mean_nUMI_factorsExt_L5_2,mean_nUMI_factorsExt_L6,mean_nUMI_factorsExt_L6B,mean_nUMI_factorsExt_Pir,mean_nUMI_factorsExt_Thal_1,mean_nUMI_factorsExt_Thal_2,mean_nUMI_factorsExt_Unk_3,mean_nUMI_factorsInh_1,mean_nUMI_factorsInh_2,mean_nUMI_factorsInh_3,mean_nUMI_factorsInh_4,mean_nUMI_factorsInh_5,mean_nUMI_factorsInh_6,mean_nUMI_factorsInh_Lamp5,mean_nUMI_factorsInh_Meis2_1,mean_nUMI_factorsInh_Meis2_2,mean_nUMI_factorsInh_Meis2_3,mean_nUMI_factorsInh_Meis2_4,mean_nUMI_factorsInh_Pvalb,mean_nUMI_factorsInh_Sst,mean_nUMI_factorsInh_Vip,mean_nUMI_factorsLowQ_2,mean_nUMI_factorsMicro,mean_nUMI_factorsNb_1,mean_nUMI_factorsNb_2,mean_nUMI_factorsOPC_1,mean_nUMI_factorsOPC_2,mean_nUMI_factorsOligo_1,mean_nUMI_factorsOligo_2,mean_nUMI_factorsUnk_1
exper0_location_0,50.14595413208008,79.68840789794922,40.61463928222656,45.998661041259766,107.9738998413086,132.04974365234375,51.77637481689453,111.33038330078125,110.68891906738281,236.5361785888672,183.39321899414062,80.09559631347656,290.6346130371094,95.95329284667969,70.15567779541016,145.40023803710938,98.26750946044922,204.62391662597656,45.65474319458008,291.6376037597656,115.83505249023438,1224.3406982421875,144.37435913085938,118.18792724609375,143.35081481933594,63.138145446777344,42.62666320800781,49.90737533569336,37.20793533325195,47.11215591430664,205.15084838867188,260.4075012207031,25.420228958129883,35.13173294067383,103.5652847290039,261.4875183105469,211.8463134765625,121.11225128173828,37.454689025878906,32.02094650268555,60.518165588378906,9.809991836547852,48.627986907958984,49.08839797973633,22.04881477355957,18.350534439086914,21.2762393951416,16.592796325683594,36.22861099243164
exper0_location_1,26.465282440185547,36.45856475830078,27.62034797668457,28.59244155883789,32.853328704833984,59.97850036621094,47.1253547668457,67.90980529785156,72.09468078613281,263.2650451660156,301.046630859375,51.79991912841797,56.68647766113281,200.97097778320312,69.65692901611328,244.89625549316406,89.98405456542969,117.68486022949219,39.895111083984375,271.2690734863281,62.765079498291016,552.8363037109375,303.7430725097656,27.37947654724121,195.27552795410156,107.8851089477539,46.186275482177734,36.483795166015625,30.695390701293945,30.44883155822754,83.9450912475586,466.4947509765625,25.673397064208984,33.02454376220703,65.3689956665039,111.3337631225586,35.533817291259766,73.8598403930664,46.24298858642578,84.20963287353516,30.42397117614746,69.3177719116211,75.790283203125,120.46753692626953,16.789546966552734,14.2935209274292,15.245080947875977,13.960787773132324,31.34684181213379
exper0_location_2,161.49258422851562,115.57290649414062,54.725223541259766,39.88983154296875,47.97515106201172,133.31927490234375,64.5108413696289,123.09013366699219,32.3695182800293,36.13615417480469,123.40126037597656,37.22446060180664,46.55028533935547,37.85406494140625,31.293981552124023,167.63450622558594,57.342185974121094,43.84309768676758,42.15708923339844,192.2777862548828,37.096527099609375,377.65679931640625,183.31776428222656,141.80441284179688,213.733154296875,40.972110748291016,20.379316329956055,54.050662994384766,24.083242416381836,29.495948791503906,193.767578125,93.44782257080078,22.1682186126709,24.347543716430664,22.434154510498047,31.342708587646484,64.1138687133789,747.0531616210938,22.905649185180664,37.15793228149414,87.66262817382812,46.21079635620117,73.85902404785156,64.92977905273438,20.63255500793457,8.322932243347168,9.813305854797363,9.530282020568848,26.701221466064453
exper0_location_3,65.8257064819336,127.64555358886719,65.17276000976562,85.77103424072266,21.297157287597656,49.68125534057617,22.629100799560547,137.42466735839844,65.34468078613281,36.981563568115234,392.3582763671875,43.61447525024414,30.0625,33.345516204833984,30.55640411376953,113.1423568725586,48.53397750854492,39.638153076171875,24.029077529907227,362.92584228515625,21.190961837768555,202.4382781982422,92.30389404296875,54.97417068481445,77.81851196289062,33.740577697753906,23.5467586517334,55.70058059692383,33.30894470214844,32.611839294433594,112.18446350097656,162.571533203125,35.74900817871094,20.045307159423828,12.723882675170898,15.413251876831055,24.91022300720215,194.0454559326172,49.330387115478516,398.4701232910156,43.43256759643555,14.7752103805542,53.803077697753906,96.81900787353516,19.419445037841797,19.075170516967773,94.8864517211914,46.826385498046875,21.01873779296875
exper0_location_4,74.72187042236328,78.70836639404297,46.2706298828125,20.013458251953125,32.908233642578125,16.885190963745117,11.462237358093262,63.92909622192383,39.321598052978516,41.03044509887695,70.13536834716797,45.4354248046875,84.71810913085938,33.1693115234375,21.735437393188477,35.516517639160156,32.521461486816406,19.363483428955078,11.9624605178833,691.0301513671875,21.084915161132812,56.53525161743164,25.907072067260742,43.06639862060547,59.161415100097656,100.88829803466797,49.59709167480469,63.6035041809082,24.123931884765625,37.782833099365234,61.75507736206055,113.6946029663086,113.32868957519531,51.26703643798828,39.766361236572266,48.356929779052734,49.180274963378906,377.83551025390625,36.45310592651367,841.1460571289062,8.327803611755371,2.503599166870117,39.09935760498047,113.43457794189453,9.983417510986328,37.57903289794922,110.8597640991211,22.725019454956055,21.78550910949707
exper0_location_5,43.93836975097656,93.34244537353516,36.99158477783203,28.977426528930664,39.64906692504883,93.84192657470703,75.99132537841797,88.03567504882812,24.660572052001953,18.932086944580078,471.97430419921875,36.127838134765625,34.864601135253906,134.02490234375,32.23046112060547,214.6400146484375,47.485755920410156,12.894632339477539,12.62753963470459,417.9723205566406,21.646730422973633,40.623165130615234,106.37532043457031,55.32529067993164,34.39326858520508,21.941951751708984,11.593807220458984,22.102598190307617,10.87208080291748,13.410907745361328,20.21280288696289,69.56867980957031,10.227947235107422,18.03095054626465,9.915756225585938,8.627596855163574,61.72841262817383,305.94171142578125,14.854442596435547,23.246618270874023,12.079611778259277,16.842666625976562,79.85881805419922,124.62967681884766,16.572528839111328,2.9869396686553955,16.25522804260254,9.591117858886719,12.018187522888184
exper0_location_6,49.558406829833984,51.159122467041016,21.377485275268555,106.49031829833984,19.493444442749023,29.15546226501465,12.310515403747559,191.37991333007812,13.429230690002441,9.54770278930664,496.70867919921875,31.149078369140625,9.972596168518066,19.700586318969727,14.211540222167969,18.439083099365234,39.61011505126953,14.354392051696777,8.731781959533691,490.1809997558594,18.576984405517578,25.951427459716797,17.16716957092285,19.19528579711914,24.37921905517578,17.529144287109375,23.701520919799805,52.58413314819336,18.342695236206055,35.29086685180664,49.518829345703125,97.50267028808594,17.218616485595703,11.339879989624023,16.10708236694336,7.8129987716674805,39.91874694824219,538.3541870117188,10.39118480682373,75.9200668334961,6.8718061447143555,4.500042915344238,54.78453063964844,56.48762893676758,27.252683639526367,3.0393424034118652,8.462044715881348,6.541157245635986,16.57560920715332
exper0_location_7,45.61972427368164,133.99465942382812,26.6480655670166,40.14079666137695,14.226733207702637,16.28714942932129,10.715396881103516,152.87197875976562,21.40206527709961,29.292434692382812,311.113525390625,51.96718215942383,38.39822769165039,23.515233993530273,17.980098724365234,29.733938217163086,53.38162612915039,22.196441650390625,23.667573928833008,231.74391174316406,17.72822380065918,177.15658569335938,16.955446243286133,54.824283599853516,66.88249969482422,14.510477066040039,19.5604190826416,61.59099578857422,21.75838851928711,17.248334884643555,72.7554702758789,50.83534622192383,68.76779174804688,13.09411907196045,13.903779983520508,22.788068771362305,76.50991821289062,389.66864013671875,69.64703369140625,37.40935134887695,7.491661548614502,5.137218475341797,59.74953079223633,127.99236297607422,27.893287658691406,15.374485969543457,17.02505874633789,12.98273754119873,22.29092788696289
exper0_location_8,121.86381530761719,177.40838623046875,38.87164306640625,48.92913055419922,24.130916595458984,98.18244171142578,33.1646842956543,54.686031341552734,16.62908363342285,9.77807331085205,613.6636962890625,20.37500762939453,30.971616744995117,32.68749237060547,20.966875076293945,97.07682800292969,48.56277084350586,32.674156188964844,22.285024642944336,265.03643798828125,23.826175689697266,116.56758880615234,69.09811401367188,16.447660446166992,26.597185134887695,37.34674835205078,20.194013595581055,179.29164123535156,25.900390625,28.964887619018555,61.693172454833984,166.31053161621094,15.725397109985352,17.92119789123535,12.381712913513184,7.749209880828857,16.49043083190918,392.24755859375,26.18903923034668,28.711597442626953,35.91809844970703,103.75666809082031,39.2689208984375,105.29820251464844,60.27124786376953,2.616011142730713,6.364837169647217,8.080207824707031,16.109630584716797
exper0_location_9,387.7127990722656,265.1719665527344,162.78717041015625,116.89940643310547,65.33053588867188,105.71935272216797,31.48761749267578,262.46136474609375,60.44868469238281,7.664021015167236,337.33843994140625,33.48807144165039,15.965456008911133,33.20290756225586,23.86962890625,12.036999702453613,18.888206481933594,8.156329154968262,13.205238342285156,326.33441162109375,10.498398780822754,18.443889617919922,24.803340911865234,62.074562072753906,103.12224578857422,25.534957885742188,18.509521484375,33.291969299316406,19.602943420410156,23.470346450805664,209.802490234375,52.47394943237305,10.187906265258789,10.709046363830566,11.8248929977417,7.247823238372803,30.133607864379883,375.8609924316406,29.943613052368164,43.177040100097656,10.280862808227539,6.239057540893555,32.43873977661133,76.02111053466797,46.55534362792969,39.18653869628906,41.471656799316406,16.498971939086914,13.88668441772461
