,mean_nUMI_factorsAstro_AMY,mean_nUMI_factorsAstro_AMY_CTX,mean_nUMI_factorsAstro_CTX,mean_nUMI_factorsAstro_HPC,mean_nUMI_factorsAstro_HYPO,mean_nUMI_factorsAstro_THAL_lat,mean_nUMI_factorsAstro_THAL_med,mean_nUMI_factorsAstro_WM,mean_nUMI_factorsExt_Amy_1,mean_nUMI_factorsExt_Amy_2,mean_nUMI_factorsExt_ClauPyr,mean_nUMI_factorsExt_Hpc_CA1,mean_nUMI_factorsExt_Hpc_CA3,mean_nUMI_factorsExt_Hpc_DG1,mean_nUMI_factorsExt_Hpc_DG2,mean_nUMI_factorsExt_L23,mean_nUMI_factorsExt_L25,mean_nUMI_factorsExt_L56,mean_nUMI_factorsExt_L5_1,mean_nUMI_factorsExt_L5_2,mean_nUMI_factorsExt_L6,mean_nUMI_factorsExt_L6B,mean_nUMI_factorsExt_Pir,mean_nUMI_factorsExt_Thal_1,mean_nUMI_factorsExt_Thal_2,mean_nUMI_factorsExt_Unk_3,mean_nUMI_factorsInh_1,mean_nUMI_factorsInh_2,mean_nUMI_factorsInh_3,mean_nUMI_factorsInh_4,mean_nUMI_factorsInh_5,mean_nUMI_factorsInh_6,mean_nUMI_factorsInh_Lamp5,mean_nUMI_factorsInh_Meis2_1,mean_nUMI_factorsInh_Meis2_2,mean_nUMI_factorsInh_Meis2_3,mean_nUMI_factorsInh_Meis2_4,mean_nUMI_factorsInh_Pvalb,mean_nUMI_factorsInh_Sst,mean_nUMI_factorsInh_Vip,mean_nUMI_factorsLowQ_2,mean_nUMI_factorsMicro,mean_nUMI_factorsNb_1,mean_nUMI_factorsNb_2,mean_nUMI_factorsOPC_1,mean_nUMI_factorsOPC_2,mean_nUMI_factorsOligo_1,mean_nUMI_factorsOligo_2,mean_nUMI_factorsUnk_1
exper0_location_0,28.369924545288086,50.69960021972656,34.249210357666016,30.94341278076172,75.30232238769531,122.69386291503906,60.35357666015625,45.489776611328125,100.71647644042969,216.75807189941406,143.236083984375,64.58018493652344,270.6146240234375,74.11480712890625,62.742340087890625,50.27656555175781,116.4306869506836,196.53451538085938,34.49567794799805,197.33229064941406,81.87201690673828,1124.203369140625,42.72218704223633,115.25535583496094,124.10816192626953,78.8453369140625,37.800960540771484,37.69895553588867,26.34390640258789,42.1176872253418,119.09907531738281,198.6525421142578,21.6094913482666,40.69263458251953,114.86016845703125,252.9842987060547,212.0331573486328,91.9293212890625,42.20465087890625,17.54147720336914,35.815555572509766,4.3741068840026855,34.830596923828125,31.27532386779785,22.853654861450195,25.862213134765625,14.793865203857422,12.813551902770996,23.14801597595215
exper0_location_1,11.087369918823242,13.327166557312012,11.133038520812988,13.609246253967285,33.007598876953125,53.75459289550781,28.88703155517578,18.106306076049805,65.14334106445312,188.5111541748047,201.60675048828125,44.20979309082031,37.51686477661133,191.3647918701172,69.27019500732422,295.03399658203125,38.27522659301758,93.95208740234375,34.61568069458008,154.8955535888672,54.81269454956055,530.8922119140625,352.2218017578125,24.256927490234375,199.06333923339844,94.97339630126953,25.935407638549805,17.698251724243164,18.57046127319336,22.038028717041016,47.32634353637695,365.9915771484375,22.532756805419922,23.780994415283203,55.32396697998047,94.94458770751953,22.17007827758789,46.43902587890625,25.659574508666992,87.25564575195312,42.08796310424805,71.7417221069336,42.42512512207031,42.55953598022461,14.057007789611816,12.615044593811035,23.958011627197266,14.189841270446777,18.663818359375
exper0_location_2,61.203514099121094,63.420997619628906,38.018978118896484,30.023788452148438,40.21477508544922,157.45338439941406,60.88318634033203,42.991485595703125,37.72010040283203,33.86539077758789,57.41606521606445,22.71071434020996,30.86099624633789,35.969635009765625,21.287647247314453,124.78256225585938,44.47339630126953,28.79892349243164,30.32159996032715,81.89322662353516,26.50806999206543,368.6703186035156,138.78286743164062,111.1344223022461,244.27395629882812,25.68955421447754,13.680961608886719,27.228473663330078,17.642108917236328,21.477691650390625,92.49031829833984,60.296905517578125,15.626738548278809,27.266822814941406,20.767963409423828,33.828548431396484,70.01107025146484,645.9647216796875,19.335540771484375,17.994869232177734,87.04203033447266,40.97174835205078,46.2332649230957,22.554887771606445,16.32683563232422,11.986249923706055,5.443696022033691,6.781006813049316,13.292415618896484
exper0_location_3,25.736143112182617,78.27562713623047,35.3583984375,47.94346618652344,14.347755432128906,51.553897857666016,17.823871612548828,24.51789093017578,38.28798294067383,27.852937698364258,245.49468994140625,27.170671463012695,13.76276683807373,26.97545623779297,16.29942512512207,121.73873901367188,39.20247268676758,23.625572204589844,32.52946853637695,177.98214721679688,19.531373977661133,157.79428100585938,264.3288879394531,52.324440002441406,68.01294708251953,41.031654357910156,15.871495246887207,22.024677276611328,19.136592864990234,25.03518295288086,69.86708068847656,109.0569076538086,40.565582275390625,8.966620445251465,6.603403091430664,10.228558540344238,20.897863388061523,94.30806732177734,42.01938247680664,420.3484191894531,46.778404235839844,18.521835327148438,24.683223724365234,30.790367126464844,15.4891939163208,11.908634185791016,129.1856689453125,36.26055908203125,16.90108871459961
exper0_location_4,14.067220687866211,14.083556175231934,15.56386661529541,8.319616317749023,21.636077880859375,29.705915451049805,13.9927978515625,13.745284080505371,33.43610382080078,35.13396453857422,36.52676010131836,28.68389320373535,27.11400604248047,15.614385604858398,16.28806495666504,46.75301742553711,30.08735466003418,16.822269439697266,16.54323959350586,422.5231628417969,18.941234588623047,31.984596252441406,207.9972381591797,31.453319549560547,50.45353698730469,117.22930908203125,28.824398040771484,25.002641677856445,19.476648330688477,32.393550872802734,22.364622116088867,45.147403717041016,75.6408462524414,27.64385986328125,20.91405487060547,17.15096664428711,23.160982131958008,324.7224426269531,25.485273361206055,812.24267578125,8.201220512390137,2.1376118659973145,29.201711654663086,49.321327209472656,7.349334239959717,12.45107364654541,134.92996215820312,24.692041397094727,13.087530136108398
exper0_location_5,14.428919792175293,21.41032600402832,15.791823387145996,14.132232666015625,27.069950103759766,90.45555877685547,63.06358337402344,17.709857940673828,32.870262145996094,15.660122871398926,310.7427978515625,25.648601531982422,15.897991180419922,127.11791229248047,27.484121322631836,181.676025390625,32.01386260986328,15.471096992492676,10.451739311218262,253.80238342285156,22.492799758911133,56.209083557128906,128.39559936523438,56.608455657958984,36.27362060546875,17.402708053588867,8.346327781677246,15.288263320922852,8.286297798156738,5.461443901062012,8.923150062561035,23.881080627441406,6.565527439117432,12.166733741760254,8.287779808044434,9.354562759399414,54.761966705322266,245.3644561767578,10.257139205932617,9.660388946533203,14.964408874511719,20.164152145385742,41.25037384033203,46.521949768066406,7.0579681396484375,2.8550221920013428,6.717761993408203,4.342586994171143,7.85029935836792
exper0_location_6,16.308176040649414,20.067575454711914,12.673324584960938,33.746150970458984,13.868693351745605,71.03471374511719,23.64683723449707,32.83506393432617,18.61944007873535,16.150270462036133,350.62017822265625,19.363496780395508,11.712128639221191,14.867476463317871,9.057655334472656,29.149505615234375,33.84755325317383,9.573030471801758,11.509087562561035,312.6866149902344,6.8042449951171875,26.748882293701172,51.11780548095703,17.522464752197266,24.029478073120117,18.439443588256836,10.449981689453125,13.538866996765137,10.646254539489746,13.492738723754883,11.931190490722656,48.421634674072266,15.162729263305664,12.976676940917969,9.52090072631836,6.123490810394287,20.819316864013672,442.0936584472656,6.544419765472412,69.36185455322266,7.482761383056641,3.125903844833374,20.602977752685547,15.9752779006958,20.712135314941406,3.640697956085205,15.251288414001465,3.229505777359009,6.7103962898254395
exper0_location_7,18.59107780456543,51.21014404296875,25.83437156677246,24.72366714477539,12.446540832519531,46.02980041503906,23.872745513916016,20.480335235595703,20.216157913208008,24.624046325683594,188.1290283203125,47.28694534301758,22.903928756713867,14.730194091796875,11.590828895568848,59.11600875854492,30.22014045715332,18.468931198120117,11.09292984008789,86.6358413696289,13.814735412597656,183.18359375,23.817798614501953,59.22566223144531,58.17286682128906,11.875898361206055,8.888908386230469,16.89780616760254,11.374809265136719,10.231237411499023,43.03840637207031,19.603715896606445,98.21621704101562,14.404911041259766,9.872221946716309,21.884727478027344,83.4787368774414,314.10418701171875,55.315101623535156,15.848285675048828,8.81052017211914,6.032975196838379,17.20758628845215,35.80019760131836,23.57318878173828,20.472755432128906,14.15632438659668,5.559087753295898,11.389119148254395
exper0_location_8,44.95243453979492,85.84049224853516,25.883928298950195,35.82877731323242,23.98737144470215,119.35774230957031,33.282875061035156,16.059267044067383,16.320648193359375,9.004105567932129,475.5079040527344,12.154914855957031,9.959071159362793,35.27168273925781,14.248550415039062,108.61127471923828,38.93359375,21.546117782592773,11.471199035644531,127.29119110107422,14.806961059570312,126.95344543457031,89.48248291015625,13.214512825012207,27.14931869506836,17.87973403930664,9.841058731079102,28.436540603637695,13.650595664978027,14.017646789550781,24.718551635742188,115.1329116821289,10.91836166381836,12.79542350769043,10.650341033935547,4.261421203613281,12.439223289489746,406.1947021484375,14.734989166259766,16.699451446533203,51.27216720581055,92.4502944946289,26.151432037353516,26.660186767578125,25.722715377807617,2.6021363735198975,4.209240436553955,3.0665628910064697,11.128297805786133
exper0_location_9,230.12332153320312,206.57247924804688,117.81959533691406,98.95243835449219,67.27983856201172,180.21151733398438,80.0587158203125,132.2591094970703,63.68791580200195,10.196110725402832,200.2664031982422,52.05501174926758,21.727304458618164,22.397235870361328,13.661906242370605,10.509191513061523,28.05022621154785,4.918294906616211,14.057879447937012,160.326416015625,12.987462043762207,16.382808685302734,14.10030460357666,65.53838348388672,63.192237854003906,21.78611183166504,13.489696502685547,15.179672241210938,12.570364952087402,15.110560417175293,109.7104263305664,32.21174621582031,10.63373851776123,20.981613159179688,13.247940063476562,11.189946174621582,31.716014862060547,287.41351318359375,21.39494514465332,20.24335289001465,11.764643669128418,4.748763084411621,14.783129692077637,25.816617965698242,27.755517959594727,45.193504333496094,27.632720947265625,14.49808120727539,10.272730827331543
