,mean_spot_factorsAstro_AMY,mean_spot_factorsAstro_AMY_CTX,mean_spot_factorsAstro_CTX,mean_spot_factorsAstro_HPC,mean_spot_factorsAstro_HYPO,mean_spot_factorsAstro_THAL_lat,mean_spot_factorsAstro_THAL_med,mean_spot_factorsAstro_WM,mean_spot_factorsExt_Amy_1,mean_spot_factorsExt_Amy_2,mean_spot_factorsExt_ClauPyr,mean_spot_factorsExt_Hpc_CA1,mean_spot_factorsExt_Hpc_CA3,mean_spot_factorsExt_Hpc_DG1,mean_spot_factorsExt_Hpc_DG2,mean_spot_factorsExt_L23,mean_spot_factorsExt_L25,mean_spot_factorsExt_L56,mean_spot_factorsExt_L5_1,mean_spot_factorsExt_L5_2,mean_spot_factorsExt_L6,mean_spot_factorsExt_L6B,mean_spot_factorsExt_Pir,mean_spot_factorsExt_Thal_1,mean_spot_factorsExt_Thal_2,mean_spot_factorsExt_Unk_3,mean_spot_factorsInh_1,mean_spot_factorsInh_2,mean_spot_factorsInh_3,mean_spot_factorsInh_4,mean_spot_factorsInh_5,mean_spot_factorsInh_6,mean_spot_factorsInh_Lamp5,mean_spot_factorsInh_Meis2_1,mean_spot_factorsInh_Meis2_2,mean_spot_factorsInh_Meis2_3,mean_spot_factorsInh_Meis2_4,mean_spot_factorsInh_Pvalb,mean_spot_factorsInh_Sst,mean_spot_factorsInh_Vip,mean_spot_factorsLowQ_2,mean_spot_factorsMicro,mean_spot_factorsNb_1,mean_spot_factorsNb_2,mean_spot_factorsOPC_1,mean_spot_factorsOPC_2,mean_spot_factorsOligo_1,mean_spot_factorsOligo_2,mean_spot_factorsUnk_1
exper0_location_0,0.042958758771419525,0.06338106840848923,0.058795809745788574,0.07767930626869202,0.2052731066942215,0.05031784623861313,0.08111965656280518,0.10744943469762802,0.04251836985349655,0.038615722209215164,0.04624111205339432,0.11748358607292175,0.20864395797252655,0.069199338555336,0.30016544461250305,0.053400181233882904,0.13934782147407532,0.08695430308580399,0.05036354064941406,0.032129280269145966,0.4133317172527313,0.6807985305786133,0.04463682696223259,0.14138807356357574,0.08879153430461884,0.09510472416877747,0.0947229191660881,0.0558926984667778,0.06270305812358856,0.04728330671787262,0.2428423911333084,0.343002587556839,0.03547267988324165,0.08197444677352905,0.1624682992696762,0.22863879799842834,0.1734553575515747,0.136209636926651,0.06757229566574097,0.023719364777207375,0.056435491889715195,0.0182843916118145,0.06546986848115921,0.051562462002038956,0.0554933026432991,0.02309603989124298,0.03682008758187294,0.04526877775788307,0.07490307092666626
exper0_location_1,0.017466094344854355,0.023856518790125847,0.031979139894247055,0.04275193437933922,0.0698651596903801,0.02864179015159607,0.04503631964325905,0.024972733110189438,0.031063592061400414,0.05836883559823036,0.16277186572551727,0.09779847413301468,0.07250586897134781,0.12876752018928528,0.34201663732528687,0.09581120312213898,0.06520054489374161,0.11482749134302139,0.06341321021318436,0.06600124388933182,0.11991412192583084,0.2089327722787857,0.30100104212760925,0.016025830060243607,0.21402379870414734,0.10001478344202042,0.07600782066583633,0.02291252091526985,0.05309801548719406,0.046758171170949936,0.04252513498067856,0.581817626953125,0.044713523238897324,0.13026730716228485,0.08372429013252258,0.07516247034072876,0.03181936964392662,0.05886109545826912,0.14065757393836975,0.08458666503429413,0.024242691695690155,0.19418220221996307,0.07049647718667984,0.12793564796447754,0.04675391688942909,0.02957041747868061,0.021505026146769524,0.03575203940272331,0.06251449882984161
exper0_location_2,0.09260112792253494,0.30222558975219727,0.062087491154670715,0.08109111338853836,0.07565956562757492,0.04660442844033241,0.05873589590191841,0.08765782415866852,0.03243857994675636,0.028446828946471214,0.048176322132349014,0.025993477553129196,0.03875143453478813,0.031357087194919586,0.058609697967767715,0.04928840696811676,0.050319138914346695,0.04304777458310127,0.09485724568367004,0.03138460963964462,0.051577866077423096,0.23216365277767181,0.05871514603495598,0.1282481849193573,0.17319907248020172,0.040692687034606934,0.03257478028535843,0.027275171130895615,0.0326787494122982,0.032730214297771454,0.13767021894454956,0.07537327706813812,0.05924034118652344,0.08157442510128021,0.05099960416555405,0.04082152247428894,0.08994591236114502,0.5838229656219482,0.03547237440943718,0.04566511884331703,0.0666644424200058,0.11886220425367355,0.135579913854599,0.049964454025030136,0.08210854232311249,0.027515418827533722,0.016607511788606644,0.02385331317782402,0.09810639172792435
exper0_location_3,0.049292247742414474,0.10240662097930908,0.11985014379024506,0.09895995259284973,0.03441375494003296,0.04312095046043396,0.03024364821612835,0.0959629938006401,0.03309158608317375,0.02041546441614628,0.2158796787261963,0.03251859173178673,0.02847273461520672,0.03249535709619522,0.04923924058675766,0.08345724642276764,0.042988453060388565,0.07186228781938553,0.03416809067130089,0.10313539952039719,0.03456906974315643,0.028400128707289696,0.0804995521903038,0.03756087273359299,0.039049871265888214,0.04634786769747734,0.02620801143348217,0.043946024030447006,0.06956418603658676,0.03804290294647217,0.07544123381376266,0.15406391024589539,0.03952518478035927,0.02867385372519493,0.01877410151064396,0.02342044562101364,0.017902975901961327,0.22910954058170319,0.10585620254278183,0.4637705683708191,0.04784056544303894,0.0399024672806263,0.08651938289403915,0.10286401957273483,0.07501892745494843,0.05773560702800751,0.06465701013803482,0.17555126547813416,0.11154288798570633
exper0_location_4,0.03648485615849495,0.03945782408118248,0.04930456727743149,0.029954886063933372,0.03665398806333542,0.026965875178575516,0.030263420194387436,0.028490664437413216,0.04536416754126549,0.025872794911265373,0.017248960211873055,0.03452146798372269,0.08122161030769348,0.02064698189496994,0.030504807829856873,0.0665402039885521,0.025227047502994537,0.0330146886408329,0.016545375809073448,0.21996651589870453,0.024741098284721375,0.02043161727488041,0.028309466317296028,0.030861590057611465,0.04249643161892891,0.06423506140708923,0.10849273949861526,0.0363922156393528,0.03416142240166664,0.039795104414224625,0.053380087018013,0.07276801764965057,0.182088240981102,0.04508362337946892,0.040845368057489395,0.047382064163684845,0.07436525821685791,0.417161762714386,0.05551072955131531,0.7909985184669495,0.021801099181175232,0.023861335590481758,0.07620132714509964,0.08743899315595627,0.02245156094431877,0.08346391469240189,0.10982479155063629,0.03790206462144852,0.05434693023562431
exper0_location_5,0.0426369346678257,0.05795459821820259,0.04720514267683029,0.046845655888319016,0.0520048625767231,0.04315740615129471,0.16482916474342346,0.057036034762859344,0.04181062802672386,0.02217448689043522,0.21977826952934265,0.027473514899611473,0.02308358997106552,0.09466370940208435,0.09770108759403229,0.1304023414850235,0.031001202762126923,0.020189188420772552,0.021195227280259132,0.17567530274391174,0.07369446754455566,0.013070370070636272,0.02522376924753189,0.06349512189626694,0.019248109310865402,0.01974232867360115,0.021653855219483376,0.020107634365558624,0.018821511417627335,0.014168153516948223,0.01694447547197342,0.04287708178162575,0.02096683531999588,0.025718454271554947,0.026661597192287445,0.024632947519421577,0.06383508443832397,0.3498093783855438,0.01938139833509922,0.021862300112843513,0.01681244932115078,0.0510224774479866,0.2148466557264328,0.1052778884768486,0.054737936705350876,0.022070221602916718,0.019303496927022934,0.022777287289500237,0.044009678065776825
exper0_location_6,0.06431897729635239,0.045938022434711456,0.039339933544397354,0.06002511456608772,0.04016491770744324,0.045196764171123505,0.03580216318368912,0.14226295053958893,0.015636755153536797,0.01569412648677826,0.23341259360313416,0.0317140594124794,0.010947058908641338,0.023650746792554855,0.022067394107580185,0.027964381501078606,0.09363733977079391,0.03086048737168312,0.02948087267577648,0.16377758979797363,0.019993936643004417,0.014933682046830654,0.018058015033602715,0.015652673318982124,0.016615116968750954,0.017363207414746284,0.02676166035234928,0.04212811961770058,0.03587161749601364,0.03837232291698456,0.028696591034531593,0.1259632557630539,0.054611075669527054,0.02369461953639984,0.03343585506081581,0.019960233941674232,0.035492368042469025,0.35603925585746765,0.025074277073144913,0.0892970860004425,0.016531001776456833,0.020088765770196915,0.12908825278282166,0.05045340955257416,0.06921695172786713,0.016491355374455452,0.017170341685414314,0.019843358546495438,0.08885670453310013
exper0_location_7,0.05994468182325363,0.07659342139959335,0.035345062613487244,0.04484276473522186,0.02731160633265972,0.030250491574406624,0.03612416610121727,0.1351567506790161,0.01441395003348589,0.01627819985151291,0.1525125950574875,0.06142912432551384,0.0254592914134264,0.020330263301730156,0.03068862482905388,0.027822209522128105,0.047738637775182724,0.027170751243829727,0.02617785893380642,0.02323886938393116,0.03612515702843666,0.055340345948934555,0.017626674845814705,0.031359247863292694,0.028923533856868744,0.017265548929572105,0.028017345815896988,0.03358711674809456,0.0588943287730217,0.042382240295410156,0.07211937755346298,0.04529241472482681,0.12848953902721405,0.05212154611945152,0.01875818334519863,0.025816235691308975,0.1091703474521637,0.3108155429363251,0.13684508204460144,0.03245057165622711,0.03289313614368439,0.034052807837724686,0.17861363291740417,0.2997942566871643,0.07929416000843048,0.05009641870856285,0.018330639228224754,0.031123632565140724,0.6636373996734619
exper0_location_8,0.2513780891895294,0.13174141943454742,0.05345561355352402,0.0744599774479866,0.048002857714891434,0.06160249188542366,0.030593443661928177,0.04180246591567993,0.02069772221148014,0.013888184912502766,0.4062424302101135,0.028920628130435944,0.023145630955696106,0.024250918999314308,0.03472040966153145,0.04965412616729736,0.06569807231426239,0.0552699901163578,0.03638095781207085,0.03941526636481285,0.024206986650824547,0.034844595938920975,0.020137164741754532,0.011960436590015888,0.019127430394291878,0.06287302821874619,0.037281036376953125,0.04408223554491997,0.04106702655553818,0.06932272762060165,0.07056398689746857,0.1996132880449295,0.09060755372047424,0.02683177776634693,0.02722422033548355,0.01708885468542576,0.01546027883887291,0.453899621963501,0.04420598968863487,0.02899089641869068,0.043735943734645844,0.3300524652004242,0.1224425807595253,0.0481635145843029,0.1892237663269043,0.01587044633924961,0.01083408948034048,0.022548899054527283,0.06739362329244614
exper0_location_9,0.4779481291770935,0.3423696756362915,0.12257859110832214,0.3127051293849945,0.20766958594322205,0.09625017642974854,0.060450635850429535,0.31046155095100403,0.09421627223491669,0.016249513253569603,0.16697269678115845,0.02658410184085369,0.010035769082605839,0.030358772724866867,0.04222250357270241,0.012577880173921585,0.016418946906924248,0.014647104777395725,0.01687588542699814,0.032666388899087906,0.01402367278933525,0.011203891597688198,0.01796804927289486,0.048869360238313675,0.09458683431148529,0.015782101079821587,0.022455422207713127,0.018363013863563538,0.03179961070418358,0.01987590827047825,0.1887662708759308,0.0343676321208477,0.02890928089618683,0.02198503352701664,0.024686500430107117,0.02324366383254528,0.026771828532218933,0.3852497339248657,0.04813505709171295,0.030819114297628403,0.041775066405534744,0.03218710795044899,0.04026546701788902,0.08941300958395004,0.09830886870622635,0.07926420867443085,0.042317092418670654,0.04356246441602707,0.06686047464609146
