,q05_spot_factorsAstro_AMY,q05_spot_factorsAstro_AMY_CTX,q05_spot_factorsAstro_CTX,q05_spot_factorsAstro_HPC,q05_spot_factorsAstro_HYPO,q05_spot_factorsAstro_THAL_lat,q05_spot_factorsAstro_THAL_med,q05_spot_factorsAstro_WM,q05_spot_factorsExt_Amy_1,q05_spot_factorsExt_Amy_2,q05_spot_factorsExt_ClauPyr,q05_spot_factorsExt_Hpc_CA1,q05_spot_factorsExt_Hpc_CA3,q05_spot_factorsExt_Hpc_DG1,q05_spot_factorsExt_Hpc_DG2,q05_spot_factorsExt_L23,q05_spot_factorsExt_L25,q05_spot_factorsExt_L56,q05_spot_factorsExt_L5_1,q05_spot_factorsExt_L5_2,q05_spot_factorsExt_L6,q05_spot_factorsExt_L6B,q05_spot_factorsExt_Pir,q05_spot_factorsExt_Thal_1,q05_spot_factorsExt_Thal_2,q05_spot_factorsExt_Unk_3,q05_spot_factorsInh_1,q05_spot_factorsInh_2,q05_spot_factorsInh_3,q05_spot_factorsInh_4,q05_spot_factorsInh_5,q05_spot_factorsInh_6,q05_spot_factorsInh_Lamp5,q05_spot_factorsInh_Meis2_1,q05_spot_factorsInh_Meis2_2,q05_spot_factorsInh_Meis2_3,q05_spot_factorsInh_Meis2_4,q05_spot_factorsInh_Pvalb,q05_spot_factorsInh_Sst,q05_spot_factorsInh_Vip,q05_spot_factorsLowQ_2,q05_spot_factorsMicro,q05_spot_factorsNb_1,q05_spot_factorsNb_2,q05_spot_factorsOPC_1,q05_spot_factorsOPC_2,q05_spot_factorsOligo_1,q05_spot_factorsOligo_2,q05_spot_factorsUnk_1
exper0_location_0,0.00875145341269672,0.01784956334158778,0.016295279655605555,0.01935214577242732,0.12426985129714012,0.01001752302981913,0.018802441842854026,0.03885480221360922,0.011804120847955346,0.007735779858194292,0.01182484361343086,0.06347685642540454,0.15163952857255936,0.018939423467963935,0.1893757291138172,0.013951836945489049,0.07025201022624969,0.02825304111465812,0.014882687013596296,0.010307453898712992,0.3400751009583473,0.6104631781578065,0.013539170101284982,0.09198724925518036,0.0408421877771616,0.04461109936237335,0.03643081877380609,0.0158165592700243,0.012609142996370793,0.012014850694686175,0.17936657145619392,0.2512523055076599,0.006640053330920637,0.01710741501301527,0.0883905477821827,0.1320732578635216,0.10792243443429471,0.06653595864772796,0.016372314654290676,0.00379296577302739,0.012680691899731755,0.0017209781042765826,0.011122439475730063,0.0067976724822074175,0.008019572310149669,0.0034417795133776965,0.01063026008196175,0.007381672342307866,0.006629489827901126
exper0_location_1,0.0021564887720160186,0.0027515881578437985,0.004877252783626318,0.0088931682985276,0.02561817951500416,0.0037436873069964355,0.01151425363495946,0.0038025631918571887,0.005733058205805719,0.022905926126986744,0.10447720102965832,0.04336953554302454,0.0362593675032258,0.06548670083284379,0.24756969213485716,0.04657228235155344,0.018801030423492193,0.055837520956993104,0.02214414542540908,0.0341206656768918,0.07165844552218914,0.15870994105935096,0.24244071841239928,0.0025706415413878857,0.1585377261042595,0.05094435475766659,0.02052062088623643,0.00475133724976331,0.01130596692673862,0.011373467650264502,0.012783142132684588,0.4885524496436119,0.01139157386496663,0.051544380560517314,0.02804608074948192,0.017164078075438738,0.006188707565888762,0.020898022316396238,0.07283896133303641,0.0293490132316947,0.004628158849664033,0.10443564504384995,0.015669963229447605,0.03999487720429897,0.007799838460050524,0.005466669308952988,0.004349180706776679,0.00719890792388469,0.006793256918899715
exper0_location_2,0.030972010269761086,0.2144787274301052,0.012487541930750013,0.025681973062455652,0.02228280566632748,0.008673435309901834,0.011507904017344117,0.024913241900503636,0.008616130100563169,0.008802672615274787,0.021909433696419,0.0053886491106823085,0.01504169157706201,0.006236076820641756,0.012084746221080422,0.01645113676786423,0.014079847931861879,0.011451810458675027,0.05428494643419981,0.007945865648798645,0.019791034515947104,0.18486240804195406,0.027566307131201027,0.08482180535793304,0.118453111872077,0.012339315703138709,0.005062757176347077,0.0072518867207691075,0.00597200021147728,0.00797126074321568,0.09242500029504298,0.029659888334572317,0.018940429203212265,0.02842788565903902,0.018313096556812524,0.011206309776753189,0.04231786131858826,0.5174521923065185,0.00764283447060734,0.011310069868341089,0.02080092215910554,0.04811072498559952,0.05765347052365541,0.008990211179479957,0.018893360719084738,0.008338623214513065,0.002579068928025663,0.003168138663750142,0.014239220321178437
exper0_location_3,0.010321388440206646,0.03757892772555351,0.052764234691858286,0.043826922029256817,0.006537346891127526,0.006242147646844387,0.004581354162655771,0.033879262395203114,0.011317392205819487,0.004190813307650387,0.16893658116459848,0.008400060376152397,0.0074393013957887895,0.006433172849938273,0.011099025374278426,0.04669667165726423,0.009527421556413174,0.030138741340488193,0.009838234866037965,0.07282859012484551,0.007937743701040745,0.008927092142403125,0.04396760929375887,0.016921403538435697,0.01464598490856588,0.015183350956067444,0.004662794014438987,0.014649684680625797,0.021280088182538747,0.0085113734472543,0.039552942104637626,0.09218327701091766,0.010048518562689426,0.004102606442756951,0.003292134637013078,0.0038141363067552446,0.0021953213377855717,0.17670184522867202,0.05384334381669759,0.3697534739971161,0.014482836285606027,0.00722891092300415,0.024337926506996156,0.030112937092781067,0.017049908731132747,0.01920045856386423,0.03139802124351263,0.09308830462396145,0.01960511663928628
exper0_location_4,0.0063340169144794345,0.0074617679230868815,0.01148660620674491,0.004839241527952254,0.007029413781128825,0.004305832600221038,0.003952280012890696,0.0036105771432630718,0.015042175678536296,0.005396035849116743,0.002442781673744321,0.008507187152281404,0.04656647425144911,0.003951592207886279,0.006159058632329106,0.03224772978574038,0.005174713581800461,0.005791776324622334,0.0028137225657701493,0.17804793566465377,0.005542688630521297,0.003309963282663375,0.007477247877977789,0.010115080326795579,0.011877071391791104,0.029531002882868054,0.04947239831089973,0.010805867007002234,0.007772043207660318,0.009083766536787153,0.020704831369221213,0.028145607095211744,0.11742334403097629,0.008216097066178917,0.008631495293229818,0.012374452874064447,0.03898312672972679,0.3461382657289505,0.018328962195664645,0.7040547341108322,0.0036426211358048023,0.0021396105759777127,0.02054699901491404,0.02861024867743254,0.002244838571641594,0.04130171313881874,0.06718466989696026,0.005429887375794351,0.00604618014767766
exper0_location_5,0.008544080331921578,0.01632026247680187,0.009712703432887793,0.009966500429436566,0.011370019055902958,0.008210308849811554,0.0907463777810335,0.013976226281374694,0.01680896459147334,0.00546167294960469,0.17834564819931986,0.006608079792931676,0.00549835457932204,0.04504755008965731,0.04227313790470362,0.0886633612215519,0.005737010738812387,0.0036390749271959064,0.005111004645004869,0.14385575354099273,0.039567041024565694,0.0018985360860824586,0.0057231605052948,0.034116533957421785,0.004619535268284381,0.003565738582983613,0.003195446135941893,0.0030192240956239402,0.0025641182786785067,0.0018429596791975202,0.003377771156374365,0.012464427063241601,0.0035200554528273644,0.003253629116807133,0.0042254804400727155,0.0038154651527293024,0.03225495032966137,0.3023844227194786,0.0032197197433561087,0.0029243427212350074,0.0017511811456643045,0.014433947065845132,0.12805626690387725,0.02998966770246625,0.01358934110030532,0.004330685874447226,0.004648302868008614,0.002650459727738053,0.006070512998849154
exper0_location_6,0.017438326776027677,0.011118614533916115,0.008032221999019384,0.016201620362699034,0.008549953671172261,0.008641434460878372,0.007315532141365111,0.07716795541346073,0.002782008424401283,0.002665795909706503,0.19273988753557206,0.008448164304718375,0.002064657164737582,0.004040101543068886,0.004321783524937927,0.009135494148358703,0.046453930996358396,0.007735142507590354,0.008762648794800043,0.13188550025224685,0.0029434188501909378,0.0028253315249457955,0.004246297734789551,0.003226417780388147,0.0024532059323973954,0.0031172180082648993,0.00474756951443851,0.014440511912107467,0.007488645939156413,0.010013455944135784,0.009058512840420007,0.07661670930683613,0.018301719706505536,0.003946313867345452,0.008924917969852687,0.003164005803409964,0.009646032564342022,0.3043449714779854,0.0035541792865842583,0.03276419546455145,0.002824103378225118,0.0025718778488226235,0.05100998785346746,0.009479247638955713,0.01907905414700508,0.002764286322053522,0.003956927708350122,0.002166270837187767,0.014191733580082655
exper0_location_7,0.01680906405672431,0.028038013819605113,0.008862931560724973,0.01194319403730333,0.005157358734868466,0.005669337208382786,0.0063285900512710215,0.06412676274776459,0.002326524315867573,0.0030635893694125117,0.11720021329820156,0.02844126094132662,0.007025467418134213,0.00311959310201928,0.005681570153683424,0.00802306509576738,0.014171051932498813,0.005103023909032345,0.00748611311428249,0.007632641005329788,0.00952780256047845,0.02523735389113426,0.002463767514564097,0.011187532963231207,0.00813635098747909,0.003134090278763324,0.005629271874204278,0.008374856971204282,0.01950723435729742,0.011846821941435338,0.03632363751530647,0.01337551777251065,0.0768683236092329,0.01359672397375107,0.002185358409769833,0.004011289565823972,0.06133508924394846,0.2547271832823753,0.08897428214550018,0.0071117557585239416,0.007691289158537984,0.004284639493562281,0.08599344529211522,0.18807703703641893,0.025780558213591577,0.01757701225578785,0.003722747089341283,0.0065536990761756895,0.4364129662513733
exper0_location_8,0.16081480085849761,0.05159597992897034,0.010502228932455183,0.022013228572905066,0.009841470373794436,0.014831180078908802,0.004357301234267652,0.007793615059927106,0.0035880866693332792,0.0022039281437173487,0.35722680091857906,0.005505258170887828,0.005795506434515118,0.0051279599778354164,0.005776649690233171,0.015722792129963636,0.02596648968756199,0.01913242032751441,0.00937390266917646,0.015938855335116388,0.004830442578531801,0.011476465687155723,0.0036888114642351865,0.0015467837045434864,0.00371838464634493,0.03145415522158146,0.00784529719967395,0.017194397468119862,0.008498020842671395,0.025991300772875547,0.03311266675591469,0.13179575204849245,0.04365208987146616,0.0035872379085049038,0.005196001613512635,0.0022489047958515586,0.002439768589101732,0.39587468504905704,0.01252797907218337,0.005313700693659484,0.014260521763935686,0.22603340521454812,0.0424066549167037,0.0074404085287824275,0.10125008709728718,0.002169841330032796,0.0013772638863883912,0.002896290959324688,0.009693984175100923
exper0_location_9,0.3683652296662331,0.23704232200980188,0.04601281546056271,0.1988312430679798,0.10574962608516217,0.03327968157827854,0.008690468966960909,0.20483222380280494,0.054600562900304794,0.0026708342600613834,0.1255933538079262,0.007081781746819615,0.0014073411119170486,0.005915581388399005,0.008815397834405303,0.001981915952637792,0.003061479737516493,0.002327042433898896,0.001872775802621618,0.013752036867663265,0.002195851830765605,0.001726504199905321,0.0038297809194773437,0.023209846392273904,0.05804721973836422,0.0027410571812652054,0.0044584637740626935,0.003357356309425086,0.005604620231315494,0.003426366555504501,0.14706732630729674,0.008702524891123175,0.003449966118205339,0.003443850157782435,0.005052267480641604,0.003877167939208448,0.005863844882696868,0.3260406836867332,0.013021951448172331,0.006610752479173244,0.012678555678576231,0.004903419082984328,0.00612595344427973,0.02622239785268903,0.0339933006092906,0.03803947325795889,0.015433878079056742,0.008565414138138295,0.009415248129516841
