,q05_nUMI_factorsAstro_AMY,q05_nUMI_factorsAstro_AMY_CTX,q05_nUMI_factorsAstro_CTX,q05_nUMI_factorsAstro_HPC,q05_nUMI_factorsAstro_HYPO,q05_nUMI_factorsAstro_THAL_lat,q05_nUMI_factorsAstro_THAL_med,q05_nUMI_factorsAstro_WM,q05_nUMI_factorsExt_Amy_1,q05_nUMI_factorsExt_Amy_2,q05_nUMI_factorsExt_ClauPyr,q05_nUMI_factorsExt_Hpc_CA1,q05_nUMI_factorsExt_Hpc_CA3,q05_nUMI_factorsExt_Hpc_DG1,q05_nUMI_factorsExt_Hpc_DG2,q05_nUMI_factorsExt_L23,q05_nUMI_factorsExt_L25,q05_nUMI_factorsExt_L56,q05_nUMI_factorsExt_L5_1,q05_nUMI_factorsExt_L5_2,q05_nUMI_factorsExt_L6,q05_nUMI_factorsExt_L6B,q05_nUMI_factorsExt_Pir,q05_nUMI_factorsExt_Thal_1,q05_nUMI_factorsExt_Thal_2,q05_nUMI_factorsExt_Unk_3,q05_nUMI_factorsInh_1,q05_nUMI_factorsInh_2,q05_nUMI_factorsInh_3,q05_nUMI_factorsInh_4,q05_nUMI_factorsInh_5,q05_nUMI_factorsInh_6,q05_nUMI_factorsInh_Lamp5,q05_nUMI_factorsInh_Meis2_1,q05_nUMI_factorsInh_Meis2_2,q05_nUMI_factorsInh_Meis2_3,q05_nUMI_factorsInh_Meis2_4,q05_nUMI_factorsInh_Pvalb,q05_nUMI_factorsInh_Sst,q05_nUMI_factorsInh_Vip,q05_nUMI_factorsLowQ_2,q05_nUMI_factorsMicro,q05_nUMI_factorsNb_1,q05_nUMI_factorsNb_2,q05_nUMI_factorsOPC_1,q05_nUMI_factorsOPC_2,q05_nUMI_factorsOligo_1,q05_nUMI_factorsOligo_2,q05_nUMI_factorsUnk_1
exper0_location_0,3.813268756866455,8.76706829071045,6.824235463142395,13.765103626251221,92.73014831542969,10.036082792282103,5.108509802818299,10.697756481170655,7.681135082244873,9.948094272613526,14.768468713760376,16.825521183013915,275.28358459472656,26.070021533966067,65.1825740814209,28.73880634307861,46.27958354949951,30.49521493911743,16.607759380340575,30.248231601715087,173.60380783081055,884.7873718261719,10.42013292312622,70.94609298706054,75.37106361389161,26.494193172454835,10.667446947097778,9.033499956130981,6.361009073257446,13.591193008422852,151.6529830932617,136.43267517089842,6.046037125587463,5.4625297546386715,34.5849100112915,128.92686157226564,169.35951080322266,59.366340255737306,10.982935667037964,2.7447672843933106,11.529583644866944,0.4940931260585785,4.986997175216675,1.2064574897289277,4.185153436660767,2.4653433442115786,9.685278749465944,3.6581166982650757,1.8566810607910158
exper0_location_1,1.322514569759369,1.5543129622936247,2.298957657814026,3.757085621356964,14.543698501586913,1.6102861166000366,5.239196753501893,2.0175788879394534,10.304480504989623,35.47299518585205,103.85532913208007,17.356670379638672,36.76097507476806,87.73140487670898,81.48534355163574,111.06040496826171,17.950793075561524,19.94994068145752,21.383305168151853,38.67327804565429,139.1232894897461,231.4824188232422,147.37099533081053,3.4533690452575687,160.38862838745118,77.78201026916503,13.004243755340577,6.0914105653762824,5.196700596809388,8.482821798324586,30.804944705963138,353.9261474609375,11.10817756652832,18.607082462310792,21.619335556030276,10.948693609237672,6.121755194664002,16.658542251586915,18.642800998687747,21.684685230255127,3.0998809576034545,32.33529968261719,19.521467304229734,15.830111885070803,2.5631183624267577,4.26884205341339,3.05114837884903,3.0688045263290404,2.182405781745911
exper0_location_2,107.66151351928711,30.030109691619874,9.572334718704225,10.049913454055785,8.683465194702148,4.529694986343384,4.6200765609741214,13.842288303375245,11.146350383758545,7.32086591720581,7.275468707084656,8.409558486938478,17.3664529800415,4.355753087997437,3.9302948236465456,19.75952949523926,8.21811647415161,6.367973160743714,50.3964147567749,9.684680414199828,16.57148838043213,145.381485748291,15.175110721588137,68.64505233764649,171.9020553588867,11.893016958236693,3.7754353642463685,8.229871082305909,3.6035002112388614,6.0978596925735475,93.41495552062987,19.49981756210327,7.475328135490417,5.910432124137879,5.620978474617004,8.22484998703003,25.804225063323972,619.3297515869141,3.72193318605423,5.684462690353394,29.88013792037964,13.406071186065674,47.594593620300294,1.6869060277938843,3.992145299911499,6.5902495861053465,1.670953130722046,1.183156031370163,2.3676475286483765
exper0_location_3,5.734545803070068,30.816384983062747,15.36555290222168,43.38896942138672,2.224911606311798,2.360644102096558,2.0982778549194334,10.95060977935791,24.577452659606934,5.007323050498963,173.96923599243166,8.788293600082397,9.651959609985353,5.514270067214966,5.011474013328552,37.88128509521484,13.637037467956542,18.516707611083984,12.22851405143738,75.83726539611817,8.075246810913086,19.559847354888916,22.609426307678223,32.53419361114502,13.988551759719849,6.831607389450073,4.760524535179138,5.215627765655518,5.854529428482056,5.959541058540344,50.716922760009766,76.75764808654785,18.15872163772583,3.111473679542542,1.8384698331356049,2.3127107977867127,2.401821029186249,83.98322525024413,22.460451698303224,343.527799987793,20.14709405899048,2.719949793815613,11.555852508544922,3.9044015049934386,6.3181356430053714,19.700869846343995,36.80669403076172,31.563275051116946,2.7926826715469364
exper0_location_4,3.7935098886489866,3.155655932426453,5.6244017601013185,2.350936734676361,6.39048502445221,1.6283064484596252,1.6943203508853912,2.280889105796814,7.773492956161499,5.114972305297852,1.7238455116748812,8.571144390106202,26.43508186340332,4.08206377029419,4.28693995475769,13.605167150497437,4.239151239395142,5.146270847320556,2.6495393395423887,292.79361724853516,4.386691784858703,3.181037127971649,5.953277444839477,10.351699876785279,5.963658022880554,54.83641033172607,17.955315494537352,7.969235754013061,4.064755129814148,8.729009246826173,8.79059247970581,18.099459648132324,49.61502342224121,18.129627323150636,8.015286016464234,6.9080173730850225,9.028189086914063,311.5888916015625,7.577587294578553,759.9776275634765,2.38250275850296,0.8846303194761277,9.385959100723268,16.23417043685913,1.1259238302707673,21.601215076446532,65.9061782836914,3.261777937412262,2.2681834220886232
exper0_location_5,3.6831425189971925,8.630494499206542,3.886312913894653,4.860604953765869,12.92675609588623,4.030485343933106,22.28506546020508,5.961688804626465,18.52751579284668,6.855635690689088,214.99178466796874,9.13938970565796,9.989394569396973,86.97974586486816,12.165680837631227,65.42674560546875,7.234543704986573,3.7097183227539063,5.756797361373901,125.46573982238769,21.925677967071532,2.3080305814743043,10.619883298873901,30.02955503463745,4.430377149581909,5.404161071777343,2.2782161593437196,2.4209357857704163,2.011174201965332,2.035944962501526,3.012618589401245,4.904219913482666,2.1394200444221494,3.5052880406379696,2.592897284030914,3.207420575618744,19.750526905059814,240.60831680297852,3.442776322364807,3.0452271938323974,1.479821479320526,4.164668679237366,29.132983493804932,23.009404182434082,4.070120549201966,3.507967972755432,2.828284287452698,1.23104966878891,1.1085927486419678
exper0_location_6,4.070325326919556,2.8366156697273253,2.1105874061584475,26.135300731658933,2.539382076263428,4.881097602844239,2.2655303001403806,36.090709877014156,4.10757269859314,3.74260790348053,223.21583938598633,6.845754957199096,2.923154151439667,2.785267150402069,2.9021676659584044,7.994140005111694,13.67920379638672,6.360840773582459,6.688174176216126,132.7986587524414,3.581164884567261,2.182717776298523,4.5400546312332155,2.494180822372437,1.9719637751579286,4.329791188240051,3.62549113035202,10.732888984680175,3.905592441558838,8.424310827255248,11.720951223373413,23.99388198852539,7.727092838287354,2.3966360211372377,4.7785903215408325,1.9546804428100586,6.610293221473694,410.07506408691404,1.939096838235855,23.376418590545654,2.585835385322571,0.798335924744606,8.95753812789917,1.8978708863258362,10.453745794296264,3.540138339996338,3.4958051085472106,1.1974643349647522,2.424144923686981
exper0_location_7,5.021011233329773,15.681895971298218,5.553323483467103,12.871834421157835,1.8811670303344727,2.0984734535217284,2.0940393209457397,16.185165691375733,3.1967400312423706,3.0940132021903994,92.95061073303222,15.767558050155639,20.123080062866208,2.4138545870780947,3.3308284521102904,18.7878360748291,13.142762041091919,5.2533780336380005,9.844002056121827,6.97988121509552,10.133180952072143,34.96023368835449,3.5862983107566837,30.458191013336183,10.686396980285645,2.464876103401184,3.162558376789093,11.494885301589965,4.609959006309509,2.7013592004776004,28.036103534698487,3.499094045162201,97.2256378173828,2.9370663166046143,2.1262880086898805,2.6883539080619814,49.31436347961426,253.50729522705078,36.238078880310056,4.023810839653015,3.0116806864738463,0.9826686799526214,5.7525069475173956,17.520016956329346,9.481426620483399,10.211233615875244,4.894694685935974,2.2677333593368534,3.8012549757957457
exper0_location_8,36.57863674163818,58.60055084228516,6.948046088218689,23.990257167816164,3.0551888704299923,4.1701988697052,2.723146104812622,3.3495035171508794,4.375226426124573,1.95464802980423,377.0048873901367,2.768102216720581,4.737540769577026,5.148762536048889,3.853721046447754,13.615804815292359,11.51215772628784,11.517039442062378,9.24245810508728,34.18047885894775,7.2955234289169315,9.341729259490966,5.48430860042572,1.6973610460758208,4.177473640441895,8.528678894042969,3.4153404116630557,29.255896949768065,7.98071255683899,8.357804775238037,14.017309951782227,77.46041069030763,5.802871680259705,1.897642081975937,3.8146095752716067,1.4080654203891754,1.6656541824340823,335.4438995361328,5.623553824424744,3.1233421921730042,10.324105072021485,58.79349918365479,11.82353663444519,6.6878708600997925,26.64863452911377,1.985777246952057,1.0897709250450134,1.2116620659828188,1.5565040230751037
exper0_location_9,313.32752227783203,87.03874740600587,53.105475425720215,41.094169998168944,20.572873497009276,7.068059659004211,6.122423982620239,117.17265892028809,29.159727001190188,3.805181860923767,108.44175987243652,6.013079643249513,2.6107797145843508,6.018552684783936,7.431161236763001,2.465111589431763,2.4437641978263853,1.7342203676700594,2.972092056274414,29.24587860107422,2.1583174943923953,2.724554717540741,3.7637477636337278,35.33572769165039,18.785809135437013,4.339492273330689,3.224287736415863,4.089918875694275,3.4583087682723996,3.418549931049347,115.83082733154298,4.525487685203553,1.9345787167549136,1.575899165868759,3.28432195186615,3.0654863715171814,3.731965577602386,311.7799362182617,6.409502339363098,5.551997804641723,6.094950103759766,1.8252492725849152,2.5739843606948853,2.7658124327659612,14.94069275856018,25.483799171447757,14.232153224945069,4.456839990615845,1.882430523633957
exper0_location_10,57.58540439605713,10.62358865737915,17.45437364578247,97.36630783081056,4.518498945236206,3.4137464880943296,4.353518319129944,18.508073711395266,2.9056692242622377,3.2164329171180728,71.96481475830079,3.0014085888862607,3.3833357334136966,1.796340185403824,1.4296743392944338,7.6847898244857795,179.11007995605468,2.6612600088119507,36.034018707275386,3.120468521118164,5.161159014701843,2.3414183497428898,2.1988162159919735,105.28792381286621,4.957666087150574,10.979009246826172,3.169000887870789,12.928298330307008,6.739801692962647,6.255213451385498,1.6829283773899077,8.682312440872192,14.44072403907776,1.118887549638748,3.039004933834076,1.8164218068122864,8.918447160720826,45.318382263183594,19.35551414489746,3.447506093978882,3.8017230272293094,0.3688034787774086,8.459715270996094,1.8594231665134429,1.0124921560287476,3.081637942790985,4.702691173553467,1.5029488921165468,2.033369278907776
exper0_location_11,170.69211120605468,5.572367382049561,2.088633692264557,4.450877666473389,9.528543376922606,1.3626771628856662,1.7279969692230224,59.48437213897705,68.22256317138672,330.0895935058594,67.73140945434571,48.340400505065915,17.518394470214844,7.966603231430055,6.53934600353241,7.799275350570679,7.017538046836854,37.98870010375977,14.342927551269531,248.06988220214845,5.440478706359864,85.70246810913086,5.76531708240509,4.902776288986206,8.595311832427978,4.466080498695374,14.171350622177124,9.364481210708618,12.272721815109254,11.611627197265625,15.389930391311646,1.196130520105362,11.07831883430481,2.7176109433174136,3.473519039154053,3.8956738352775573,4.074144315719605,430.91944732666013,193.1966926574707,4.99948480129242,5.706309843063354,0.5368479460477829,8.463610219955445,1.8281716465950013,3.118617403507233,110.3984203338623,0.5715217798948288,0.5977008938789368,4.15585834980011
