rn,Astro.AMY,Astro.AMY.CTX,Astro.CTX,Astro.HPC,Astro.HYPO,Astro.THAL.lat,Astro.THAL.med,Astro.WM,Ext.Amy.1,Ext.Amy.2,Ext.ClauPyr,Ext.Hpc.CA1,Ext.Hpc.CA3,Ext.Hpc.DG1,Ext.Hpc.DG2,Ext.L23,Ext.L25,Ext.L5.1,Ext.L5.2,Ext.L56,Ext.L6,Ext.L6B,Ext.Pir,Ext.Thal.1,Ext.Thal.2,Ext.Unk.3,Inh.1,Inh.2,Inh.3,Inh.4,Inh.5,Inh.6,Inh.Lamp5,Inh.Meis2.1,Inh.Meis2.2,Inh.Meis2.3,Inh.Meis2.4,Inh.Pvalb,Inh.Sst,Inh.Vip,LowQ.2,Micro,Nb.1,Nb.2,Oligo.1,Oligo.2,OPC.1,OPC.2,Unk.1,res_ss
exper0_location_0,0,0,0,0,0.027769597960405,0,0,0.0449332821982184,0,0,0,0,0.0143828399409956,0,0.025874392149197,0,0.0217256932526429,0,0,0.0138611937612425,0.0238840135761211,0.0170856587792924,0,0,0,0,0,0,0.0115509665199336,0,0,0.0292167499919254,0,0,0.0180610508459882,0,0,0.0155724801643943,0,0,0,0,0,0,0.0147123590806665,0,0.022056731333204,0,0.699312990445773,0.0203494273925286
exper0_location_1,0,0,0,0,0,0,0,0.0524436298428567,0,0,0,0,0,0.0248751169092765,0,0.0203248281012105,0,0,0,0,0.0122453539828651,0,0,0,0.0162677372116253,0,0.0121246355552291,0,0,0,0,0.0511356755825641,0,0.0213750480081719,0,0,0,0,0.0118789882866626,0.022991464402371,0,0.0225706428313119,0.0171568391785399,0,0.0156320854324115,0,0.0112098296599954,0,0.687768125014908,0.0229808543381326
exper0_location_2,0,0,0.0230494204906288,0,0,0.0124271212261095,0,0.050426780522672,0,0,0,0,0,0,0,0,0,0.0379508107021258,0,0,0,0,0,0,0,0,0,0,0.0139933537000434,0,0,0.011425292948979,0,0,0,0.0125091966868975,0,0.0503341082655083,0,0.0111556977838889,0,0.0134812693616602,0.0126329441657337,0,0,0,0.0125384802608304,0,0.738075523884922,0.0110827773526772
exper0_location_3,0,0,0.0160196048166326,0,0,0,0,0.0654567457808492,0,0,0.0240341763105207,0,0,0,0,0,0,0,0,0,0,0,0.0170872740402609,0,0,0,0,0,0.0544727907031687,0,0,0.0217016231237887,0,0,0,0,0,0,0,0.0581298723101061,0,0.011169505991617,0.0157405530930498,0,0.012681932124322,0.0205562430646011,0,0,0.682949678641083,0.0088185442955797
exper0_location_4,0,0,0,0,0,0,0,0.0565126135293028,0,0,0,0,0,0,0,0.0190070043049513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131248008495349,0,0,0.0160765813465189,0,0,0.0306403201002419,0.0194667441569847,0.120983470115299,0,0.0130212923531132,0.0319249249909325,0.0179136587166767,0.0111207786459754,0.0237298385842343,0,0.0162749137010002,0.610203058605234,0.00634843426572334
exper0_location_5,0,0,0,0,0,0.0260470248611529,0,0.059725202661507,0,0,0.021441970669726,0.0153230725001299,0,0,0.0284096834695275,0,0.0225353402407167,0,0,0.0156404454836875,0,0,0,0,0,0,0,0,0.0713134782285036,0,0,0,0,0,0,0,0,0.0288000811185806,0,0,0,0,0.0354362622955144,0.0207568505599426,0.0114898665722173,0,0,0,0.643080721338794,0.0062054421209215
exper0_location_6,0,0,0,0,0,0,0,0.0828143490225412,0,0,0.0226377777550531,0,0,0,0,0,0,0.0199261097589133,0.0212437268945471,0,0,0,0,0,0,0,0,0,0.0377518819765958,0,0,0.0157639627819887,0,0,0,0,0,0.0439884677281201,0,0.030902964229962,0,0,0.0356476198884841,0,0,0,0.018771461128828,0,0.670551678834967,0.015351818876008
exper0_location_7,0,0,0,0,0,0,0,0.0735930737643427,0,0,0,0,0,0,0,0.0199484566254788,0,0,0,0,0,0,0,0,0,0,0.0277287708586743,0,0,0,0,0.0133570229187785,0,0,0,0,0.0126292190539079,0.0224477739484991,0.021593233431302,0.0112882427127667,0,0.0109996032609936,0,0.0285913270616793,0,0,0.0111825710348737,0,0.746640705328703,0.0159723109488234
exper0_location_8,0,0.0224498030126971,0,0,0,0,0,0.0708843361093852,0,0,0.0346633148200487,0,0,0,0,0,0.0141548586058742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132178811892749,0.0174056875045066,0,0,0,0,0.0125645324628879,0.0268189977025039,0,0,0.0350483100252545,0,0.0204014861690156,0,0,0.0336431984327559,0,0.698747593965795,0.00332719123088396
exper0_location_9,0,0,0.0668180785834552,0,0,0.0182691848183284,0,0.06734122197166,0,0,0.0146764150376859,0,0,0,0.0308605347100188,0,0,0,0,0,0,0,0,0,0.0140586138336981,0,0,0,0.0988204961913331,0,0,0,0,0,0,0,0,0.0265848644634499,0,0,0,0,0,0,0,0.02222504875689,0.0180594360792862,0,0.622286105554194,0.0104093725433292
exper0_location_10,0,0,0.0288309991273014,0,0,0,0,0.10552074495426,0,0,0.0176045115299767,0,0,0,0,0,0.0346425345817174,0,0,0,0,0,0,0.0115308882536444,0,0,0,0,0.14885571028802,0,0,0,0.0243267306814675,0,0.0125168724827887,0,0,0,0.0127055551455581,0,0,0,0.0234581224803333,0,0.0105813694187228,0,0,0,0.56942596105621,0.00666558526956089
exper0_location_11,0,0,0,0,0,0.0193473356720648,0,0.0617877922936279,0,0,0,0,0,0,0.0198530308359012,0,0.010917793716316,0,0.0180776478879718,0,0,0,0,0,0.0126563841332645,0,0,0,0.0195053939225433,0,0,0,0,0,0,0,0,0.0294640880063669,0.0276461555353612,0.0115743733387604,0,0,0,0.0387955363870492,0,0,0,0.0283687706311672,0.702005697639606,0.00824310458762479
exper0_location_12,0,0,0,0,0.011369627595943,0,0,0.0343531027642577,0,0.0227568291462231,0,0,0,0,0.0200763040299001,0,0,0.0125570096259145,0,0,0,0,0,0,0,0,0,0,0.094823223318926,0,0,0,0,0.0267571745335078,0.0125826356913156,0,0,0,0.0232430054798424,0,0.0112502131971572,0,0,0.0217477924347881,0,0,0.0205565594480947,0.0186682204379709,0.669258302296159,0.0122584169315657
exper0_location_13,0,0,0,0,0,0,0,0.0604995931359901,0.0111493597150579,0.0423663272635976,0,0,0,0,0,0,0.01598081791358,0.0292269189968885,0,0.0149210780764974,0,0.0183139264011536,0,0,0,0,0.0137536840197829,0,0.0339949141575608,0,0,0.0110918775900116,0,0,0.0181407343852869,0,0,0,0,0,0,0.0130947279582822,0,0,0.0161117803449126,0.0177218201797006,0.0129098433959605,0.0182488529926841,0.652473743473053,0.0160472206571628
exper0_location_14,0,0,0,0,0.014231328637827,0,0,0.0275620147190409,0,0.0236429979277886,0,0,0,0,0.0213790078871074,0,0,0,0,0.0276985768748326,0,0,0.0165134776382397,0,0,0,0,0,0.0956421899958409,0,0,0.0129658906588155,0,0,0.0263382089772152,0,0,0,0,0,0,0,0,0,0,0.0168700191584866,0.0136765111840495,0.0249937339679789,0.678486042372777,0.0216325891361916
exper0_location_15,0,0,0.0174361769245148,0,0,0,0,0.0267699705745217,0.0109887836126332,0.0368242763380461,0,0,0,0,0.0197508520534267,0,0,0.0152674609672275,0,0.0119501514210017,0,0.0229867027911385,0,0,0.0164658475714218,0,0.0363905749703304,0,0,0,0,0,0,0,0.024452112293383,0,0,0,0,0,0,0,0,0,0.0415640261247844,0,0,0.0272176884965936,0.691935375860977,0.0307066562818679
exper0_location_16,0,0,0,0,0,0,0,0.0559565449945871,0,0.0324561507486912,0,0,0.0110053984234853,0.0132589115271849,0,0,0,0,0,0.0116640990581424,0.0123996325112525,0,0.0124951195093888,0,0,0,0,0,0.0262634882556478,0,0,0.0184958546202437,0,0,0,0,0,0,0,0,0.0144234610425829,0.0121600994211624,0.0142748772914875,0.0131691586530764,0.0137744837648342,0,0.0149282526820626,0.0293863532784432,0.693888114217727,0.00878510446165279
exper0_location_17,0,0,0,0,0,0,0,0.056667771480931,0.0156284581450377,0.0436231697358754,0,0,0,0,0,0,0,0,0,0.0157282485501949,0.0160281485455233,0.0121394148016848,0,0,0,0,0,0,0.0876090848985893,0,0,0,0,0.0111170456239114,0,0,0,0,0.0153397913430357,0,0,0.015141866675538,0,0.0226994634462518,0.0153069110179369,0,0.0219328368433338,0,0.651037788892156,0.019099227112079
exper0_location_18,0,0,0,0,0,0,0,0.0427663414483101,0,0.0235466885467709,0,0,0,0,0.0159266979676881,0.0144711964903838,0,0,0,0.0175027787166805,0,0.0213297803161785,0.0125965548420235,0,0,0,0.036386323097466,0,0.0246269329007681,0,0,0.0170486859008558,0,0,0,0,0.0168353613965319,0,0,0,0,0.0164019420365666,0,0,0,0.0113442051576256,0.0138071066989809,0.0121667735480762,0.703242630935094,0.0215446655575381
exper0_location_19,0,0,0,0,0,0,0.0324638128953961,0.0632789181570912,0,0,0,0,0,0,0,0.0220717420824574,0,0,0,0.013302552718275,0,0,0.0135669205421804,0,0,0,0,0,0.0858788940888961,0.0191009612449167,0,0.0138637513288593,0,0,0,0,0,0,0,0.013742617786775,0,0.0154086781973273,0,0,0.0124025619242782,0,0,0,0.694918589033547,0.00781889243104898
exper0_location_20,0,0,0,0,0.0435414671541182,0,0,0.047393111195381,0,0,0,0,0,0.011968853670012,0.0128243806419659,0.033628745728115,0,0,0,0,0,0.0207601477983449,0.0116718662712851,0,0,0,0.0184603032970848,0,0.0332780308901006,0,0,0,0,0,0,0.0149338231500794,0,0,0,0,0.0211592379034358,0.0225478584344302,0,0,0,0.0163120398916708,0.0200993123978799,0,0.671420821576097,0.0221569031080402
exper0_location_21,0,0.0196434334383549,0,0,0,0.0587466752274484,0,0.0483502472355655,0,0,0,0,0,0.0114926648936965,0,0.0370564319661462,0.0111810323721333,0.0227797643067278,0,0,0,0.0197211020459761,0,0,0,0,0.0166985293930476,0,0.0822753989599233,0,0,0,0,0.0122025926247064,0,0,0,0,0,0.0113033314165899,0,0.020850792701213,0,0,0,0.018353133008696,0,0,0.609344870409775,0.00648325574230092
exper0_location_22,0,0,0,0,0,0.0850247539319263,0,0.0466945013278808,0,0,0,0,0,0,0,0.0139442613272338,0.0120932946104875,0,0,0.0295247734431385,0,0.0275855347701204,0,0,0,0,0,0,0.0654847950379048,0,0,0,0,0,0,0,0,0,0,0,0,0.0264962815560605,0,0,0,0,0,0,0.693151803995248,0.00418955678248474
