"","predicted.id","prediction.score.Ext_L25","prediction.score.Inh_6","prediction.score.Micro","prediction.score.Ext_Hpc_DG1","prediction.score.Oligo_2","prediction.score.Ext_Pir","prediction.score.Astro_HYPO","prediction.score.Ext_Hpc_DG2","prediction.score.Inh_Meis2_2","prediction.score.Astro_THAL_med","prediction.score.Inh_2","prediction.score.Inh_Vip","prediction.score.Oligo_1","prediction.score.Ext_Thal_1","prediction.score.Inh_Sst","prediction.score.Ext_L6","prediction.score.Ext_Hpc_CA1","prediction.score.Ext_L5_1","prediction.score.Ext_L56","prediction.score.Inh_4","prediction.score.Inh_5","prediction.score.OPC_1","prediction.score.Ext_L23","prediction.score.LowQ_2","prediction.score.Ext_Hpc_CA3","prediction.score.Inh_1","prediction.score.Unk_1","prediction.score.Astro_AMY","prediction.score.Inh_Meis2_4","prediction.score.Ext_L5_2","prediction.score.Nb_2","prediction.score.Inh_Pvalb","prediction.score.OPC_2","prediction.score.Astro_THAL_lat","prediction.score.Astro_HPC","prediction.score.Inh_Meis2_1","prediction.score.Inh_Lamp5","prediction.score.Ext_ClauPyr","prediction.score.Inh_Meis2_3","prediction.score.Ext_Amy_2","prediction.score.Ext_Amy_1","prediction.score.Ext_Thal_2","prediction.score.Astro_WM","prediction.score.Inh_3","prediction.score.Astro_CTX","prediction.score.Ext_Unk_3","prediction.score.Astro_AMY_CTX","prediction.score.Nb_1","prediction.score.Ext_L6B","prediction.score.max","spot"
"exper0_location_0","Ext_L56",0,0.0646543226616676,0,0,0,0,0,0,0.00556093852307551,0,0.00320522925817459,0,0,0,0.0904514221497872,0.018346010955528,0,0,0.427710682812492,0,0,0,0,0,0,0.0261972773402524,0.0525548336529393,0,0,0.00709215854120871,0,0,0,0,0,0,0,0.230844872140957,0.00733675835848423,0,0,0,0,0.00769779409186596,0,0.0583476995135681,0,0,0,0.427710682812492,"exper0_location_0"
"exper0_location_1","Unk_1",0,0.192005144303119,0,0.0083700572526884,0,0,0,0.0652729014699182,0,0,0.0206271560798517,0,0,0,0,0.120022603995708,0,0,0,0.0996858171372403,0.0307154104026049,0,0.00105071637323541,0,0,0.0296894677126186,0.227827575403484,0,0,0.118995955943105,0,0,0,0,0,0.0287600223675331,0,0,0,0,0,0,0,0.0202346773530645,0,0,0,0.0367424942058281,0,0.227827575403484,"exper0_location_1"
"exper0_location_2","Inh_Pvalb",0,0,0,0,0,0,0,0,0,0,0.00363463675518067,0,0,0,0.096326837724087,0,0,0,0,0.00397856132473206,0,0,0,0,0,0.00667736906095719,0.0126674541246138,0,0,0,0.159157976986804,0.703287686969467,0,0,0,0,0,0,0,0,0,0,0,0.0142694770541589,0,0,0,0,0,0.703287686969467,"exper0_location_2"
"exper0_location_3","Inh_Vip",0,0,0,0,0,0,0,0,0,0,0,0.416469734145033,0,0,0,0,0,0,0,0.0115454228147209,0,0,0,0,0,0.0043639553462414,0,0,0,0,0.223693097979865,0.293991298482259,0,0,0,0,0.0282226074165101,0,0,0,0,0,0,0.0217138838153701,0,0,0,0,0,0.416469734145033,"exper0_location_3"
"exper0_location_4","Inh_Vip",0,0,0,0,0,0,0,0,0,0,0,0.79295379094172,0,0,0,0,0,0,0,0.00291824938499086,0,0,0,0,0,0,0,0,0,0,0,0.174874880709529,0,0,0,0,0.0292530789637603,0,0,0,0,0,0,0,0,0,0,0,0,0.79295379094172,"exper0_location_4"
"exper0_location_5","Inh_Pvalb",0,0.0143311922269979,0,0,0,0,0,0,0,0,0,0.00244822322173863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000575592549190997,0.0217102814410908,0,0,0,0.0700881808943397,0.890846529666642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890846529666642,"exper0_location_5"
"exper0_location_6","Inh_Pvalb",0,0.00662697596263619,0,0,0,0,0,0,0,0,0,0.00311085515062887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000869612986869791,0.0158019034859916,0,0,0,0.0715361087468028,0.897449297569201,0,0,0,0,0,0,0,0,0,0,0,0.00460524609786972,0,0,0,0,0,0.897449297569201,"exper0_location_6"
"exper0_location_7","Inh_Pvalb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172008349823198,0,0,0,0,0.98279916501768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98279916501768,"exper0_location_7"
"exper0_location_8","Inh_Pvalb",0,0.0407966356682761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00393699323372588,0,0,0,0,0,0.00169455283082589,0.0258182750544901,0,0,0,0.00449035692792007,0.916511619552527,0,0,0,0,0,0,0,0,0,0,0,0.00675156673223565,0,0,0,0,0,0.916511619552527,"exper0_location_8"
"exper0_location_9","Astro_AMY",0,0.0202443451224701,0,0,0.013517512041247,0,0.0795311058279397,0,0,0.18263996252433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214913395089311,0,0,0.006132927710708,0.0418146537206393,0,0.088708251501918,0.0605751640323662,0,0,0,0,0,0,0,0.0729001913138613,0,0.117058237249153,0,0.101964253866057,0,0,0.214913395089311,"exper0_location_9"
