,ENSEMBL
0,ENSG00000000003
1,ENSG00000000005
2,ENSG00000000419
3,ENSG00000000457
4,ENSG00000000938
5,ENSG00000000971
6,ENSG00000001036
7,ENSG00000001084
8,ENSG00000001167
9,ENSG00000001461
10,ENSG00000001497
11,ENSG00000001561
12,ENSG00000001626
13,ENSG00000001629
14,ENSG00000001630
15,ENSG00000001631
16,ENSG00000002016
17,ENSG00000002330
18,ENSG00000002549
19,ENSG00000002586
20,ENSG00000002587
21,ENSG00000002726
22,ENSG00000002745
23,ENSG00000002822
24,ENSG00000002834
25,ENSG00000002919
26,ENSG00000002933
27,ENSG00000003056
28,ENSG00000003096
29,ENSG00000003137
30,ENSG00000003147
31,ENSG00000003249
32,ENSG00000003393
33,ENSG00000003400
34,ENSG00000003402
35,ENSG00000003436
36,ENSG00000003509
37,ENSG00000003756
38,ENSG00000003989
39,ENSG00000004059
40,ENSG00000004139
41,ENSG00000004142
42,ENSG00000004399
43,ENSG00000004455
44,ENSG00000004468
45,ENSG00000004478
46,ENSG00000004487
47,ENSG00000004534
48,ENSG00000004700
49,ENSG00000004766
50,ENSG00000004776
51,ENSG00000004777
52,ENSG00000004779
53,ENSG00000004799
54,ENSG00000004846
55,ENSG00000004848
56,ENSG00000004864
57,ENSG00000004866
58,ENSG00000004897
59,ENSG00000004939
60,ENSG00000004961
61,ENSG00000004975
62,ENSG00000005001
63,ENSG00000005007
64,ENSG00000005020
65,ENSG00000005022
66,ENSG00000005059
67,ENSG00000005073
68,ENSG00000005075
69,ENSG00000005100
70,ENSG00000005102
71,ENSG00000005108
72,ENSG00000005156
73,ENSG00000005175
74,ENSG00000005187
75,ENSG00000005194
76,ENSG00000005206
77,ENSG00000005238
78,ENSG00000005243
79,ENSG00000005249
80,ENSG00000005302
81,ENSG00000005339
82,ENSG00000005381
83,ENSG00000005436
84,ENSG00000005448
85,ENSG00000005469
86,ENSG00000005483
87,ENSG00000005486
88,ENSG00000005513
89,ENSG00000005700
90,ENSG00000005801
91,ENSG00000005810
92,ENSG00000005812
93,ENSG00000005844
94,ENSG00000005882
95,ENSG00000005884
96,ENSG00000005889
97,ENSG00000005893
98,ENSG00000005961
99,ENSG00000006007
100,ENSG00000006015
101,ENSG00000006025
102,ENSG00000006042
103,ENSG00000006047
104,ENSG00000006062
105,ENSG00000006071
106,ENSG00000006118
107,ENSG00000006125
108,ENSG00000006128
109,ENSG00000006194
110,ENSG00000006210
111,ENSG00000006282
112,ENSG00000006327
113,ENSG00000006451
114,ENSG00000006453
115,ENSG00000006459
116,ENSG00000006468
117,ENSG00000006530
118,ENSG00000006534
119,ENSG00000006555
120,ENSG00000006576
121,ENSG00000006606
122,ENSG00000006607
123,ENSG00000006611
124,ENSG00000006625
125,ENSG00000006634
126,ENSG00000006638
127,ENSG00000006652
128,ENSG00000006659
129,ENSG00000006695
130,ENSG00000006704
131,ENSG00000006712
132,ENSG00000006715
133,ENSG00000006744
134,ENSG00000006747
135,ENSG00000006756
136,ENSG00000006757
137,ENSG00000006831
138,ENSG00000007038
139,ENSG00000007047
140,ENSG00000007062
141,ENSG00000007080
142,ENSG00000007168
143,ENSG00000007171
144,ENSG00000007202
145,ENSG00000007216
146,ENSG00000007237
147,ENSG00000007255
148,ENSG00000007264
149,ENSG00000007306
150,ENSG00000007312
151,ENSG00000007341
152,ENSG00000007350
153,ENSG00000007372
154,ENSG00000007376
155,ENSG00000007384
156,ENSG00000007392
157,ENSG00000007520
158,ENSG00000007541
159,ENSG00000007545
160,ENSG00000007866
161,ENSG00000007908
162,ENSG00000007923
163,ENSG00000007933
164,ENSG00000007944
165,ENSG00000007952
166,ENSG00000007968
167,ENSG00000008018
168,ENSG00000008083
169,ENSG00000008086
170,ENSG00000008128
171,ENSG00000008130
172,ENSG00000008256
173,ENSG00000008282
174,ENSG00000008283
175,ENSG00000008294
176,ENSG00000008311
177,ENSG00000008323
178,ENSG00000008324
179,ENSG00000008382
180,ENSG00000008394
181,ENSG00000008405
182,ENSG00000008438
183,ENSG00000008441
184,ENSG00000008513
185,ENSG00000008517
186,ENSG00000008710
187,ENSG00000008735
188,ENSG00000008838
189,ENSG00000008869
190,ENSG00000008952
191,ENSG00000008988
192,ENSG00000009307
193,ENSG00000009335
194,ENSG00000009413
195,ENSG00000009765
196,ENSG00000009780
197,ENSG00000009790
198,ENSG00000009844
199,ENSG00000009950
200,ENSG00000009954
201,ENSG00000010017
202,ENSG00000010030
203,ENSG00000010072
204,ENSG00000010165
205,ENSG00000010219
206,ENSG00000010244
207,ENSG00000010256
208,ENSG00000010270
209,ENSG00000010278
210,ENSG00000010292
211,ENSG00000010295
212,ENSG00000010318
213,ENSG00000010319
214,ENSG00000010322
215,ENSG00000010327
216,ENSG00000010361
217,ENSG00000010379
218,ENSG00000010404
219,ENSG00000010438
220,ENSG00000010610
221,ENSG00000010626
222,ENSG00000010671
223,ENSG00000010803
224,ENSG00000010810
225,ENSG00000010818
226,ENSG00000010932
227,ENSG00000011007
228,ENSG00000011009
229,ENSG00000011021
230,ENSG00000011028
231,ENSG00000011105
232,ENSG00000011114
233,ENSG00000011132
234,ENSG00000011143
235,ENSG00000011198
236,ENSG00000011201
237,ENSG00000011243
238,ENSG00000011258
239,ENSG00000011260
240,ENSG00000011275
241,ENSG00000011295
242,ENSG00000011304
243,ENSG00000011332
244,ENSG00000011347
245,ENSG00000011376
246,ENSG00000011405
247,ENSG00000011422
248,ENSG00000011426
249,ENSG00000011451
250,ENSG00000011454
251,ENSG00000011465
252,ENSG00000011485
253,ENSG00000011523
254,ENSG00000011566
255,ENSG00000011590
256,ENSG00000011600
257,ENSG00000011638
258,ENSG00000012048
259,ENSG00000012061
260,ENSG00000012124
261,ENSG00000012171
262,ENSG00000012174
263,ENSG00000012223
264,ENSG00000012232
265,ENSG00000012504
266,ENSG00000012660
267,ENSG00000012779
268,ENSG00000012817
269,ENSG00000012822
270,ENSG00000012963
271,ENSG00000012983
272,ENSG00000013275
273,ENSG00000013288
274,ENSG00000013293
275,ENSG00000013297
276,ENSG00000013306
277,ENSG00000013364
278,ENSG00000013374
279,ENSG00000013375
280,ENSG00000013441
281,ENSG00000013561
282,ENSG00000013563
283,ENSG00000013573
284,ENSG00000013583
285,ENSG00000013588
286,ENSG00000013725
287,ENSG00000013810
288,ENSG00000014123
289,ENSG00000014138
290,ENSG00000014164
291,ENSG00000014216
292,ENSG00000014641
293,ENSG00000014824
294,ENSG00000014914
295,ENSG00000014919
296,ENSG00000015133
297,ENSG00000015153
298,ENSG00000015171
299,ENSG00000015285
300,ENSG00000015413
301,ENSG00000015475
302,ENSG00000015479
303,ENSG00000015520
304,ENSG00000015532
305,ENSG00000015592
306,ENSG00000015676
307,ENSG00000016082
308,ENSG00000016391
309,ENSG00000016402
310,ENSG00000016490
311,ENSG00000016602
312,ENSG00000016864
313,ENSG00000017260
314,ENSG00000017427
315,ENSG00000017483
316,ENSG00000017797
317,ENSG00000018189
318,ENSG00000018236
319,ENSG00000018280
320,ENSG00000018408
321,ENSG00000018510
322,ENSG00000018610
323,ENSG00000018625
324,ENSG00000018699
325,ENSG00000019102
326,ENSG00000019144
327,ENSG00000019169
328,ENSG00000019186
329,ENSG00000019485
330,ENSG00000019505
331,ENSG00000019549
332,ENSG00000019582
333,ENSG00000019991
334,ENSG00000019995
335,ENSG00000020181
336,ENSG00000020256
337,ENSG00000020426
338,ENSG00000020577
339,ENSG00000020633
340,ENSG00000020922
341,ENSG00000021300
342,ENSG00000021355
343,ENSG00000021488
344,ENSG00000021574
345,ENSG00000021645
346,ENSG00000021762
347,ENSG00000021776
348,ENSG00000021826
349,ENSG00000022267
350,ENSG00000022277
351,ENSG00000022355
352,ENSG00000022840
353,ENSG00000023041
354,ENSG00000023191
355,ENSG00000023228
356,ENSG00000023287
357,ENSG00000023318
358,ENSG00000023330
359,ENSG00000023445
360,ENSG00000023516
361,ENSG00000023572
362,ENSG00000023608
363,ENSG00000023697
364,ENSG00000023734
365,ENSG00000023839
366,ENSG00000023892
367,ENSG00000023902
368,ENSG00000023909
369,ENSG00000024048
370,ENSG00000024422
371,ENSG00000024526
372,ENSG00000024862
373,ENSG00000025039
374,ENSG00000025156
375,ENSG00000025293
376,ENSG00000025423
377,ENSG00000025434
378,ENSG00000025708
379,ENSG00000025770
380,ENSG00000025772
381,ENSG00000025796
382,ENSG00000025800
383,ENSG00000026025
384,ENSG00000026103
385,ENSG00000026297
386,ENSG00000026508
387,ENSG00000026559
388,ENSG00000026652
389,ENSG00000026751
390,ENSG00000026950
391,ENSG00000027001
392,ENSG00000027075
393,ENSG00000027697
394,ENSG00000027847
395,ENSG00000027869
396,ENSG00000028116
397,ENSG00000028137
398,ENSG00000028203
399,ENSG00000028277
400,ENSG00000028310
401,ENSG00000028528
402,ENSG00000028839
403,ENSG00000029363
404,ENSG00000029364
405,ENSG00000029534
406,ENSG00000029639
407,ENSG00000029725
408,ENSG00000029993
409,ENSG00000030066
410,ENSG00000030110
411,ENSG00000030419
412,ENSG00000030582
413,ENSG00000031003
414,ENSG00000031081
415,ENSG00000031691
416,ENSG00000031698
417,ENSG00000031823
418,ENSG00000032219
419,ENSG00000032389
420,ENSG00000032444
421,ENSG00000032742
422,ENSG00000033011
423,ENSG00000033030
424,ENSG00000033050
425,ENSG00000033100
426,ENSG00000033170
427,ENSG00000033178
428,ENSG00000033327
429,ENSG00000033627
430,ENSG00000033800
431,ENSG00000033867
432,ENSG00000034053
433,ENSG00000034152
434,ENSG00000034510
435,ENSG00000034533
436,ENSG00000034677
437,ENSG00000034693
438,ENSG00000034713
439,ENSG00000034971
440,ENSG00000035115
441,ENSG00000035141
442,ENSG00000035403
443,ENSG00000035499
444,ENSG00000035664
445,ENSG00000035681
446,ENSG00000035687
447,ENSG00000035720
448,ENSG00000035862
449,ENSG00000035928
450,ENSG00000036054
451,ENSG00000036257
452,ENSG00000036473
453,ENSG00000036549
454,ENSG00000036565
455,ENSG00000036672
456,ENSG00000036828
457,ENSG00000037042
458,ENSG00000037241
459,ENSG00000037280
460,ENSG00000037474
461,ENSG00000037637
462,ENSG00000037757
463,ENSG00000037897
464,ENSG00000037965
465,ENSG00000038002
466,ENSG00000038210
467,ENSG00000038219
468,ENSG00000038274
469,ENSG00000038295
470,ENSG00000038382
471,ENSG00000038427
472,ENSG00000038532
473,ENSG00000038945
474,ENSG00000039068
475,ENSG00000039123
476,ENSG00000039319
477,ENSG00000039523
478,ENSG00000039537
479,ENSG00000039560
480,ENSG00000039650
481,ENSG00000039987
482,ENSG00000040199
483,ENSG00000040275
484,ENSG00000040341
485,ENSG00000040487
486,ENSG00000040531
487,ENSG00000040633
488,ENSG00000040933
489,ENSG00000041353
490,ENSG00000041357
491,ENSG00000041802
492,ENSG00000041880
493,ENSG00000041982
494,ENSG00000041988
495,ENSG00000042088
496,ENSG00000042286
497,ENSG00000042317
498,ENSG00000042429
499,ENSG00000042445
500,ENSG00000042493
501,ENSG00000042753
502,ENSG00000042980
503,ENSG00000043039
504,ENSG00000043093
505,ENSG00000043143
506,ENSG00000043355
507,ENSG00000043462
508,ENSG00000043514
509,ENSG00000044012
510,ENSG00000044090
511,ENSG00000044115
512,ENSG00000044446
513,ENSG00000044459
514,ENSG00000044574
515,ENSG00000046604
516,ENSG00000046647
517,ENSG00000046651
518,ENSG00000046653
519,ENSG00000046889
520,ENSG00000047056
521,ENSG00000047188
522,ENSG00000047230
523,ENSG00000047249
524,ENSG00000047315
525,ENSG00000047346
526,ENSG00000047365
527,ENSG00000047410
528,ENSG00000047457
529,ENSG00000047579
530,ENSG00000047597
531,ENSG00000047621
532,ENSG00000047634
533,ENSG00000047644
534,ENSG00000047648
535,ENSG00000047662
536,ENSG00000047849
537,ENSG00000047932
538,ENSG00000048028
539,ENSG00000048052
540,ENSG00000048140
541,ENSG00000048162
542,ENSG00000048342
543,ENSG00000048392
544,ENSG00000048405
545,ENSG00000048462
546,ENSG00000048471
547,ENSG00000048540
548,ENSG00000048544
549,ENSG00000048649
550,ENSG00000048707
551,ENSG00000048740
552,ENSG00000048828
553,ENSG00000048991
554,ENSG00000049130
555,ENSG00000049167
556,ENSG00000049192
557,ENSG00000049239
