detection_alpha,N_cells_per_location,A_factors_per_location,B_groups_per_location,lr,max_epochs,names
100.0,25.0,3.0,40.0,0.002,20000,test_hyperparameters_v3_adam_100.0_25.0_3.0_40.0
200.0,25.0,10.0,80.0,0.002,20000,test_hyperparameters_v3_adam_200.0_25.0_10.0_80.0
50.0,5.0,10.0,16.0,0.002,20000,test_hyperparameters_v3_adam_50.0_5.0_10.0_16.0
200.0,40.0,16.0,5.0,0.002,20000,test_hyperparameters_v3_adam_200.0_40.0_16.0_5.0
100.0,40.0,150.0,150.0,0.002,20000,test_hyperparameters_v3_adam_100.0_40.0_150.0_150.0
5.0,1000.0,500.0,500.0,0.002,20000,test_hyperparameters_v3_adam_5.0_1000.0_500.0_500.0
5.0,16.0,16.0,80.0,0.002,20000,test_hyperparameters_v3_adam_5.0_16.0_16.0_80.0
100.0,3.0,80.0,150.0,0.002,20000,test_hyperparameters_v3_adam_100.0_3.0_80.0_150.0
200.0,1.0,150.0,500.0,0.002,20000,test_hyperparameters_v3_adam_200.0_1.0_150.0_500.0
10.0,1000.0,25.0,80.0,0.002,20000,test_hyperparameters_v3_adam_10.0_1000.0_25.0_80.0
5.0,5.0,10.0,25.0,0.002,20000,test_hyperparameters_v3_adam_5.0_5.0_10.0_25.0
50.0,10.0,1.0,80.0,0.002,20000,test_hyperparameters_v3_adam_50.0_10.0_1.0_80.0
10.0,80.0,150.0,5.0,0.002,20000,test_hyperparameters_v3_adam_10.0_80.0_150.0_5.0
1.0,1.0,10.0,3.0,0.002,20000,test_hyperparameters_v3_adam_1.0_1.0_10.0_3.0
1000.0,500.0,1.0,1.0,0.002,20000,test_hyperparameters_v3_adam_1000.0_500.0_1.0_1.0
10.0,5.0,16.0,5.0,0.002,20000,test_hyperparameters_v3_adam_10.0_5.0_16.0_5.0
50.0,500.0,500.0,80.0,0.002,20000,test_hyperparameters_v3_adam_50.0_500.0_500.0_80.0
10.0,3.0,1000.0,10.0,0.002,20000,test_hyperparameters_v3_adam_10.0_3.0_1000.0_10.0
20.0,25.0,16.0,1000.0,0.002,20000,test_hyperparameters_v3_adam_20.0_25.0_16.0_1000.0
1000.0,3.0,80.0,150.0,0.002,20000,test_hyperparameters_v3_adam_1000.0_3.0_80.0_150.0
5.0,40.0,1.0,16.0,0.002,20000,test_hyperparameters_v3_adam_5.0_40.0_1.0_16.0
50.0,10.0,1.0,1000.0,0.002,20000,test_hyperparameters_v3_adam_50.0_10.0_1.0_1000.0
20.0,3.0,5.0,80.0,0.002,20000,test_hyperparameters_v3_adam_20.0_3.0_5.0_80.0
10.0,150.0,150.0,40.0,0.002,20000,test_hyperparameters_v3_adam_10.0_150.0_150.0_40.0
20.0,1.0,10.0,25.0,0.002,20000,test_hyperparameters_v3_adam_20.0_1.0_10.0_25.0
1.0,40.0,10.0,40.0,0.002,20000,test_hyperparameters_v3_adam_1.0_40.0_10.0_40.0
20.0,10.0,5.0,500.0,0.002,20000,test_hyperparameters_v3_adam_20.0_10.0_5.0_500.0
100.0,500.0,500.0,80.0,0.002,20000,test_hyperparameters_v3_adam_100.0_500.0_500.0_80.0
20.0,40.0,3.0,40.0,0.002,20000,test_hyperparameters_v3_adam_20.0_40.0_3.0_40.0
100.0,1.0,3.0,5.0,0.002,20000,test_hyperparameters_v3_adam_100.0_1.0_3.0_5.0
