,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9
B_Cycling,0.0,0.03420616282581217,0.0,0.012287697525875958,0.022636272724241173,0.0,0.0,0.0,0.12267644422149354,0.8081934227025771
B_GC_DZ,0.0,0.16228391207861503,0.1591727957277048,0.0,0.06178592771751667,0.0442819155986614,0.0,0.0,0.0,0.572475448877502
B_GC_LZ,0.0,0.051662666786983454,0.8443120456683232,0.0,0.042135191266296765,0.061890096278396596,0.0,0.0,0.0,0.0
B_GC_prePB,0.08323468297143745,0.09212788295075142,0.48764076200889556,0.0,0.0,0.0,0.056242047843993205,0.008912777169316299,0.0,0.2718418470556061
B_IFN,0.0,0.06181630661887252,0.03456436882063254,0.7964015755399276,0.0,0.015381074485416523,0.06691141107462535,0.0,0.0018647067511380379,0.023060556709387437
B_activated,0.1845066154567981,0.00393683981581969,0.0040461172199110634,0.0,0.4485602970167897,0.20677990340580352,0.0,0.12037633539009249,0.0,0.03179389169478562
B_mem,0.010133186408682522,0.020039031985650095,0.0,0.0,0.0,0.14383817234706558,0.0,0.823226626654736,0.0027629826038658516,0.0
B_naive,0.0,0.0,0.053922778542812744,0.0006174769223223031,0.09113027991877524,0.7065150070151515,0.003014649718960927,0.13725127802986095,0.0,0.007548529852116268
B_plasma,0.0,0.0,0.03016800976595857,0.023869906653445346,0.8124907388555774,0.0,0.026615962301952557,0.03518391291269102,0.07167146951037512,0.0
B_preGC,0.046594909145370546,0.0,0.0,0.0,0.035425856477898504,0.03851417641208377,0.04919258323721536,0.1645774600055311,0.6656950147219007,0.0
DC_CCR7+,0.23680223442302917,0.4880840244728994,0.0,0.05385556048707087,0.0,0.0,0.1953273530522963,0.0,0.025930827564704332,0.0
DC_cDC1,0.332378508985628,0.0,0.0062039380855063685,0.024072049650749373,0.0,0.0,0.07907975658800116,0.1966360768079994,0.13605010997063915,0.22557955991147655
DC_cDC2,0.5793558194753514,0.16888677014063844,0.0,0.0,0.1324893452608641,0.03283097869976088,0.0,0.037445618149134136,0.048991468274250966,0.0
DC_pDC,0.2123496077962436,0.33003204799157687,0.0,0.0,0.3262893239358359,0.06473724393543114,0.0,0.0,0.0665917763409126,0.0
Endo,0.5559837973192908,0.13988656813075087,0.0,0.0,0.18937759694385115,0.046350422844282604,0.008287691931086309,0.05324638216803431,0.0,0.006867540662703798
FDC,0.012997607354533747,0.0,0.570517833356527,0.06847228185326545,0.0,0.0,0.0,0.16582319646448962,0.0,0.18218908097118422
ILC,0.1998018989378057,0.33557052722398023,0.022123928294938054,0.0,0.27891505341800626,0.13011818065791175,0.0,0.0,0.019297121179384088,0.01417329028797409
Macrophages_M1,0.43125600762853505,0.11920078912749336,0.16532474782139683,0.014765937848829564,0.002963934718049924,0.01272848963021202,0.024773470746178063,0.09490351055027858,0.03241075411757821,0.1016723578114484
Macrophages_M2,0.23642370656383987,0.05509565771517482,0.0,0.0,0.5644953767549978,0.02353328987253428,0.12045196909345313,0.0,0.0,0.0
Mast,0.3285124694668834,0.09084421545235997,0.026913815339022016,0.008993894254651247,0.21483583957635183,0.052553885102330014,0.012017234861638998,0.0890558444264273,0.09805619974399087,0.07821660177634455
Monocytes,0.4626237122442441,0.09787304197519785,0.0,0.03027347806459969,0.311541040505471,0.03208788212590443,0.0,0.06560084508458293,0.0,0.0
NK,0.10232838700604542,0.43695434649133674,0.035982562366207976,0.0372849136243153,0.2733289865060155,0.08000817643863534,0.0,0.0,0.010779037224849058,0.02333359034259461
NKT,0.24891257595232652,0.19219900537879772,0.019555095996138278,0.0,0.22999219567493476,0.0,0.04482806222728146,0.17700427129270493,0.0321508537975155,0.05535793968030087
T_CD4+,0.24306841913079877,0.047361177485064916,0.028401438375585564,0.0,0.05934066454365298,0.0,0.09391246279723933,0.39481727168324987,0.034485560922706236,0.09861300506170242
T_CD4+_TfH,0.0,0.37098869936813095,0.06862768654863435,0.00571198880930412,0.31803321017642766,0.13482197871077498,0.08652399283367672,0.0,0.0,0.015292443553051248
T_CD4+_TfH_GC,0.0,0.09020545101792367,0.610676298892824,0.005971139302946311,0.0,0.13220703181551594,0.0164759079307747,0.0670449055151187,0.023758585558000766,0.053660679966896024
T_CD4+_naive,0.02101773488679495,0.0,0.0,0.0007439248865914358,0.01827997035232953,0.0,0.7488875204726767,0.1704977266017369,0.030137775180074756,0.010435347619795688
T_CD8+_CD161+,0.12567649856274102,0.31219453884441806,0.028823390997980463,0.004844041501673126,0.27721762531195543,0.07330824336647436,0.09439263122386847,0.02464659933925374,0.008224355255449291,0.05067207559618607
T_CD8+_cytotoxic,0.05569206268744849,0.4517241506706494,0.041694169225906935,0.030662335153564618,0.22999273031515077,0.08265061484236585,0.09687292761537981,0.0,0.0,0.010711009489534155
T_CD8+_naive,0.04767040368533051,0.18183870027184434,0.0,0.0,0.21774185596868642,0.02540810152239676,0.48192043158186065,0.0,0.045420506969881355,0.0
T_TIM3+,0.02192839201991176,0.3821577587270256,0.028964743152479867,0.058821636494164865,0.12768879711554987,0.06675625825987484,0.0,0.011126586267953943,0.2650818057540209,0.03747402220901828
T_TfR,0.00295939370375427,0.5194246044505887,0.06567480673546801,0.033584706448148476,0.0,0.0,0.23200000666162027,0.07756792415600919,0.0687885578444111,0.0
T_Treg,0.0,0.605034659301909,0.00829492775156956,0.0,0.04961801660016671,0.05568752134257927,0.28136487500377544,0.0,0.0,0.0
VSMC,0.34847743399230685,0.1986054789529959,0.013775611318821955,0.006929411396216724,0.22317333033570366,0.019094108187771814,0.051411626190772414,0.10085811625210502,0.013609475876449563,0.024065407496856057
