,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10
B_Cycling,0.013887866552904086,0.0,0.7852841202163353,0.0,0.008788947220501537,0.0,0.14250673527372412,0.04624133428574338,0.0,0.0,0.0032909964507914146
B_GC_DZ,0.0,0.08270034042687986,0.56643683213123,0.13330040052637754,0.030884127952930735,0.04400158738033542,0.0,0.0,0.14267671158224632,0.0,0.0
B_GC_LZ,0.0,0.007367269352599698,0.0,0.047596543641388496,0.04028592617532772,0.06897132769103947,0.0,0.0,0.8357789331396447,0.0,0.0
B_GC_prePB,0.0550472051131143,0.04885977179496581,0.2572663079374966,0.08279734371539493,0.0,0.0,0.0,0.07320735780409304,0.4752661387165054,0.007555874918429898,0.0
B_IFN,0.07096703700197515,0.0,0.022092209794434454,0.05321379853512461,0.0009923899857496184,0.015089643969019828,0.0044941766949550994,0.0,0.03989239407053538,0.0,0.7932583499482058
B_activated,0.0,0.29973729702947843,0.04009606420051666,0.0,0.36988523443502463,0.17244131745697502,0.0,0.0,0.0009753852398070385,0.11686470163819819,0.0
B_mem,0.004160020144716178,0.057217000981420504,0.0,0.005500567424551307,0.0,0.12052747007172036,0.0007458262605441698,0.0,0.0,0.8118491151170475,0.0
B_naive,0.0,0.035283053003464175,0.0,0.013493936164952317,0.07496525375552822,0.691091706624956,0.0,0.0,0.04925262647738172,0.13591342397371753,0.0
B_plasma,0.018154489038979184,0.0,0.0,0.00604842449768482,0.799976664069319,0.0,0.03966100477156912,0.07912430133812991,0.008189805951334492,0.03360072671894221,0.0152445836140413
B_preGC,0.049432926879790014,0.0543326872146422,0.0,0.0,0.010827864264723862,0.009400148563187563,0.6415730918102336,0.06304529670047765,0.0,0.17138798456694507,0.0
DC_CCR7+,0.16036251590016243,0.11722790399554586,0.0,0.4972699846243898,0.0,0.0,0.0,0.17691670041096988,0.0,0.0,0.048222895068931966
DC_cDC1,0.051921888966393576,0.0,0.12769297519545922,0.0,0.035322012834652854,0.0,0.04112289793162207,0.603050000520543,0.006180664317814938,0.13450762165802016,0.00020193857549404478
DC_cDC2,0.0,0.5260217942522918,0.0,0.11730995996450205,0.07173002440539224,0.0009895958320491752,0.03490689061810701,0.18700440337973515,0.0,0.047309038384690236,0.014728293163232395
DC_pDC,0.0020865146612619586,0.30823487009175893,0.003066294947176695,0.27433242884259795,0.2629235229678761,0.052923484571392766,0.07996136027563269,0.01647152364230297,0.0,0.0,0.0
Endo,0.044742934435448134,0.6694724385186636,0.012573885059126419,0.0,0.0999432061180678,0.01068983973380372,0.0049900101207260355,0.025523613890228353,0.030692308255901475,0.07581911149035145,0.025552652377683064
FDC,0.0,0.0,0.16934822734149355,0.0,0.0,0.0,0.0,0.05937674795413705,0.5558146770303551,0.15476113741996994,0.06069921025404432
ILC,0.0,0.3117775182995299,0.02606498510910084,0.2747913289657994,0.21318482344427966,0.11353256507378877,0.03721140288789307,0.0,0.02343737621960847,0.0,0.0
Macrophages_M1,0.01844620195958167,0.27787447907990065,0.07178748733877936,0.09266033095141758,0.0,0.0,0.0,0.2764450273857819,0.16027975523152127,0.08617367480119889,0.01633304325181864
