,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14
B_Cycling,0.06518968456411024,0.00959092978315226,0.0,0.0,0.1410956004787053,0.0,0.005100843206643006,0.0,0.0,0.0,0.0,0.002637928641436918,0.7763850133259522,0.0,0.0
B_GC_DZ,0.0,0.0,0.049613029826916295,0.0,0.0,0.06940690683350055,0.0,0.19488300213157567,0.0,0.11661390706952858,0.0,0.0,0.5222194269963418,0.04726372714213693,0.0
B_GC_LZ,0.0,0.0,0.07960858386106251,0.1772788682265342,0.0,0.0,0.0,0.7078597836158477,0.0,0.02763479426419259,0.0024491057996208275,0.0013093089516608143,0.0038595552810811464,0.0,0.0
B_GC_prePB,0.026420880925725594,0.03703969230300391,0.0,0.26037666609500937,0.0,0.013471890597929258,0.0,0.28422597781187003,0.0,0.08857846299307291,0.0,0.0,0.2001107530823605,0.008418043895089575,0.08135763229593884
B_IFN,0.0,0.05788826707377351,0.014994181836850081,0.028163784849147555,0.010226563168774093,0.0,0.0,0.026514008841162662,0.0,0.05932478323481313,0.017727266201988164,0.761961966741131,0.020976989200956888,0.0,0.00222218885140277
B_activated,0.0,0.0,0.14360795065950796,0.024138105377779186,0.0,0.10986648196836289,0.1842040258229756,0.008810119239287373,0.11295803715422541,0.0,0.0,0.0,0.024500103052328536,0.39191517672553294,0.0
B_mem,0.006125709137995766,0.006301199109012479,0.12166502655238562,0.0,0.004845605567280195,0.034977691251270746,0.0,0.0,0.8156528459224659,0.0,0.0,0.0,0.0,0.0,0.010431922459589384
B_naive,0.0011294173866199264,0.0,0.6563744514487276,0.05231173833106512,0.0,0.0012914809663681468,0.04178862579938682,0.018608565954045538,0.12766698052116715,0.018097098707838013,0.0,0.0,0.0,0.08273164088478174,0.0
B_plasma,0.043778495328670196,0.019008323501422224,0.011268242243724198,0.0,0.04450030950134333,0.0,0.7320273790215436,0.0,0.0,0.0,0.008192748387940832,0.006828792096706617,0.0,0.08492760544537507,0.04946810447327381
B_preGC,0.027558223785490592,0.03713099154674321,0.01433022461226961,0.0,0.6205982053916002,0.024738124057046545,0.01475179291396924,0.0,0.1531552042133271,0.0013226550433130808,0.027636959457337133,0.003005492752276848,0.0,0.042310984503986716,0.03346114172263982
DC_CCR7+,0.0,0.1188515472609979,0.0,0.0,0.0,0.06516104970959873,0.0,0.0,0.0,0.4128054216777523,0.11588898505372455,0.04400080447177866,0.0,0.0,0.24329219182614795
DC_cDC1,0.5799617204128942,0.04044902138125402,0.0,0.013754243098563714,0.05188279266919682,0.014556446834944715,0.007225849337064714,0.0,0.11313997384071131,0.0,0.0,0.011934085743129702,0.09734440708711818,0.0,0.06975145959512262
DC_cDC2,0.06701791140738321,0.0,0.0031424001139031834,0.0,0.0,0.294961415100945,0.0,0.0,0.01853778881185431,0.0074018682410680325,0.19717034994081872,0.0,0.0,0.18940858777483718,0.22235967860919043
DC_pDC,0.09346347123708333,0.0,0.044167423905918525,0.0,0.008858274679326037,0.0,0.0,0.0,0.0,0.16336697414962129,0.2055989662704682,0.0,0.0,0.4845448897575826,0.0
Endo,0.0,0.030553138366136937,0.021393795689374544,0.028768431156857503,0.021511663994177692,0.5884379212795162,0.025221999138254972,0.003742416982609734,0.023318246485790794,0.0,0.03218248109341788,0.01170679332913485,0.016296836554898667,0.17837684540921173,0.018489430520618515
FDC,0.0,0.0,0.0,0.5665484013232475,0.0,0.0,0.0,0.09077437389911952,0.08660549267550215,0.0,0.0,0.03965975305332937,0.10716907396735408,0.0,0.10924290508144746
ILC,0.0,0.0,0.09887095172906062,0.0,0.0,0.16948134571352733,0.09204892936340751,0.05256656099153191,0.0,0.18315741744802044,0.14305970439111237,0.0,0.012429751491697815,0.23538099302307544,0.013004345848566624
Macrophages_M1,0.0,0.03013542005223484,0.019335235597680803,0.11522687596251549,0.017467902362214256,0.0,0.008482371605899989,0.006913438134680218,0.04847791039033152,0.01072035950457453,0.009110404152299153,0.0015321934646064035,0.0832990106352961,0.06305079277948417,0.5862480853581825
Macrophages_M2,0.00504508923632949,0.10941666418698152,0.0,0.008729355280956256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01757516045367923,0.012629153726170024,0.8466045771158835,0.0
Mast,0.01807201938161801,0.020611933457329295,0.03393541659719123,0.0,0.06922788085849457,0.18206941783189312,0.11140552579354959,0.02060928757721458,0.06378240420464915,0.0,0.06925257112907246,0.004613938617310714,0.06918210835816763,0.14901364747013843,0.1882238487233713
Monocytes,0.0,0.006398679517622055,0.007047662174754359,0.0,0.0,0.30910592315538943,0.09602807133568284,0.0,0.05205460035582196,0.0014042094982503587,0.04617220482836614,0.034181745543897475,0.0,0.29697188875731056,0.15063501483290467
NK,0.0,0.0,0.06991442803128614,0.0,0.0,0.05271906305881009,0.08937856745021944,0.07277158451179482,0.0,0.28212982592537916,0.12467026141966242,0.03755169046969184,0.01420775917999713,0.25665681995315903,0.0
