,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18
B_Cycling,0.06634914281322297,0.0,0.0,0.7724403254789858,0.010033814985584503,0.0,0.0,0.0,0.005903024141845676,0.0013103974935857177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1320938853246092,0.011869409762166263
B_GC_DZ,0.0,0.0,0.0,0.4899286472437537,0.0,0.0,0.15906909870779654,0.04325239369693544,0.0,0.0,0.0,0.15699845500135806,0.06898126889252028,0.0,0.0,0.04183925912194348,0.03993087733569256,0.0,0.0
B_GC_LZ,0.0,0.0005368755345756621,0.0,0.03377038785237902,0.0,0.12504632211561686,0.004598251838031851,0.09095827155004069,0.004199667951370173,0.0,0.001974618450479875,0.7289403329396144,0.0,0.0,0.0,0.0,0.00997527176789143,0.0,0.0
B_GC_prePB,0.022953983182826713,0.19666703404858746,0.0418132493553142,0.19325359742569312,0.021224920276960334,0.09359816453550095,0.04220110536446009,0.0,0.0,0.0,0.013861648512721092,0.28711189036258605,0.007059784305901629,0.0,0.0,0.003493383963735215,0.07676123866571323,0.0,0.0
B_IFN,0.0,0.0124413502712132,0.0016950106652064798,0.023477810171562887,0.04801800566706988,0.018804005335470164,0.006512936251643894,0.01813443969681459,0.7443519587629704,0.0,0.005362678256210451,0.03150653636841886,0.0,0.0,0.0,0.0,0.06904743782467576,0.008213431178572721,0.012434399550170684
B_activated,0.0,0.009190201356940264,0.0,0.023517038062503128,0.0,0.0,1.9827262277196047e-05,0.12983251088294992,0.0,0.17744864271699837,0.11978640083564779,0.01613874487275318,0.05416642546531675,0.3297845354982442,0.09345241737748791,0.04666325566888121,0.0,0.0,0.0
B_mem,0.012561833677109054,0.0,0.006497120243721434,0.0,0.007812500773054138,0.0,0.0,0.1262619852769042,0.0,0.0,0.0,0.0,0.0,0.0,0.8370654606868377,0.006167742370831052,0.0,0.0036333569715423543,0.0
B_naive,0.0,0.02247723349815653,0.0,0.0009039141700939539,0.0,0.04402655258695469,0.007713357044487059,0.6316517028805027,0.0,0.052548872164438404,0.0048480106924429995,0.028239600212904684,0.0,0.07944055776422482,0.11822182455289436,0.0,0.009928374432900032,0.0,0.0
B_plasma,0.03610251185267399,0.0,0.05735064714883439,0.0,0.015792469362919167,0.0,0.0,0.009481105726108139,0.005956956536821175,0.7244746816916671,0.0,0.0,0.0016866290806829593,0.060583615419713584,0.0,0.0,0.010572172489676748,0.03822501374789445,0.03977419694300845
B_preGC,0.015584038738091572,0.003297169767116155,0.022152959838796372,0.0,0.034425140258941764,0.0,0.0,0.01426133990890497,0.0025498326634085943,0.016139470695134495,0.06600638193437112,0.0,0.006667658287777031,0.026823945479663353,0.1525610999049585,0.0,0.013854683763667176,0.6041594252909891,0.021516853468179706
