,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21
B_Cycling,0.0,0.03134284082398187,0.011122077468591255,0.0,0.0,0.025212801471162644,0.0,0.008724171591503594,0.7842043159210785,0.0,0.0057012287710646115,0.0,0.0,0.0,0.0,0.0,0.0100590882943068,0.00230231874065302,0.0,0.03775704561890978,0.0,0.08357411129874787
B_GC_DZ,0.021171730549100442,0.0,0.0010213321133545046,0.006896857449826207,0.0014231914379614242,0.0,0.0,0.01157815444846533,0.0857234266752468,0.021926730608704138,0.008005094793314932,0.015741222810809263,0.020898715792514795,0.008071623717545433,0.061596373995841246,0.001309328368552809,0.002441674486142808,0.005778279010670218,0.0014880548482081536,0.7000764376438335,0.024851771249908085,0.0
B_GC_LZ,0.0,0.0,0.0,0.0,0.0,0.0,0.008724487093603454,0.0,0.03224552865866386,0.0905028853060922,0.0,0.07751036578315901,0.0,0.0008420569481427761,0.6956281666181892,0.0,0.001693591446219957,0.0,0.017204931787699586,0.06667132192149931,0.008976664436730742,0.0
B_GC_prePB,0.00040629879057533223,0.023613820828332754,0.018959351686416128,0.0408081235853193,0.00020527674560721543,0.0,0.006706815716838781,0.0,0.1387218383725603,0.0,0.0,0.07902363640362665,0.17753074294440624,0.04025116553126061,0.2530921626680602,0.0,0.0,0.0010408436050265521,0.0081289466601811,0.14732205512769722,0.0641889213340917,0.0
B_IFN,0.0,0.0,0.047635598776671936,0.0017352995478298072,0.0,0.015053020635214343,0.008188396526368425,0.0,0.023924563650671096,0.018253199618389306,0.0,0.015041594408095556,0.012093662839227042,0.01319339780310994,0.03186620204878673,0.0,0.7370459114273951,0.0,0.0009653557342658499,0.0006403359697900944,0.06805114670697454,0.006312314307210293
B_activated,0.4169611524964098,0.0,0.0,0.0,0.04430961959073953,0.0,0.0,0.1543840294318423,0.008754660391174838,0.09961982108258673,0.09344405599495985,0.0013589805083029781,0.04739037783711486,0.0,0.008576025102471943,0.01750284338707491,0.0,0.0935959172218054,0.0,0.01410251695551698,0.0,0.0
B_mem,0.0,0.009073844536514625,0.00634801782254301,0.006302901707200636,0.004196720415461553,0.0,0.004527237361994744,0.0,0.0,0.12661722453940838,0.8272689425391029,0.0,0.0,0.0,0.0,0.010721675102193195,0.0,0.0,0.0,0.0,0.0,0.004943435975581009
B_naive,0.1327185803523418,0.0,0.0,0.0,0.005235513806480977,0.0,0.0,0.046997881298498446,0.0,0.5593341957664664,0.10654029302553539,0.03517492701463572,0.019698891502586295,0.015872313592203317,0.02443052444083635,0.0,0.0,0.028175834298507126,0.006789999872317349,0.018921885968191013,0.00010915906139987422,0.0
B_plasma,0.04478048728804989,0.02522881986805659,0.013179361711314662,0.02910737001482682,0.0161220997386625,0.03471321698638276,0.013410050840954865,0.6740739728276527,0.0,0.008333797171767169,0.0018356832033312258,0.0,0.0,0.02726577947808297,0.0,0.01814899532451744,0.0034200879479428215,0.03306452796351035,0.019492123119405985,0.0,0.0037713067311660733,0.03405231978437514
B_preGC,0.029712461056384497,0.027633133573391647,0.03435398744333872,0.01070009203031932,0.009345606879696404,0.03534598511084742,0.044558677793952825,0.019879000990549647,0.0,0.010509474592145313,0.14501630321065276,0.0,0.0015247491034439931,0.0,0.0,0.0,0.0008238544351417415,0.01722882873533936,0.00634265552377226,0.0,0.010329065286465247,0.5966961242345588
DC_CCR7+,0.0,0.0,0.048704337460048555,0.02134977536617127,0.0,0.02806621903751114,0.43794225965811573,0.0,0.0,0.0,0.0,0.0,0.022063606491289973,0.0,0.0,0.0,0.02715623477469481,0.0,0.060363271708308505,0.0,0.3543542955038601,0.0
DC_cDC1,0.0,0.5725494644042464,0.041005493189616445,0.039434403593555704,0.0033192837391732674,0.0,0.03233024856579489,0.009021217958136672,0.09702315565629524,0.0,0.11704894095003816,0.0,0.02383999218006185,0.0,0.0,0.0,0.012547857370528314,0.01701293873347734,0.0,0.0,0.0,0.03486700365907569
DC_cDC2,0.15255151193785493,0.024655330011265728,0.0,0.0,0.04260293050798088,0.0,0.672551164491645,0.007850648779443154,0.0,0.003925966000935972,0.021425274682138153,0.0,0.0,0.038793303306910665,0.0,0.0,0.0013513221477568873,0.023420004743224976,0.0,0.0,0.0,0.010872543390843785
DC_pDC,0.4864516367785356,0.05393986186520661,0.0023778823567379777,0.0,0.0,0.07132237426391133,0.0,0.0,0.0,0.009823867665892516,0.0,0.0,0.0,0.3038572475916096,0.0,0.0,0.003944684593433916,0.0,0.0,0.0,0.029772979823311067,0.03850946506136137
Endo,0.0717590639118641,0.027939337443534582,0.0073765656476663085,0.04204394191010221,0.5145390444041946,0.022028255916303818,0.048016246366488484,0.03931972775396227,0.0019446104638721545,0.013537124204066784,0.024262574993798146,0.00019647430232294487,0.0,0.008024305909755862,0.002603655557710417,0.047981497775393796,0.00949795250277094,0.05893673079827009,0.03260945062148871,0.008086243139972228,0.016332684717161677,0.0029645116592998803
FDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07651212407602759,0.0,0.04449850571626869,0.06020407888911896,0.6287681812751187,0.0,0.13285715176747404,0.0,0.02079715380894603,0.0,0.0,0.036362804467045984,0.0,0.0
ILC,0.2894379339466582,0.0,0.0,0.006611081301372965,0.05146235205047938,0.06545077857485077,0.11868120287403139,0.05437730066519725,0.0,0.06926894707408242,0.0,0.0,0.0,0.0,0.03088997391156605,0.047808144171662216,0.0,0.0,0.1363088992063943,0.02790035178337536,0.10180303444032976,0.0
Macrophages_M1,0.019620735384542218,0.042134968971053496,0.012155225582786597,0.5487702749557332,0.023154253513711736,0.01038751555569261,0.03782561202594287,0.004266129374014477,0.06561356518369989,0.02124147412037483,0.04262046625546078,0.03282003907931259,0.03246092607108691,0.006034376604786395,0.03251277553652361,0.0,0.009480165758905932,0.008783357079512165,0.0028461453636841796,0.002127241994017262,0.033584965084167716,0.011559786504990623
Macrophages_M2,0.0972591991209104,0.000452346843421246,0.03384583065179058,0.0,0.0,0.012694582540086005,0.0,0.06359631204422839,0.007914331100523881,0.0,0.0,0.0,0.0,0.04387605802025498,0.0,0.0,0.008319302772388128,0.6935872580196283,0.0,0.0,0.03845477888676818,0.0
Mast,0.09677765541871322,0.0,0.015791951911329018,0.09696034136074475,0.07561977454423269,0.024748576679778096,0.24901415118019413,0.09251303323101796,0.05748658746042193,0.024350602124543402,0.053823291274428885,0.008094817303986602,0.0,0.0,0.014264617369236034,0.05858404307437846,0.004281299735518167,0.07053509924852291,0.0,0.008307229140109233,0.0,0.04884692894284459
