,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22
B_Cycling,0.00580769376396918,0.0,0.011278216658437257,0.7871830467865547,0.0,0.0,0.0008004501803152078,0.003424209759800569,0.0,0.0,0.031016731720529087,0.00803660430544894,0.0,0.0,0.0,0.024849429933709023,0.010503084278181165,0.0,0.0,0.0,0.0833284255041736,0.0,0.033772107108881136
B_GC_DZ,0.007980325174403186,0.0013176311052632938,0.0010904400863766363,0.08783344573857413,0.0,0.0,0.002301349742982777,0.029925693967286175,0.003061542140232153,0.020456115425071867,0.0,0.00312548773482509,0.021629752586976945,0.010870243355492191,0.006632282824709178,0.0,0.0027332714378079767,0.06140746916759409,0.015248100776914674,0.024213422471728405,0.0,0.0,0.7001734262637612
B_GC_LZ,0.0,0.0,0.0,0.03195121597741524,0.0,0.008830135633436532,0.0,0.0,0.02079520962124935,0.0,0.0,0.0,0.0923430358138096,0.0004823591511905199,0.001395285387509593,0.0,0.0014148540085004485,0.6960617840150116,0.07172655001740873,0.009362629705316485,0.0,0.0,0.06563694066915188
B_GC_prePB,0.0,0.0,0.018706600939853227,0.1375236250767211,0.014714444272465094,0.0060042372259441375,0.0005451739106029744,0.0,0.011084119353542738,0.1762839310344721,0.023997546466989494,0.0,0.0,0.031805063376694705,0.039886242049866516,0.0,0.0,0.2510962294528732,0.07815909312948209,0.06532133061135773,0.0,0.0,0.14487236309913482
B_IFN,0.0,0.0,0.04759460077747787,0.023747814263383103,0.003965055641017154,0.008161748587220415,0.0,0.0,0.0018609627942684803,0.012814919330188473,0.0,0.0,0.018534188834831364,0.0106331964531276,0.0019105141075791304,0.014977888842663161,0.7354531403350529,0.03158527741145481,0.013957386334837335,0.06831688817253175,0.006139925746327476,0.0,0.0003464923680388848
B_activated,0.10649141164693049,0.022077898575050197,0.0,0.011300846665327918,0.02042543406823912,0.0,0.036090086903116964,0.5476895693777469,0.0,0.019348792129371198,0.020777028200016597,0.03154948479095539,0.10946955360674823,0.0,0.0014742264076624662,0.0,0.0,0.016364429893129875,0.01740698183260415,0.0,0.0,0.02648736275804336,0.013046893145057116
B_mem,0.8187411163820235,0.02091297226857021,0.005352363981072008,0.0,0.0,0.0043757981475365535,0.0,0.0,0.0,0.0,0.005489528618741228,0.0,0.12489358395439124,0.0,0.004745809821147689,0.0,0.0,0.0,0.0,0.0,0.00372068126750507,0.011768145559012627,0.0
B_naive,0.10707062099228555,0.0,0.0,0.0,0.008725973125314989,0.0,0.020347026757210715,0.15822904558014986,0.0148050935973107,0.020472864338131926,0.0,0.02410059999856707,0.5564973486981727,0.009966715121955821,0.0,0.0,0.0,0.025275432845904534,0.033440912097546724,0.0,0.0,0.004647315976351437,0.016421050871098044
B_plasma,0.0072219536433385115,0.028032014130844753,0.010023529750890858,0.0,0.006507799564211829,0.006277906287024783,0.03865929589465947,0.1274319538159077,0.024445299598211914,0.0,0.014978280896574126,0.6412715683641136,0.006097012748608872,0.02300915494904405,0.003720739478793441,0.017430271436234126,0.004346703080423063,0.0,0.0,0.0074891911706186556,0.018419953323349923,0.014637371867150379,0.0
B_preGC,0.14560418393054986,0.0,0.0353732231391827,0.0,0.003982012339093822,0.048329145438908136,0.009078524076876381,0.036626313693750634,0.007746234641754996,0.0,0.028167146095543945,0.011275984685280651,0.011606391373339481,0.0,0.011153120443509454,0.03463315584238392,0.0009363161642850169,0.0,0.0,0.008059759714569778,0.6013552426358695,0.006073245785101872,0.0
