,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22,mean_cell_type_factorsfact_23,mean_cell_type_factorsfact_24,mean_cell_type_factorsfact_25
B_Cycling,0.011130466090286839,0.0,0.0,0.0,0.0,0.0,0.0,0.00542211473082638,0.010598731557878617,0.0011760702791491777,0.0,0.0,0.7862846840234015,0.023659676876262945,0.0,0.0,0.0,0.03133863486829639,0.03451373677648437,0.005487287124465858,0.00024732428226028035,0.08295095215693103,0.007190321233756688,0.0,0.0,0.0
B_GC_DZ,0.00236416403921031,0.0022908033983425457,0.021761580379071034,0.0,0.0,0.02398091658470417,0.01978890945299815,0.030276155892120692,0.002737419980054855,0.06184462885115891,0.008189314068554809,0.0036898045055776853,0.08657442839195921,0.0,0.0,0.000369012054719465,0.011245278974921868,0.0,0.6991040883213894,0.007513493909041007,3.5724387260045746e-05,0.0,0.0021316409788219985,0.01502634086472867,0.0010762949653652725,0.0
B_GC_LZ,0.0,0.0,0.09150506763322545,0.006839386694056128,0.0,0.010422878574977295,0.0,0.0,0.0016809730267768397,0.6908819010602163,0.0022709488810382203,0.018194929325423877,0.03083279110333118,0.0,0.0,0.0,0.0005957087059726332,0.0,0.06500706650331253,0.0,0.0,0.0,0.0,0.07057670563745636,0.0,0.01119164285421325
B_GC_prePB,0.02246369664903755,0.0,0.0,0.01118884141383165,0.008014763118934003,0.061310142227261395,0.17494700045043834,0.0,0.0,0.251184262717349,0.04001232025717971,0.011840051869658634,0.13583531822823722,0.0,0.008864154343185953,0.0,0.03431449865443198,0.019556262822200035,0.14427215987044925,0.0,0.0,0.0,0.0,0.07619652737780515,0.0,0.0
B_IFN,0.049502037828762925,0.0,0.017523631265174158,0.0005677540970804124,0.0,0.057737685377719256,0.011534965090191893,0.0,0.7234030022287258,0.03131509067485023,0.0,0.0034010066591853233,0.022113115199880413,0.015617600704552101,0.029386407494745095,0.0,0.012748966653602955,0.0,0.0011202930660039996,0.0,0.0,0.004642810469154911,0.0,0.013484225491708418,0.0,0.0059014076986621975
B_activated,0.0,0.0344201104754438,0.11283415835465888,0.01227040929877551,0.0,0.0,0.0071244260284946265,0.5683269473999545,0.0,0.016448073938850692,0.029077860498891515,0.006356115773029169,0.011397426304808552,0.0,0.0,0.0006707564645758181,0.0,0.0034198082533640497,0.01308504745115067,0.10675880144173115,0.019370531052484798,0.0,0.012759238822754579,0.013819933733466776,0.03186035470756518,0.0
B_mem,0.00477974181406622,0.016331380610073738,0.12420716181765508,0.012033253609251351,0.0,0.0,0.0,0.0,0.0,0.0,0.003878629062419417,0.0,0.0,0.0,0.0,0.0,0.0,0.007046402882325187,0.0,0.8173163561332693,8.10677404418028e-05,0.003711776389515002,0.0,0.0,0.010614229940982964,0.0
B_naive,0.0,0.0,0.5512606403161973,0.0027707634614260656,0.00718701042931921,0.0,0.017593500850717907,0.15960698397804818,0.0,0.024936717041255285,0.0,0.014693356013057528,0.0005635230105259569,0.0,0.0,0.0,0.008180763678802239,0.0,0.01703700531429197,0.10527913316971192,0.01646456302135236,0.0,0.022870936867758485,0.03481008245886732,0.009984299272178384,0.006760721116489876
B_plasma,0.010550570614011184,0.030932688233137454,0.005979941233471578,0.006340366593870125,0.0,0.0057929303627913846,0.0,0.1402498527323062,0.004081925596112445,0.0,0.010316848581425318,0.024473862855744054,0.0,0.018305391092459773,0.0,0.00029072489050855916,0.02454303750025394,0.009498741435875837,0.0,0.007040905687786585,0.035506390559110285,0.017009685915526467,0.6326370535912297,0.0,0.016449082524379127,0.0
B_preGC,0.03563734722284297,0.0,0.012336435397545104,0.04149007098626134,0.001949004050602376,0.001977064127684802,0.0,0.038815583429876045,0.0007242972806823255,0.0,0.0108272742722222,0.007152137118176392,0.0,0.03330657879426311,0.023591932627628487,0.0,0.0,0.027892188982583645,0.0,0.14490255471320015,0.006044963619349222,0.5960433938493862,0.01125122036988285,0.0,0.006057953157812751,0.0
DC_CCR7+,0.04878265048464966,0.0,0.0,0.08752983916132052,0.0,0.0,0.0,0.0,0.009525866073440836,0.0,0.0009511459573445196,0.0036073987740074666,0.0,0.0,0.6512809674962239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19832213205301313
DC_cDC1,0.03970860758837689,0.0,0.0,0.039000795965965306,0.0,0.0,0.01718830796249967,0.0,0.013481439479356337,0.0,0.04182641065898877,0.0,0.0937354259192924,0.0,0.0,0.0,0.0,0.5702267104241376,0.0,0.11408695502223909,0.022097347658865188,0.03755671109834462,0.009156794162379578,0.0,0.0019344940595545001,0.0
DC_cDC2,0.0,0.009670341955807566,0.004352154205622151,0.6736298533304313,0.03153924423090817,0.014928608405962404,0.0,0.07322708452188978,0.001666891696492033,0.0,0.0,0.019692147455759305,0.0,0.014693460461407987,0.0005002164680637237,0.033503142982588885,0.0203781649050442,0.004660964118162685,0.0,0.025528918121585597,0.01729708681509732,0.013808815884257367,0.006351288827373916,0.0,0.034571615613545346,0.0
DC_pDC,0.0037837389495667152,0.0,0.018356570297121094,0.02642518780989197,0.679753596589461,0.031233276504643023,0.0,0.0701891708483037,0.0024116896171056555,0.0019296434256150582,0.0,0.023784974942524306,0.0010456572134125632,0.013891289292858322,0.0,0.0,0.02808654906844371,0.005215987953447676,4.973550703425271e-05,0.0,0.04090663494690464,0.005283362734547002,0.02528378248525316,0.0,0.005498226761219655,0.016870925052646406
