,Astro_AMY,Astro_AMY_CTX,Astro_CTX,Astro_HPC,Astro_HYPO,Astro_STR,Astro_THAL_hab,Astro_THAL_lat,Astro_THAL_med,Astro_WM,Endo,Ext_Amy_1,Ext_Amy_2,Ext_ClauPyr,Ext_Hpc_CA1,Ext_Hpc_CA2,Ext_Hpc_CA3,Ext_Hpc_DG1,Ext_Hpc_DG2,Ext_L23,Ext_L25,Ext_L56,Ext_L5_1,Ext_L5_2,Ext_L5_3,Ext_L6,Ext_L6B,Ext_Med,Ext_Pir,Ext_Thal_1,Ext_Thal_2,Ext_Unk_1,Ext_Unk_2,Ext_Unk_3,Inh_1,Inh_2,Inh_3,Inh_4,Inh_5,Inh_6,Inh_Lamp5,Inh_Meis2_1,Inh_Meis2_2,Inh_Meis2_3,Inh_Meis2_4,Inh_Pvalb,Inh_Sst,Inh_Vip,LowQ_1,LowQ_2,Micro,Nb_1,Nb_2,OPC_1,OPC_2,Oligo_1,Oligo_2,Unk_1,Unk_2,region_label,location,region_label_colors
AMY_basomedial,1.0,1.0,0.10864254774540232,0.11849222050590434,0.0845119988786814,0.5011311181912786,0.04882492177869978,0.05308595448787432,0.13829998864071183,0.06672541536428751,0.5260146731636277,0.3539154641429315,1.0,0.08729265788947248,0.006506276511529857,0.057938168150646854,0.025203987875462314,0.005479115858691275,0.007811604023021831,0.019392973244586116,0.0205512608272365,0.028602722252239966,0.2486009038366195,0.15707606242914082,0.19922511123348677,0.3171131939818805,0.04851046237927272,0.042958911315209146,0.12822372700773763,0.006377964610875532,0.00843938022296589,0.28247795303122186,0.5293194983440291,0.18362438837834424,0.05738948247212973,0.022724062383966893,0.23352983923987738,0.08737902669948304,0.11982568439917445,0.0016545967879273802,0.46928462160497636,0.4470118703300011,0.015430030398648827,0.03345980096110299,0.006427610653117801,0.12091028797229496,1.0,1.0,0.0028282020176289657,0.19344571901603053,0.7503863283296281,0.1438904269699022,0.2054516965459963,0.9757888439139022,0.09015830933051984,0.1108069447256236,0.020329134861692296,0.3971107684956038,0.4605345218622249,AMY_basomedial,amygdala,#ffff00
CTX_ L5,0.28598153402053106,0.1363686583714764,0.7149763273937568,0.1394331010349812,0.036945064401309055,0.32676661938225315,0.032266921588857404,0.16885601106121448,0.17879623122159555,0.038129872522732845,0.4447527478105192,0.03621361907751206,0.002823582826132214,0.04321868388525153,0.003379468117420389,0.013550783754562621,0.005583970305034513,0.002775082745179716,0.002597644341292724,0.0509709450912075,0.23334146431102618,0.18362038968030056,0.25836356582414693,1.0,0.026413635832884152,0.07303140653232401,0.009773246959921909,1.0,0.0017086449193991023,0.041989595650676816,0.005327409074433949,0.05881673474361863,0.12738364973391386,0.21288499322898716,0.0030717212415105892,0.0992477750717766,0.04611917457765445,0.005732960837269505,0.6625332465321897,0.001029187516132389,0.16559544025430742,0.027236287035743545,0.00741204977941329,0.007501475018192698,0.06509216890049659,1.0,0.21638239750131144,0.1282109238072451,0.002069416855455691,1.0,0.4506736134383104,0.025130255449781914,0.03980021173268285,0.2587611488718428,0.1427956589272084,0.24003892423723577,0.06527689039085588,0.05344906841086125,0.20781256947887683,CTX_ L5,cortex,#1ce6ff
CTX_L1,0.3864876560829338,0.3278207651462049,0.2907602129120236,0.15377513060338416,0.017858532231702307,0.27300565848366226,0.024800197581201246,0.0252627145155449,0.05105213131570898,0.07333430091645796,0.30971761787425406,0.03423555765834552,0.007523324442670987,0.018211435882950395,0.001180442811131595,0.007494150218840132,0.0008963990322637613,0.0019481530785874172,0.0024662543040116437,0.16015903021964162,0.06504836856901017,0.018967401674692724,0.027628288519380186,0.02221895515194562,0.032577264906297594,0.02691240308777912,0.004004856150156846,0.09793563064922926,0.007104031558306445,0.0030572350724781885,0.0028159361103511707,0.07072433352919562,0.056387396761209414,0.06245792245971678,0.004998231562154967,0.0041542384422880215,0.020792710995150093,0.005888253398202194,0.02424054127747427,0.0005142715913276055,0.4353396876870821,0.02841357200804783,0.0067497474411842015,0.004404491499587165,0.005763844883066057,0.06698520851757944,0.04146134234902992,0.19786060673843178,0.008541622294424024,0.045106334594750185,0.3104377983370112,0.03166917595434721,0.06376933015255237,0.269941378522469,0.014480545730578184,0.010293864454047291,0.004479750363460739,0.06676457842822504,0.21928170311676412,CTX_L1,cortex,#ff34ff
CTX_L2/3,0.5213010969329115,0.5228462844257308,0.5798390248351606,0.13192769718860212,0.023674160314365936,0.45674603071956077,0.027095218130035844,0.051421074796574935,0.10940967192015226,0.035631701864163985,0.47124768987795396,0.08645212183298683,0.037243454009481765,0.03958696577860237,0.004926285099366727,0.020184808591375676,0.002804671515656563,0.006807714850086928,0.010209820471180357,1.0,0.3080697947689366,0.055265079921668285,0.08592575602501634,0.042126994780018454,0.09367809916544198,0.1223941716301229,0.011230122671101116,0.3613118398325582,0.04852607279334298,0.00622741148915807,0.003919587299444096,0.2336848547759412,0.18313939434370233,0.09818466195511849,0.0073044736800891045,0.014543420784327181,0.0747267578303332,0.006230342211673449,0.09701283864684451,0.0011732653122047934,0.5792523896335494,0.09320897051173134,0.013187759530452606,0.012281409132222669,0.015716015728305173,0.33952321615052183,0.19695099475601316,0.7550681750940953,0.001750692231526305,0.11698541759613572,0.6409577509560543,0.09404244668655484,0.12557473947541234,0.47904085361947535,0.04500874223274233,0.026235817414519535,0.008067443515280328,0.21969663077977494,0.32628002091116737,CTX_L2/3,cortex,#ff4a46
CTX_L4,0.360178488133505,0.19800590433502935,1.0,0.14399704993465703,0.03863670922834462,0.3823141185735968,0.03277440619854718,0.13227973010691352,0.1818874218632785,0.02436358377835294,0.4980735322861233,0.04042415831408135,0.0055589835086342285,0.0322958150517688,0.0025472448682355513,0.022021024732420753,0.005709006449788327,0.004010786039771724,0.0038986681408892687,0.13976930369225066,1.0,0.06753150946870351,0.5987414332799733,0.12221224613153868,0.03098509620836701,0.048606403610096244,0.006870926769689743,0.44279659294141055,0.0065093427281159855,0.038179910485748536,0.009022624901117817,0.12998167340214012,0.2059591788743525,0.10743087854319407,0.003990877657553681,0.023332262244497325,0.05221241634098042,0.0069493932871763225,0.18604694569423916,0.001213766671777874,0.3331378733355849,0.03390023614632632,0.011101934492025865,0.008775537839395813,0.04655560814316765,0.8092594695275354,0.17028711135363106,0.23907887389618698,0.001918021622177455,0.1961579623006253,0.4561901517002546,0.0512048181872408,0.04408731182772912,0.22365482898960418,0.1432585939806982,0.18080712529257428,0.028918663203249394,0.038107192736526505,0.25387716691965445,CTX_L4,cortex,#008941
CTX_L5,0.555654275520978,0.4906548528763025,0.5484346766748147,0.1307847923922976,0.035669446310369265,0.48744875532129384,0.035721743506427116,0.08174210967421178,0.1572183531089431,0.03788546091336542,0.5413312989851936,0.1642843111256186,0.11700846529726787,0.16335805629978395,0.0052756493633690765,0.03857220532876408,0.009672264427081313,0.004956257029745904,0.006573097606670652,0.05612215917723322,0.18742723780835635,0.19182464697143198,1.0,0.8790375388664416,0.14984649988982102,0.7178619599993202,0.07269455022649934,0.30190525675803465,0.029390358130127955,0.012157382902414037,0.009538906591254604,0.24125935759111652,0.3724845684777356,0.21869329488448147,0.01346295031286115,0.03596128899277431,0.16445191393359615,0.016498430574400653,0.4202888782792245,0.0018603832994965493,0.3845251319051694,0.08801441211724925,0.011381231585229065,0.008970397781054096,0.0238263353430393,0.6889464136392339,0.7776313278635852,0.4099919110132397,0.002399965325800741,0.7487475325169387,0.6401241055729818,0.11715171815895713,0.12359320218963457,0.5415002420716194,0.09066596618685939,0.10008569031874648,0.017860471216427865,0.3257256449114183,0.41516442098601053,CTX_L5,cortex,#006fa6
CTX_L6,0.39444379316491,0.29606675221469425,0.4294829401221437,0.14559246669444742,0.030518380964770588,0.5375887195250953,0.03939477033174454,0.07559850054012125,0.1391451712915608,0.08757875827237407,0.48978232978012276,0.11494405988910249,0.022176488254977287,0.5116082543430507,0.003967488644672692,0.03178036300635548,0.005126084235227317,0.0043081932616439896,0.006005472592124383,0.04787222166405315,0.16117024672962263,1.0,0.1042203986288205,0.090741102473382,0.11500190105547718,1.0,0.08301040878424683,0.26745098524680766,0.010159792365873213,0.009538999793584326,0.00435799801975475,0.15260659293926992,0.20401995510202015,0.13350253006563392,0.008131307197834937,0.019555037716940223,0.0853746059813316,0.00799850793168739,0.18627400695492705,0.0013643201551270115,0.33306947573995876,0.06673102418846204,0.0104252774777466,0.009253778789112448,0.02893884797477591,0.5945054265955989,0.4703340428428903,0.20954620611340352,0.0022923899646061234,0.24951822153774367,0.5643735964031268,0.09639730919927117,0.1428237495892526,0.4958232079495634,0.21345776119882018,0.23055888879574762,0.11548760864928297,0.21597932190547764,0.31970396603022594,CTX_L6,cortex,#a30059
CTX_L6b,0.4563064587174108,0.4438159636762559,0.1045879547897125,0.11296929009123413,0.03131719601837857,0.48841130877478867,0.048879057763537334,0.03856366890485178,0.1038456646492229,0.1572011541950775,0.5352750763625297,0.1642770988992092,0.07964242276979373,1.0,0.0035200894195123976,0.022057865698888172,0.004909990527983663,0.004190283548099348,0.006144352597131189,0.0072496273869348034,0.011971987450550689,0.32715089184071117,0.021361078277845804,0.024884270699505332,1.0,0.41935044908715263,1.0,0.035486138690815676,0.026647725895760588,0.003690242841181226,0.005313513340767753,0.23435831433782395,0.2830206395458646,0.16415630855102795,0.03141397115005118,0.014858225137199359,0.14271387719410927,0.03013970151301615,0.07406991815042728,0.0013146886938382365,0.5263908628186216,0.17667969152955793,0.01725921645869041,0.0196070805237687,0.005259266062275072,0.10887617318253077,0.577103628080666,0.4074473177883959,0.002690104168434024,0.13747457534598323,0.6980839304165577,0.15798770246795127,0.216774379459642,0.6279783816126007,0.26348617224320486,0.17658747142064984,0.17190633491472265,0.3283018859748215,0.42014128113294996,CTX_L6b,cortex,#ffdbe5
HPC,0.3923814505087204,0.3412426462518207,0.17714126875344322,1.0,0.04779874293238447,0.8131549976081314,0.06443712158249434,0.10394520310533455,0.14484937047143767,0.3006657146741075,0.6343998829799574,0.08901470913181668,0.01343716170841108,0.025591192077299357,0.0569284717096391,0.22363531588842375,0.05963636637645412,0.061579062462056605,0.05202334066306643,0.010373313601493796,0.01922696444326372,0.02502780146814285,0.012979885464249937,0.020896174003989507,0.046459946233449186,0.044383145747969054,0.013569159372287306,0.03365469803358464,0.007233282970309085,0.026482672694089483,0.019083863584806054,0.13285294932639144,0.10385831961537818,0.07896085557645358,0.006097339025267445,0.020014691511879446,0.044315023270977506,0.008509768843056618,0.06802779055151627,0.003154732607803502,0.605956100632073,0.058356204164794846,0.012007488213825185,0.013135939347192453,0.00977271321882416,0.1495343182140854,0.22656016338042514,0.3724451908212134,0.0043308150660782,0.05534401062671526,0.7593190649381658,0.10183386411343522,0.19821641082291325,0.5482070098392738,0.14808680064525567,0.07244774196822228,0.07266451484908902,0.15050901360107477,0.3774123609885905,HPC,hippocampus,#7a4900
HPC_CA1,0.6502446494313429,0.6256251879365448,0.20821194912563765,0.23281883630356914,0.03253202928155462,0.9640658967017007,0.038745027507290884,0.06238912405923857,0.1397725211927403,0.12039734277198769,0.5735788907511626,0.2865527794639473,0.04909874651061509,0.038530365550701655,1.0,0.28019408888146385,0.026789795958124644,0.02647197858525486,0.024362392137939413,0.015388611571361706,0.028196682164872238,0.05226623398242835,0.024585208306965083,0.03644297982728651,0.11346954290144536,0.10429990125279659,0.02343785833108326,0.09878496412767762,0.02221100255342098,0.00748970930359229,0.005237656844351117,0.3419005868024468,0.32424232557447696,0.16589013902139402,0.015666126290584115,0.022315466726673134,0.15365634665910805,0.011287461435939145,0.12998257700066015,0.002284018703900728,0.6796187582716923,0.13569083150039662,0.018015917192125613,0.015720696991837764,0.010616003688238233,0.4453661490876212,0.34306547022378453,0.442969604092999,0.0038155178807942145,0.13236622415884053,0.7241218159863824,0.19864537274005534,0.2751618920255686,0.648002677870258,0.08559852111025915,0.06012447453963661,0.032645633214078006,0.45076331696956695,0.5602878916173383,HPC_CA1,hippocampus,#0000a6
