"","HYPO_dorsal","HYPO_dorsal2","HYPO_ventral","THAL_latHabenula","THAL_lateral","THAL_lateral2","THAL_medHabenula","THAL_venmedial","WM_dorsal","WM_ventral","PIA_dorsal","VENTRICLE","HPC","HPC_CA1","HPC_CA2/3","HPC_DG","STR","AMY_basomedial","PirCTX_L1","PirCTX_L2/3","CTX_ L5","CTX_L1","CTX_L2/3","CTX_L4","CTX_L5","CTX_L6","CTX_L6b"
"THAL_hab",0.0975731520064837,0.0985741554656328,0.0910581051433717,0.0959029123555855,0.0593447564766996,0.163044534771171,1,0.0939346248992753,0.175074000119996,0.142032465417348,0.108051980079975,0.0786046230855324,0.0644371215824943,0.0387450275072909,0.0707995010757862,0.0658667430181509,0.0426394320663387,0.0488249217786998,0.0294959985622651,0.0434300550268343,0.0322669215888574,0.0248001975812012,0.0270952181300358,0.0327744061985472,0.0357217435064271,0.0393947703317445,0.0488790577635373
"HYPO",1,0.466028725720146,0.778310734165149,0.400386887838387,0.103005960493977,0.131029794473547,0.372862946048028,0.434530583169646,0.0602924249899523,0.0907254304646514,0.0702427213467035,0.105552356779815,0.0477987429323845,0.0325320292815546,0.0491999225485149,0.059890659298347,0.0391216794420567,0.0845119988786814,0.0406239489064355,0.0460887419426169,0.0369450644013091,0.0178585322317023,0.0236741603143659,0.0386367092283446,0.0356694463103693,0.0305183809647706,0.0313171960183786
"THAL_lat",0.101400738147238,0.569749861822709,0.0463532286343705,0.0989504841775622,1,0.73010752585266,0.0848185116436346,0.63436614550954,0.0745467878527368,0.145715835306912,0.0427918507393811,0.044486669241399,0.103945203105335,0.0623891240592386,0.119008963745036,0.104187779451255,0.0633297143669168,0.0530859544878743,0.0315440130547702,0.0404331079011391,0.168856011061214,0.0252627145155449,0.0514210747965749,0.132279730106914,0.0817421096742118,0.0755985005401213,0.0385636689048518
"THAL_med",0.212498956443939,0.353060183410499,0.156887403453237,0.146532170974132,0.808057750973036,0.498457300292038,0.203021990246977,1,0.15028280451096,0.161661140768649,0.0778868668560393,0.106542701711394,0.144849370471438,0.13977252119274,0.221488435157369,0.179551525800149,0.102828500521635,0.138299988640712,0.073544699628701,0.117521609890766,0.178796231221596,0.051052131315709,0.109409671920152,0.181887421863278,0.157218353108943,0.139145171291561,0.103845664649223
"WM",0.0385292658141329,0.0743495515800841,0.0909314707720708,0.114920266474158,0.0190175541371466,0.121595669580519,0.943777381080296,0.031834613275368,0.619643783333663,0.426211873847752,0.361311847530413,1,0.300665714674108,0.120397342771988,0.121173597729162,0.303070640768939,0.179819285734623,0.0667254153642875,0.0941794388297883,0.0482462389505327,0.0381298725227328,0.073334300916458,0.035631701864164,0.0243635837783529,0.0378854609133654,0.0875787582723741,0.157201154195077
"AMY",0.126054621815566,0.141630054793888,0.559509041479233,0.0939850327829181,0.111618976175089,0.110182457604203,0.167721810796031,0.132603877656658,0.104265812136714,0.101914917394105,0.237024972627322,0.108748707372001,0.39238145050872,0.650244649431343,0.892566038212177,0.654934857673301,0.47807962786683,1,0.625543016119872,0.768775459551831,0.285981534020531,0.386487656082934,0.521301096932911,0.360178488133505,0.555654275520978,0.39444379316491,0.456306458717411
"HPC",0.0301360809115958,0.0397565686301811,0.0493240323812675,0.0213698859484709,0.0405643714115202,0.0803660322337328,0.0713215732291007,0.0385174859951237,0.0859483994364907,0.0868250862444442,0.269610852310453,0.0646787119925185,1,0.232818836303569,0.252147068325947,0.563694757328477,0.184439732102476,0.118492220505904,0.112027434929534,0.10988252345105,0.139433101034981,0.153775130603384,0.131927697188602,0.143997049934657,0.130784792392298,0.145592466694447,0.112969290091234
"STR",0.0683356691453627,0.0795523182820178,0.187115914306818,0.0488857597717131,0.058273917627822,0.0794752556420251,0.113224682506133,0.0611891816915925,0.177323214511919,0.180633896063475,0.151276146398245,0.147796327471548,0.813154997608131,0.964065896701701,1,0.803594899724362,0.591914015212869,0.501131118191279,0.373444444702477,0.395400117088417,0.326766619382253,0.273005658483662,0.456746030719561,0.382314118573597,0.487448755321294,0.537588719525095,0.488411308774789
"AMY_CTX",0.0386579618995696,0.0433036520324993,0.274011370400499,0.0324642062133676,0.0391587021677779,0.054473032202541,0.0747207773161182,0.0505408874052863,0.0386435619130792,0.0418841825554692,0.247776996679942,0.055532120718586,0.341242646251821,0.625625187936545,0.763004352376381,0.69098565505916,0.384999525654928,1,0.841462713815852,0.914936506194236,0.136368658371476,0.327820765146205,0.522846284425731,0.198005904335029,0.490654852876303,0.296066752214694,0.443815963676256
"CTX",0.0162117173257644,0.0246874725537686,0.0290137833787472,0.0102990751129052,0.0224011961278878,0.0351222702043044,0.0234808767499199,0.0232698407025524,0.0215080486865907,0.0343550481363428,0.103947114502954,0.0367359913056381,0.177141268753443,0.208211949125638,0.161446765179473,0.32781653977742,0.305088188579763,0.108642547745402,0.0989599348410909,0.112312769951657,0.714976327393757,0.290760212912024,0.579839024835161,1,0.548434676674815,0.429482940122144,0.104587954789713
