ENSEMBL,mean_sample_effectsample_5705STDY8058280,mean_sample_effectsample_5705STDY8058281,mean_sample_effectsample_5705STDY8058282,mean_sample_effectsample_5705STDY8058283,mean_sample_effectsample_5705STDY8058284,mean_sample_effectsample_5705STDY8058285
ENSMUSG00000051951,0.15221631526947021,0.14010287821292877,0.1911601722240448,0.11558076739311218,0.11786410957574844,0.13205543160438538
ENSMUSG00000089699,0.054533593356609344,0.09034188836812973,0.03856370225548744,0.023619290441274643,0.027776207774877548,0.017408419400453568
ENSMUSG00000033845,0.010506954044103622,0.009313654154539108,0.007176232524216175,0.019812343642115593,0.020189378410577774,0.025875577703118324
ENSMUSG00000033813,0.009645272977650166,0.013879037462174892,0.009659099392592907,0.018333187326788902,0.03157416358590126,0.017427273094654083
ENSMUSG00000002459,0.019006824120879173,0.02097061648964882,0.01936073787510395,0.02207374945282936,0.026981934905052185,0.02385239116847515
ENSMUSG00000033793,0.02854159101843834,0.04252006486058235,0.06172724440693855,0.051972102373838425,0.07085710763931274,0.05019725114107132
ENSMUSG00000025905,0.0006169054540805519,0.001432629069313407,0.0007441445486620069,0.0007850182009860873,0.0008420048397965729,0.0016031500417739153
ENSMUSG00000025907,0.07178529351949692,0.08634313941001892,0.07160332053899765,0.11371872574090958,0.09964055567979813,0.07887779176235199
ENSMUSG00000090031,0.0038029032293707132,0.0052081989124417305,0.015565366484224796,0.03278988599777222,0.01652427390217781,0.03789890184998512
ENSMUSG00000033740,0.05643514543771744,0.045722976326942444,0.05208893120288849,0.053825389593839645,0.055196333676576614,0.05243349075317383
ENSMUSG00000051285,0.028986265882849693,0.02826201170682907,0.06444822996854782,0.08818160742521286,0.09686579555273056,0.08527237176895142
ENSMUSG00000097797,0.004471302032470703,0.006251468788832426,0.004824499599635601,0.0028250780887901783,0.008218321949243546,0.0029675846453756094
ENSMUSG00000025909,0.08060140162706375,0.07314068078994751,0.07280085980892181,0.0721556693315506,0.09276075661182404,0.07205060124397278
ENSMUSG00000061024,0.0033677255269140005,0.004053048323839903,0.003514515468850732,0.006942566949874163,0.012369371019303799,0.009177437983453274
ENSMUSG00000025911,0.003916924819350243,0.00416518235579133,0.004367257934063673,0.007351573556661606,0.007771780714392662,0.004245920106768608
ENSMUSG00000067879,0.011734440922737122,0.0042535592801868916,0.0038709307555109262,0.008949441835284233,0.007945084944367409,0.011784120462834835
ENSMUSG00000045210,0.007097749039530754,0.01182777713984251,0.009349619969725609,0.028098102658987045,0.0390743650496006,0.022378060966730118
ENSMUSG00000097893,0.0024530254304409027,0.001781129976734519,0.002399808494374156,0.004367607645690441,0.008403647691011429,0.0009538826416246593
ENSMUSG00000025915,0.027277836576104164,0.01632722094655037,0.020180605351924896,0.02005968615412712,0.03240980952978134,0.016044624149799347
ENSMUSG00000046101,0.010584535077214241,0.01152024045586586,0.009130202233791351,0.010749740526080132,0.021909162402153015,0.008976136334240437
ENSMUSG00000098234,0.0032919796649366617,0.001837361603975296,0.0032821395434439182,0.005478421691805124,0.004814158193767071,0.0012585032964125276
ENSMUSG00000087199,0.002500225091353059,0.002620142186060548,0.00295276939868927,0.011236232705414295,0.02533106319606304,0.0011300689075142145
ENSMUSG00000025917,0.026067618280649185,0.007743338588625193,0.01801925152540207,0.015340915881097317,0.02169056050479412,0.04018866643309593
ENSMUSG00000056763,0.09054188430309296,0.0902823656797409,0.0989794209599495,0.09441829472780228,0.13207073509693146,0.061070766299963
ENSMUSG00000067851,0.061572011560201645,0.06357982754707336,0.06929288059473038,0.04151302948594093,0.03926975280046463,0.05227259546518326
ENSMUSG00000042501,0.005001227371394634,0.008348880335688591,0.011623529717326164,0.012532902881503105,0.02311481349170208,0.002368951914831996
ENSMUSG00000048960,0.012487179599702358,0.009350426495075226,0.007822034880518913,0.013552067801356316,0.02117742970585823,0.013309110887348652
ENSMUSG00000057715,0.03327029198408127,0.03138469159603119,0.03101402521133423,0.031903740018606186,0.04369523003697395,0.03503144532442093
ENSMUSG00000016918,0.007579355500638485,0.005815715063363314,0.005884605459868908,0.008934151381254196,0.010508337058126926,0.009038340300321579
ENSMUSG00000025938,0.001554794260300696,0.0010906514944508672,0.0006312293699011207,0.0009285747073590755,0.0011194961844012141,0.00208102585747838
ENSMUSG00000005886,0.07856662571430206,0.0864330604672432,0.14145351946353912,0.08103327453136444,0.1611364632844925,0.07994382083415985
ENSMUSG00000025935,0.008194323629140854,0.00935426726937294,0.011394205503165722,0.022914288565516472,0.025523286312818527,0.012020593509078026
ENSMUSG00000025937,0.010513514280319214,0.00998999085277319,0.008436253294348717,0.023418251425027847,0.029088858515024185,0.018654728308320045
ENSMUSG00000025932,0.005294033791869879,0.004604671616107225,0.004992597736418247,0.002092524664476514,0.0039008890744298697,0.002104862593114376
ENSMUSG00000032769,0.00015867166803218424,7.390778046101332e-05,0.00014006720448378474,0.000151434593135491,0.00021741792443208396,8.963795698946342e-05
ENSMUSG00000092083,0.05895445495843887,0.05050169676542282,0.04615473002195358,0.048152294009923935,0.049121931195259094,0.04654371738433838
ENSMUSG00000025925,0.01972467266023159,0.03331820294260979,0.036755047738552094,0.03637806326150894,0.03435885161161423,0.028870422393083572
ENSMUSG00000067795,0.0025923827197402716,0.0019441157346591353,0.0025351005606353283,0.0019590684678405523,0.002326234942302108,0.00237767375074327
ENSMUSG00000043716,0.00589464558288455,0.01933247223496437,0.0038608326576650143,0.0489826425909996,0.01856320910155773,0.08209740370512009
ENSMUSG00000025921,0.003093936014920473,0.004242789000272751,0.003204112872481346,0.004398649092763662,0.004663895349949598,0.008152741938829422
ENSMUSG00000025920,0.046370990574359894,0.05947105213999748,0.07063224166631699,0.0386795774102211,0.03993000090122223,0.04508494585752487
ENSMUSG00000025939,0.02602521888911724,0.02227986976504326,0.045400939881801605,0.04280318319797516,0.06895199418067932,0.07688575237989426
ENSMUSG00000079658,0.009375120513141155,0.014770452864468098,0.005441988818347454,0.03552207350730896,0.023951582610607147,0.03383707255125046
ENSMUSG00000025940,0.007719939108937979,0.010766525752842426,0.00412891386076808,0.01902896910905838,0.010268475860357285,0.009736591950058937
ENSMUSG00000101640,0.07468757778406143,0.07566241174936295,0.03966763615608215,0.04473971202969551,0.05960327386856079,0.05042417719960213
ENSMUSG00000042686,0.021128015592694283,0.016078881919384003,0.019350742921233177,0.00913915690034628,0.013623357750475407,0.019063403829932213
ENSMUSG00000025777,0.008583216927945614,0.01026917528361082,0.006227598525583744,0.02705790102481842,0.013160399161279202,0.032636478543281555
