,Astro_AMY,Astro_AMY_CTX,Astro_CTX,Astro_HPC,Astro_HYPO,Astro_STR,Astro_THAL_hab,Astro_THAL_lat,Astro_THAL_med,Astro_WM,Endo,Ext_Amy_1,Ext_Amy_2,Ext_ClauPyr,Ext_Hpc_CA1,Ext_Hpc_CA2,Ext_Hpc_CA3,Ext_Hpc_DG1,Ext_Hpc_DG2,Ext_L5_1,Ext_L5_2,Ext_L5_3,Ext_L6,Ext_L6B,Ext_L23,Ext_L25,Ext_L56,Ext_Med,Ext_Pir,Ext_Thal_1,Ext_Thal_2,Ext_Unk_1,Ext_Unk_2,Ext_Unk_3,Inh_1,Inh_2,Inh_3,Inh_4,Inh_5,Inh_6,Inh_Lamp5,Inh_Meis2_1,Inh_Meis2_2,Inh_Meis2_3,Inh_Meis2_4,Inh_Pvalb,Inh_Sst,Inh_Vip,LowQ_1,LowQ_2,Micro,Nb_1,Nb_2,OPC_1,OPC_2,Oligo_1,Oligo_2,Unk_1,Unk_2,region_label,location,region_label_colors
AMY_basomedial,0.915255750076124,0.9300885747840968,0.030823538762623188,0.05404584771362297,0.01790453534951887,0.316106386812496,0.020750117775260073,0.005322417495259815,0.015427660293057362,0.15254600935172147,0.3414613437715014,0.1010338421008157,1.0,0.03862243493247012,0.0026277640418371226,0.010533071300049636,0.007074860231700196,0.005035545904991043,0.00933613115638722,0.06411743914580079,0.024219207985400438,0.16269806994445446,0.1017395921532917,0.0136868674087369,0.008919914460517191,0.006920593118850662,0.025880495467494307,0.016889890002858485,0.2011473634491318,0.0003107777117865028,0.0007831977826821536,0.18729144763026895,0.00398400493144732,0.0008250202444721813,0.05167780120152249,0.002686265205978302,0.08058677901219274,0.022451339086789313,0.012716753216266414,0.0006446974660881034,0.3783548788112942,0.34573649595846445,0.005087961221771349,0.01471771511104597,0.0006076173776604638,0.05907356971798943,0.8901451599616803,0.9200349793341249,0.015230153666503014,0.06533672682654731,0.6444191710271941,0.12170349497826333,0.2046122900440544,1.0,0.07551272833249073,0.027216796024752136,0.009884659840020122,0.2624837265891568,0.3716537406624968,AMY_basomedial,amygdala,#ffff00
AMY_posterior,1.0,0.6214728064221978,0.01875214098215656,0.06606875519356524,0.04547696054361855,0.22734512814789742,0.037831450948184,0.007964226451463703,0.027230611822916386,0.31296867463287503,0.27158562480335846,1.0,0.20942809824969622,0.001267697616170631,0.0007355921458761934,0.007492257130945093,0.0001913700602197378,0.008972258424591317,0.013167883032217184,0.0004132191389411245,0.0012373011783079423,0.05027310306736781,0.0015007169267029423,0.0008234499109326543,0.0008785697365293203,0.00018576960660118705,0.0004657800004558028,0.0028187150417944566,0.13916505026825624,0.00017563145155673646,0.00036686511349846564,1.0,0.003008533026755471,0.0007521366674199796,0.14223960813145217,0.0017018981841273749,0.1322992747233061,0.03720993631755988,0.004881938026726914,0.0009272453859116536,0.630114779568057,0.1389050681956745,0.0023599489470476744,0.0019128060302136818,0.00041809895194102215,0.06019842501686048,1.0,1.0,0.018543982819300194,0.008371138180256268,0.3309255057462112,0.16204532451197182,0.3172489637394144,0.8895754196594312,0.04586446924476143,0.009297144376525863,0.0037470584645911444,0.1013497702149529,0.6082696380540988,AMY_posterior,amygdala,#1ce6ff
CTX_L1,0.38591698246320927,0.5243478741273254,0.2201256416285606,0.2252329356638477,0.009827147215173918,0.2921943958524701,0.011874243042638991,0.009400098694288837,0.017338624935709795,0.061820414176614484,0.24547580117173534,0.0018451442431898252,0.008159605832246767,0.01241200947886097,0.001118935287817349,0.003221824717462704,0.0006598321097700952,0.0019160154118070117,0.001399832683493661,0.07008826214571547,0.019461974430663057,0.006686655775281317,0.023896139400904716,0.002252114676741305,0.17548371057205453,0.10213244432042445,0.00899107392422531,0.16822174030415019,0.02505287625359665,0.0013856538797476195,0.0008846566949634319,0.008601120171216989,0.0020749714047444217,0.0009300521367544052,0.0020207461426825337,0.0011546484040525246,0.004141303045689248,0.002022462202084421,0.004791048679186277,0.0006320206984327907,0.5850965486884757,0.005749710746966279,0.0015446152796246837,0.0018565988711152128,0.00183587889140814,0.04475139088515136,0.0921386534731481,0.22683012265452698,0.007048286745136818,0.01764873020728395,0.34513925945546425,0.006482974091830597,0.017917060709808957,0.2732763352261146,0.024168583656342398,0.007123269905503452,0.0028641688523554317,0.010795002932020816,0.15351050001891547,CTX_L1,cortex,#ff34ff
CTX_L2/3,0.29982983411809994,0.6259922082717577,0.5986742928231417,0.1278398913650198,0.004960303859570428,0.36104279458193234,0.00700076954771056,0.012942582331982679,0.021307252741757893,0.023098628626582948,0.4601609450188792,0.0022489398426681247,0.030199499771028024,0.033142173588987155,0.0024143534753216685,0.004077063152828881,0.0006229712610578834,0.005156091596856083,0.006786956399583994,0.21720664744612012,0.018662968808228535,0.027175839100434352,0.1394394559458463,0.003292036234585405,1.0,0.42315044883110586,0.02895400769368313,0.7126737122734308,0.05105899011589371,0.0008452353971029415,0.00034294614550323756,0.021615817917502084,0.0008739055187351174,0.00032238548696261765,0.0013302212991474444,0.0017986188628295336,0.009214344629177466,0.0009641244089798696,0.01018467566196389,0.0002547457161293101,1.0,0.023022842003949145,0.0035364541761164344,0.004779699337348148,0.0054805039922179105,0.2900773908769184,0.26298086216545485,0.8318069293033228,0.001385478676875998,0.02723606664347459,0.6460801424968976,0.02528055709683706,0.04515438791417916,0.3968925234712904,0.027666956465304635,0.00778308345779585,0.003768401904316505,0.08549026249821294,0.14851219725377524,CTX_L2/3,cortex,#ff4a46
CTX_L4,0.25892590723066317,0.417928345498813,1.0,0.13143724481694682,0.00897031478124238,0.31200385213390397,0.00674563557228036,0.04422652297557685,0.052460354351409104,0.015010378293196796,0.4453945474596452,0.00044167269565364807,0.003725677136236588,0.022856390078167668,0.0007904981653979378,0.005070368900826317,0.0013027381192186294,0.0011741284937387146,0.0013329894388784515,1.0,0.08908174892960145,0.0030713911490941478,0.028815496263146192,0.004238816539373937,0.2139956785695254,1.0,0.01835274068172545,0.7028036713744537,0.004588032802931565,0.012096248124050385,0.002048561499168353,0.0038715219345753734,0.0008568450388379167,0.0005418426413736181,0.0004725135762298596,0.003955333236953695,0.0051029654554233805,0.0009067632831373153,0.029204206340262703,0.0001971806694263164,0.5825362774526729,0.004168964708472915,0.0014563127512339374,0.0019391180053696085,0.019237528162045547,0.8552727334321223,0.2555188080813755,0.25133828372059347,0.0013436459349455323,0.12466913882686208,0.5325331757204265,0.009632399856057265,0.01145822783092618,0.14596089935075948,0.1028433429915709,0.07720205814258091,0.024185947383245518,0.011834073194549398,0.10223254310777384,CTX_L4,cortex,#008941
CTX_L5,0.228195987090804,0.3068278134805939,0.41241500631614986,0.11537913396692705,0.010610117543353588,0.4274362111106602,0.00784275440877308,0.042157972583947004,0.05132861736151345,0.027913228173786973,0.33217900400677286,0.003814268748004747,0.04591935014533056,0.1260925742614502,0.002360363940628948,0.0085580163806531,0.0029780115033791596,0.0014780877651270885,0.0027214550519571975,0.6772915973940883,1.0,0.09439155255212577,0.45735282594805476,0.06182784742980141,0.050194516119579355,0.15936943378294693,0.22200680329405337,1.0,0.009946352785051472,0.0073736563076246655,0.0015868917684319528,0.01214234191951025,0.0020922128419333316,0.0013200575343598538,0.001899461650784163,0.012737406489246981,0.03254987106795308,0.0036160794115550907,0.18132990718491848,0.0004179196307747374,0.34337677829974655,0.01156400835779444,0.0016446601080387544,0.0016355408987884302,0.022204316454002625,1.0,0.821366741627112,0.19353612390901953,0.0015800705448317542,1.0,0.40100566022931416,0.03331143144301828,0.035399667136139026,0.23221551973067334,0.10325550877587752,0.07802790208845423,0.02670237075866059,0.2761197470198837,0.1955964346390136,CTX_L5,cortex,#006fa6
CTX_L6,0.1510432966669423,0.2416061582661812,0.2895850336417872,0.11338716208458864,0.007116290152428481,0.643354129910561,0.009047329447460135,0.017326519173466556,0.024669773388937236,0.07392955641478079,0.35552023662225346,0.0013028220479092325,0.002284086106444711,0.5964347142758388,0.0024450073790564715,0.010868289394910207,0.00293129828699056,0.0016680163260277834,0.003844052345020211,0.13392212839761022,0.09859866967633238,0.06450882307328037,1.0,0.09144807409381141,0.03378223713046445,0.10506472908068408,1.0,0.3350974894208795,0.0006546359069773322,0.0012251725066842844,0.0003534667727687297,0.006239099660523948,0.0012311879717682459,0.0005265317553101767,0.0007771361208783076,0.0033766423739420605,0.018928753122738097,0.0013642426603889676,0.049075543668354794,0.00027751221276596505,0.45504241410977164,0.010110740634112526,0.0026355032947878777,0.003059665233879053,0.009910486722286846,0.5704886473079532,0.5258977295242907,0.2392245509092423,0.0029650202461696225,0.2844284336260025,0.4742322927829266,0.043179162805372616,0.05949744392478025,0.23240956731500806,0.20682761167104696,0.16072249743414949,0.10142427903706752,0.38945962591805067,0.20934278381395757,CTX_L6,cortex,#a30059
CTX_L6b,0.16093889245156837,0.23333218467567662,0.0513884752603178,0.09310876082854333,0.009457371515232894,0.5611799926516566,0.015147573727555595,0.004947079924248027,0.01308920783987037,0.25025376186939136,0.3480657066371854,0.010306077939181512,0.03322441738997479,1.0,0.001309030964918738,0.005371156783157441,0.0019178480104051917,0.0017005328105297764,0.003962455714298513,0.02328482364235366,0.008841895490713693,1.0,0.38023473779221584,1.0,0.0016258266696827174,0.001586662975356494,0.36413020836447046,0.02315375351600118,0.0074904423759660855,0.0002460788286491965,0.000474753177893161,0.03197366415592573,0.0022901254883069136,0.0008788836934965954,0.017156036597260036,0.0019591196640578326,0.06576917056975508,0.015302211021312916,0.010034395081155783,0.0004932194952523817,0.4949195393091037,0.086739914813652,0.007230654338534371,0.014399745175341892,0.0008992577154669792,0.05623056846162607,0.804837429137667,0.5053333212878534,0.0041491868455221315,0.15036883822937958,0.5637402738893542,0.08497107728192387,0.11552845892715637,0.40505813826124093,0.21121000863513092,0.15968109165164704,0.19652900019515795,0.4163788335956146,0.35142528942141016,CTX_L6b,cortex,#ffdbe5
HPC,0.4024123647407661,0.32941390994672703,0.061526428058139696,1.0,0.018676558834406103,1.0,0.029712244492704813,0.02630113103212877,0.04363478815538434,0.3968959764884205,0.44591392003872243,0.001422213616218925,0.0013784478311349901,0.008207085837901244,0.06508530109971332,0.15797535482582994,0.05332250257171981,0.09681385142682557,0.05902307295005286,0.0028462516590440153,0.007271381435807813,0.008141084398163932,0.01158961791337493,0.005199199114078728,0.0018639760428733288,0.0021728943727972383,0.010516397706134217,0.011625797942787817,0.0009564403996630365,0.012104452266082382,0.00398819172756617,0.01372486553743657,0.000500622557054795,0.0005583724793452811,0.001234055998885034,0.0024144909831173133,0.007706114633047084,0.0011032782704187396,0.01195365636893476,0.001484477842263323,0.7576161914371994,0.012119477977838638,0.004806362799373949,0.005508809828169915,0.003205063149021339,0.07707646507523278,0.3702333135076079,0.717557616346855,0.003139818775334746,0.021097221839680606,0.7158515758115233,0.03799014630189236,0.07460784353022233,0.3773000140167631,0.12425095948743226,0.050339154159548025,0.042333279358983886,0.031540588511317316,0.26576507949049955,HPC,hippocampus,#7a4900
HPC_CA1,0.15410849302042628,0.17219017086251,0.042199779826257035,0.11651753005999352,0.0058917629100795335,0.5872904762466501,0.007532343273307015,0.006515254163416359,0.01238673776993606,0.09727548914998067,0.261580906495008,0.011543539505693673,0.0024844424104392086,0.014483977324140182,1.0,0.1915596113017575,0.009696379351159556,0.02394026924841951,0.031777080657551644,0.005128346318139023,0.01311743327580206,0.021513659669007496,0.06171285333713287,0.004866389911917755,0.001434792833643418,0.002150235508146924,0.05715928356488451,0.02699985922177281,0.000805189813652837,0.0006835672170235742,0.0001953425247564569,0.0209647327614138,0.0008737917655628657,0.00038546767484010184,0.0015190261053449315,0.001854715351654228,0.018187336046959317,0.0012895305895398574,0.013152161173787699,0.0003709690380055793,0.6303563666978007,0.012701829812568035,0.002488147672396791,0.0019172216795112652,0.0018580247471627373,0.3778846395530269,0.22064224609616132,0.2076647586676567,0.0011147360727926752,0.027232862861059255,0.29121359808948977,0.0534891923961258,0.12252805713997475,0.2369372611765642,0.043703351667333426,0.011709669085590724,0.005362168331266638,0.2541075141086372,0.2344072315795752,HPC_CA1,hippocampus,#0000a6
